[139307] ['(3-3i)', '(5+i)', '(5+i)', '(6-2i)'] -> ((3-3i) * (((5+i) + (5+i)) - (6-2i)))
[139330] ['(3-3i)', '(5+i)', '(5+2i)', '(6-i)'] -> ((2-4i) - ((2+4i) * ((2-4i) - (5-8i))))
[139331] ['(3-3i)', '(5+i)', '(5+2i)', '(7-9i)'] -> ((3-3i) * ((5+2i) - ((7-9i) / (5+i))))
[139343] ['(3-3i)', '(5+i)', '(5+3i)', '(5+7i)'] -> (((3-3i) * (5+3i)) - ((5+i) - (5+7i)))
[139347] ['(3-3i)', '(5+i)', '(5+3i)', '(6-4i)'] -> ((3-3i) * ((5+3i) - ((6-4i) / (5+i))))
[139350] ['(3-3i)', '(5+i)', '(5+3i)', '6'] -> ((3-3i) * (((5+i) + (5+3i)) - 6))
[139358] ['(3-3i)', '(5+i)', '(5+3i)', '(8-8i)'] -> (((3-3i) * (8-8i)) / ((5+i) - (5+3i)))
[139361] ['(3-3i)', '(5+i)', '(5+3i)', '(8+i)'] -> (((1-i) + (7+i)) * ((8-3i) - (5-3i)))
[139366] ['(3-3i)', '(5+i)', '(5+3i)', '(9-3i)'] -> (((5+i) * (9-3i)) - ((3-3i) * (5+3i)))
[139372] ['(3-3i)', '(5+i)', '(5+4i)', '(6+i)'] -> (((4-6i) - (4+2i)) * ((5-4i) - (5-7i)))
[139377] ['(3-3i)', '(5+i)', '(5+4i)', '8'] -> (8 * ((5+4i) + ((3-3i) - (5+i))))
[139386] ['(3-3i)', '(5+i)', '(5+5i)', '(6+2i)'] -> ((3-3i) * (((5+i) + (5+5i)) - (6+2i)))
[139403] ['(3-3i)', '(5+i)', '(5+6i)', '(6+3i)'] -> (((1-i) * ((7+5i) + (9+8i))) - (5-3i))
[139427] ['(3-3i)', '(5+i)', '(5+7i)', '(6+4i)'] -> ((3-3i) * (((5+i) + (5+7i)) - (6+4i)))
[139431] ['(3-3i)', '(5+i)', '(5+7i)', '(7+5i)'] -> (((3-3i) * (5+7i)) - ((5+i) + (7+5i)))
[139452] ['(3-3i)', '(5+i)', '(5+8i)', '(6+5i)'] -> ((3-3i) * (((5+i) + (5+8i)) - (6+5i)))
