[59456] ['(2-5i)', '(3+8i)', '(4-2i)', '(6-5i)'] -> (((6-5i) * ((4-2i) - (2-5i))) - (3+8i))
[59529] ['(2-5i)', '(3+8i)', '(4+i)', '(7-i)'] -> ((6-9i) - (9 * ((7-7i) - (9-6i))))
[59559] ['(2-5i)', '(3+8i)', '(4+3i)', '(5-3i)'] -> ((-7i + (6+7i)) * (-6i + (4+6i)))
[59578] ['(2-5i)', '(3+8i)', '(4+4i)', '(7-4i)'] -> (((2-5i) * (4+4i)) + ((3+8i) - (7-4i)))
[59582] ['(2-5i)', '(3+8i)', '(4+4i)', '8'] -> (-4i * (((2-7i) / (2-7i)) - (1-6i)))
[59602] ['(2-5i)', '(3+8i)', '(4+5i)', '(7+8i)'] -> (((2-5i) + (4+5i)) * ((7+8i) - (3+8i)))
[59694] ['(2-5i)', '(3+8i)', '(5-8i)', '(5-5i)'] -> (((3+8i) + (5-8i)) * ((5-5i) - (2-5i)))
[59712] ['(2-5i)', '(3+8i)', '(5-7i)', '(5+6i)'] -> (((5+6i) * ((5-7i) - (2-5i))) - (3+8i))
[59810] ['(2-5i)', '(3+8i)', '(5-2i)', '(7+5i)'] -> (((5-2i) * ((2-5i) + (3+8i))) - (7+5i))
[59814] ['(2-5i)', '(3+8i)', '(5-2i)', '(8+9i)'] -> ((5-2i) - ((8+9i) / ((2-5i) / (3+8i))))
[59925] ['(2-5i)', '(3+8i)', '(5+4i)', '(9-9i)'] -> (((2-5i) * (5+4i)) + ((3+8i) - (9-9i)))
[60070] ['(2-5i)', '(3+8i)', '(6-6i)', '(7+5i)'] -> ((3-9i) - ((7+3i) * ((4+7i) - (7+7i))))
[60186] ['(2-5i)', '(3+8i)', '6', '(9+3i)'] -> (6 * ((9+3i) - ((2-5i) + (3+8i))))
[60262] ['(2-5i)', '(3+8i)', '(6+5i)', '(6+8i)'] -> (((2-5i) + (6+5i)) * ((6+8i) - (3+8i)))
[60292] ['(2-5i)', '(3+8i)', '(6+6i)', '(7+i)'] -> ((6+6i) * ((7+i) - ((2-5i) + (3+8i))))
[60682] ['(2-5i)', '(3+8i)', '8', '(8+3i)'] -> ((4-4i) - ((4+4i) * ((6-6i) - (9-8i))))
[60685] ['(2-5i)', '(3+8i)', '8', '(9-7i)'] -> (((9-7i) - (3+8i)) / ((2-5i) / 8))
[60763] ['(2-5i)', '(3+8i)', '(9-9i)', '(9-3i)'] -> (((2-5i) * (9-9i)) + ((3+8i) * (9-3i)))
[60903] ['(2-5i)', '(3+9i)', '(4-9i)', '(8+8i)'] -> (((3+9i) * (8+8i)) / ((2-5i) - (4-9i)))
[60950] ['(2-5i)', '(3+9i)', '(4-8i)', '(9+9i)'] -> (((3+9i) * ((4-8i) - (2-5i))) - (9+9i))
