[386151] ['-6i', '(1+7i)', '(3-i)', '(4+2i)'] -> (((1-2i) * (4-6i)) + ((2+4i) * (6-5i)))
[386160] ['-6i', '(1+7i)', '(3-i)', '(6+6i)'] -> ((6+6i) * ((3-i) - (-6i + (1+7i))))
[386161] ['-6i', '(1+7i)', '(3-i)', '(6+8i)'] -> (-6i * ((1+7i) - ((6+8i) / (3-i))))
[386165] ['-6i', '(1+7i)', '(3-i)', '(7+2i)'] -> ((-6i + (1+7i)) + ((3-i) * (7+2i)))
[386174] ['-6i', '(1+7i)', '3', '(3+9i)'] -> (-6i * ((1+7i) - ((3+9i) / 3)))
[386176] ['-6i', '(1+7i)', '3', '(4-4i)'] -> ((-6i + (1+7i)) * (3 * (4-4i)))
[386177] ['-6i', '(1+7i)', '3', '(4+3i)'] -> (-6i * (((1+7i) + 3) - (4+3i)))
[386180] ['-6i', '(1+7i)', '3', '(6-2i)'] -> ((-6i * (1+7i)) - (3 * (6-2i)))
[386187] ['-6i', '(1+7i)', '3', '(7-9i)'] -> ((3 * ((1+7i) + (7-9i))) - -6i)
[386188] ['-6i', '(1+7i)', '3', '(7-5i)'] -> (-6i + (3 * ((1+7i) + (7-5i))))
[386191] ['-6i', '(1+7i)', '3', '(7-i)'] -> (3 * ((7-i) + (-6i + (1+7i))))
[386195] ['-6i', '(1+7i)', '3', '(8+8i)'] -> ((3 * (8+8i)) / (-6i + (1+7i)))
[386199] ['-6i', '(1+7i)', '3', '(9+i)'] -> (3 * ((9+i) - (-6i + (1+7i))))
[386200] ['-6i', '(1+7i)', '3', '(9+5i)'] -> ((3 * ((9+5i) - (1+7i))) - -6i)
[386202] ['-6i', '(1+7i)', '(3+i)', '(4+4i)'] -> (-6i * (((1+7i) + (3+i)) - (4+4i)))
[386207] ['-6i', '(1+7i)', '(3+i)', '(5-5i)'] -> ((-6i / (3+i)) * ((1+7i) - (5-5i)))
[386227] ['-6i', '(1+7i)', '(3+2i)', '(4+5i)'] -> (-6i * (((1+7i) + (3+2i)) - (4+5i)))
[386238] ['-6i', '(1+7i)', '(3+2i)', '(9-9i)'] -> ((-6i + ((1+7i) * (9-9i))) / (3+2i))
[386239] ['-6i', '(1+7i)', '(3+2i)', '(9-5i)'] -> ((-6i / (3+2i)) * ((1+7i) - (9-5i)))
[386246] ['-6i', '(1+7i)', '(3+3i)', '(4+2i)'] -> (((3+3i) * ((4+2i) - (1+7i))) - -6i)
