[233250] ['-i', '(4-9i)', '(6-6i)', '(7+6i)'] -> ((6-6i) * ((-i * (7+6i)) - (4-9i)))
[233321] ['-i', '(4-9i)', '6', '(8-8i)'] -> (6 * ((8-8i) + (-i - (4-9i))))
[233327] ['-i', '(4-9i)', '6', '(9+8i)'] -> (6 * ((-i * (9+8i)) - (4-9i)))
[233333] ['-i', '(4-9i)', '(6+i)', '(8-9i)'] -> (((1-3i) - (1+3i)) * ((2-5i) - (2-9i)))
[233374] ['-i', '(4-9i)', '(6+4i)', '8'] -> (8 * (((4-9i) / -i) - (6+4i)))
[233391] ['-i', '(4-9i)', '(6+6i)', '(7+6i)'] -> ((6+6i) * (((4-9i) / -i) - (7+6i)))
[233445] ['-i', '(4-9i)', '(7-9i)', '(8+i)'] -> ((-9i - (4-9i)) * ((2-8i) - (8-8i)))
[233453] ['-i', '(4-9i)', '(7-8i)', '8'] -> (8 * ((7-8i) + (-i - (4-9i))))
[233668] ['-i', '(4-9i)', '8', '(9+7i)'] -> (((3-6i) * (8+8i)) / ((3-8i) - -7i))
[233851] ['-i', '(4-8i)', '(4-4i)', '(5+i)'] -> ((4-4i) * (((4-8i) / -i) - (5+i)))
