[470439] ['-8i', '(3+9i)', '(4-4i)', '(7+2i)'] -> (-8i * (((3+9i) + (4-4i)) - (7+2i)))
[470440] ['-8i', '(3+9i)', '(4-4i)', '(7+8i)'] -> (-8i * ((7+8i) - ((3+9i) + (4-4i))))
[470441] ['-8i', '(3+9i)', '(4-4i)', '(8-4i)'] -> (((8-4i) * (-8i + (3+9i))) - (4-4i))
[470442] ['-8i', '(3+9i)', '(4-4i)', '(8+8i)'] -> ((8+8i) + ((4-4i) * (-8i + (3+9i))))
[470443] ['-8i', '(3+9i)', '(4-3i)', '(4+4i)'] -> ((-8i - (4+4i)) * ((3+9i) / (4-3i)))
[470444] ['-8i', '(3+9i)', '(4-3i)', '(6+3i)'] -> ((-8i / (4-3i)) * ((3+9i) + (6+3i)))
[470445] ['-8i', '(3+9i)', '(4-3i)', '(7-4i)'] -> ((-8i * (3+9i)) / ((7-4i) - (4-3i)))
[470446] ['-8i', '(3+9i)', '(4-3i)', '(7+3i)'] -> (-8i * (((3+9i) + (4-3i)) - (7+3i)))
[470447] ['-8i', '(3+9i)', '(4-3i)', '(7+9i)'] -> (-8i * ((7+9i) - ((3+9i) + (4-3i))))
[470448] ['-8i', '(3+9i)', '(4-3i)', '(9+5i)'] -> ((9+5i) + ((4-3i) * (-8i + (3+9i))))
[470449] ['-8i', '(3+9i)', '(4-2i)', '(7-3i)'] -> ((-8i * (3+9i)) / ((7-3i) - (4-2i)))
[470450] ['-8i', '(3+9i)', '(4-2i)', '(7+4i)'] -> (-8i * (((3+9i) + (4-2i)) - (7+4i)))
[470452] ['-8i', '(3+9i)', '(4-i)', '(5+i)'] -> ((-8i + (3+9i)) + ((4-i) * (5+i)))
[470454] ['-8i', '(3+9i)', '(4-i)', '(7-2i)'] -> ((-8i * (3+9i)) / ((7-2i) - (4-i)))
[470455] ['-8i', '(3+9i)', '(4-i)', '(7+5i)'] -> (-8i * (((3+9i) + (4-i)) - (7+5i)))
[470456] ['-8i', '(3+9i)', '4', '(6-2i)'] -> (4 + ((6-2i) * (-8i + (3+9i))))
[470458] ['-8i', '(3+9i)', '4', '(6+6i)'] -> ((6+6i) + ((-8i * (3+9i)) / 4))
[470459] ['-8i', '(3+9i)', '4', '(7-i)'] -> ((-8i * (3+9i)) / ((7-i) - 4))
[470460] ['-8i', '(3+9i)', '4', '(7+6i)'] -> (-8i * (((3+9i) + 4) - (7+6i)))
[470461] ['-8i', '(3+9i)', '4', '(9+i)'] -> (4 * ((9+i) - (-8i + (3+9i))))
[470462] ['-8i', '(3+9i)', '4', '(9+7i)'] -> ((4 * ((9+7i) - (3+9i))) - -8i)
[470463] ['-8i', '(3+9i)', '(4+i)', '(6-3i)'] -> ((-8i / (4+i)) * ((3+9i) - (6-3i)))
[470466] ['-8i', '(3+9i)', '(4+i)', '7'] -> ((-8i * (3+9i)) / (7 - (4+i)))
[470467] ['-8i', '(3+9i)', '(4+i)', '(7+7i)'] -> (-8i * (((3+9i) + (4+i)) - (7+7i)))
[470469] ['-8i', '(3+9i)', '(4+2i)', '(7+i)'] -> ((-8i * (3+9i)) / ((7+i) - (4+2i)))
[470471] ['-8i', '(3+9i)', '(4+2i)', '(7+5i)'] -> (((4+2i) * ((7+5i) - (3+9i))) - -8i)
[470473] ['-8i', '(3+9i)', '(4+2i)', '(7+8i)'] -> (-8i * (((3+9i) + (4+2i)) - (7+8i)))
