[113136] ['-4i', '(1+7i)', '(2+9i)', '(6+5i)'] -> ((-4i * (1+7i)) + ((2+9i) - (6+5i)))
[113157] ['-4i', '(1+7i)', '(3-9i)', '(3+6i)'] -> (-4i * ((1+7i) + ((3-9i) / (3+6i))))
[113159] ['-4i', '(1+7i)', '(3-9i)', '(4-8i)'] -> (-4i * (((1+7i) + (3-9i)) - (4-8i)))
[113163] ['-4i', '(1+7i)', '(3-9i)', '(4+4i)'] -> (-4i * ((4+4i) - ((1+7i) + (3-9i))))
[113177] ['-4i', '(1+7i)', '(3-9i)', '6'] -> (((3-9i) * (-4i + (1+7i))) - 6)
[113195] ['-4i', '(1+7i)', '(3-8i)', '(3+i)'] -> ((1-9i) - ((3-i) * ((1+2i) - (7+7i))))
[113198] ['-4i', '(1+7i)', '(3-8i)', '(4-7i)'] -> ((8-8i) - (4 * ((4-3i) - (8-i))))
[113202] ['-4i', '(1+7i)', '(3-8i)', '(4+5i)'] -> (-4i * ((4+5i) - ((1+7i) + (3-8i))))
[113241] ['-4i', '(1+7i)', '(3-7i)', '(3+3i)'] -> ((3+3i) * ((3-7i) + (-4i + (1+7i))))
[113248] ['-4i', '(1+7i)', '(3-7i)', '(4-6i)'] -> (-4i * (((1+7i) + (3-7i)) - (4-6i)))
[113252] ['-4i', '(1+7i)', '(3-7i)', '(4+6i)'] -> (-4i * ((4+6i) - ((1+7i) + (3-7i))))
[113267] ['-4i', '(1+7i)', '(3-7i)', '(6-4i)'] -> (((3-3i) * (4-i)) + ((6+8i) + (9+7i)))
[113269] ['-4i', '(1+7i)', '(3-7i)', '(6-i)'] -> (((6-i) * ((1+7i) + (3-7i))) - -4i)
[113271] ['-4i', '(1+7i)', '(3-7i)', '(6+i)'] -> (-4i + ((6+i) * ((1+7i) + (3-7i))))
[113272] ['-4i', '(1+7i)', '(3-7i)', '(6+4i)'] -> ((-4i + (6+4i)) * ((1+7i) + (3-7i)))
[113297] ['-4i', '(1+7i)', '(3-6i)', '(3-3i)'] -> ((3-3i) + ((3-6i) * (-4i + (1+7i))))
[113304] ['-4i', '(1+7i)', '(3-6i)', '(4-5i)'] -> (-4i * (((1+7i) + (3-6i)) - (4-5i)))
[113306] ['-4i', '(1+7i)', '(3-6i)', '(4+7i)'] -> (-4i * ((4+7i) - ((1+7i) + (3-6i))))
[113336] ['-4i', '(1+7i)', '(3-6i)', '(9-3i)'] -> (-4i * ((1+7i) - ((9-3i) / (3-6i))))
[113348] ['-4i', '(1+7i)', '(3-5i)', '(4-4i)'] -> (-4i * (((1+7i) + (3-5i)) - (4-4i)))
[113351] ['-4i', '(1+7i)', '(3-5i)', '(4+8i)'] -> (3 * ((9+9i) + ((3-6i) - (4+3i))))
[113353] ['-4i', '(1+7i)', '(3-5i)', '(5-5i)'] -> ((5-5i) - ((1+7i) + (-4i * (3-5i))))
[113359] ['-4i', '(1+7i)', '(3-5i)', '(6-4i)'] -> ((6-4i) + ((3-5i) * (-4i + (1+7i))))
[113364] ['-4i', '(1+7i)', '(3-5i)', '(7-9i)'] -> ((-4i * (1+7i)) + ((3-5i) - (7-9i)))
[113373] ['-4i', '(1+7i)', '(3-5i)', '(8-2i)'] -> (-4i * ((1+7i) - ((8-2i) / (3-5i))))
[113384] ['-4i', '(1+7i)', '(3-4i)', '(3-3i)'] -> ((-4i * (1+7i)) / ((3-4i) / (3-3i)))
[113392] ['-4i', '(1+7i)', '(3-4i)', '(4-3i)'] -> (((3-3i) - (7+i)) * ((4-i) - (7-4i)))
[113394] ['-4i', '(1+7i)', '(3-4i)', '4'] -> ((1+7i) * (-4i + (4 / (3-4i))))
[113397] ['-4i', '(1+7i)', '(3-4i)', '(4+9i)'] -> (-4i * ((4+9i) - ((1+7i) + (3-4i))))
[113411] ['-4i', '(1+7i)', '(3-4i)', '(7-8i)'] -> ((-4i * (1+7i)) + ((3-4i) - (7-8i)))
[113412] ['-4i', '(1+7i)', '(3-4i)', '(7-7i)'] -> (((1+7i) + (7-7i)) * ((3-4i) - -4i))
[113415] ['-4i', '(1+7i)', '(3-4i)', '(7-i)'] -> (-4i * ((1+7i) - ((7-i) / (3-4i))))
[113426] ['-4i', '(1+7i)', '(3-3i)', '(4-2i)'] -> (-4i * (((1+7i) + (3-3i)) - (4-2i)))
[113430] ['-4i', '(1+7i)', '(3-3i)', '(5+7i)'] -> ((3-3i) * ((5+7i) - (-4i + (1+7i))))
[113436] ['-4i', '(1+7i)', '(3-3i)', '(7-7i)'] -> ((4+i) * ((4-3i) + ((5+8i) / (4+i))))
[113453] ['-4i', '(1+7i)', '(3-2i)', '(4-i)'] -> (-4i * (((1+7i) + (3-2i)) - (4-i)))
[113456] ['-4i', '(1+7i)', '(3-2i)', '(5+i)'] -> (-4i * ((1+7i) - ((5+i) / (3-2i))))
[113461] ['-4i', '(1+7i)', '(3-2i)', '(7-6i)'] -> ((-4i * (1+7i)) + ((3-2i) - (7-6i)))
[113463] ['-4i', '(1+7i)', '(3-2i)', '(7+i)'] -> (((3-2i) * (7+i)) - (-4i - (1+7i)))
[113478] ['-4i', '(1+7i)', '(3-i)', '4'] -> (-4i * (((1+7i) + (3-i)) - 4))
[113479] ['-4i', '(1+7i)', '(3-i)', '(4+2i)'] -> (-4i * ((1+7i) - ((4+2i) / (3-i))))
[113487] ['-4i', '(1+7i)', '(3-i)', '(7-5i)'] -> ((-4i * (1+7i)) + ((3-i) - (7-5i)))
[113494] ['-4i', '(1+7i)', '(3-i)', '(8-i)'] -> (((3-i) * (8-i)) - (-4i - (1+7i)))
[113496] ['-4i', '(1+7i)', '(3-i)', '(8+8i)'] -> ((-4i * ((1+7i) - (3-i))) - (8+8i))
[113499] ['-4i', '(1+7i)', '3', '(3+3i)'] -> (-4i * ((1+7i) - ((3+3i) / 3)))
[113503] ['-4i', '(1+7i)', '3', '(4+i)'] -> (-4i * (((1+7i) + 3) - (4+i)))
[113505] ['-4i', '(1+7i)', '3', '(4+8i)'] -> ((-4i * ((1+7i) - 3)) - (4+8i))
[113513] ['-4i', '(1+7i)', '3', '(7-4i)'] -> ((-4i * (1+7i)) + (3 - (7-4i)))
[113515] ['-4i', '(1+7i)', '3', '(7-3i)'] -> (((3-6i) - 3) * ((5-4i) - (5-8i)))
[113523] ['-4i', '(1+7i)', '3', '(9+3i)'] -> (3 * ((9+3i) - (-4i + (1+7i))))
[113528] ['-4i', '(1+7i)', '(3+i)', '(4+2i)'] -> (-4i * (((1+7i) + (3+i)) - (4+2i)))
[113536] ['-4i', '(1+7i)', '(3+i)', '(6+6i)'] -> ((6+6i) * ((3+i) - (-4i + (1+7i))))
[113538] ['-4i', '(1+7i)', '(3+i)', '(7-3i)'] -> ((-4i * (1+7i)) + ((3+i) - (7-3i)))
[113549] ['-4i', '(1+7i)', '(3+2i)', '(4+3i)'] -> (-4i * (((1+7i) + (3+2i)) - (4+3i)))
[113562] ['-4i', '(1+7i)', '(3+2i)', '(7-2i)'] -> (6i * ((5-8i) - (-7i + (5+3i))))
[113581] ['-4i', '(1+7i)', '(3+3i)', '(4+3i)'] -> ((-4i * (1+7i)) * ((3+3i) / (4+3i)))
[113582] ['-4i', '(1+7i)', '(3+3i)', '(4+4i)'] -> (-4i * (((1+7i) + (3+3i)) - (4+4i)))
[113586] ['-4i', '(1+7i)', '(3+3i)', '(5-i)'] -> (((3-7i) + (9+7i)) * ((5-8i) - (3-8i)))
[113590] ['-4i', '(1+7i)', '(3+3i)', '(5+7i)'] -> ((3+3i) * ((5+7i) + (-4i - (1+7i))))
[113596] ['-4i', '(1+7i)', '(3+3i)', '(7-i)'] -> ((-4i * (1+7i)) + ((3+3i) - (7-i)))
[113618] ['-4i', '(1+7i)', '(3+4i)', '(4+5i)'] -> (-4i * (((1+7i) + (3+4i)) - (4+5i)))
[113629] ['-4i', '(1+7i)', '(3+4i)', '(7-7i)'] -> ((-4i + (3+4i)) * ((1+7i) + (7-7i)))
[113631] ['-4i', '(1+7i)', '(3+4i)', '7'] -> ((-4i * (1+7i)) + ((3+4i) - 7))
[113634] ['-4i', '(1+7i)', '(3+4i)', '(7+5i)'] -> ((-4i * (3+4i)) + ((1+7i) + (7+5i)))
[113645] ['-4i', '(1+7i)', '(3+4i)', '(9+7i)'] -> (((3-3i) * ((8+6i) - (4-i))) - (9+9i))
[113646] ['-4i', '(1+7i)', '(3+5i)', '(3+5i)'] -> ((-4i * (3+5i)) + ((1+7i) + (3+5i)))
[113647] ['-4i', '(1+7i)', '(3+5i)', '(4-8i)'] -> (((3-3i) + (4-i)) + ((8+7i) + (9-3i)))
[113651] ['-4i', '(1+7i)', '(3+5i)', '(4+i)'] -> (-4i * ((1+7i) - ((3+5i) / (4+i))))
[113652] ['-4i', '(1+7i)', '(3+5i)', '(4+6i)'] -> (-4i * (((1+7i) + (3+5i)) - (4+6i)))
[113663] ['-4i', '(1+7i)', '(3+5i)', '(6-6i)'] -> ((6-6i) * ((3+5i) - (-4i + (1+7i))))
[113672] ['-4i', '(1+7i)', '(3+5i)', '(7+i)'] -> ((-4i * (1+7i)) + ((3+5i) - (7+i)))
[113673] ['-4i', '(1+7i)', '(3+5i)', '(7+5i)'] -> (((7+5i) * ((3+5i) - (1+7i))) - -4i)
[113697] ['-4i', '(1+7i)', '(3+6i)', '(4+7i)'] -> (-4i * (((1+7i) + (3+6i)) - (4+7i)))
[113714] ['-4i', '(1+7i)', '(3+6i)', '(7+2i)'] -> ((-9i - -5i) * ((7+i) - (7-5i)))
[113743] ['-4i', '(1+7i)', '(3+7i)', '(4+8i)'] -> ((6+4i) - ((1-4i) * ((3-9i) - (5-5i))))
[113744] ['-4i', '(1+7i)', '(3+7i)', '(5-5i)'] -> ((-4i * (3+7i)) + ((1+7i) - (5-5i)))
[113747] ['-4i', '(1+7i)', '(3+7i)', '(5+2i)'] -> (-4i * ((1+7i) - ((3+7i) / (5+2i))))
[113749] ['-4i', '(1+7i)', '(3+7i)', '(5+3i)'] -> ((-4i + (3+7i)) * ((5+3i) - (1+7i)))
[113761] ['-4i', '(1+7i)', '(3+7i)', '(7+3i)'] -> ((-4i * (1+7i)) + ((3+7i) - (7+3i)))
[113779] ['-4i', '(1+7i)', '(3+8i)', '(4+9i)'] -> (-4i * (((1+7i) + (3+8i)) - (4+9i)))
[113792] ['-4i', '(1+7i)', '(3+8i)', '(7+4i)'] -> ((-4i * (1+7i)) + ((3+8i) - (7+4i)))
[113801] ['-4i', '(1+7i)', '(3+8i)', '(9-5i)'] -> (((8+7i) - (2-8i)) / ((2+5i) / 8))
