[280033] ['(1-3i)', '(3-5i)', '(8-4i)', '(8+4i)'] -> ((8+4i) + ((8-4i) / ((1-3i) / (3-5i))))
[280039] ['(1-3i)', '(3-5i)', '(8-4i)', '(9+7i)'] -> (((9+7i) * ((3-5i) - (1-3i))) - (8-4i))
[280054] ['(1-3i)', '(3-5i)', '8', '(8+8i)'] -> (((8+8i) * ((3-5i) - (1-3i))) - 8)
[280086] ['(1-3i)', '(3-5i)', '(8+8i)', '(9+2i)'] -> ((8+8i) * ((1-3i) + ((9+2i) / (3-5i))))
[280087] ['(1-3i)', '(3-5i)', '(8+8i)', '(9+8i)'] -> ((8+8i) * ((3-5i) + ((9+8i) / (1-3i))))
[280090] ['(1-3i)', '(3-5i)', '(9-9i)', '(9+3i)'] -> ((9-9i) + ((9+3i) / ((1-3i) / (3-5i))))
[280091] ['(1-3i)', '(3-5i)', '(9-9i)', '(9+4i)'] -> (((1-3i) * ((9+4i) - (3-5i))) - (9-9i))
[280122] ['(1-3i)', '(3-4i)', '(3-3i)', '(4+8i)'] -> (((1-3i) / (3-4i)) * ((3-3i) * (4+8i)))
[280126] ['(1-3i)', '(3-4i)', '(3-3i)', '(6+3i)'] -> ((3-3i) * ((6+3i) + ((1-3i) - (3-4i))))
[280130] ['(1-3i)', '(3-4i)', '(3-3i)', '(8-3i)'] -> (((2-7i) - (8-i)) * ((3+9i) - (5+7i)))
[280134] ['(1-3i)', '(3-4i)', '(3-3i)', '(9+4i)'] -> (((3-4i) + (9+4i)) * ((3-3i) - (1-3i)))
[280135] ['(1-3i)', '(3-4i)', '(3-2i)', '(3-i)'] -> (((3-4i) + (3-2i)) * ((3-i) - (1-3i)))
[280137] ['(1-3i)', '(3-4i)', '(3-2i)', '(3+7i)'] -> (((1-3i) * (3+7i)) - ((3-4i) - (3-2i)))
[280148] ['(1-3i)', '(3-4i)', '(3-2i)', '(8-4i)'] -> (((3-4i) + (3-2i)) / ((1-3i) / (8-4i)))
[280157] ['(1-3i)', '(3-4i)', '(3-i)', '(4+4i)'] -> (((3-4i) * (4+4i)) - ((1-3i) + (3-i)))
[280162] ['(1-3i)', '(3-4i)', '(3-i)', '(6-i)'] -> (((1-3i) + (3-i)) * ((6-i) - (3-4i)))
[280164] ['(1-3i)', '(3-4i)', '(3-i)', '(6+2i)'] -> ((6+2i) * ((3-i) + ((1-3i) / (3-4i))))
[280165] ['(1-3i)', '(3-4i)', '(3-i)', '(6+4i)'] -> (((1-3i) * ((6+4i) - (3-4i))) - (3-i))
[280172] ['(1-3i)', '(3-4i)', '(3-i)', '(8+8i)'] -> ((8+8i) * ((3-i) - ((3-4i) / (1-3i))))
[280174] ['(1-3i)', '(3-4i)', '(3-i)', '(9+3i)'] -> ((9+3i) * ((3-i) - ((1-3i) / (3-4i))))
[280180] ['(1-3i)', '(3-4i)', '3', '(4+7i)'] -> (3 * ((4+7i) + ((1-3i) + (3-4i))))
[280183] ['(1-3i)', '(3-4i)', '3', '(6+i)'] -> (3 * ((6+i) - ((1-3i) - (3-4i))))
[280196] ['(1-3i)', '(3-4i)', '(3+i)', '(4+8i)'] -> (((2-7i) - (6-7i)) * ((3+9i) - (9+9i)))
[280204] ['(1-3i)', '(3-4i)', '(3+i)', '(8-8i)'] -> (((3-4i) + (3+i)) / ((1-3i) / (8-8i)))
[280205] ['(1-3i)', '(3-4i)', '(3+i)', '(8-4i)'] -> ((8-4i) * ((3+i) - ((1-3i) / (3-4i))))
[280218] ['(1-3i)', '(3-4i)', '(3+2i)', '(6+9i)'] -> (((1-3i) + (6+9i)) + ((3-4i) * (3+2i)))
[280223] ['(1-3i)', '(3-4i)', '(3+2i)', '(8-8i)'] -> ((8-8i) * ((3+2i) - ((3-4i) / (1-3i))))
[280226] ['(1-3i)', '(3-4i)', '(3+2i)', '(8+3i)'] -> (((3-4i) * (3+2i)) - ((1-3i) - (8+3i)))
[280229] ['(1-3i)', '(3-4i)', '(3+3i)', '(3+4i)'] -> (((1-3i) + (3+3i)) * ((3-4i) + (3+4i)))
[280235] ['(1-3i)', '(3-4i)', '(3+3i)', '(6-5i)'] -> ((3+3i) * ((6-5i) + ((1-3i) - (3-4i))))
[280242] ['(1-3i)', '(3-4i)', '(3+3i)', '(8-4i)'] -> (((1-3i) / (3-4i)) * ((3+3i) * (8-4i)))
[280245] ['(1-3i)', '(3-4i)', '(3+3i)', '(9-9i)'] -> (((3+3i) * ((1-3i) + (3-4i))) - (9-9i))
[280247] ['(1-3i)', '(3-4i)', '(3+3i)', '(9-4i)'] -> (((1-3i) + (3+3i)) * ((9-4i) - (3-4i)))
[280248] ['(1-3i)', '(3-4i)', '(3+4i)', '(3+9i)'] -> (((1-3i) * (3+9i)) - ((3-4i) + (3+4i)))
[280254] ['(1-3i)', '(3-4i)', '(3+4i)', '(5-3i)'] -> (((3-4i) + (3+4i)) * ((5-3i) - (1-3i)))
[280256] ['(1-3i)', '(3-4i)', '(3+4i)', '(6+9i)'] -> (((1-3i) * (3+4i)) + ((3-4i) + (6+9i)))
[280262] ['(1-3i)', '(3-4i)', '(3+4i)', '(9+3i)'] -> (((3-4i) - (3+4i)) / ((1-3i) / (9+3i)))
