[276181] ['-3i', '2i', '(1+i)', '(1+9i)'] -> (-3i * ((1+9i) - (2i / (1+i))))
[276182] ['-3i', '2i', '(1+i)', '(2-2i)'] -> ((-3i * 2i) * ((1+i) * (2-2i)))
[276183] ['-3i', '2i', '(1+i)', '(2+6i)'] -> (-3i * ((2+6i) + (2i * (1+i))))
[276184] ['-3i', '2i', '(1+i)', '(3-i)'] -> ((-3i * 2i) * ((1+i) + (3-i)))
[276186] ['-3i', '2i', '(1+i)', '(3+3i)'] -> (-3i * (2i + ((1+i) * (3+3i))))
[276187] ['-3i', '2i', '(1+i)', '(3+9i)'] -> (2i * ((-3i * (1+i)) - (3+9i)))
[276188] ['-3i', '2i', '(1+i)', '(4-4i)'] -> ((3-3i) * ((3+4i) + ((1-8i) / (1-8i))))
[276190] ['-3i', '2i', '(1+i)', '(4+2i)'] -> ((-3i * (1+i)) * (2i + (4+2i)))
[276191] ['-3i', '2i', '(1+i)', '(4+4i)'] -> ((-3i * 2i) / ((1+i) / (4+4i)))
[276192] ['-3i', '2i', '(1+i)', '(4+6i)'] -> ((-3i * (1+i)) * ((4+6i) - 2i))
[276193] ['-3i', '2i', '(1+i)', '(5+i)'] -> ((-3i * 2i) * ((5+i) - (1+i)))
[276194] ['-3i', '2i', '(1+i)', '(5+5i)'] -> (-3i * (((1+i) * (5+5i)) - 2i))
[276198] ['-3i', '2i', '(1+i)', '(6-6i)'] -> (-3i * (2i - ((6-6i) / (1+i))))
[276200] ['-3i', '2i', '(1+i)', '(6+3i)'] -> ((-3i - (6+3i)) * (2i * (1+i)))
[276205] ['-3i', '2i', '(1+i)', '(8-6i)'] -> ((-3i / (1+i)) * (2i - (8-6i)))
[276209] ['-3i', '2i', '(1+i)', '(8+8i)'] -> ((-3i * (8+8i)) / ((1+i) - 2i))
[276211] ['-3i', '2i', '(1+2i)', '(1+8i)'] -> (-3i * ((1+8i) + (2i - (1+2i))))
[276214] ['-3i', '2i', '(1+2i)', '(3-2i)'] -> ((-3i * 2i) * ((1+2i) + (3-2i)))
[276216] ['-3i', '2i', '(1+2i)', '(4-7i)'] -> (2i + ((1+2i) * (-3i + (4-7i))))
[276218] ['-3i', '2i', '(1+2i)', '(4+2i)'] -> (-3i * (((1+2i) * (4+2i)) - 2i))
[276219] ['-3i', '2i', '(1+2i)', '(4+6i)'] -> (-3i * ((4+6i) + (2i * (1+2i))))
[276221] ['-3i', '2i', '(1+2i)', '(4+8i)'] -> ((-3i * 2i) / ((1+2i) / (4+8i)))
[276223] ['-3i', '2i', '(1+2i)', '(5+2i)'] -> ((-3i * 2i) * ((5+2i) - (1+2i)))
[276227] ['-3i', '2i', '(1+2i)', '(6-6i)'] -> (((3-2i) - (2-3i)) * ((6-9i) + (6-3i)))
[276229] ['-3i', '2i', '(1+2i)', '(6+9i)'] -> (2i * ((-3i * (1+2i)) - (6+9i)))
[276239] ['-3i', '2i', '(1+3i)', '(1+9i)'] -> (-3i * ((1+9i) + (2i - (1+3i))))
[276242] ['-3i', '2i', '(1+3i)', '(3-9i)'] -> (((1+3i) * (3-9i)) - (-3i * 2i))
[276244] ['-3i', '2i', '(1+3i)', '(3-4i)'] -> (((1+3i) * (-3i + (3-4i))) - 2i)
