[483343] ['-5i', '4i', '(3+3i)', '(7+3i)'] -> ((-5i * 4i) - ((3+3i) - (7+3i)))
[483344] ['-5i', '4i', '(3+3i)', '(8-8i)'] -> ((4i - -5i) / ((3+3i) / (8-8i)))
[483345] ['-5i', '4i', '(3+4i)', '(3+5i)'] -> (4i * ((-5i + (3+4i)) - (3+5i)))
[483346] ['-5i', '4i', '(3+4i)', '(4-4i)'] -> ((4-4i) * ((3+4i) + (-5i + 4i)))
[483348] ['-5i', '4i', '(3+4i)', '(7+4i)'] -> ((-5i * 4i) - ((3+4i) - (7+4i)))
[483350] ['-5i', '4i', '(3+4i)', '(8+5i)'] -> ((-5i + (8+5i)) * ((3+4i) - 4i))
[483351] ['-5i', '4i', '(3+4i)', '(8+7i)'] -> ((8+7i) - (-5i + (4i * (3+4i))))
[483353] ['-5i', '4i', '(3+5i)', '(3+6i)'] -> (4i * ((-5i + (3+5i)) - (3+6i)))
[483355] ['-5i', '4i', '(3+5i)', '(4+7i)'] -> ((4+7i) - (-5i + (4i * (3+5i))))
[483358] ['-5i', '4i', '(3+5i)', '(7+5i)'] -> ((-5i * 4i) - ((3+5i) - (7+5i)))
[483359] ['-5i', '4i', '(3+5i)', '(8-4i)'] -> ((-5i + (3+5i)) * (4i + (8-4i)))
[483360] ['-5i', '4i', '(3+5i)', '(8+4i)'] -> ((-5i + (3+5i)) * ((8+4i) - 4i))
[483361] ['-5i', '4i', '(3+6i)', '(3+7i)'] -> (4i * ((-5i + (3+6i)) - (3+7i)))
[483362] ['-5i', '4i', '(3+6i)', '(4-8i)'] -> ((3+6i) * (((4-8i) / -5i) - 4i))
[483363] ['-5i', '4i', '(3+6i)', '(4+4i)'] -> (-2i * (((2+7i) + (2+8i)) - (4+3i)))
[483369] ['-5i', '4i', '(3+6i)', '(7+6i)'] -> ((-5i * 4i) - ((3+6i) - (7+6i)))
[483371] ['-5i', '4i', '(3+7i)', '(3+8i)'] -> (4i * ((-5i + (3+7i)) - (3+8i)))
