[429548] ['-8i', '(1+8i)', '(3-5i)', '4'] -> (-8i * (((1+8i) + (3-5i)) - 4))
[429550] ['-8i', '(1+8i)', '(3-5i)', '(4+6i)'] -> (-8i * ((4+6i) - ((1+8i) + (3-5i))))
[429564] ['-8i', '(1+8i)', '(3-4i)', '(3+3i)'] -> ((3+3i) * ((3-4i) + (-8i + (1+8i))))
[429565] ['-8i', '(1+8i)', '(3-4i)', '(3+4i)'] -> ((4+4i) - ((4+7i) / ((1-2i) / (4+4i))))
[429567] ['-8i', '(1+8i)', '(3-4i)', '(3+5i)'] -> ((-8i + (3+5i)) * ((1+8i) + (3-4i)))
[429574] ['-8i', '(1+8i)', '(3-4i)', '(4-2i)'] -> (-8i + ((4-2i) * ((1+8i) + (3-4i))))
[429576] ['-8i', '(1+8i)', '(3-4i)', '(4+i)'] -> (-8i * (((1+8i) + (3-4i)) - (4+i)))
[429578] ['-8i', '(1+8i)', '(3-4i)', '(4+7i)'] -> (-8i * ((4+7i) - ((1+8i) + (3-4i))))
[429603] ['-8i', '(1+8i)', '(3-3i)', '(3+4i)'] -> ((3-3i) * ((3+4i) + (-8i + (1+8i))))
[429606] ['-8i', '(1+8i)', '(3-3i)', '(4+2i)'] -> (-8i * (((1+8i) + (3-3i)) - (4+2i)))
[429607] ['-8i', '(1+8i)', '(3-3i)', '(4+8i)'] -> (-8i * ((4+8i) - ((1+8i) + (3-3i))))
[429610] ['-8i', '(1+8i)', '(3-3i)', '(5+4i)'] -> ((3-3i) * ((5+4i) - (-8i + (1+8i))))
[429611] ['-8i', '(1+8i)', '(3-3i)', '(7-9i)'] -> ((-8i * (1+8i)) * ((3-3i) / (7-9i)))
[429617] ['-8i', '(1+8i)', '(3-3i)', '(8+i)'] -> (((3-4i) * (3+5i)) - (-6i + (5+9i)))
[429628] ['-8i', '(1+8i)', '(3-2i)', '(4+3i)'] -> (-8i * (((1+8i) + (3-2i)) - (4+3i)))
[429630] ['-8i', '(1+8i)', '(3-2i)', '(4+9i)'] -> (-8i * ((4+9i) - ((1+8i) + (3-2i))))
[429631] ['-8i', '(1+8i)', '(3-2i)', '(5+i)'] -> ((-8i / (3-2i)) * ((1+8i) + (5+i)))
[429634] ['-8i', '(1+8i)', '(3-2i)', '(6+6i)'] -> ((6+6i) * ((3-2i) - (-8i + (1+8i))))
[429638] ['-8i', '(1+8i)', '(3-2i)', '(8-8i)'] -> ((8-8i) + ((-8i * (1+8i)) / (3-2i)))
[429645] ['-8i', '(1+8i)', '(3-i)', '(4-4i)'] -> ((4-4i) + ((-8i * (1+8i)) / (3-i)))
[429646] ['-8i', '(1+8i)', '(3-i)', '(4+4i)'] -> (-8i * (((1+8i) + (3-i)) - (4+4i)))
[429652] ['-8i', '(1+8i)', '(3-i)', '(7-8i)'] -> (((3-i) * ((1+8i) + (7-8i))) - -8i)
[429656] ['-8i', '(1+8i)', '(3-i)', '(9+8i)'] -> (((3-i) * ((9+8i) - (1+8i))) - -8i)
[429661] ['-8i', '(1+8i)', '3', '(4+5i)'] -> (-8i * (((1+8i) + 3) - (4+5i)))
[429666] ['-8i', '(1+8i)', '3', '6'] -> (6 * (3 + (-8i + (1+8i))))
[429668] ['-8i', '(1+8i)', '3', '7'] -> (3 * (7 + (-8i + (1+8i))))
[429671] ['-8i', '(1+8i)', '3', '(8-i)'] -> ((-8i * (1+8i)) * (3 / (8-i)))
[429673] ['-8i', '(1+8i)', '3', '(8+8i)'] -> (((8+8i) + (-8i * (1+8i))) / 3)
[429675] ['-8i', '(1+8i)', '3', '9'] -> (3 * (9 - (-8i + (1+8i))))
[429678] ['-8i', '(1+8i)', '(3+i)', '(4-i)'] -> ((-8i / (3+i)) * ((1+8i) - (4-i)))
[429680] ['-8i', '(1+8i)', '(3+i)', '(4+6i)'] -> (-8i * (((1+8i) + (3+i)) - (4+6i)))
[429689] ['-8i', '(1+8i)', '(3+i)', '(7-8i)'] -> (-8i + ((3+i) * ((1+8i) + (7-8i))))
[429697] ['-8i', '(1+8i)', '(3+2i)', '(4+7i)'] -> ((4+4i) * ((5-8i) + ((8+9i) / (1-2i))))
[429700] ['-8i', '(1+8i)', '(3+2i)', '(6-6i)'] -> ((6-6i) * ((3+2i) - (-8i + (1+8i))))
[429704] ['-8i', '(1+8i)', '(3+2i)', '(7-i)'] -> ((9-3i) - ((1-5i) * ((3+i) - (3+4i))))
[429705] ['-8i', '(1+8i)', '(3+2i)', '(7+6i)'] -> (((3+2i) * (-8i + (7+6i))) - (1+8i))
[429711] ['-8i', '(1+8i)', '(3+3i)', '(4+8i)'] -> (((4+4i) * (5-7i)) - ((1-2i) * (8+8i)))
[429713] ['-8i', '(1+8i)', '(3+3i)', '(5-4i)'] -> ((3+3i) * ((5-4i) - (-8i + (1+8i))))
[429730] ['-8i', '(1+8i)', '(3+3i)', '(9+7i)'] -> ((-8i * (1+8i)) * ((3+3i) / (9+7i)))
[429735] ['-8i', '(1+8i)', '(3+4i)', '(4+4i)'] -> (((4+4i) * ((3+4i) - (1+8i))) - -8i)
[429736] ['-8i', '(1+8i)', '(3+4i)', '(4+9i)'] -> (-8i * (((1+8i) + (3+4i)) - (4+9i)))
