[287665] ['(1-6i)', '(3-7i)', '6', '(8-4i)'] -> ((6 * (8-4i)) / ((3-7i) - (1-6i)))
[287839] ['(1-6i)', '(3-7i)', '(7-5i)', '(9-5i)'] -> (((3-7i) + (9-5i)) / ((1-6i) / (7-5i)))
[287924] ['(1-6i)', '(3-7i)', '(7+7i)', '(8+7i)'] -> (((3-7i) * (8+7i)) - ((1-6i) * (7+7i)))
[287934] ['(1-6i)', '(3-7i)', '(7+9i)', '(8+8i)'] -> (((1-6i) - (7+9i)) / ((3-7i) / (8+8i)))
[288121] ['(1-6i)', '(3-6i)', '(3-6i)', '(9+6i)'] -> ((4+4i) * ((2-3i) + ((3+7i) / (3+7i))))
[288142] ['(1-6i)', '(3-6i)', '(3-5i)', '(9+5i)'] -> (((3-6i) - (1-6i)) * ((3-5i) + (9+5i)))
[288145] ['(1-6i)', '(3-6i)', '(3-4i)', '3'] -> (((2-7i) + (4-3i)) / ((4-i) / (6+6i)))
[288163] ['(1-6i)', '(3-6i)', '(3-4i)', '(9+3i)'] -> (((1-6i) + (3-6i)) / ((3-4i) / (9+3i)))
[288164] ['(1-6i)', '(3-6i)', '(3-4i)', '(9+4i)'] -> (((3-6i) - (1-6i)) * ((3-4i) + (9+4i)))
[288176] ['(1-6i)', '(3-6i)', '(3-3i)', '(6+4i)'] -> ((3-3i) * ((6+4i) + ((1-6i) - (3-6i))))
[288181] ['(1-6i)', '(3-6i)', '(3-3i)', '(8-8i)'] -> ((3-3i) * ((8-8i) - ((1-6i) + (3-6i))))
[288183] ['(1-6i)', '(3-6i)', '(3-3i)', '(8+8i)'] -> (((4-3i) * (4+i)) - ((2-7i) - (7+i)))
[288185] ['(1-6i)', '(3-6i)', '(3-3i)', '(9+3i)'] -> (((3-6i) - (1-6i)) * ((3-3i) + (9+3i)))
[288198] ['(1-6i)', '(3-6i)', '(3-2i)', '6'] -> (((3-6i) * ((3-2i) - (1-6i))) - 6)
[288199] ['(1-6i)', '(3-6i)', '(3-2i)', '(6+4i)'] -> (((1-6i) - (3-6i)) + ((3-2i) * (6+4i)))
[288202] ['(1-6i)', '(3-6i)', '(3-2i)', '(9+2i)'] -> (((3-6i) - (1-6i)) * ((3-2i) + (9+2i)))
[288214] ['(1-6i)', '(3-6i)', '(3-i)', '(6+5i)'] -> (((1-6i) * ((3-i) - (3-6i))) - (6+5i))
[288220] ['(1-6i)', '(3-6i)', '(3-i)', '(9+i)'] -> (((3-6i) - (1-6i)) * ((3-i) + (9+i)))
[288221] ['(1-6i)', '(3-6i)', '(3-i)', '(9+2i)'] -> (((3-6i) / (3-i)) * ((9+2i) - (1-6i)))
[288229] ['(1-6i)', '(3-6i)', '3', '4'] -> (((3-6i) - (1-6i)) * (3 * 4))
[288236] ['(1-6i)', '(3-6i)', '3', '6'] -> (3 * (6 - ((1-6i) - (3-6i))))
[288239] ['(1-6i)', '(3-6i)', '3', '(6+8i)'] -> ((3-6i) + (3 * ((1-6i) + (6+8i))))
[288246] ['(1-6i)', '(3-6i)', '3', '(8+4i)'] -> (((6+7i) - (2-i)) / ((3+i) / (6-6i)))
[288250] ['(1-6i)', '(3-6i)', '3', '9'] -> (-3i * (((9+5i) / (7-2i)) - (1-7i)))
[288273] ['(1-6i)', '(3-6i)', '(3+i)', '(9-i)'] -> (((3-6i) - (1-6i)) * ((3+i) + (9-i)))
[288276] ['(1-6i)', '(3-6i)', '(3+2i)', '(4+6i)'] -> (((3-6i) * (3+2i)) - ((1-6i) - (4+6i)))
[288283] ['(1-6i)', '(3-6i)', '(3+2i)', '(6-4i)'] -> (((1-6i) - (3-6i)) + ((3+2i) * (6-4i)))
[288284] ['(1-6i)', '(3-6i)', '(3+2i)', '(6-3i)'] -> (((1-6i) + (3+2i)) * ((6-3i) - (3-6i)))
[288302] ['(1-6i)', '(3-6i)', '(3+2i)', '(9-2i)'] -> (((3-6i) - (1-6i)) * ((3+2i) + (9-2i)))
[288308] ['(1-6i)', '(3-6i)', '(3+3i)', '(5+5i)'] -> (((3-6i) * (5+5i)) - ((1-6i) * (3+3i)))
[288313] ['(1-6i)', '(3-6i)', '(3+3i)', '(6-4i)'] -> ((3+3i) * ((6-4i) + ((1-6i) - (3-6i))))
[288316] ['(1-6i)', '(3-6i)', '(3+3i)', '(6+9i)'] -> (((1-6i) * (3+3i)) - ((3-6i) - (6+9i)))
[288323] ['(1-6i)', '(3-6i)', '(3+3i)', '(8-8i)'] -> (((1-8i) - (1-4i)) * ((8+9i) - (8+3i)))
[288330] ['(1-6i)', '(3-6i)', '(3+3i)', '(9-3i)'] -> (((3-6i) - (1-6i)) * ((3+3i) + (9-3i)))
[288349] ['(1-6i)', '(3-6i)', '(3+4i)', '8'] -> (((3-6i) * (3+4i)) - ((1-6i) + 8))
[288351] ['(1-6i)', '(3-6i)', '(3+4i)', '(9-4i)'] -> (((3-6i) - (1-6i)) * ((3+4i) + (9-4i)))
[288363] ['(1-6i)', '(3-6i)', '(3+5i)', '(6-7i)'] -> (((1-6i) * (3+5i)) - ((3-6i) + (6-7i)))
[288366] ['(1-6i)', '(3-6i)', '(3+5i)', '(9-5i)'] -> (((3-6i) - (1-6i)) * ((3+5i) + (9-5i)))
