[18116] ['(1-7i)', '(1-i)', '(2-8i)', '(3-3i)'] -> ((3-3i) * (((2-8i) / (1-i)) - (1-7i)))
[18118] ['(1-7i)', '(1-i)', '(2-8i)', '3'] -> (3 * ((2-8i) - ((1-7i) * (1-i))))
[18134] ['(1-7i)', '(1-i)', '(2-8i)', '(5+3i)'] -> ((((1-7i) * (5+3i)) - (2-8i)) / (1-i))
[18140] ['(1-7i)', '(1-i)', '(2-8i)', '(6+6i)'] -> ((6+6i) * ((2-8i) - ((1-7i) - (1-i))))
[18167] ['(1-7i)', '(1-i)', '(2-7i)', '(5+2i)'] -> (((5+2i) * ((1-7i) / (1-i))) - (2-7i))
[18233] ['(1-7i)', '(1-i)', '(2-5i)', '(6-6i)'] -> ((6-6i) * (((1-7i) / (1-i)) - (2-5i)))
[18236] ['(1-7i)', '(1-i)', '(2-5i)', '6'] -> (((7-7i) - (7-3i)) * ((8+4i) - (8-2i)))
[18265] ['(1-7i)', '(1-i)', '(2-4i)', '(6-6i)'] -> ((6-6i) * ((2-4i) - ((1-7i) - (1-i))))
[18294] ['(1-7i)', '(1-i)', '(2-3i)', '(2+2i)'] -> (6 * (((6-7i) + (6+i)) - (8-6i)))
[18301] ['(1-7i)', '(1-i)', '(2-3i)', '(5+6i)'] -> (((1-i) * (8+9i)) - ((2-5i) - (9-6i)))
[18306] ['(1-7i)', '(1-i)', '(2-3i)', '(6+4i)'] -> ((6+4i) * ((1-i) + ((1-7i) / (2-3i))))
[18307] ['(1-7i)', '(1-i)', '(2-3i)', '(6+6i)'] -> ((6+6i) * ((1-7i) - ((1-i) * (2-3i))))
[18328] ['(1-7i)', '(1-i)', '(2-2i)', '(2+9i)'] -> ((2-2i) * ((2+9i) + ((1-7i) / (1-i))))
[18331] ['(1-7i)', '(1-i)', '(2-2i)', '(4-9i)'] -> ((2-2i) * ((1-7i) - ((1-i) * (4-9i))))
[18334] ['(1-7i)', '(1-i)', '(2-2i)', '(4+3i)'] -> ((2-2i) * (((1-i) * (4+3i)) - (1-7i)))
[18340] ['(1-7i)', '(1-i)', '(2-2i)', '(5-3i)'] -> (((1-i) + (2-2i)) * ((5-3i) - (1-7i)))
[18344] ['(1-7i)', '(1-i)', '(2-2i)', '(6-8i)'] -> (((3-9i) / (3+i)) * ((5-i) - (5-9i)))
[18351] ['(1-7i)', '(1-i)', '(2-2i)', '6'] -> ((2-2i) * (6 - ((1-7i) - (1-i))))
[18360] ['(1-7i)', '(1-i)', '(2-2i)', '(8-2i)'] -> ((2-2i) * ((8-2i) - ((1-7i) + (1-i))))
[18363] ['(1-7i)', '(1-i)', '(2-2i)', '(8+8i)'] -> (((1-7i) - (1-i)) / ((2-2i) / (8+8i)))
