[405354] ['-3i', '(4+4i)', '(6+6i)', '9'] -> ((4+4i) * (9 - (-3i + (6+6i))))
[405355] ['-3i', '(4+4i)', '(6+6i)', '(9+6i)'] -> ((4+4i) * ((9+6i) + (-3i - (6+6i))))
[405358] ['-3i', '(4+4i)', '(6+7i)', '(7+8i)'] -> ((-3i * (4+4i)) * ((7+8i) - (6+7i)))
[405367] ['-3i', '(4+4i)', '(6+7i)', '(9+i)'] -> ((4+4i) * ((9+i) - (-3i + (6+7i))))
[405369] ['-3i', '(4+4i)', '(6+7i)', '(9+7i)'] -> ((4+4i) * ((9+7i) + (-3i - (6+7i))))
[405370] ['-3i', '(4+4i)', '(6+8i)', '(7+i)'] -> ((-3i * (4+4i)) * ((6+8i) / (7+i)))
[405371] ['-3i', '(4+4i)', '(6+8i)', '(7+9i)'] -> ((-3i * (4+4i)) * ((7+9i) - (6+8i)))
[405379] ['-3i', '(4+4i)', '(6+8i)', '(9+2i)'] -> ((4+4i) * ((9+2i) - (-3i + (6+8i))))
[405380] ['-3i', '(4+4i)', '(6+8i)', '(9+8i)'] -> ((4+4i) * ((9+8i) + (-3i - (6+8i))))
[405382] ['-3i', '(4+4i)', '(6+9i)', '(7-6i)'] -> ((-3i * ((4+4i) - (7-6i))) - (6+9i))
[405388] ['-3i', '(4+4i)', '(6+9i)', '(9+3i)'] -> ((4+4i) * ((9+3i) - (-3i + (6+9i))))
[405390] ['-3i', '(4+4i)', '(6+9i)', '(9+9i)'] -> ((4+4i) * ((9+9i) + (-3i - (6+9i))))
[405396] ['-3i', '(4+4i)', '(7-9i)', '(8-8i)'] -> ((-3i * (4+4i)) * ((8-8i) - (7-9i)))
[405406] ['-3i', '(4+4i)', '(7-8i)', '(8-7i)'] -> (-6i * (((2-i) * 3) - (6-7i)))
[405425] ['-3i', '(4+4i)', '(7-7i)', '(8-6i)'] -> ((-3i * (4+4i)) * ((8-6i) - (7-7i)))
[405430] ['-3i', '(4+4i)', '(7-7i)', '(9+9i)'] -> ((-3i * ((4+4i) - (7-7i))) - (9+9i))
[405435] ['-3i', '(4+4i)', '(7-6i)', '(8-5i)'] -> ((-3i * (4+4i)) * ((8-5i) - (7-6i)))
[405443] ['-3i', '(4+4i)', '(7-5i)', '(7-3i)'] -> (((7-3i) * (-3i + (4+4i))) - (7-5i))
[405449] ['-3i', '(4+4i)', '(7-5i)', '(8-4i)'] -> (((1-5i) * (6+4i)) + ((2+2i) * (6+7i)))
[405462] ['-3i', '(4+4i)', '(7-4i)', '(8-9i)'] -> (((7-4i) * (-3i + (4+4i))) - (8-9i))
[405464] ['-3i', '(4+4i)', '(7-4i)', '(8-3i)'] -> ((-8i / (1-4i)) * ((6-6i) + (6+9i)))
[405473] ['-3i', '(4+4i)', '(7-3i)', '(8-2i)'] -> ((-3i * (4+4i)) * ((8-2i) - (7-3i)))
[405484] ['-3i', '(4+4i)', '(7-2i)', '(8-i)'] -> ((-3i * (4+4i)) * ((8-i) - (7-2i)))
[405492] ['-3i', '(4+4i)', '(7-2i)', '(9+5i)'] -> ((-3i * (4+4i)) / ((7-2i) / (9+5i)))
[405497] ['-3i', '(4+4i)', '(7-i)', '8'] -> ((-3i * (4+4i)) * (8 - (7-i)))
[405498] ['-3i', '(4+4i)', '(7-i)', '(8+6i)'] -> ((-3i * (4+4i)) / ((7-i) / (8+6i)))
[405506] ['-3i', '(4+4i)', '7', '(7+7i)'] -> ((-3i * (4+4i)) / (7 / (7+7i)))
[405509] ['-3i', '(4+4i)', '7', '(8+i)'] -> ((2-6i) - ((6+4i) * (5 - (8-i))))
[405518] ['-3i', '(4+4i)', '(7+i)', '8'] -> ((-6i + (3+4i)) + ((2-i) * (8+5i)))
[405520] ['-3i', '(4+4i)', '(7+i)', '(8+2i)'] -> ((-3i * (4+4i)) * ((8+2i) - (7+i)))
[405532] ['-3i', '(4+4i)', '(7+2i)', '(8+3i)'] -> ((-3i * (4+4i)) * ((8+3i) - (7+2i)))
[405549] ['-3i', '(4+4i)', '(7+3i)', '(8+4i)'] -> (((3-i) * (7-i)) - ((1-2i) - (5+8i)))
[405554] ['-3i', '(4+4i)', '(7+4i)', '(8-i)'] -> (((8-i) * ((7+4i) - (4+4i))) - -3i)
[405556] ['-3i', '(4+4i)', '(7+4i)', '(8+3i)'] -> ((-3i + (8+3i)) * ((7+4i) - (4+4i)))
[405557] ['-3i', '(4+4i)', '(7+4i)', '(8+5i)'] -> ((-3i * (4+4i)) * ((8+5i) - (7+4i)))
[405566] ['-3i', '(4+4i)', '(7+5i)', '(8+6i)'] -> ((-3i * (4+4i)) * ((8+6i) - (7+5i)))
[405574] ['-3i', '(4+4i)', '(7+6i)', '(8+7i)'] -> ((-3i * (4+4i)) * ((8+7i) - (7+6i)))
[405580] ['-3i', '(4+4i)', '(7+7i)', '8'] -> (8 * ((7+7i) + (-3i - (4+4i))))
[405582] ['-3i', '(4+4i)', '(7+7i)', '(8+8i)'] -> ((-3i * (4+4i)) * ((8+8i) - (7+7i)))
[405589] ['-3i', '(4+4i)', '(7+8i)', '(8+9i)'] -> ((-3i * (4+4i)) * ((8+9i) - (7+8i)))
[405593] ['-3i', '(4+4i)', '(7+9i)', '(8+i)'] -> ((-3i * (4+4i)) * ((7+9i) / (8+i)))
[405599] ['-3i', '(4+4i)', '(8-9i)', '(9-8i)'] -> ((-3i * (4+4i)) * ((9-8i) - (8-9i)))
[405604] ['-3i', '(4+4i)', '(8-8i)', '(9-9i)'] -> ((9-9i) * ((4+4i) - ((8-8i) / -3i)))
[405605] ['-3i', '(4+4i)', '(8-8i)', '(9-7i)'] -> ((-3i * (4+4i)) * ((9-7i) - (8-8i)))
[405607] ['-3i', '(4+4i)', '(8-8i)', '(9-3i)'] -> ((-3i * (8-8i)) + ((4+4i) * (9-3i)))
[405608] ['-3i', '(4+4i)', '(8-8i)', '(9+7i)'] -> (((8-8i) - ((4+4i) * (9+7i))) / -3i)
[405610] ['-3i', '(4+4i)', '(8-7i)', '(9-6i)'] -> ((-6i + (3+9i)) * ((6-5i) - (2-i)))
[405619] ['-3i', '(4+4i)', '(8-6i)', '(9-5i)'] -> ((-3i * (4+4i)) * ((9-5i) - (8-6i)))
[405624] ['-3i', '(4+4i)', '(8-5i)', '(9-4i)'] -> ((-3i * (4+4i)) * ((9-4i) - (8-5i)))
[405626] ['-3i', '(4+4i)', '(8-4i)', '(9-3i)'] -> (-6i * ((6-6i) - ((2-i) + (4-9i))))
[405633] ['-3i', '(4+4i)', '(8-3i)', '(9-2i)'] -> ((-3i * (4+4i)) * ((9-2i) - (8-3i)))
[405639] ['-3i', '(4+4i)', '(8-2i)', '(9-i)'] -> ((-3i * (4+4i)) * ((9-i) - (8-2i)))
[405644] ['-3i', '(4+4i)', '(8-i)', '9'] -> ((-3i * (4+4i)) * (9 - (8-i)))
[405645] ['-3i', '(4+4i)', '(8-i)', '(9+4i)'] -> (((8-i) * (-3i + (4+4i))) - (9+4i))
[405647] ['-3i', '(4+4i)', '(8-i)', '(9+7i)'] -> ((-3i * (4+4i)) / ((8-i) / (9+7i)))
[405650] ['-3i', '(4+4i)', '8', '(9-9i)'] -> ((8 - (4+4i)) / (-3i / (9-9i)))
[405654] ['-3i', '(4+4i)', '8', '(9+i)'] -> ((-3i * (4+4i)) * ((9+i) - 8))
[405659] ['-3i', '(4+4i)', '(8+i)', '(9+2i)'] -> (-8i * ((7+7i) - ((1-4i) + (6+8i))))
[405662] ['-3i', '(4+4i)', '(8+2i)', '(9+3i)'] -> ((-3i * (4+4i)) * ((9+3i) - (8+2i)))
[405668] ['-3i', '(4+4i)', '(8+3i)', '(9+4i)'] -> ((-3i * (4+4i)) * ((9+4i) - (8+3i)))
[405671] ['-3i', '(4+4i)', '(8+4i)', '(9+5i)'] -> ((-3i * (4+4i)) * ((9+5i) - (8+4i)))
[405673] ['-3i', '(4+4i)', '(8+5i)', '(9+6i)'] -> ((-3i * (4+4i)) * ((9+6i) - (8+5i)))
[405677] ['-3i', '(4+4i)', '(8+6i)', '(9+7i)'] -> ((-3i * (4+4i)) * ((9+7i) - (8+6i)))
[405681] ['-3i', '(4+4i)', '(8+7i)', '(9+8i)'] -> ((-3i * (4+4i)) * ((9+8i) - (8+7i)))
[405683] ['-3i', '(4+4i)', '(8+8i)', '(9+3i)'] -> ((8+8i) - ((9+3i) / (-3i / (4+4i))))
[405710] ['-3i', '(4+4i)', '9', '(9+9i)'] -> ((-3i * (4+4i)) / (9 / (9+9i)))
[405718] ['-3i', '(4+5i)', '(4+5i)', '(5+7i)'] -> ((-3i * (4+5i)) + ((4+5i) + (5+7i)))
[405727] ['-3i', '(4+5i)', '(4+5i)', '(8+2i)'] -> (-3i * (((4+5i) + (4+5i)) - (8+2i)))
[405738] ['-3i', '(4+5i)', '(4+6i)', '(5+6i)'] -> ((-3i * (4+5i)) + ((4+6i) + (5+6i)))
[405749] ['-3i', '(4+5i)', '(4+6i)', '(8+3i)'] -> (-3i * (((4+5i) + (4+6i)) - (8+3i)))
[405755] ['-3i', '(4+5i)', '(4+7i)', '(5+5i)'] -> ((-3i * (4+5i)) + ((4+7i) + (5+5i)))
[405764] ['-3i', '(4+5i)', '(4+7i)', '(7+2i)'] -> ((-3i + (4+7i)) * ((7+2i) - (4+5i)))
[405767] ['-3i', '(4+5i)', '(4+7i)', '(8+4i)'] -> (-3i * (((4+5i) + (4+7i)) - (8+4i)))
[405775] ['-3i', '(4+5i)', '(4+8i)', '(5+4i)'] -> ((-3i * (4+5i)) + ((4+8i) + (5+4i)))
[405781] ['-3i', '(4+5i)', '(4+8i)', '(8+5i)'] -> (-3i * (((4+5i) + (4+8i)) - (8+5i)))
[405786] ['-3i', '(4+5i)', '(4+9i)', '(5+3i)'] -> ((-3i * (4+5i)) + ((4+9i) + (5+3i)))
[405791] ['-3i', '(4+5i)', '(4+9i)', '(7-7i)'] -> ((-3i * (4+9i)) + ((4+5i) - (7-7i)))
[405796] ['-3i', '(4+5i)', '(4+9i)', '(8+6i)'] -> (-3i * (((4+5i) + (4+9i)) - (8+6i)))
[405814] ['-3i', '(4+5i)', '(5-9i)', '(9+4i)'] -> (-3i * ((9+4i) - ((4+5i) + (5-9i))))
[405839] ['-3i', '(4+5i)', '(5-8i)', '(9+5i)'] -> (-3i * ((9+5i) - ((4+5i) + (5-8i))))
[405862] ['-3i', '(4+5i)', '(5-7i)', '(9+6i)'] -> (-3i * ((9+6i) - ((4+5i) + (5-7i))))
[405878] ['-3i', '(4+5i)', '(5-6i)', '(9-9i)'] -> (-3i * (((4+5i) + (5-6i)) - (9-9i)))
[405881] ['-3i', '(4+5i)', '(5-6i)', '(9+3i)'] -> ((-3i * ((4+5i) - (5-6i))) - (9+3i))
[405883] ['-3i', '(4+5i)', '(5-6i)', '(9+7i)'] -> (-3i * ((9+7i) - ((4+5i) + (5-6i))))
[405888] ['-3i', '(4+5i)', '(5-5i)', '(6+3i)'] -> ((-3i * ((4+5i) - (5-5i))) - (6+3i))
[405895] ['-3i', '(4+5i)', '(5-5i)', '(9-8i)'] -> (((1-5i) * (2+3i)) + ((2+6i) + (5+i)))
[405899] ['-3i', '(4+5i)', '(5-5i)', '(9+8i)'] -> (-3i * ((9+8i) - ((4+5i) + (5-5i))))
[405910] ['-3i', '(4+5i)', '(5-4i)', '8'] -> ((-3i * (4+5i)) / ((5-4i) / 8))
[405912] ['-3i', '(4+5i)', '(5-4i)', '(9-7i)'] -> (-6i * ((4+4i) - ((8-4i) / (2-i))))
[405914] ['-3i', '(4+5i)', '(5-4i)', '(9+9i)'] -> (-3i * ((9+9i) - ((4+5i) + (5-4i))))
[405926] ['-3i', '(4+5i)', '(5-3i)', '(9-6i)'] -> (-3i * (((4+5i) + (5-3i)) - (9-6i)))
[405948] ['-3i', '(4+5i)', '(5-2i)', '(9-5i)'] -> (-3i * (((4+5i) + (5-2i)) - (9-5i)))
[405967] ['-3i', '(4+5i)', '(5-i)', '(9-4i)'] -> (-3i * (((4+5i) + (5-i)) - (9-4i)))
[405984] ['-3i', '(4+5i)', '(5+i)', '(9-2i)'] -> (((2-6i) * (5+8i)) - ((5+i) * (6-4i)))
[406000] ['-3i', '(4+5i)', '(5+2i)', '(9-i)'] -> (-3i * (((4+5i) + (5+2i)) - (9-i)))
[406004] ['-3i', '(4+5i)', '(5+3i)', '(6+9i)'] -> (((6+9i) * ((5+3i) - (4+5i))) - -3i)
