[4534] ['(3-4i)', '(3-i)', '(5+4i)', '(7+5i)'] -> (((3-4i) - (5+4i)) + ((3-i) * (7+5i)))
[4541] ['(3-4i)', '(3-i)', '(5+4i)', '(9-3i)'] -> (((3-4i) + (5+4i)) / ((3-i) / (9-3i)))
[4554] ['(3-4i)', '(3-i)', '(5+5i)', '(8-4i)'] -> (((3-4i) * (5+5i)) - ((3-i) + (8-4i)))
[4574] ['(3-4i)', '(3-i)', '(5+7i)', '(5+9i)'] -> (((3-i) * ((3-4i) + (5+9i))) - (5+7i))
[4590] ['(3-4i)', '(3-i)', '(5+8i)', '(6-6i)'] -> (((3-4i) + (5+8i)) / ((3-i) / (6-6i)))
[4640] ['(3-4i)', '(3-i)', '(6-8i)', '(9+i)'] -> (((3-i) + (9+i)) / ((3-4i) / (6-8i)))
[4644] ['(3-4i)', '(3-i)', '(6-7i)', '(6+3i)'] -> (((3-i) * (6+3i)) - ((3-4i) - (6-7i)))
[4656] ['(3-4i)', '(3-i)', '(6-6i)', '(6-6i)'] -> (((6-6i) * (6-6i)) / ((3-4i) - (3-i)))
[4660] ['(3-4i)', '(3-i)', '(6-6i)', '(8-3i)'] -> ((6-6i) * ((8-3i) - ((3-4i) + (3-i))))
[4710] ['(3-4i)', '(3-i)', '(6-3i)', '(8-3i)'] -> (((8-3i) * ((6-3i) - (3-4i))) - (3-i))
[4711] ['(3-4i)', '(3-i)', '(6-3i)', '(8+3i)'] -> (((7+5i) + (9-5i)) / ((6-2i) / (9-3i)))
[4730] ['(3-4i)', '(3-i)', '(6-2i)', '(9+4i)'] -> (((3-4i) + (9+4i)) / ((3-i) / (6-2i)))
[4743] ['(3-4i)', '(3-i)', '(6-i)', '(9+7i)'] -> ((6-i) + ((9+7i) * ((3-4i) / (3-i))))
[4745] ['(3-4i)', '(3-i)', '6', '(6+6i)'] -> (((3-4i) * (6+6i)) - ((3-i) * 6))
[4746] ['(3-4i)', '(3-i)', '6', '(6+7i)'] -> (((3-i) * ((3-4i) + (6+7i))) - 6)
[4749] ['(3-4i)', '(3-i)', '6', '(7-i)'] -> (6 * ((3-i) + ((7-i) / (3-4i))))
[4761] ['(3-4i)', '(3-i)', '6', '9'] -> (((3-4i) + 9) / ((3-i) / 6))
[4762] ['(3-4i)', '(3-i)', '6', '(9+2i)'] -> (((3-i) * 6) - ((3-4i) - (9+2i)))
[4777] ['(3-4i)', '(3-i)', '(6+i)', '(8-i)'] -> (((3-i) * (6+i)) - ((3-4i) - (8-i)))
[4779] ['(3-4i)', '(3-i)', '(6+i)', '8'] -> (((3-4i) + (6+i)) / ((3-i) / 8))
[4795] ['(3-4i)', '(3-i)', '(6+2i)', '(7-4i)'] -> (((3-i) * (6+2i)) - ((3-4i) - (7-4i)))
[4809] ['(3-4i)', '(3-i)', '(6+3i)', '7'] -> (((4-9i) - (4-5i)) * ((5+4i) - (5-2i)))
[4842] ['(3-4i)', '(3-i)', '(6+5i)', '(9+6i)'] -> (((3-4i) * ((6+5i) - (3-i))) - (9+6i))
[4844] ['(3-4i)', '(3-i)', '(6+6i)', '(6+6i)'] -> (((6+6i) * (6+6i)) / ((3-i) - (3-4i)))
[4845] ['(3-4i)', '(3-i)', '(6+6i)', '(7-i)'] -> ((6+6i) * ((3-i) - ((7-i) / (3-4i))))
[4850] ['(3-4i)', '(3-i)', '(6+6i)', '(8-7i)'] -> ((6+6i) * ((8-7i) - ((3-4i) + (3-i))))
[4865] ['(3-4i)', '(3-i)', '(6+7i)', '(7+6i)'] -> (((3-i) * (8-2i)) - ((4-8i) - (6+6i)))
[4879] ['(3-4i)', '(3-i)', '(6+8i)', '(7+3i)'] -> (((3-i) * ((3-4i) + (6+8i))) - (7+3i))
[4883] ['(3-4i)', '(3-i)', '(6+8i)', '(9-5i)'] -> (((7-5i) - (7-3i)) * ((9+4i) - (9-8i)))
[4898] ['(3-4i)', '(3-i)', '(6+9i)', '(8+6i)'] -> (((3-i) * ((3-4i) + (6+9i))) - (8+6i))
[4920] ['(3-4i)', '(3-i)', '(7-8i)', '(8+3i)'] -> (((3-4i) * ((8+3i) - (3-i))) - (7-8i))
[4929] ['(3-4i)', '(3-i)', '(7-7i)', '(7+5i)'] -> (((3-i) * ((3-4i) + (7+5i))) - (7-7i))
[4986] ['(3-4i)', '(3-i)', '(7-2i)', '(8+9i)'] -> (((3-i) * (7-2i)) - ((3-4i) - (8+9i)))
[4992] ['(3-4i)', '(3-i)', '(7-i)', '(7+2i)'] -> (((3-i) * (7+2i)) + ((7-i) / (3-4i)))
[4993] ['(3-4i)', '(3-i)', '(7-i)', '(7+3i)'] -> ((7-i) * ((3-i) + ((7+3i) / (3-4i))))
[4994] ['(3-4i)', '(3-i)', '(7-i)', '(7+6i)'] -> (((3-i) * (7-i)) - ((3-4i) - (7+6i)))
[5006] ['(3-4i)', '(3-i)', '7', '(8+4i)'] -> (((3-4i) - 7) + ((3-i) * (8+4i)))
[5030] ['(3-4i)', '(3-i)', '(7+3i)', '(8+6i)'] -> (((7-3i) - (7-i)) * ((8+6i) - (8-6i)))
[5037] ['(3-4i)', '(3-i)', '(7+4i)', '(8-i)'] -> (((4-8i) - (4-4i)) * ((7-3i) - (7-9i)))
[5052] ['(3-4i)', '(3-i)', '(7+6i)', '(8-4i)'] -> (((3-i) * ((3-4i) + (7+6i))) - (8-4i))
[5058] ['(3-4i)', '(3-i)', '(7+7i)', '(9-i)'] -> (((3-i) * ((3-4i) + (7+7i))) - (9-i))
[5066] ['(3-4i)', '(3-i)', '(7+9i)', '(8-4i)'] -> ((8-4i) * ((3-i) + ((7+9i) / (3-4i))))
[5080] ['(3-4i)', '(3-i)', '(8-8i)', '(9-i)'] -> (((9-i) - (3-4i)) / ((3-i) / (8-8i)))
[5085] ['(3-4i)', '(3-i)', '(8-7i)', '(9+2i)'] -> (((4-8i) - (4-4i)) * ((7+3i) - (7-3i)))
[5091] ['(3-4i)', '(3-i)', '(8-4i)', '(9-5i)'] -> (((3-i) + (9-5i)) / ((3-4i) / (8-4i)))
[5111] ['(3-4i)', '(3-i)', '8', '(9-5i)'] -> (8 * ((9-5i) - ((3-4i) + (3-i))))
[5125] ['(3-4i)', '(3-i)', '(8+3i)', '(8+5i)'] -> (((2-5i) - (2-3i)) * ((7+7i) - (7-5i)))
[5145] ['(3-4i)', '(3-i)', '(8+6i)', '(9+6i)'] -> (((3-4i) - (9+6i)) + ((3-i) * (8+6i)))
[5177] ['(3-4i)', '(3-i)', '(9-7i)', '(9-2i)'] -> ((3-i) + ((9-2i) / ((3-4i) / (9-7i))))
[5186] ['(3-4i)', '(3-i)', '(9-4i)', '(9+3i)'] -> (((3-4i) - (9-4i)) + ((3-i) * (9+3i)))
[5187] ['(3-4i)', '(3-i)', '(9-4i)', '(9+5i)'] -> (((3-4i) * (9+5i)) - ((3-i) * (9-4i)))
[5189] ['(3-4i)', '(3-i)', '(9-4i)', '(9+9i)'] -> (((3-4i) + (3-i)) + ((9-4i) + (9+9i)))
[5192] ['(3-4i)', '(3-i)', '(9-3i)', '(9+8i)'] -> ((2-3i) - ((2-5i) * (7 - (8+4i))))
[5196] ['(3-4i)', '(3-i)', '(9-2i)', '(9+7i)'] -> (((3-4i) + (3-i)) + ((9-2i) + (9+7i)))
[5197] ['(3-4i)', '(3-i)', '(9-i)', '(9+6i)'] -> (((3-4i) + (3-i)) + ((9-i) + (9+6i)))
[5199] ['(3-4i)', '(3-i)', '9', '(9+5i)'] -> (((1-i) - (1+i)) * ((9+6i) - (9-6i)))
[5203] ['(3-4i)', '(3-i)', '(9+i)', '(9+4i)'] -> (((3-4i) + (3-i)) + ((9+i) + (9+4i)))
[5205] ['(3-4i)', '(3-i)', '(9+2i)', '(9+3i)'] -> (((7-3i) - 7) * ((8+6i) - (8-2i)))
[5211] ['(3-4i)', '3', '3', '(3+3i)'] -> (((7-9i) * ((9-i) - (7-3i))) - (8-4i))
[5214] ['(3-4i)', '3', '3', '(4+4i)'] -> (((6-8i) - (6+4i)) * ((8-7i) - (8-9i)))
[5219] ['(3-4i)', '3', '3', '(5+4i)'] -> (((3-4i) * 3) + (3 * (5+4i)))
[5220] ['(3-4i)', '3', '3', '(6+4i)'] -> ((3 * ((3-4i) + (6+4i))) - 3)
[5225] ['(3-4i)', '3', '3', '(7-4i)'] -> ((3 + 3) * ((7-4i) - (3-4i)))
[5226] ['(3-4i)', '3', '3', '(7-i)'] -> ((2-3i) - ((2-5i) * ((7+3i) - (8+7i))))
[5229] ['(3-4i)', '3', '3', '(8-4i)'] -> (3 * ((8-4i) - ((3-4i) - 3)))
[5230] ['(3-4i)', '3', '3', '(8+4i)'] -> (((6-2i) * (7-i)) - ((4-5i) * 4))
[5237] ['(3-4i)', '3', '(3+i)', '(4+4i)'] -> ((4+4i) * ((3+i) + ((3-4i) - 3)))
[5238] ['(3-4i)', '3', '(3+i)', '(5-9i)'] -> (3 * (((3-4i) * (3+i)) - (5-9i)))
[5239] ['(3-4i)', '3', '(3+i)', '(6+i)'] -> ((4-5i) - ((7+6i) * (4 - (6-i))))
[5240] ['(3-4i)', '3', '(3+i)', '(6+9i)'] -> ((8-3i) + ((9+5i) * ((4-8i) / (4-4i))))
[5243] ['(3-4i)', '3', '(3+i)', '(8-5i)'] -> (3 * ((8-5i) - ((3-4i) - (3+i))))
[5244] ['(3-4i)', '3', '(3+i)', '(8+5i)'] -> (3 * ((8+5i) + ((3-4i) - (3+i))))
[5245] ['(3-4i)', '3', '(3+i)', '(8+9i)'] -> (((3-4i) * (3+i)) + (3 + (8+9i)))
[5249] ['(3-4i)', '3', '(3+2i)', '(4+6i)'] -> (((2-3i) * (7+7i)) - ((2-5i) + (9-2i)))
[5252] ['(3-4i)', '3', '(3+2i)', '(6+6i)'] -> ((6+6i) + (3 * ((3-4i) + (3+2i))))
[5256] ['(3-4i)', '3', '(3+2i)', '(8-6i)'] -> (3 * ((8-6i) - ((3-4i) - (3+2i))))
[5257] ['(3-4i)', '3', '(3+2i)', '(8-2i)'] -> ((3 * (8-2i)) - ((3-4i) - (3+2i)))
[5260] ['(3-4i)', '3', '(3+2i)', '(8+2i)'] -> (((4-8i) - (4-4i)) * ((8+7i) - (8+i)))
[5261] ['(3-4i)', '3', '(3+2i)', '(8+6i)'] -> ((2-8i) - ((1-i) * ((2-9i) - (9+6i))))
[5263] ['(3-4i)', '3', '(3+2i)', '(9-6i)'] -> (3 * (((3-4i) * (3+2i)) - (9-6i)))
[5268] ['(3-4i)', '3', '(3+3i)', '(4-8i)'] -> ((3+3i) * ((4-8i) - ((3-4i) - 3)))
[5269] ['(3-4i)', '3', '(3+3i)', '4'] -> ((3+3i) * (4 + ((3-4i) - 3)))
[5270] ['(3-4i)', '3', '(3+3i)', '(4+3i)'] -> ((3+3i) + (3 * ((3-4i) + (4+3i))))
[5274] ['(3-4i)', '3', '(3+3i)', '(5-8i)'] -> (((2-3i) * ((9+i) - (2-5i))) - (8-9i))
[5283] ['(3-4i)', '3', '(3+3i)', '(6+5i)'] -> ((3 * ((3-4i) + (6+5i))) - (3+3i))
[5284] ['(3-4i)', '3', '(3+3i)', '(6+6i)'] -> (((7-3i) - 7) * ((9+i) - (9-7i)))
[5292] ['(3-4i)', '3', '(3+3i)', '(8-7i)'] -> (((3-6i) * (8+8i)) - ((3-9i) * (4+4i)))
[5298] ['(3-4i)', '3', '(3+3i)', '(8+7i)'] -> ((9-5i) + ((8+6i) * ((4-8i) / (4-4i))))
[5299] ['(3-4i)', '3', '(3+3i)', '(9-8i)'] -> (((3-4i) + (9-8i)) / (3 / (3+3i)))
[5310] ['(3-4i)', '3', '(4-9i)', '(7+5i)'] -> (3 * ((7+5i) - ((3-4i) - (4-9i))))
[5313] ['(3-4i)', '3', '(4-9i)', '(9-5i)'] -> (((4-8i) - (4-4i)) * ((9-2i) - (9-8i)))
[5317] ['(3-4i)', '3', '(4-8i)', '(5+4i)'] -> (((3-4i) * (5+4i)) - (3 + (4-8i)))
[5323] ['(3-4i)', '3', '(4-8i)', '(7+4i)'] -> (3 * ((7+4i) - ((3-4i) - (4-8i))))
[5327] ['(3-4i)', '3', '(4-8i)', '(9-4i)'] -> (3 * ((9-4i) + ((3-4i) - (4-8i))))
[5333] ['(3-4i)', '3', '(4-7i)', '(7+3i)'] -> (3 * ((7+3i) - ((3-4i) - (4-7i))))
[5335] ['(3-4i)', '3', '(4-7i)', '(9-3i)'] -> (3 * ((9-3i) + ((3-4i) - (4-7i))))
[5342] ['(3-4i)', '3', '(4-6i)', '(6-6i)'] -> ((6-6i) * (((3-4i) + 3) - (4-6i)))
[5350] ['(3-4i)', '3', '(4-6i)', '(7+2i)'] -> (((2-5i) - (2-3i)) * ((9+3i) - (9-9i)))
[5355] ['(3-4i)', '3', '(4-6i)', '(9-2i)'] -> (3 * ((9-2i) + ((3-4i) - (4-6i))))
[5358] ['(3-4i)', '3', '(4-5i)', '(4+4i)'] -> ((3 * (4+4i)) * ((4-5i) - (3-4i)))
[5365] ['(3-4i)', '3', '(4-5i)', '(7+i)'] -> (((3-9i) - (3-6i)) * ((5-i) - (5-9i)))
[5368] ['(3-4i)', '3', '(4-5i)', '(8-8i)'] -> ((3 * (8-8i)) / ((4-5i) - (3-4i)))
[5370] ['(3-4i)', '3', '(4-5i)', '(9-i)'] -> (3 * ((9-i) + ((3-4i) - (4-5i))))
[5371] ['(3-4i)', '3', '(4-4i)', '(4-3i)'] -> ((3 * (4-4i)) * ((4-3i) - (3-4i)))
[5380] ['(3-4i)', '3', '(4-4i)', '6'] -> (6 * ((5-5i) + ((4-2i) - (5-7i))))
[5383] ['(3-4i)', '3', '(4-4i)', '(7-i)'] -> (((4-4i) * (7-i)) / ((3-4i) / 3))
[5384] ['(3-4i)', '3', '(4-4i)', '7'] -> (((3-i) * (4+i)) + ((4-7i) + (7+8i)))
[5387] ['(3-4i)', '3', '(4-4i)', '(7+4i)'] -> (((3-4i) * ((7+4i) - 3)) - (4-4i))
[5396] ['(3-4i)', '3', '(4-4i)', '(9-i)'] -> ((4-4i) * ((9-i) - ((3-4i) + 3)))
[5397] ['(3-4i)', '3', '(4-4i)', '9'] -> (3 * (9 + ((3-4i) - (4-4i))))
[5413] ['(3-4i)', '3', '(4-3i)', '(7-i)'] -> ((2-2i) * (((2-i) * (3+2i)) - (2-5i)))
[5421] ['(3-4i)', '3', '(4-3i)', '(8+8i)'] -> (((2-9i) - (2-i)) / ((1-i) / (3+3i)))
[5426] ['(3-4i)', '3', '(4-3i)', '(9+i)'] -> (((4-9i) + (4-5i)) + ((7+7i) + (9+7i)))
[5438] ['(3-4i)', '3', '(4-2i)', '(6+6i)'] -> ((1-i) * ((7-8i) - ((2-9i) * (2-i))))
[5443] ['(3-4i)', '3', '(4-2i)', '(7-2i)'] -> (3 * ((7-2i) - ((3-4i) - (4-2i))))
[5448] ['(3-4i)', '3', '(4-2i)', '(8-4i)'] -> (((4-2i) * (8-4i)) / ((3-4i) / 3))
[5456] ['(3-4i)', '3', '(4-2i)', '(9+2i)'] -> (3 * ((9+2i) + ((3-4i) - (4-2i))))
[5460] ['(3-4i)', '3', '(4-i)', '(4+2i)'] -> (((3-6i) * ((5-5i) - (3-9i))) - 6)
[5473] ['(3-4i)', '3', '(4-i)', '(7-3i)'] -> (3 * ((7-3i) - ((3-4i) - (4-i))))
[5482] ['(3-4i)', '3', '(4-i)', '(9+3i)'] -> (3 * ((9+3i) + ((3-4i) - (4-i))))
[5485] ['(3-4i)', '3', '(4-i)', '(9+7i)'] -> (((3-4i) + (9+7i)) + (3 * (4-i)))
[5490] ['(3-4i)', '3', '4', '(5-4i)'] -> ((3 * 4) * ((5-4i) - (3-4i)))
[5494] ['(3-4i)', '3', '4', '(6-8i)'] -> (((3-6i) * ((8-i) - (5-4i))) - (3-9i))
[5495] ['(3-4i)', '3', '4', '(6-4i)'] -> ((2-2i) + (2 * ((2-5i) + (9+6i))))
[5497] ['(3-4i)', '3', '4', '(6-i)'] -> ((4 * (6-i)) - ((3-4i) - 3))
[5498] ['(3-4i)', '3', '4', '(6+i)'] -> (((4-5i) + 4) + ((7+5i) + 9))
[5501] ['(3-4i)', '3', '4', '(6+4i)'] -> (4 * ((6+4i) + ((3-4i) - 3)))
[5502] ['(3-4i)', '3', '4', '(7-4i)'] -> (3 * ((7-4i) - ((3-4i) - 4)))
[5528] ['(3-4i)', '3', '(4+i)', '(7-5i)'] -> (3 * ((7-5i) - ((3-4i) - (4+i))))
[5545] ['(3-4i)', '3', '(4+i)', '(9-8i)'] -> (((3-4i) + (9-8i)) * ((4+i) - 3))
[5548] ['(3-4i)', '3', '(4+i)', '(9+i)'] -> (((3-4i) + (9+i)) + (3 * (4+i)))
[5550] ['(3-4i)', '3', '(4+i)', '(9+5i)'] -> (3 * ((9+5i) + ((3-4i) - (4+i))))
[5565] ['(3-4i)', '3', '(4+2i)', '(7-6i)'] -> (((2-5i) * (2+2i)) + ((2-2i) + (8+8i)))
[5571] ['(3-4i)', '3', '(4+2i)', '(8-4i)'] -> (((4+2i) * ((3-4i) + 3)) - (8-4i))
[5577] ['(3-4i)', '3', '(4+2i)', '(9-2i)'] -> (((3-4i) + (9-2i)) + (3 * (4+2i)))
[5579] ['(3-4i)', '3', '(4+2i)', '(9+6i)'] -> (3 * ((9+6i) + ((3-4i) - (4+2i))))
[5599] ['(3-4i)', '3', '(4+3i)', '(7-7i)'] -> (3 * ((7-7i) - ((3-4i) - (4+3i))))
[5614] ['(3-4i)', '3', '(4+3i)', '(9+7i)'] -> (3 * ((9+7i) + ((3-4i) - (4+3i))))
[5616] ['(3-4i)', '3', '(4+4i)', '(6-9i)'] -> ((4+4i) * (((3-4i) * 3) - (6-9i)))
[5617] ['(3-4i)', '3', '(4+4i)', '(6-5i)'] -> (((4-9i) - (4-5i)) * ((9+2i) - (9-4i)))
[5619] ['(3-4i)', '3', '(4+4i)', '6'] -> (6 * ((4+4i) + ((3-4i) - 3)))
[5621] ['(3-4i)', '3', '(4+4i)', '(7-8i)'] -> (3 * ((7-8i) - ((3-4i) - (4+4i))))
[5624] ['(3-4i)', '3', '(4+4i)', '(7-4i)'] -> (((4-9i) - (4-5i)) * ((9+3i) - (9-3i)))
[5630] ['(3-4i)', '3', '(4+4i)', '(9-8i)'] -> (8 + ((8+4i) / ((6-2i) / (8-8i))))
[5632] ['(3-4i)', '3', '(4+4i)', '(9-7i)'] -> ((4+4i) * ((9-7i) - ((3-4i) + 3)))
[5634] ['(3-4i)', '3', '(4+4i)', '(9+8i)'] -> (3 * ((9+8i) + ((3-4i) - (4+4i))))
[5636] ['(3-4i)', '3', '(4+5i)', '(5-i)'] -> (((3-4i) * (4+5i)) - (3 + (5-i)))
[5642] ['(3-4i)', '3', '(4+5i)', '(7-9i)'] -> (3 * ((7-9i) - ((3-4i) - (4+5i))))
[5654] ['(3-4i)', '3', '(4+5i)', '(9+9i)'] -> (3 * ((9+9i) + ((3-4i) - (4+5i))))
[5672] ['(3-4i)', '3', '(4+6i)', '(9+2i)'] -> (((3-4i) * (4+6i)) - (3 + (9+2i)))
[5710] ['(3-4i)', '3', '(5-9i)', '(6+5i)'] -> (3 * ((6+5i) - ((3-4i) - (5-9i))))
[5721] ['(3-4i)', '3', '(5-9i)', '(9+3i)'] -> (((3-4i) * (9+3i)) - (3 * (5-9i)))
[5730] ['(3-4i)', '3', '(5-8i)', '(6+4i)'] -> ((3-i) - ((5-i) * ((4-7i) - (8-6i))))
[5737] ['(3-4i)', '3', '(5-8i)', '(9+9i)'] -> ((4-4i) - (4 * ((4-9i) - (9-8i))))
[5744] ['(3-4i)', '3', '(5-7i)', '(6+3i)'] -> (3 * ((6+3i) - ((3-4i) - (5-7i))))
[5758] ['(3-4i)', '3', '(5-6i)', '(6+2i)'] -> ((3-9i) - ((7+3i) * ((3-6i) - (6-6i))))
[5767] ['(3-4i)', '3', '(5-5i)', '(6+i)'] -> (3 * ((6+i) - ((3-4i) - (5-5i))))
[5789] ['(3-4i)', '3', '(5-4i)', '6'] -> (3 * (6 - ((3-4i) - (5-4i))))
[5802] ['(3-4i)', '3', '(5-4i)', '9'] -> ((3 + 9) * ((5-4i) - (3-4i)))
[5811] ['(3-4i)', '3', '(5-3i)', '(6-i)'] -> (3 * ((6-i) - ((3-4i) - (5-3i))))
[5832] ['(3-4i)', '3', '(5-2i)', '(6-2i)'] -> ((2-2i) * ((7+9i) + ((2-5i) - (3-2i))))
[5845] ['(3-4i)', '3', '(5-i)', '(6-3i)'] -> (3 * ((6-3i) - ((3-4i) - (5-i))))
[5847] ['(3-4i)', '3', '(5-i)', '(6+7i)'] -> (((3-4i) + (6+7i)) + (3 * (5-i)))
[5866] ['(3-4i)', '3', '5', '(6+4i)'] -> (((3-4i) + (6+4i)) + (3 * 5))
[5877] ['(3-4i)', '3', '5', '(9-3i)'] -> ((9-3i) * (3 - ((3-4i) / 5)))
[5879] ['(3-4i)', '3', '5', '(9+3i)'] -> ((9+3i) * (3 - (5 / (3-4i))))
[5880] ['(3-4i)', '3', '5', '(9+4i)'] -> (((3-4i) + (9+4i)) * (5 - 3))
[5888] ['(3-4i)', '3', '(5+i)', '(6-5i)'] -> (3 * ((6-5i) - ((3-4i) - (5+i))))
[5890] ['(3-4i)', '3', '(5+i)', '(6+i)'] -> (((7-5i) - (7+3i)) * ((8-2i) - (8-5i)))
[5908] ['(3-4i)', '3', '(5+2i)', '(6-6i)'] -> (((1-7i) * ((2-i) - (1-5i))) - (5-3i))
[5911] ['(3-4i)', '3', '(5+2i)', '(6-2i)'] -> ((7-i) - ((2-5i) * ((2-2i) - (3+i))))
[5922] ['(3-4i)', '3', '(5+3i)', '(6-7i)'] -> (3 * ((6-7i) - ((3-4i) - (5+3i))))
[5923] ['(3-4i)', '3', '(5+3i)', '(6-5i)'] -> (((3-4i) + (6-5i)) + (3 * (5+3i)))
[5926] ['(3-4i)', '3', '(5+3i)', '(6+5i)'] -> (((3-4i) * ((6+5i) - 3)) - (5+3i))
[5938] ['(3-4i)', '3', '(5+4i)', '6'] -> (((3-4i) + (5+4i)) * (6 - 3))
[5952] ['(3-4i)', '3', '(5+4i)', '9'] -> (((3-4i) + (5+4i)) / (3 / 9))
[5955] ['(3-4i)', '3', '(5+5i)', '(6-9i)'] -> (3 * ((6-9i) - ((3-4i) - (5+5i))))
[5960] ['(3-4i)', '3', '(5+5i)', '(8-5i)'] -> (((3-4i) * (5+5i)) - (3 + (8-5i)))
[6020] ['(3-4i)', '3', '(6-9i)', '(7+i)'] -> ((3 * ((3-4i) + (7+i))) - (6-9i))
[6038] ['(3-4i)', '3', '(6-8i)', '6'] -> (3 * (6 + ((6-8i) / (3-4i))))
[6047] ['(3-4i)', '3', '(6-8i)', '9'] -> ((3 + 9) / ((3-4i) / (6-8i)))
[6053] ['(3-4i)', '3', '(6-7i)', '(7+i)'] -> ((3 * (7+i)) - ((3-4i) - (6-7i)))
[6059] ['(3-4i)', '3', '(6-7i)', '(9-i)'] -> (((3-4i) - (6-7i)) + (3 * (9-i)))
[6065] ['(3-4i)', '3', '(6-6i)', '(7+2i)'] -> ((3 * ((3-4i) + (7+2i))) - (6-6i))
[6066] ['(3-4i)', '3', '(6-6i)', '(8-8i)'] -> ((2-2i) * ((5-8i) - ((2-5i) - (3+9i))))
[6069] ['(3-4i)', '3', '(6-6i)', '(8-2i)'] -> (((4-2i) + (5-7i)) + ((7+9i) + 8))
[6075] ['(3-4i)', '3', '(6-6i)', '(9+2i)'] -> (((9+2i) - (3-4i)) / (3 / (6-6i)))
[6102] ['(3-4i)', '3', '(6-4i)', '(9+8i)'] -> (((3-3i) * ((8-3i) - (3-7i))) - (3-3i))
[6104] ['(3-4i)', '3', '(6-3i)', '(7+3i)'] -> ((3 * ((3-4i) + (7+3i))) - (6-3i))
[6105] ['(3-4i)', '3', '(6-3i)', '(7+4i)'] -> ((6-3i) * (3 + ((7+4i) / (3-4i))))
[6113] ['(3-4i)', '3', '(6-3i)', '(9+5i)'] -> ((3 * (6-3i)) - ((3-4i) - (9+5i)))
[6115] ['(3-4i)', '3', '(6-2i)', '(6+6i)'] -> (((3-4i) * (6+6i)) - (3 * (6-2i)))
[6122] ['(3-4i)', '3', '(6-2i)', '(9+2i)'] -> ((3 * (6-2i)) - ((3-4i) - (9+2i)))
[6128] ['(3-4i)', '3', '(6-i)', '(6+9i)'] -> (((3-7i) - (3-3i)) * ((3+5i) - (3-i)))
[6131] ['(3-4i)', '3', '(6-i)', '(7-i)'] -> ((3 * (7-i)) - ((3-4i) - (6-i)))
[6138] ['(3-4i)', '3', '(6-i)', '(9-i)'] -> ((3 * (6-i)) - ((3-4i) - (9-i)))
[6139] ['(3-4i)', '3', '(6-i)', '(9+i)'] -> (((3-4i) - (6-i)) + (3 * (9+i)))
[6141] ['(3-4i)', '3', '6', '(7+4i)'] -> ((3 * ((3-4i) + (7+4i))) - 6)
[6143] ['(3-4i)', '3', '6', '(9+4i)'] -> (((9+2i) / ((3-i) / (7-7i))) - (4-7i))
[6152] ['(3-4i)', '3', '(6+i)', '(9-7i)'] -> (((3-9i) - (3-6i)) * ((8+3i) - (8-5i)))
[6156] ['(3-4i)', '3', '(6+2i)', '(7-2i)'] -> ((3 * (7-2i)) - ((3-4i) - (6+2i)))
[6164] ['(3-4i)', '3', '(6+2i)', '(9+2i)'] -> (((2-5i) - (2-2i)) * ((4+3i) - (4-5i)))
[6170] ['(3-4i)', '3', '(6+3i)', '(7+5i)'] -> ((3 * ((3-4i) + (7+5i))) - (6+3i))
[6177] ['(3-4i)', '3', '(6+3i)', '(9+9i)'] -> (((4-2i) * (9+i)) - ((5-7i) + (9-7i)))
[6183] ['(3-4i)', '3', '(6+4i)', '8'] -> (((3-7i) - (3+i)) / ((3-3i) / (9+9i)))
[6188] ['(3-4i)', '3', '(6+4i)', '(9+8i)'] -> ((4-4i) - ((2-2i) * ((2-5i) - (6+i))))
[6191] ['(3-4i)', '3', '(6+5i)', '(7-3i)'] -> ((3 * (7-3i)) - ((3-4i) - (6+5i)))
[6197] ['(3-4i)', '3', '(6+5i)', '(9+3i)'] -> (((3-4i) - (6+5i)) + (3 * (9+3i)))
[6198] ['(3-4i)', '3', '(6+5i)', '(9+7i)'] -> (((7-9i) - (7+3i)) * ((7+4i) - (7+2i)))
[6207] ['(3-4i)', '3', '(6+6i)', '(7+6i)'] -> ((3-3i) * ((4-6i) - ((3-7i) - (3+3i))))
[6210] ['(3-4i)', '3', '(6+6i)', '(8-6i)'] -> ((6+6i) * ((8-6i) - ((3-4i) + 3)))
[6214] ['(3-4i)', '3', '(6+6i)', '(8+8i)'] -> (((6+6i) * (8+8i)) / (3 - (3-4i)))
[6227] ['(3-4i)', '3', '(6+7i)', '(9+5i)'] -> (((3-4i) * 3) + ((6+7i) + (9+5i)))
[6231] ['(3-4i)', '3', '(6+8i)', '(7-4i)'] -> ((3 * (7-4i)) - ((3-4i) - (6+8i)))
[6240] ['(3-4i)', '3', '(6+9i)', '(7+7i)'] -> ((3 * ((3-4i) + (7+7i))) - (6+9i))
[6247] ['(3-4i)', '3', '(6+9i)', '(9+3i)'] -> (((2-5i) - (2-2i)) * ((4+7i) - (4-i)))
[6274] ['(3-4i)', '3', '(7-8i)', '(8+4i)'] -> (((3-4i) * ((8+4i) - 3)) - (7-8i))
[6283] ['(3-4i)', '3', '(7-8i)', '(9+9i)'] -> (((7-8i) - (3-4i)) / (3 / (9+9i)))
[6334] ['(3-4i)', '3', '(7-i)', '(7-i)'] -> (3 * ((7-i) + ((7-i) / (3-4i))))
[6341] ['(3-4i)', '3', '(7-i)', '(8+8i)'] -> (((3-4i) * 3) / ((7-i) / (8+8i)))
