[69800] ['(1-i)', '(3-3i)', '(3+3i)', '(5+5i)'] -> (((3-3i) * (5+5i)) - ((1-i) * (3+3i)))
[69806] ['(1-i)', '(3-3i)', '(3+3i)', '(6+8i)'] -> ((3-3i) * ((6+8i) + ((1-i) - (3+3i))))
[69807] ['(1-i)', '(3-3i)', '(3+3i)', '(6+9i)'] -> ((3-3i) + ((1-i) * ((3+3i) + (6+9i))))
[69810] ['(1-i)', '(3-3i)', '(3+3i)', '(7-4i)'] -> (((3-7i) + (5+6i)) + ((8-8i) + (8+9i)))
[69812] ['(1-i)', '(3-3i)', '(3+3i)', '(7-3i)'] -> (((1-i) * (3+3i)) * ((7-3i) - (3-3i)))
[69813] ['(1-i)', '(3-3i)', '(3+3i)', '7'] -> ((3+3i) * (((1-i) * 7) - (3-3i)))
[69821] ['(1-i)', '(3-3i)', '(3+3i)', '(8-8i)'] -> ((3+3i) * ((8-8i) - ((1-i) + (3-3i))))
[69823] ['(1-i)', '(3-3i)', '(3+3i)', '(8-i)'] -> (((3+3i) + ((3-3i) * (8-i))) / (1-i))
[69825] ['(1-i)', '(3-3i)', '(3+3i)', '8'] -> ((9-9i) - ((4-i) * ((4-7i) - (7-4i))))
[69828] ['(1-i)', '(3-3i)', '(3+3i)', '(8+i)'] -> ((((3-3i) * (8+i)) - (3+3i)) / (1-i))
[69829] ['(1-i)', '(3-3i)', '(3+3i)', '(8+6i)'] -> ((3-3i) * ((8+6i) - ((1-i) + (3+3i))))
[69835] ['(1-i)', '(3-3i)', '(3+3i)', '(9+i)'] -> (((9+i) / ((1-i) / (3-3i))) - (3+3i))
[69838] ['(1-i)', '(3-3i)', '(3+4i)', '(3+8i)'] -> (((1-i) * (3-3i)) * ((3+8i) - (3+4i)))
[69842] ['(1-i)', '(3-3i)', '(3+4i)', '(4+4i)'] -> (((3+4i) * ((1-i) + (3-3i))) - (4+4i))
[69848] ['(1-i)', '(3-3i)', '(3+4i)', '(5-4i)'] -> (((3+4i) + (5-4i)) / ((1-i) / (3-3i)))
[69856] ['(1-i)', '(3-3i)', '(3+4i)', '(6+7i)'] -> (((1-i) + (3-3i)) * ((6+7i) - (3+4i)))
[69857] ['(1-i)', '(3-3i)', '(3+4i)', '(6+8i)'] -> ((3-3i) + ((1-i) * ((3+4i) + (6+8i))))
[69858] ['(1-i)', '(3-3i)', '(3+4i)', '(6+9i)'] -> ((3-3i) * ((6+9i) + ((1-i) - (3+4i))))
[69868] ['(1-i)', '(3-3i)', '(3+4i)', '(8+7i)'] -> (((4-7i) - (4-i)) * ((7+3i) - (7-i)))
[69869] ['(1-i)', '(3-3i)', '(3+4i)', '(9-9i)'] -> ((1-i) * (((3-3i) * (3+4i)) - (9-9i)))
[69875] ['(1-i)', '(3-3i)', '(3+5i)', '(3+8i)'] -> ((3-3i) * ((3+8i) - ((3+5i) / (1-i))))
[69876] ['(1-i)', '(3-3i)', '(3+5i)', '(3+9i)'] -> (((1-i) * (3-3i)) * ((3+9i) - (3+5i)))
[69878] ['(1-i)', '(3-3i)', '(3+5i)', '(4-2i)'] -> ((3-3i) * (((1-i) * (3+5i)) - (4-2i)))
[69883] ['(1-i)', '(3-3i)', '(3+5i)', '(5-5i)'] -> (((3+5i) + (5-5i)) / ((1-i) / (3-3i)))
[69886] ['(1-i)', '(3-3i)', '(3+5i)', '5'] -> (((5-2i) * (5+i)) + ((6+8i) - (9+3i)))
[69891] ['(1-i)', '(3-3i)', '(3+5i)', '(6-6i)'] -> (7 - ((4-i) * ((4-7i) - (8-6i))))
[69895] ['(1-i)', '(3-3i)', '(3+5i)', '(6+6i)'] -> (((3-3i) * (3+5i)) - ((6+6i) / (1-i)))
[69896] ['(1-i)', '(3-3i)', '(3+5i)', '(6+7i)'] -> ((3-3i) + ((1-i) * ((3+5i) + (6+7i))))
[69897] ['(1-i)', '(3-3i)', '(3+5i)', '(6+8i)'] -> (((1-i) + (3-3i)) * ((6+8i) - (3+5i)))
[69914] ['(1-i)', '(3-3i)', '(3+6i)', '(4+8i)'] -> (((1-i) - (4+8i)) + ((3-3i) * (3+6i)))
[69916] ['(1-i)', '(3-3i)', '(3+6i)', '(5-6i)'] -> (((3+6i) + (5-6i)) / ((1-i) / (3-3i)))
[69919] ['(1-i)', '(3-3i)', '(3+6i)', '(5-i)'] -> ((3-3i) * (((1-i) * (3+6i)) - (5-i)))
[69922] ['(1-i)', '(3-3i)', '(3+6i)', '(5+6i)'] -> (((3-3i) * (5+6i)) - ((1-i) * (3+6i)))
[69931] ['(1-i)', '(3-3i)', '(3+6i)', '(6+6i)'] -> ((3-3i) + ((1-i) * ((3+6i) + (6+6i))))
[69933] ['(1-i)', '(3-3i)', '(3+6i)', '(7-2i)'] -> ((3+6i) + ((7-2i) / ((1-i) / (3-3i))))
[69936] ['(1-i)', '(3-3i)', '(3+6i)', '(8-8i)'] -> ((8-8i) * ((3-3i) + ((3+6i) / (1-i))))
[69939] ['(1-i)', '(3-3i)', '(3+6i)', '8'] -> (((4-5i) - (2-5i)) * ((5-4i) + (7+4i)))
[69945] ['(1-i)', '(3-3i)', '(3+6i)', '(8+9i)'] -> ((3-3i) * ((8+9i) - ((1-i) + (3+6i))))
[69949] ['(1-i)', '(3-3i)', '(3+6i)', '(9+2i)'] -> (((5-2i) + (5+i)) + ((7-7i) + (7+8i)))
[69962] ['(1-i)', '(3-3i)', '(3+7i)', '(5-7i)'] -> (((3+7i) + (5-7i)) / ((1-i) / (3-3i)))
[69971] ['(1-i)', '(3-3i)', '(3+7i)', '(6-i)'] -> ((3-3i) * ((6-i) + ((3+7i) / (1-i))))
[69972] ['(1-i)', '(3-3i)', '(3+7i)', '6'] -> ((3-3i) * (((1-i) * (3+7i)) - 6))
[69974] ['(1-i)', '(3-3i)', '(3+7i)', '(6+5i)'] -> ((3-3i) + ((1-i) * ((3+7i) + (6+5i))))
[69975] ['(1-i)', '(3-3i)', '(3+7i)', '(6+6i)'] -> (((3-3i) * ((1-i) + (3+7i))) - (6+6i))
[69976] ['(1-i)', '(3-3i)', '(3+7i)', '(6+8i)'] -> ((1-i) * ((6+8i) + ((3-3i) + (3+7i))))
[69999] ['(1-i)', '(3-3i)', '(3+8i)', '(5-8i)'] -> (((3+8i) + (5-8i)) / ((1-i) / (3-3i)))
