[137279] ['(1-i)', '(5-5i)', '(8+4i)', '(9+8i)'] -> (((1-i) * ((8+4i) + (9+8i))) - (5-5i))
[137286] ['(1-i)', '(5-5i)', '(8+5i)', '(9+2i)'] -> ((1-i) * ((9+2i) - ((5-5i) - (8+5i))))
[137288] ['(1-i)', '(5-5i)', '(8+5i)', '(9+7i)'] -> (((1-i) * ((8+5i) + (9+7i))) - (5-5i))
[137293] ['(1-i)', '(5-5i)', '(8+6i)', '(9+i)'] -> ((1-i) * ((9+i) - ((5-5i) - (8+6i))))
[137295] ['(1-i)', '(5-5i)', '(8+6i)', '(9+6i)'] -> (((1-i) * ((8+6i) + (9+6i))) - (5-5i))
[137299] ['(1-i)', '(5-5i)', '(8+7i)', '9'] -> ((1-i) * (9 - ((5-5i) - (8+7i))))
[137300] ['(1-i)', '(5-5i)', '(8+7i)', '(9+5i)'] -> (((1-i) * ((8+7i) + (9+5i))) - (5-5i))
[137305] ['(1-i)', '(5-5i)', '(8+8i)', '(9-i)'] -> ((1-i) * ((9-i) - ((5-5i) - (8+8i))))
[137306] ['(1-i)', '(5-5i)', '(8+8i)', '(9+4i)'] -> (((1-i) * ((8+8i) + (9+4i))) - (5-5i))
[137308] ['(1-i)', '(5-5i)', '(8+9i)', '(9-2i)'] -> ((1-i) * ((9-2i) - ((5-5i) - (8+9i))))
[137311] ['(1-i)', '(5-5i)', '(8+9i)', '(9+3i)'] -> (((1-i) * ((8+9i) + (9+3i))) - (5-5i))
[137339] ['(1-i)', '(5-5i)', '(9-3i)', '(9+9i)'] -> (((1-i) + (5-5i)) + ((9-3i) + (9+9i)))
[137341] ['(1-i)', '(5-5i)', '(9-2i)', '(9+8i)'] -> (((1-i) + (5-5i)) + ((9-2i) + (9+8i)))
[137343] ['(1-i)', '(5-5i)', '(9-i)', '(9+7i)'] -> (((1-i) + (5-5i)) + ((9-i) + (9+7i)))
[137344] ['(1-i)', '(5-5i)', '9', '(9+6i)'] -> ((8-6i) + ((8+3i) * ((1-9i) + (1+9i))))
[137349] ['(1-i)', '(5-5i)', '(9+i)', '(9+5i)'] -> (((3-8i) - (3+4i)) * ((6-i) - (6-3i)))
[137350] ['(1-i)', '(5-5i)', '(9+2i)', '(9+4i)'] -> (((1-i) + (5-5i)) + ((9+2i) + (9+4i)))
[137352] ['(1-i)', '(5-5i)', '(9+3i)', '(9+3i)'] -> ((6-6i) - ((6+6i) * (-4i - (2-5i))))
[137386] ['(1-i)', '(5-4i)', '(5-3i)', '(5+3i)'] -> (((5+3i) * ((5-4i) - (1-i))) - (5-3i))
[137402] ['(1-i)', '(5-4i)', '(5-2i)', '(5-i)'] -> ((5-4i) + (((5-i) * (5-2i)) / (1-i)))
[137407] ['(1-i)', '(5-4i)', '(5-2i)', '(6-6i)'] -> (((1-i) * (6-6i)) * ((5-2i) - (5-4i)))
[137414] ['(1-i)', '(5-4i)', '(5-2i)', '(7+6i)'] -> (((4-2i) + (8+2i)) * ((5-6i) - (3-6i)))
[137436] ['(1-i)', '(5-4i)', '(5-i)', '(8+8i)'] -> ((((5-4i) - (5-i)) * (8+8i)) / (1-i))
[137445] ['(1-i)', '(5-4i)', '5', '(5+9i)'] -> (((1-i) * (5+9i)) + ((5-4i) + 5))
[137449] ['(1-i)', '(5-4i)', '5', '(6-i)'] -> (((9-5i) + (9+2i)) - ((2-5i) - (8-2i)))
[137452] ['(1-i)', '(5-4i)', '5', '(6+6i)'] -> ((((5-4i) - 5) * (6+6i)) / (1-i))
[137471] ['(1-i)', '(5-4i)', '(5+i)', '(5+9i)'] -> ((((5-4i) * (5+i)) - (5+9i)) / (1-i))
[137487] ['(1-i)', '(5-4i)', '(5+i)', '(9-4i)'] -> (((4-3i) + (6-8i)) + ((7+2i) + (7+9i)))
[137500] ['(1-i)', '(5-4i)', '(5+2i)', '(6+8i)'] -> ((3+3i) * (((1-4i) * (3+2i)) - (7-6i)))
[137507] ['(1-i)', '(5-4i)', '(5+2i)', '(8-9i)'] -> ((6+6i) * (((3-3i) + (5-i)) - (6-2i)))
[137512] ['(1-i)', '(5-4i)', '(5+2i)', '(8-i)'] -> (((5-4i) * ((5+2i) - (1-i))) - (8-i))
[137543] ['(1-i)', '(5-4i)', '(5+3i)', '(9+4i)'] -> (((2-9i) * ((2-6i) - (1-9i))) - (5-3i))
[137553] ['(1-i)', '(5-4i)', '(5+4i)', '(7+7i)'] -> (((1-i) * (7+7i)) + ((5-4i) + (5+4i)))
[137556] ['(1-i)', '(5-4i)', '(5+4i)', '(8+i)'] -> (((1-4i) + (5-2i)) * ((2-5i) - -7i))
[137584] ['(1-i)', '(5-4i)', '(5+5i)', '(9+4i)'] -> (((1-i) * (5+5i)) + ((5-4i) + (9+4i)))
[137600] ['(1-i)', '(5-4i)', '(5+6i)', '(8+3i)'] -> (((1-i) * (5+6i)) + ((5-4i) + (8+3i)))
[137601] ['(1-i)', '(5-4i)', '(5+6i)', '(8+6i)'] -> (((1-i) * (8+6i)) + ((5-4i) + (5+6i)))
[137613] ['(1-i)', '(5-4i)', '(5+7i)', '(7-6i)'] -> (((1-i) + (5+7i)) * ((7-6i) - (5-4i)))
[137614] ['(1-i)', '(5-4i)', '(5+7i)', '(7+2i)'] -> (((1-i) * (5+7i)) + ((5-4i) + (7+2i)))
[137630] ['(1-i)', '(5-4i)', '(5+8i)', '(6+i)'] -> ((-9i * 2i) + ((6-6i) / (1-i)))
[137639] ['(1-i)', '(5-4i)', '(5+8i)', '(9+5i)'] -> (((1-i) * (9+5i)) + ((5-4i) + (5+8i)))
[137660] ['(1-i)', '(5-4i)', '(5+9i)', '(9+5i)'] -> (((4-6i) - 4) * ((9-2i) - (9-6i)))
[137661] ['(1-i)', '(5-4i)', '(5+9i)', '(9+9i)'] -> ((5+9i) + ((1-i) * ((5-4i) + (9+9i))))
[137719] ['(1-i)', '(5-4i)', '(6-6i)', '(6-i)'] -> ((6-6i) * ((6-i) + ((1-i) - (5-4i))))
