[370186] ['-8i', 'i', '(1-4i)', '(2+4i)'] -> ((-8i * i) * ((1-4i) + (2+4i)))
[370196] ['-8i', 'i', '(1-4i)', '(4-2i)'] -> (-8i * ((i * (1-4i)) - (4-2i)))
[370216] ['-8i', 'i', '(1-4i)', '(8-8i)'] -> (((8-8i) / i) - (-8i * (1-4i)))
[370217] ['-8i', 'i', '(1-4i)', '(8+2i)'] -> (-8i * (i + ((8+2i) / (1-4i))))
[370219] ['-8i', 'i', '(1-4i)', '(8+9i)'] -> ((6+6i) * ((5-4i) - ((1-5i) / (1-i))))
[370223] ['-8i', 'i', '(1-4i)', '(9+3i)'] -> ((-8i * (9+3i)) / (i + (1-4i)))
[370225] ['-8i', 'i', '(1-3i)', '(1-i)'] -> (-6i * (((1+i) + (4+4i)) - (5+i)))
[370227] ['-8i', 'i', '(1-3i)', '(1+i)'] -> (-8i * ((1+i) - (i + (1-3i))))
[370232] ['-8i', 'i', '(1-3i)', '(2+3i)'] -> ((-6i * (1+i)) * ((6+6i) - (4+4i)))
[370234] ['-8i', 'i', '(1-3i)', '(3-9i)'] -> (((1-2i) * (2+8i)) + ((2-3i) + (4-i)))
[370237] ['-8i', 'i', '(1-3i)', '(3-7i)'] -> ((4+4i) / (((7-7i) / -6i) - (1+i)))
[370238] ['-8i', 'i', '(1-3i)', '(3-2i)'] -> (-8i * ((i * (1-3i)) - (3-2i)))
[370244] ['-8i', 'i', '(1-3i)', '(3+9i)'] -> (((1-3i) * (i - -8i)) - (3+9i))
[370249] ['-8i', 'i', '(1-3i)', '(6+2i)'] -> (-8i * (i + ((6+2i) / (1-3i))))
[370250] ['-8i', 'i', '(1-3i)', '(6+3i)'] -> ((-8i * (6+3i)) / (i + (1-3i)))
[370256] ['-8i', 'i', '(1-3i)', '(8-8i)'] -> ((8-8i) - (-8i * (i + (1-3i))))
[370259] ['-8i', 'i', '(1-3i)', '(9+2i)'] -> ((-8i / (1-3i)) * (i + (9+2i)))
[370261] ['-8i', 'i', '(1-3i)', '(9+4i)'] -> ((-8i / (1-3i)) * ((9+4i) - i))
[370262] ['-8i', 'i', '(1-2i)', '(1-i)'] -> (-8i * ((i * (1-i)) - (1-2i)))
[370263] ['-8i', 'i', '(1-2i)', '1'] -> (-8i * (1 + (i - (1-2i))))
[370265] ['-8i', 'i', '(1-2i)', '(1+2i)'] -> (-8i * ((1+2i) - (i + (1-2i))))
[370268] ['-8i', 'i', '(1-2i)', '(2-2i)'] -> (-8i * ((i * (1-2i)) - (2-2i)))
[370269] ['-8i', 'i', '(1-2i)', '(2+2i)'] -> ((-8i * i) * ((1-2i) + (2+2i)))
[370271] ['-8i', 'i', '(1-2i)', '(3-6i)'] -> (((7+4i) * ((1-5i) / (1-i))) - (5-2i))
[370275] ['-8i', 'i', '(1-2i)', '(3+3i)'] -> ((-8i * (3+3i)) / (i + (1-2i)))
[370280] ['-8i', 'i', '(1-2i)', '(4+2i)'] -> (-8i * (i + ((4+2i) / (1-2i))))
[370289] ['-8i', 'i', '(1-2i)', '(6+2i)'] -> ((4+4i) * ((7-9i) - ((1-8i) + (3+2i))))
[370292] ['-8i', 'i', '(1-2i)', '(6+4i)'] -> ((-8i / (1-2i)) * ((6+4i) - i))
[370296] ['-8i', 'i', '(1-2i)', '(8-9i)'] -> ((i + (8-9i)) - (-8i * (1-2i)))
[370297] ['-8i', 'i', '(1-2i)', '(8-8i)'] -> (((8-8i) * (i * (1-2i))) - -8i)
[370298] ['-8i', 'i', '(1-2i)', '(8-7i)'] -> ((8-7i) - (i + (-8i * (1-2i))))
[370300] ['-8i', 'i', '(1-2i)', '(8+4i)'] -> (-8i * (((8+4i) / (1-2i)) - i))
[370303] ['-8i', 'i', '(1-2i)', '(8+7i)'] -> (((1-2i) * (i + (8+7i))) - -8i)
[370304] ['-8i', 'i', '(1-2i)', '(8+8i)'] -> (((8+8i) / i) - (-8i * (1-2i)))
[370305] ['-8i', 'i', '(1-2i)', '(8+9i)'] -> (((1-2i) * ((8+9i) - i)) - -8i)
[370306] ['-8i', 'i', '(1-2i)', '(9+3i)'] -> ((-8i * (9+3i)) / ((1-2i) - i))
[370308] ['-8i', 'i', '(1-i)', '(1-i)'] -> (-8i * (i - ((1-i) * (1-i))))
[370309] ['-8i', 'i', '(1-i)', '(1+i)'] -> (-8i * ((1+i) + (i - (1-i))))
[370310] ['-8i', 'i', '(1-i)', '(1+3i)'] -> (-8i * ((1+3i) - (i + (1-i))))
[370312] ['-8i', 'i', '(1-i)', '(2-i)'] -> (-8i * ((i * (2-i)) - (1-i)))
[370314] ['-8i', 'i', '(1-i)', '(2+i)'] -> ((-8i * i) * ((1-i) + (2+i)))
[370315] ['-8i', 'i', '(1-i)', '(2+2i)'] -> (-8i * (i + ((2+2i) / (1-i))))
[370316] ['-8i', 'i', '(1-i)', '(3-3i)'] -> ((1-i) * ((8+8i) - ((1-5i) - (5-i))))
[370319] ['-8i', 'i', '(1-i)', '(3+2i)'] -> ((-8i / (1-i)) * (i + (3+2i)))
[370320] ['-8i', 'i', '(1-i)', '(3+4i)'] -> ((-8i / (1-i)) * ((3+4i) - i))
[370324] ['-8i', 'i', '(1-i)', '(4+4i)'] -> (-8i * (((4+4i) / (1-i)) - i))
[370334] ['-8i', 'i', '(1-i)', '(6+3i)'] -> (((2-6i) - (9+6i)) + ((3+2i) * (9-2i)))
[370346] ['-8i', 'i', '1', '(1+2i)'] -> (-8i * ((1+2i) + (i - 1)))
[370347] ['-8i', 'i', '1', '(1+4i)'] -> (-8i * ((1+4i) - (i + 1)))
[370350] ['-8i', 'i', '1', '2'] -> ((-8i * i) * (1 + 2))
[370354] ['-8i', 'i', '1', '(3-i)'] -> ((5+4i) + ((5+2i) * ((1-5i) / (1-i))))
[370356] ['-8i', 'i', '1', '(3+3i)'] -> ((-8i * (3+3i)) / (1 - i))
[370377] ['-8i', 'i', '(1+i)', '(1+i)'] -> (-8i * (i + ((1+i) * (1+i))))
[370378] ['-8i', 'i', '(1+i)', '(1+3i)'] -> (-8i * ((1+3i) + (i - (1+i))))
[370380] ['-8i', 'i', '(1+i)', '(1+5i)'] -> (-8i * ((1+5i) - (i + (1+i))))
[370381] ['-8i', 'i', '(1+i)', '(2-2i)'] -> (-8i * (i - ((2-2i) / (1+i))))
[370382] ['-8i', 'i', '(1+i)', '(2-i)'] -> ((-8i * i) * ((1+i) + (2-i)))
[370383] ['-8i', 'i', '(1+i)', '(2+2i)'] -> (-8i * (((1+i) * (2+2i)) - i))
[370385] ['-8i', 'i', '(1+i)', '(3-2i)'] -> ((-8i / (1+i)) * (i - (3-2i)))
[370386] ['-8i', 'i', '(1+i)', '(3+3i)'] -> ((-8i * i) / ((1+i) / (3+3i)))
[370388] ['-8i', 'i', '(1+i)', '(4-i)'] -> (-8i * ((i * (4-i)) - (1+i)))
[370410] ['-8i', 'i', '(1+2i)', '(1+4i)'] -> (-8i * ((1+4i) + (i - (1+2i))))
[370412] ['-8i', 'i', '(1+2i)', '(1+6i)'] -> (-8i * ((1+6i) - (i + (1+2i))))
[370415] ['-8i', 'i', '(1+2i)', '(2-4i)'] -> (((1-5i) + (5+5i)) + ((1-i) * (9+9i)))
[370419] ['-8i', 'i', '(1+2i)', '(2-2i)'] -> ((-8i * i) * ((1+2i) + (2-2i)))
[370423] ['-8i', 'i', '(1+2i)', '(3-3i)'] -> ((-8i * (3-3i)) / (i - (1+2i)))
[370425] ['-8i', 'i', '(1+2i)', '(3+6i)'] -> ((-8i * i) / ((1+2i) / (3+6i)))
[370430] ['-8i', 'i', '(1+2i)', '(4-2i)'] -> (-8i * (i - ((4-2i) / (1+2i))))
[370433] ['-8i', 'i', '(1+2i)', '(5-i)'] -> (-8i * ((i * (5-i)) - (1+2i)))
[370435] ['-8i', 'i', '(1+2i)', '(6-2i)'] -> ((-8i / (1+2i)) * (i - (6-2i)))
[370443] ['-8i', 'i', '(1+2i)', '(8-9i)'] -> ((5-8i) - ((7-6i) * ((1-8i) / (3+2i))))
[370449] ['-8i', 'i', '(1+2i)', '(8+7i)'] -> ((-8i * (1+2i)) + (i + (8+7i)))
[370450] ['-8i', 'i', '(1+2i)', '(8+9i)'] -> (-3i * ((9-4i) - ((3-6i) + (6-6i))))
[370453] ['-8i', 'i', '(1+3i)', '(1+5i)'] -> (-8i * ((1+5i) + (i - (1+3i))))
[370455] ['-8i', 'i', '(1+3i)', '(1+7i)'] -> ((1-i) * ((6+9i) + ((1-5i) + (5+8i))))
[370458] ['-8i', 'i', '(1+3i)', '(2-3i)'] -> ((5-3i) - ((5-7i) * ((1-8i) / (3+2i))))
[370461] ['-8i', 'i', '(1+3i)', '(3-9i)'] -> (((1+3i) * (-8i - i)) - (3-9i))
[370464] ['-8i', 'i', '(1+3i)', '(3-4i)'] -> (-8i * (((1+3i) / i) - (3-4i)))
[370468] ['-8i', 'i', '(1+3i)', '(3+7i)'] -> (-6i * (((6+4i) / (1+i)) - (5-5i)))
[370470] ['-8i', 'i', '(1+3i)', '(3+9i)'] -> ((-8i * i) / ((1+3i) / (3+9i)))
[370476] ['-8i', 'i', '(1+3i)', '(6-3i)'] -> ((-8i * (6-3i)) / (i - (1+3i)))
[370477] ['-8i', 'i', '(1+3i)', '(6-2i)'] -> (-8i * (i - ((6-2i) / (1+3i))))
[370478] ['-8i', 'i', '(1+3i)', '(6-i)'] -> (-8i * ((i * (6-i)) - (1+3i)))
[370493] ['-8i', 'i', '(1+3i)', '(9-2i)'] -> (-3i * ((9-2i) - ((3-6i) + (6-4i))))
[370496] ['-8i', 'i', '(1+4i)', '(1+6i)'] -> (-8i * ((1+6i) + (i - (1+4i))))
