[174972] ['(1-9i)', '(2+3i)', '(4+4i)', '(6-9i)'] -> 4+4i * (6-9i - (1-9i + 2+3i))
[174994] ['(1-9i)', '(2+3i)', '(4+5i)', '(5+3i)'] -> (2-4i - 8-4i) * (3-4i - 7-4i)
[175009] ['(1-9i)', '(2+3i)', '(4+6i)', '(5-9i)'] -> 5-9i + 2+3i * (1-9i + 4+6i)
[175023] ['(1-9i)', '(2+3i)', '(4+6i)', '(9-9i)'] -> -4i * (2+9i + 3+4i - 5+7i)
[175046] ['(1-9i)', '(2+3i)', '(4+7i)', '(9-8i)'] -> 1-9i * 2+3i + 4+7i - 9-8i
[175069] ['(1-9i)', '(2+3i)', '(4+8i)', '(9-7i)'] -> 1-9i * 2+3i + 4+8i - 9-7i
[175085] ['(1-9i)', '(2+3i)', '(4+9i)', '(9-6i)'] -> 1-9i * 2+3i + 4+9i - 9-6i
[175111] ['(1-9i)', '(2+3i)', '(5-8i)', '(6+6i)'] -> 6+6i * (5-8i - (1-9i + 2+3i))
[175128] ['(1-9i)', '(2+3i)', '(5-8i)', '(9+8i)'] -> (6-8i + 6-4i) / (3-6i / 9-3i)
[175134] ['(1-9i)', '(2+3i)', '(5-7i)', '(5+4i)'] -> (2-8i + 4+2i) * (6+i - 4-i)
[175146] ['(1-9i)', '(2+3i)', '(5-7i)', '(8-8i)'] -> 1-9i - 8-8i + 2+3i * 5-7i
[175158] ['(1-9i)', '(2+3i)', '(5-6i)', '(5-6i)'] -> 9-3i * (8-5i - 5-6i) - 6
[175181] ['(1-9i)', '(2+3i)', '(5-6i)', '(7-9i)'] -> 1-9i - 7-9i / (2+3i / 5-6i)
[175208] ['(1-9i)', '(2+3i)', '(5-5i)', '(6-2i)'] -> 6+9i - 9 * (3-8i - 5-9i)
[175234] ['(1-9i)', '(2+3i)', '(5-4i)', '(5+9i)'] -> 5-4i * (2+3i - 5+9i / 1-9i)
[175238] ['(1-9i)', '(2+3i)', '(5-4i)', '(6-6i)'] -> 6-6i * (5-4i - (1-9i + 2+3i))
[175305] ['(1-9i)', '(2+3i)', '(5-2i)', '(7-2i)'] -> 1-9i + 7-2i + 2+3i * 5-2i
[175413] ['(1-9i)', '(2+3i)', '(5+i)', '(9-6i)'] -> 9-6i * (2+3i + 1-9i / 5+i)
[175443] ['(1-9i)', '(2+3i)', '(5+2i)', '(9+4i)'] -> 2+3i * (1-9i + 5+2i) - 9+4i
[175448] ['(1-9i)', '(2+3i)', '(5+3i)', '(6+6i)'] -> 2+3i * (1-9i + 5+3i) - 6+6i
[175456] ['(1-9i)', '(2+3i)', '(5+3i)', '(7+9i)'] -> 3-3i * (3+i - (2-4i - 3-i))
[175549] ['(1-9i)', '(2+3i)', '(5+7i)', '(8-4i)'] -> 1-9i - 5+7i + 2+3i * 8-4i
[175577] ['(1-9i)', '(2+3i)', '(5+9i)', '(6+3i)'] -> (1-9i + 5+9i) * (6+3i - 2+3i)
[175663] ['(1-9i)', '(2+3i)', '(6-6i)', '(7-3i)'] -> 1-9i - 7-3i + 2+3i * 6-6i
[175672] ['(1-9i)', '(2+3i)', '(6-6i)', '8'] -> 8 * (6-6i - (1-9i + 2+3i))
[175705] ['(1-9i)', '(2+3i)', '(6-4i)', '(6-2i)'] -> 6-2i - 6-4i * 1-9i / 2+3i
[175767] ['(1-9i)', '(2+3i)', '(6-i)', '(8-7i)'] -> 1-9i + 8-7i + 2+3i * 6-i
