[317350] ['-6i', '-3i', '(3+6i)', '(9-6i)'] -> ((-6i / -3i) * ((3+6i) + (9-6i)))
[317352] ['-6i', '-3i', '(3+6i)', '(9+6i)'] -> ((9+6i) - ((3+6i) + (-6i * -3i)))
[317353] ['-6i', '-3i', '(3+7i)', '(3+8i)'] -> (-6i * ((3+8i) - (-3i + (3+7i))))
[317361] ['-6i', '-3i', '(3+7i)', '(6+6i)'] -> ((-6i * (3+7i)) - (-3i * (6+6i)))
[317362] ['-6i', '-3i', '(3+7i)', '(7-3i)'] -> (-6i * (((3+7i) / (7-3i)) - -3i))
[317367] ['-6i', '-3i', '(3+7i)', '(9-9i)'] -> (-6i * ((3+7i) - ((9-9i) / -3i)))
[317368] ['-6i', '-3i', '(3+7i)', '(9-7i)'] -> ((-6i / -3i) * ((3+7i) + (9-7i)))
[317371] ['-6i', '-3i', '(3+7i)', '(9+7i)'] -> ((9+7i) - ((3+7i) + (-6i * -3i)))
[317372] ['-6i', '-3i', '(3+8i)', '(3+9i)'] -> (-6i * ((3+9i) - (-3i + (3+8i))))
[317375] ['-6i', '-3i', '(3+8i)', '(6-3i)'] -> (-3i + ((6-3i) * (-6i + (3+8i))))
[317377] ['-6i', '-3i', '(3+8i)', '(6+8i)'] -> ((-6i * (3+8i)) - (-3i * (6+8i)))
[317382] ['-6i', '-3i', '(3+8i)', '(8-3i)'] -> (-6i * (((3+8i) / (8-3i)) - -3i))
[317386] ['-6i', '-3i', '(3+8i)', '(9-8i)'] -> (((2-i) - (8-i)) * ((5-9i) - (9-9i)))
[317389] ['-6i', '-3i', '(3+8i)', '(9+8i)'] -> ((9+8i) - ((3+8i) + (-6i * -3i)))
