[116859] ['(3-6i)', '(3+i)', '9', '(9+5i)'] -> 3-6i + 3+i + 9 + 9+5i
[116861] ['(3-6i)', '(3+i)', '(9+i)', '(9+4i)'] -> 3-6i + 3+i + 9+i + 9+4i
[116863] ['(3-6i)', '(3+i)', '(9+2i)', '(9+3i)'] -> 3-3i * (8+7i + 4+i - 8+4i)
[116885] ['(3-6i)', '(3+2i)', '(3+2i)', '(6-9i)'] -> (3+2i - 3-6i) / (3+2i / 6-9i)
[116902] ['(3-6i)', '(3+2i)', '(3+3i)', '(4+4i)'] -> 6+6i - 6-2i * (1-i - 4-i)
[116914] ['(3-6i)', '(3+2i)', '(3+3i)', '(6-7i)'] -> 3-6i * 3+3i + 3+2i - 6-7i
[116918] ['(3-6i)', '(3+2i)', '(3+3i)', '(6+6i)'] -> 1-9i + 1+3i + 3-i * 6+4i
[116931] ['(3-6i)', '(3+2i)', '(3+3i)', '(9-9i)'] -> (3+2i - 3-6i) / (3+3i / 9-9i)
[116939] ['(3-6i)', '(3+2i)', '(3+4i)', '(4-6i)'] -> 1-7i - 3-5i * (4 - 5+4i)
[116952] ['(3-6i)', '(3+2i)', '(3+4i)', '(5-8i)'] -> (3+2i + 3+4i) * (5-8i - 3-6i)
[116964] ['(3-6i)', '(3+2i)', '(3+4i)', '(6-8i)'] -> 3-6i * 3+4i - (3+2i + 6-8i)
[116984] ['(3-6i)', '(3+2i)', '(3+4i)', '(9-3i)'] -> 9-3i * (3+2i + 3-6i / 3+4i)
[116986] ['(3-6i)', '(3+2i)', '(3+4i)', '(9+2i)'] -> 3-6i * (3+2i - 9+2i / 3+4i)
[116988] ['(3-6i)', '(3+2i)', '(3+5i)', '(4-9i)'] -> 4-9i + 3+2i * (3-6i + 3+5i)
[116991] ['(3-6i)', '(3+2i)', '(3+5i)', '(4+3i)'] -> 3+2i * (3-6i + 4+3i) - 3+5i
[116992] ['(3-6i)', '(3+2i)', '(3+5i)', '(4+4i)'] -> -4i * (3+4i - (-9i + 3+7i))
[117035] ['(3-6i)', '(3+2i)', '(4-9i)', '(7+3i)'] -> 3-6i * 3+2i - (4-9i - 7+3i)
[117051] ['(3-6i)', '(3+2i)', '(4-8i)', '(5-8i)'] -> 9+4i * (8-2i - 5-i) - 7+3i
[117063] ['(3-6i)', '(3+2i)', '(4-8i)', '6'] -> 6 * (4-8i - (3-6i - 3+2i))
[117071] ['(3-6i)', '(3+2i)', '(4-8i)', '(7+4i)'] -> 1-9i - 1+3i + 3+3i * 6-2i
[117106] ['(3-6i)', '(3+2i)', '(4-7i)', '(7+5i)'] -> 3-6i * 3+2i - (4-7i - 7+5i)
[117123] ['(3-6i)', '(3+2i)', '(4-6i)', '(6-6i)'] -> 6-6i * (3-6i + 3+2i - 4-6i)
[117131] ['(3-6i)', '(3+2i)', '(4-6i)', '(7+6i)'] -> 3-6i * 3+2i - (4-6i - 7+6i)
[117147] ['(3-6i)', '(3+2i)', '(4-5i)', '(5+i)'] -> 3+2i * 4-5i - (3-6i - 5+i)
[117154] ['(3-6i)', '(3+2i)', '(4-5i)', '(7+7i)'] -> 3-6i * 3+2i - (4-5i - 7+7i)
[117161] ['(3-6i)', '(3+2i)', '(4-4i)', '(4+2i)'] -> 4-4i * 4+2i - (3-6i - 3+2i)
[117166] ['(3-6i)', '(3+2i)', '(4-4i)', '(5-4i)'] -> 3+2i * 5-4i - (3-6i - 4-4i)
[117173] ['(3-6i)', '(3+2i)', '(4-4i)', '(6+9i)'] -> (6+9i - 3-6i) / (3+2i / 4-4i)
[117178] ['(3-6i)', '(3+2i)', '(4-4i)', '(7-2i)'] -> 3+2i * 4-4i - (3-6i - 7-2i)
[117180] ['(3-6i)', '(3+2i)', '(4-4i)', '(7+8i)'] -> 3-6i * 3+2i - (4-4i - 7+8i)
[117187] ['(3-6i)', '(3+2i)', '(4-4i)', '(9-i)'] -> 5-i * 7+4i - (7+4i + 8+9i)
[117203] ['(3-6i)', '(3+2i)', '(4-3i)', '(7+9i)'] -> 3-6i * 3+2i - (4-3i - 7+9i)
[117207] ['(3-6i)', '(3+2i)', '(4-3i)', '(9-5i)'] -> 3+2i * 4-3i - (3-6i - 9-5i)
[117211] ['(3-6i)', '(3+2i)', '(4-2i)', '(4+4i)'] -> 3-6i - 3+2i + 4-2i * 4+4i
[117215] ['(3-6i)', '(3+2i)', '(4-2i)', '(5+4i)'] -> 3-6i + 5+4i + 3+2i * 4-2i
[117217] ['(3-6i)', '(3+2i)', '(4-2i)', '(6+6i)'] -> 6+6i * (3-6i + 3+2i - 4-2i)
[117234] ['(3-6i)', '(3+2i)', '(4-i)', '(5-i)'] -> 3-6i + 4-i + 3+2i * 5-i
