[283012] ['-3i', '(1-8i)', '(1-i)', '(9-i)'] -> (1-8i * 9-i - 1-i) / -3i
[283013] ['-3i', '(1-8i)', '(1-i)', '9'] -> -3i / 1-i * (9 - 1-8i)
[283018] ['-3i', '(1-8i)', '1', '2'] -> -3i * (2 - (1-8i + 1))
[283046] ['-3i', '(1-8i)', '1', '9'] -> (1-8i - 1) / (-3i / 9)
[283049] ['-3i', '(1-8i)', '(1+i)', '(1+i)'] -> -3i * (1+i / 1+i - 1-8i)
[283055] ['-3i', '(1-8i)', '(1+i)', '(2+i)'] -> -3i * (2+i - (1-8i + 1+i))
[283058] ['-3i', '(1-8i)', '(1+i)', '(3-8i)'] -> 1-8i - 1+i - -3i * 3-8i
[283059] ['-3i', '(1-8i)', '(1+i)', '(3-6i)'] -> 3-6i - -3i * (1-8i + 1+i)
[283060] ['-3i', '(1-8i)', '(1+i)', '3'] -> -3i * (1+i - 1-8i) - 3
[283061] ['-3i', '(1-8i)', '(1+i)', '(3+8i)'] -> -3i * 3+8i - (1-8i - 1+i)
[283067] ['-3i', '(1-8i)', '(1+i)', '(5-4i)'] -> -3i * 1+i * (5-4i - 1-8i)
[283074] ['-3i', '(1-8i)', '(1+i)', '8'] -> (1-8i - 1+i) / (-3i / 8)
[283076] ['-3i', '(1-8i)', '(1+i)', '(9-4i)'] -> 1-8i * (1+i - -3i) - 9-4i
[283078] ['-3i', '(1-8i)', '(1+i)', '(9+i)'] -> 3 * (1-6i + 8+3i) - 3-9i
[283080] ['-3i', '(1-8i)', '(1+2i)', '(1+2i)'] -> -3i * (1+2i / 1+2i - 1-8i)
[283081] ['-3i', '(1-8i)', '(1+2i)', '(1+9i)'] -> 1+9i + 1+2i * (-3i + 1-8i)
[283083] ['-3i', '(1-8i)', '(1+2i)', '(2+2i)'] -> -3i * (2+2i - (1-8i + 1+2i))
[283095] ['-3i', '(1-8i)', '(1+2i)', '(5-i)'] -> -3i + 1+2i * (1-8i + 5-i)
[283096] ['-3i', '(1-8i)', '(1+2i)', '(6-6i)'] -> 6-6i - -3i * (1-8i + 1+2i)
[283099] ['-3i', '(1-8i)', '(1+2i)', '6'] -> -3i * (1+2i - 1-8i) - 6
[283104] ['-3i', '(1-8i)', '(1+2i)', '(7+3i)'] -> 1-8i * 1+2i - (-3i - 7+3i)
[283105] ['-3i', '(1-8i)', '(1+2i)', '(7+9i)'] -> -3i + 7+9i + 1-8i * 1+2i
[283108] ['-3i', '(1-8i)', '(1+2i)', '(9-7i)'] -> 3+3i * (5-3i - 5-i / 2-3i)
[283112] ['-3i', '(1-8i)', '(1+3i)', '(1+3i)'] -> -3i * (1+3i / 1+3i - 1-8i)
[283118] ['-3i', '(1-8i)', '(1+3i)', '(2+3i)'] -> -3i * (2+3i - (1-8i + 1+3i))
[283130] ['-3i', '(1-8i)', '(1+3i)', '(6+6i)'] -> 6+6i * (1+3i - (-3i - 1-8i))
[283138] ['-3i', '(1-8i)', '(1+3i)', '(9-6i)'] -> (4-8i + 8-4i) / (2-7i / 9-5i)
[283141] ['-3i', '(1-8i)', '(1+3i)', '9'] -> -3i * (1+3i - 1-8i) - 9
[283142] ['-3i', '(1-8i)', '(1+4i)', '(1+4i)'] -> -3i * (1+4i / 1+4i - 1-8i)
[283144] ['-3i', '(1-8i)', '(1+4i)', '(2+4i)'] -> -3i * (2+4i - (1-8i + 1+4i))
[283149] ['-3i', '(1-8i)', '(1+4i)', '(4-8i)'] -> 1-8i - 1+4i - -3i * 4-8i
[283156] ['-3i', '(1-8i)', '(1+4i)', '(4+8i)'] -> -3i * 4+8i - (1-8i - 1+4i)
[283163] ['-3i', '(1-8i)', '(1+4i)', '6'] -> (1-8i - 1+4i) / (-3i / 6)
[283169] ['-3i', '(1-8i)', '(1+4i)', '(9-7i)'] -> -3i - 9-7i + 1-8i * 1+4i
[283172] ['-3i', '(1-8i)', '(1+4i)', '(9-i)'] -> 1-8i * 1+4i - (-3i + 9-i)
[283177] ['-3i', '(1-8i)', '(1+5i)', '(1+5i)'] -> -3i * (1+5i / 1+5i - 1-8i)
[283181] ['-3i', '(1-8i)', '(1+5i)', '2'] -> 1+5i * (1-8i - -3i) - 2
[283182] ['-3i', '(1-8i)', '(1+5i)', '(2+5i)'] -> -3i * (2+5i - (1-8i + 1+5i))
[283184] ['-3i', '(1-8i)', '(1+5i)', '(3-4i)'] -> -3i + 1-8i + 1+5i * 3-4i
[283186] ['-3i', '(1-8i)', '(1+5i)', '(3+6i)'] -> -3i + 3+6i * (1-8i + 1+5i)
[283200] ['-3i', '(1-8i)', '(1+5i)', '(7+6i)'] -> 7+6i + 1-8i * (-3i + 1+5i)
[283207] ['-3i', '(1-8i)', '(1+6i)', '(1+6i)'] -> -3i * (1+6i / 1+6i - 1-8i)
[283213] ['-3i', '(1-8i)', '(1+6i)', '(2+6i)'] -> -3i * (2+6i - (1-8i + 1+6i))
[283227] ['-3i', '(1-8i)', '(1+6i)', '(6+3i)'] -> (1-8i + 1+6i) * (6+3i - -3i)
[283228] ['-3i', '(1-8i)', '(1+6i)', '(6+9i)'] -> (-3i + 6+9i) * (1-8i + 1+6i)
[283230] ['-3i', '(1-8i)', '(1+6i)', '(7-5i)'] -> -3i * 1+6i - (1-8i - 7-5i)
