[216539] ['-i', '(3-i)', '(9+5i)', '(9+9i)'] -> 3-i * (9+5i - -i) - 9+9i
[216540] ['-i', '(3-i)', '(9+6i)', '(9+8i)'] -> -i - 9+8i + 3-i * 9+6i
[216542] ['-i', '(3-i)', '(9+7i)', '(9+9i)'] -> 2-4i * 4+4i - (5-4i - 5+4i)
[216549] ['-i', '3', '3', '(4-i)'] -> (3 + 3) * (4-i - -i)
[216550] ['-i', '3', '3', '(4+i)'] -> (-i + 4+i) * (3 + 3)
[216552] ['-i', '3', '3', '(5-i)'] -> 3 * (5-i - (-i - 3))
[216553] ['-i', '3', '3', '(5+i)'] -> 3 * (5+i + -i + 3)
[216563] ['-i', '3', '3', '(7+i)'] -> 3 + 3 * (-i + 7+i)
[216570] ['-i', '3', '3', '(9-i)'] -> 3 * (9-i - -i) - 3
[216571] ['-i', '3', '3', '(9+i)'] -> 4+4i * (6-2i + 2-4i - 5-3i)
[216576] ['-i', '3', '(3+i)', '4'] -> 2-4i * (7+3i - 5-3i) - 4+4i
[216580] ['-i', '3', '(3+i)', '(5-2i)'] -> 3 * (5-2i - (-i - 3+i))
[216595] ['-i', '3', '(3+i)', '(8-3i)'] -> (9-9i - 9+3i) * 8+2i / 1-4i
