[113010] ['(1-4i)', '(3-9i)', '(3+8i)', '(8+5i)'] -> (((1-4i) * (3+8i)) - ((3-9i) + (8+5i)))
[113018] ['(1-4i)', '(3-9i)', '(3+9i)', '(4-5i)'] -> (((4-3i) - (8+i)) * (4 - (7-3i)))
[113025] ['(1-4i)', '(3-9i)', '(3+9i)', '(5-4i)'] -> (((3-9i) + (3+9i)) * ((5-4i) - (1-4i)))
[113041] ['(1-4i)', '(3-9i)', '(3+9i)', '(8+5i)'] -> (((3-9i) - ((3+9i) * (8+5i))) / (1-4i))
[113135] ['(1-4i)', '(3-9i)', '(4-7i)', '(6+3i)'] -> (((6+3i) * ((4-7i) - (1-4i))) - (3-9i))
[113137] ['(1-4i)', '(3-9i)', '(4-7i)', '(6+6i)'] -> ((6+6i) * ((4-7i) + ((1-4i) - (3-9i))))
[113219] ['(1-4i)', '(3-9i)', '(4-5i)', '9'] -> ((9 * ((4-5i) - (1-4i))) - (3-9i))
[113231] ['(1-4i)', '(3-9i)', '(4-4i)', '(5-2i)'] -> (((1-i) + (5+i)) * ((8-3i) - (4-3i)))
[113233] ['(1-4i)', '(3-9i)', '(4-4i)', '(5+9i)'] -> (((3-9i) + (5+9i)) * ((4-4i) - (1-4i)))
[113254] ['(1-4i)', '(3-9i)', '(4-4i)', '(9-3i)'] -> (((9-3i) * ((4-4i) - (1-4i))) - (3-9i))
[113275] ['(1-4i)', '(3-9i)', '(4-3i)', '(6-6i)'] -> ((6-6i) * ((4-3i) + ((1-4i) - (3-9i))))
[113309] ['(1-4i)', '(3-9i)', '(4-2i)', '(5+3i)'] -> (((1-4i) * ((4-2i) - (3-9i))) - (5+3i))
[113335] ['(1-4i)', '(3-9i)', '(4-2i)', '(9+4i)'] -> ((7+9i) + ((7+5i) * (-i + (1-i))))
[113370] ['(1-4i)', '(3-9i)', '(4-i)', '(9+4i)'] -> (((1-4i) * ((4-i) - (3-9i))) - (9+4i))
[113374] ['(1-4i)', '(3-9i)', '4', '(4+5i)'] -> (4 * ((4+5i) - ((1-4i) - (3-9i))))
[113402] ['(1-4i)', '(3-9i)', '4', '(8-5i)'] -> (4 * ((8-5i) + ((1-4i) - (3-9i))))
[113477] ['(1-4i)', '(3-9i)', '(4+4i)', '(5-8i)'] -> ((4+4i) * ((5-8i) + ((1-4i) - (3-9i))))
[113485] ['(1-4i)', '(3-9i)', '(4+4i)', '(7+3i)'] -> (((1-4i) * (4+4i)) - ((3-9i) - (7+3i)))
[113531] ['(1-4i)', '(3-9i)', '(4+7i)', '5'] -> (((1-4i) * (4+7i)) - ((3-9i) + 5))
[113567] ['(1-4i)', '(3-9i)', '(4+8i)', '(9+i)'] -> (((1-4i) * (4+8i)) - ((3-9i) + (9+i)))
[113659] ['(1-4i)', '(3-9i)', '(5-8i)', '(9-3i)'] -> (((3-9i) + ((5-8i) * (9-3i))) / (1-4i))
[113667] ['(1-4i)', '(3-9i)', '(5-7i)', '(5-2i)'] -> (((1-4i) + (5-2i)) * ((5-7i) - (3-9i)))
[113721] ['(1-4i)', '(3-9i)', '(5-6i)', '(8+8i)'] -> (((3-9i) * (8+8i)) / ((5-6i) - (1-4i)))
[113757] ['(1-4i)', '(3-9i)', '(5-5i)', '8'] -> (8 * ((5-5i) + ((1-4i) - (3-9i))))
[113810] ['(1-4i)', '(3-9i)', '(5-3i)', '(9-3i)'] -> ((((3-9i) + (9-3i)) * (5-3i)) / (1-4i))
[113819] ['(1-4i)', '(3-9i)', '(5-2i)', '(6-i)'] -> (((1-4i) * ((5-2i) - (3-9i))) - (6-i))
