[193811] ['-4i', '(3-i)', '(6-2i)', '(8+4i)'] -> (((-4i + (6-2i)) * (8+4i)) / (3-i))
[193812] ['-4i', '(3-i)', '(6-2i)', '(8+8i)'] -> (((3-i) * (6-2i)) - (-4i - (8+8i)))
[193813] ['-4i', '(3-i)', '(6-2i)', '(9-9i)'] -> (-4i * (((3-i) + (6-2i)) - (9-9i)))
[193816] ['-4i', '(3-i)', '(6-2i)', '(9+3i)'] -> (-9i * (((1+5i) / (3+3i)) - (1-2i)))
[193825] ['-4i', '(3-i)', '(6-i)', '(7-i)'] -> (((6-i) * ((7-i) - (3-i))) - -4i)
[193826] ['-4i', '(3-i)', '(6-i)', '(7+5i)'] -> (((3-i) * (6-i)) - (-4i - (7+5i)))
[193828] ['-4i', '(3-i)', '(6-i)', '(8-8i)'] -> ((((6-i) - -4i) * (8-8i)) / (3-i))
[193829] ['-4i', '(3-i)', '(6-i)', '(8+4i)'] -> ((-4i + (8+4i)) * ((6-i) - (3-i)))
[193830] ['-4i', '(3-i)', '(6-i)', '(9-8i)'] -> (-4i * (((3-i) + (6-i)) - (9-8i)))
[193832] ['-4i', '(3-i)', '(6-i)', '(9+4i)'] -> (-4i * ((9+4i) - ((3-i) + (6-i))))
[193835] ['-4i', '(3-i)', '6', '(6+2i)'] -> (((3-i) * 6) - (-4i - (6+2i)))
[193838] ['-4i', '(3-i)', '6', '(7-5i)'] -> (6 * ((7-5i) - (-4i + (3-i))))
[193841] ['-4i', '(3-i)', '6', '(7+3i)'] -> (6 * ((7+3i) + (-4i - (3-i))))
[193846] ['-4i', '(3-i)', '6', '(9-7i)'] -> (-4i * (((3-i) + 6) - (9-7i)))
[193847] ['-4i', '(3-i)', '6', '(9-i)'] -> (((3-i) * ((9-i) - -4i)) - 6)
[193848] ['-4i', '(3-i)', '6', '(9+5i)'] -> (-4i * ((9+5i) - ((3-i) + 6)))
[193849] ['-4i', '(3-i)', '6', '(9+7i)'] -> (((3-i) * (-4i + (9+7i))) - 6)
[193859] ['-4i', '(3-i)', '(6+i)', '(9-6i)'] -> (-4i * (((3-i) + (6+i)) - (9-6i)))
[193864] ['-4i', '(3-i)', '(6+i)', '(9+6i)'] -> (-4i * ((9+6i) - ((3-i) + (6+i))))
[193872] ['-4i', '(3-i)', '(6+2i)', '(9-5i)'] -> (-4i * (((3-i) + (6+2i)) - (9-5i)))
[193874] ['-4i', '(3-i)', '(6+2i)', '(9+7i)'] -> (-4i * ((9+7i) - ((3-i) + (6+2i))))
[193879] ['-4i', '(3-i)', '(6+3i)', '(7+9i)'] -> ((-9i + (1-2i)) + ((1+7i) * (2-3i)))
[193883] ['-4i', '(3-i)', '(6+3i)', '(8-4i)'] -> (((-4i + (8-4i)) * (6+3i)) / (3-i))
[193885] ['-4i', '(3-i)', '(6+3i)', '8'] -> (8 * ((6+3i) + (-4i - (3-i))))
[193886] ['-4i', '(3-i)', '(6+3i)', '(9-4i)'] -> (-4i * (((3-i) + (6+3i)) - (9-4i)))
[193890] ['-4i', '(3-i)', '(6+3i)', '(9+8i)'] -> (-4i * ((9+8i) - ((3-i) + (6+3i))))
[193891] ['-4i', '(3-i)', '(6+4i)', '(6+6i)'] -> ((6+6i) + ((3-i) * (-4i + (6+4i))))
[193896] ['-4i', '(3-i)', '(6+4i)', '(7-i)'] -> ((-4i + (6+4i)) * ((7-i) - (3-i)))
[193907] ['-4i', '(3-i)', '(6+4i)', '(9-3i)'] -> (-4i * (((3-i) + (6+4i)) - (9-3i)))
[193908] ['-4i', '(3-i)', '(6+4i)', '(9+3i)'] -> (((3-i) * (9+3i)) - (-4i + (6+4i)))
[193909] ['-4i', '(3-i)', '(6+4i)', '(9+9i)'] -> (-4i * ((9+9i) - ((3-i) + (6+4i))))
[193926] ['-4i', '(3-i)', '(6+5i)', '(9-2i)'] -> (-4i * (((3-i) + (6+5i)) - (9-2i)))
[193938] ['-4i', '(3-i)', '(6+6i)', '(8+4i)'] -> ((6+6i) * (-4i + ((8+4i) / (3-i))))
[193939] ['-4i', '(3-i)', '(6+6i)', '(8+6i)'] -> ((-4i - (6+6i)) + ((3-i) * (8+6i)))
[193941] ['-4i', '(3-i)', '(6+6i)', '(9-i)'] -> (-4i * (((3-i) + (6+6i)) - (9-i)))
[193949] ['-4i', '(3-i)', '(6+7i)', '(8-8i)'] -> (((-4i + (6+7i)) * (8-8i)) / (3-i))
[193959] ['-4i', '(3-i)', '(6+7i)', '9'] -> (-4i * (((3-i) + (6+7i)) - 9))
[193974] ['-4i', '(3-i)', '(6+8i)', '(9+i)'] -> (-4i * (((3-i) + (6+8i)) - (9+i)))
[193988] ['-4i', '(3-i)', '(6+9i)', '(9+2i)'] -> (-4i * (((3-i) + (6+9i)) - (9+2i)))
[194045] ['-4i', '(3-i)', '(7-5i)', '(8+4i)'] -> (-4i + (((8+4i) * (7-5i)) / (3-i)))
[194058] ['-4i', '(3-i)', '(7-4i)', '(9+9i)'] -> (((7-4i) * ((3-i) - -4i)) - (9+9i))
[194095] ['-4i', '(3-i)', '(7-i)', '(9+4i)'] -> ((((3-3i) + (3+3i)) * (8-8i)) / (2-2i))
[194126] ['-4i', '(3-i)', '(7+2i)', '(8+4i)'] -> ((3-i) * ((7+2i) - (-4i / (8+4i))))
[194136] ['-4i', '(3-i)', '(7+3i)', '8'] -> (((3-i) * (7+3i)) - (8 / -4i))
[194141] ['-4i', '(3-i)', '(7+3i)', '9'] -> (((3-i) * (9 - -4i)) - (7+3i))
[194144] ['-4i', '(3-i)', '(7+3i)', '(9+8i)'] -> (((3-i) * (-4i + (9+8i))) - (7+3i))
[194176] ['-4i', '(3-i)', '(7+6i)', '(8+8i)'] -> ((8+8i) * (-4i + ((7+6i) / (3-i))))
[194186] ['-4i', '(3-i)', '(7+7i)', '(9+4i)'] -> (((3-i) * (9+4i)) - (-4i + (7+7i)))
[194200] ['-4i', '(3-i)', '(7+9i)', '(8+7i)'] -> ((-4i - (7+9i)) + ((3-i) * (8+7i)))
[194207] ['-4i', '(3-i)', '(8-8i)', '(8-2i)'] -> (((3-i) * (8-8i)) - (-4i * (8-2i)))
[194209] ['-4i', '(3-i)', '(8-8i)', '(9-7i)'] -> (((5-5i) + (5+4i)) + ((6+9i) + (8-8i)))
[194233] ['-4i', '(3-i)', '(8-4i)', '(9-3i)'] -> ((((8-4i) - -4i) * (9-3i)) / (3-i))
[194255] ['-4i', '(3-i)', '8', '(9-7i)'] -> ((((9-7i) - -4i) * 8) / (3-i))
[194258] ['-4i', '(3-i)', '8', '(9+i)'] -> (((-4i + (9+i)) * 8) / (3-i))
[194259] ['-4i', '(3-i)', '8', '(9+9i)'] -> ((8 * (9+9i)) / ((3-i) - -4i))
[194263] ['-4i', '(3-i)', '(8+2i)', '(8+8i)'] -> (((3-i) * (8+2i)) + ((8+8i) / -4i))
[194267] ['-4i', '(3-i)', '(8+2i)', '(9+5i)'] -> ((2-2i) * (7 + ((3-3i) - (4-9i))))
[194277] ['-4i', '(3-i)', '(8+4i)', '(9-3i)'] -> (((5-5i) + (5+4i)) + ((7-3i) + (7+4i)))
[194292] ['-4i', '(3-i)', '(8+6i)', '(9+i)'] -> (((3-i) * ((9+i) - -4i)) - (8+6i))
[194296] ['-4i', '(3-i)', '(8+6i)', '(9+9i)'] -> (((3-i) * (-4i + (9+9i))) - (8+6i))
[194300] ['-4i', '(3-i)', '(8+8i)', '9'] -> (((8+8i) * 9) / ((3-i) - -4i))
[194302] ['-4i', '(3-i)', '(8+8i)', '(9+5i)'] -> (((2+8i) + (4-8i)) * ((4-i) - -i))
[194335] ['-4i', '(3-i)', '(9+2i)', '(9+9i)'] -> (((3-i) * ((9+2i) - -4i)) - (9+9i))
[194337] ['-4i', '(3-i)', '(9+5i)', '(9+6i)'] -> ((-4i - (9+5i)) + ((3-i) * (9+6i)))
[194340] ['-4i', '3', '3', '(3+2i)'] -> ((-4i * 3) * ((3+2i) - 3))
[194344] ['-4i', '3', '3', '(4-4i)'] -> ((3 + 3) * ((4-4i) - -4i))
[194348] ['-4i', '3', '3', '(4+4i)'] -> ((-4i + (4+4i)) * (3 + 3))
[194351] ['-4i', '3', '3', '(5-4i)'] -> (3 * ((5-4i) - (-4i - 3)))
