[92196] ['(3-3i)', '(3+i)', '(4+4i)', '(5+7i)'] -> 3-3i * (5+7i + 3+i - 4+4i)
[92199] ['(3-3i)', '(3+i)', '(4+4i)', '6'] -> 6 * (4+4i + 3-3i - 3+i)
[92214] ['(3-3i)', '(3+i)', '(4+4i)', '(8+2i)'] -> 3-3i * 3+i + 4+4i + 8+2i
[92220] ['(3-3i)', '(3+i)', '(4+4i)', '(9-5i)'] -> 4+4i * (9-5i - (3-3i + 3+i))
[92227] ['(3-3i)', '(3+i)', '(4+5i)', '(5+8i)'] -> 3-3i * (5+8i + 3+i - 4+5i)
[92232] ['(3-3i)', '(3+i)', '(4+5i)', '(6+4i)'] -> 3-3i * 4+5i + 3+i - 6+4i
[92243] ['(3-3i)', '(3+i)', '(4+5i)', '(8+i)'] -> 3-3i * 3+i + 4+5i + 8+i
[92257] ['(3-3i)', '(3+i)', '(4+6i)', '(5+9i)'] -> 3-3i * (5+9i + 3+i - 4+6i)
[92259] ['(3-3i)', '(3+i)', '(4+6i)', '(6-5i)'] -> 3+i * 6-5i - (3-3i - 4+6i)
[92261] ['(3-3i)', '(3+i)', '(4+6i)', '(6+2i)'] -> 3+i * (3-3i + 6+2i) - 4+6i
[92273] ['(3-3i)', '(3+i)', '(4+6i)', '8'] -> 3-3i * 3+i + 4+6i + 8
[92281] ['(3-3i)', '(3+i)', '(4+6i)', '(9+7i)'] -> 3-3i * 4+6i + 3+i - 9+7i
[92282] ['(3-3i)', '(3+i)', '(4+7i)', '(4+9i)'] -> 3-3i / 3+i * (4+7i + 4+9i)
[92293] ['(3-3i)', '(3+i)', '(4+7i)', '(6+8i)'] -> 3-3i * 4+7i - (3+i + 6+8i)
[92303] ['(3-3i)', '(3+i)', '(4+7i)', '(8-i)'] -> 3-3i * 3+i + 4+7i + 8-i
[92314] ['(3-3i)', '(3+i)', '(4+8i)', '(4+8i)'] -> 3-3i / 3+i * (4+8i + 4+8i)
[92319] ['(3-3i)', '(3+i)', '(4+8i)', '6'] -> 4+8i * (3-3i - 6 / 3+i)
[92320] ['(3-3i)', '(3+i)', '(4+8i)', '(6+6i)'] -> 3-3i * (6+6i - 4+8i / 3+i)
[92331] ['(3-3i)', '(3+i)', '(4+8i)', '(8-2i)'] -> 3-3i * 3+i + 4+8i + 8-2i
[92334] ['(3-3i)', '(3+i)', '(4+8i)', '(9-9i)'] -> (9-9i - 3-3i) * 4+8i / 3+i
[92344] ['(3-3i)', '(3+i)', '(4+9i)', '(6+3i)'] -> 3-3i * 4+9i - 3+i * 6+3i
[92350] ['(3-3i)', '(3+i)', '(4+9i)', '(8-3i)'] -> 3-3i * 3+i + 4+9i + 8-3i
[92376] ['(3-3i)', '(3+i)', '(5-9i)', '(6-6i)'] -> 3-3i * (6-6i + 3+i - 5-9i)
[92379] ['(3-3i)', '(3+i)', '(5-9i)', '(6+2i)'] -> 3-3i + 5-9i + 3+i * 6+2i
[92393] ['(3-3i)', '(3+i)', '(5-9i)', '9'] -> (3+i + 5-9i) * 9 / 3-3i
[92402] ['(3-3i)', '(3+i)', '(5-8i)', '(6-5i)'] -> 3-3i * (6-5i + 3+i - 5-8i)
[92431] ['(3-3i)', '(3+i)', '(5-7i)', '(5-2i)'] -> 3+i * (3-3i + 5-2i) - 5-7i
[92435] ['(3-3i)', '(3+i)', '(5-7i)', '(6-4i)'] -> 3-3i * (6-4i + 3+i - 5-7i)
[92444] ['(3-3i)', '(3+i)', '(5-7i)', '(7-i)'] -> 3+i * 7-i - (3-3i - 5-7i)
[92461] ['(3-3i)', '(3+i)', '(5-6i)', '(6-3i)'] -> 3-3i * (6-3i + 3+i - 5-6i)
[92482] ['(3-3i)', '(3+i)', '(5-5i)', '(5+2i)'] -> 6-6i * (5 - (1-7i + 2+5i))
[92491] ['(3-3i)', '(3+i)', '(5-5i)', '(6-2i)'] -> 3-3i * (6-2i + 3+i - 5-5i)
[92499] ['(3-3i)', '(3+i)', '(5-5i)', '(7+7i)'] -> 3+i * 5-5i - (3-3i - 7+7i)
[92522] ['(3-3i)', '(3+i)', '(5-4i)', '(6-i)'] -> 3-3i * (6-i + 3+i - 5-4i)
[92539] ['(3-3i)', '(3+i)', '(5-4i)', '(8+4i)'] -> 3+i * 5-4i - (3-3i - 8+4i)
[92544] ['(3-3i)', '(3+i)', '(5-4i)', '(9+6i)'] -> 4-7i * (7+3i - 5) - 5-2i
[92556] ['(3-3i)', '(3+i)', '(5-3i)', '6'] -> 3-3i * (6 + 3+i - 5-3i)
[92565] ['(3-3i)', '(3+i)', '(5-3i)', '(7+9i)'] -> 3-3i * 3+i + 5-3i + 7+9i
[92574] ['(3-3i)', '(3+i)', '(5-3i)', '(9-5i)'] -> 3+i * 9-5i - (3-3i + 5-3i)
[92576] ['(3-3i)', '(3+i)', '(5-3i)', '(9-i)'] -> (3+i + 9-i) * (5-3i - 3-3i)
[92577] ['(3-3i)', '(3+i)', '(5-3i)', '(9+i)'] -> 3+i * 5-3i - (3-3i - 9+i)
[92586] ['(3-3i)', '(3+i)', '(5-2i)', '(6+i)'] -> 3-3i * (6+i + 3+i - 5-2i)
[92594] ['(3-3i)', '(3+i)', '(5-2i)', '(7+8i)'] -> 1-4i * 2+3i + 4-2i + 6+7i
[92618] ['(3-3i)', '(3+i)', '(5-i)', '(5+i)'] -> 4-7i * (7+5i - 5+2i) - 5-2i
[92624] ['(3-3i)', '(3+i)', '(5-i)', '(6-3i)'] -> (3+i + 5-i) * (6-3i - 3-3i)
[92627] ['(3-3i)', '(3+i)', '(5-i)', '(6+2i)'] -> 3-3i * (6+2i + 3+i - 5-i)
[92631] ['(3-3i)', '(3+i)', '(5-i)', '(6+6i)'] -> (2-8i - 2+4i) * (2+i - 2-i)
