[249820] ['(2-2i)', '(5+6i)', '(6-2i)', '(7-2i)'] -> ((2-2i) * ((7-2i) + ((5+6i) - (6-2i))))
[249834] ['(2-2i)', '(5+6i)', '(6-2i)', '(9+7i)'] -> (((6-2i) * ((9+7i) - (5+6i))) - (2-2i))
[249835] ['(2-2i)', '(5+6i)', '(6-i)', '(6-i)'] -> ((2-2i) * ((5+6i) + ((6-i) / (6-i))))
[249838] ['(2-2i)', '(5+6i)', '(6-i)', '(7-i)'] -> ((2-2i) * ((7-i) + ((5+6i) - (6-i))))
[249844] ['(2-2i)', '(5+6i)', '(6-i)', '(9+8i)'] -> (((2-2i) * (6-i)) + ((5+6i) + (9+8i)))
[249846] ['(2-2i)', '(5+6i)', '6', '6'] -> ((2-2i) * ((5+6i) + (6 / 6)))
[249849] ['(2-2i)', '(5+6i)', '6', '(6+7i)'] -> (((2-2i) * 6) * ((6+7i) - (5+6i)))
[249852] ['(2-2i)', '(5+6i)', '6', '7'] -> ((2-2i) * (7 + ((5+6i) - 6)))
[249853] ['(2-2i)', '(5+6i)', '6', '(7+6i)'] -> (((2-2i) * 6) + ((5+6i) + (7+6i)))
[249854] ['(2-2i)', '(5+6i)', '6', '(7+8i)'] -> ((3+3i) * ((7-2i) - (-7i + (3+9i))))
[249863] ['(2-2i)', '(5+6i)', '(6+i)', '(6+i)'] -> ((2-2i) * ((5+6i) + ((6+i) / (6+i))))
[249868] ['(2-2i)', '(5+6i)', '(6+i)', '(7+i)'] -> ((2-2i) * ((7+i) + ((5+6i) - (6+i))))
[249874] ['(2-2i)', '(5+6i)', '(6+2i)', '(6+2i)'] -> ((2-2i) * ((5+6i) + ((6+2i) / (6+2i))))
[249880] ['(2-2i)', '(5+6i)', '(6+2i)', '(7-2i)'] -> (((6+2i) * (7-2i)) - ((2-2i) * (5+6i)))
[249881] ['(2-2i)', '(5+6i)', '(6+2i)', '(7+2i)'] -> ((2-2i) * ((7+2i) + ((5+6i) - (6+2i))))
[249885] ['(2-2i)', '(5+6i)', '(6+2i)', '(8+6i)'] -> (((2-2i) + (6+2i)) * ((8+6i) - (5+6i)))
[249887] ['(2-2i)', '(5+6i)', '(6+3i)', '(6+3i)'] -> ((2-2i) * ((5+6i) + ((6+3i) / (6+3i))))
[249889] ['(2-2i)', '(5+6i)', '(6+3i)', '(7+3i)'] -> ((2-2i) * ((7+3i) + ((5+6i) - (6+3i))))
[249894] ['(2-2i)', '(5+6i)', '(6+4i)', '(6+4i)'] -> ((2-2i) * ((5+6i) + ((6+4i) / (6+4i))))
[249899] ['(2-2i)', '(5+6i)', '(6+4i)', '(7+4i)'] -> ((2-2i) * ((7+4i) + ((5+6i) - (6+4i))))
[249907] ['(2-2i)', '(5+6i)', '(6+5i)', '(6+5i)'] -> ((2-2i) * ((5+6i) + ((6+5i) / (6+5i))))
[249912] ['(2-2i)', '(5+6i)', '(6+5i)', '(7+5i)'] -> ((2-2i) * ((7+5i) + ((5+6i) - (6+5i))))
[249914] ['(2-2i)', '(5+6i)', '(6+5i)', '(7+8i)'] -> (((2-2i) * (6+5i)) - ((5+6i) - (7+8i)))
[249924] ['(2-2i)', '(5+6i)', '(6+6i)', '(7+6i)'] -> ((2-2i) * ((7+6i) + ((5+6i) - (6+6i))))
[249927] ['(2-2i)', '(5+6i)', '(6+6i)', '(9+2i)'] -> ((6+6i) * ((9+2i) - ((2-2i) + (5+6i))))
[249928] ['(2-2i)', '(5+6i)', '(6+7i)', '(6+7i)'] -> ((2-2i) * ((5+6i) + ((6+7i) / (6+7i))))
[249931] ['(2-2i)', '(5+6i)', '(6+7i)', '(7+7i)'] -> ((2-2i) * ((7+7i) + ((5+6i) - (6+7i))))
[249932] ['(2-2i)', '(5+6i)', '(6+7i)', '(7+8i)'] -> (((2-2i) * (6+7i)) + ((5+6i) - (7+8i)))
[249938] ['(2-2i)', '(5+6i)', '(6+8i)', '(6+8i)'] -> ((2-2i) * ((5+6i) + ((6+8i) / (6+8i))))
[249940] ['(2-2i)', '(5+6i)', '(6+8i)', '(7+8i)'] -> ((2-2i) * ((7+8i) + ((5+6i) - (6+8i))))
[249941] ['(2-2i)', '(5+6i)', '(6+8i)', '8'] -> (8 * ((6+8i) + ((2-2i) - (5+6i))))
[249946] ['(2-2i)', '(5+6i)', '(6+9i)', '(6+9i)'] -> ((2-2i) * ((5+6i) + ((6+9i) / (6+9i))))
[249948] ['(2-2i)', '(5+6i)', '(6+9i)', '(7+9i)'] -> ((2-2i) * ((7+9i) + ((5+6i) - (6+9i))))
[249951] ['(2-2i)', '(5+6i)', '(7-9i)', '(7-9i)'] -> ((2-2i) * ((5+6i) + ((7-9i) / (7-9i))))
[249955] ['(2-2i)', '(5+6i)', '(7-9i)', '(8-9i)'] -> ((2-2i) * ((8-9i) + ((5+6i) - (7-9i))))
[249961] ['(2-2i)', '(5+6i)', '(7-8i)', '(7-8i)'] -> ((2-2i) * ((5+6i) + ((7-8i) / (7-8i))))
[249964] ['(2-2i)', '(5+6i)', '(7-8i)', '(8-8i)'] -> ((2-2i) * ((8-8i) + ((5+6i) - (7-8i))))
[249969] ['(2-2i)', '(5+6i)', '(7-7i)', '(7-7i)'] -> ((2-2i) * ((5+6i) + ((7-7i) / (7-7i))))
[249970] ['(2-2i)', '(5+6i)', '(7-7i)', '(8-7i)'] -> ((2-2i) * ((8-7i) + ((5+6i) - (7-7i))))
[249976] ['(2-2i)', '(5+6i)', '(7-6i)', '(7-6i)'] -> ((2-2i) * ((5+6i) + ((7-6i) / (7-6i))))
[249978] ['(2-2i)', '(5+6i)', '(7-6i)', '(8-6i)'] -> (((1-3i) * (6+9i)) - ((2-2i) + (7-7i)))
[249982] ['(2-2i)', '(5+6i)', '(7-6i)', '(9+9i)'] -> (((2-2i) * (9+9i)) - ((5+6i) + (7-6i)))
[249983] ['(2-2i)', '(5+6i)', '(7-5i)', '(7-5i)'] -> ((2-2i) * ((5+6i) + ((7-5i) / (7-5i))))
[249984] ['(2-2i)', '(5+6i)', '(7-5i)', '(8-5i)'] -> ((2-2i) * ((8-5i) + ((5+6i) - (7-5i))))
[249988] ['(2-2i)', '(5+6i)', '(7-4i)', '(7-4i)'] -> ((2-2i) * ((5+6i) + ((7-4i) / (7-4i))))
[249991] ['(2-2i)', '(5+6i)', '(7-4i)', '(8-4i)'] -> ((2-2i) * ((8-4i) + ((5+6i) - (7-4i))))
