[132303] ['(3-8i)', '(3+2i)', '(3+2i)', '(4-6i)'] -> ((6+i) - ((4-3i) * ((5+5i) - (8+7i))))
[132313] ['(3-8i)', '(3+2i)', '(3+2i)', '(5-6i)'] -> ((3+2i) * ((5-6i) - ((3-8i) / (3+2i))))
[132317] ['(3-8i)', '(3+2i)', '(3+2i)', '(5+4i)'] -> ((3+3i) * ((2-2i) - (-4i - (2-6i))))
[132336] ['(3-8i)', '(3+2i)', '(3+2i)', '(8-4i)'] -> (((3+2i) * ((8-4i) - (3+2i))) - (3-8i))
[132346] ['(3-8i)', '(3+2i)', '(3+3i)', '(4-6i)'] -> (((3+3i) * (4-6i)) - ((3-8i) + (3+2i)))
[132347] ['(3-8i)', '(3+2i)', '(3+3i)', '(4-3i)'] -> (((3+2i) * ((3-8i) + (3+3i))) - (4-3i))
[132348] ['(3-8i)', '(3+2i)', '(3+3i)', '(4-2i)'] -> (8 - (-4i * ((2-6i) - (2-2i))))
[132351] ['(3-8i)', '(3+2i)', '(3+3i)', '(4+6i)'] -> ((3+3i) * ((4+6i) + ((3-8i) - (3+2i))))
[132358] ['(3-8i)', '(3+2i)', '(3+3i)', '(5+5i)'] -> (((3-8i) + (3+2i)) * ((5+5i) - (3+3i)))
[132371] ['(3-8i)', '(3+2i)', '(3+3i)', '(8-3i)'] -> (((3+2i) * ((8-3i) - (3+3i))) - (3-8i))
[132382] ['(3-8i)', '(3+2i)', '(3+4i)', '(4-6i)'] -> ((3-3i) * (((5-6i) + (6+7i)) - (7-3i)))
[132387] ['(3-8i)', '(3+2i)', '(3+4i)', '(5+6i)'] -> (((3-8i) + (3+2i)) * ((5+6i) - (3+4i)))
[132402] ['(3-8i)', '(3+2i)', '(3+4i)', '(8-2i)'] -> (((3+2i) * ((8-2i) - (3+4i))) - (3-8i))
[132416] ['(3-8i)', '(3+2i)', '(3+5i)', '(4+5i)'] -> (((3+2i) * ((3-8i) + (4+5i))) - (3+5i))
[132417] ['(3-8i)', '(3+2i)', '(3+5i)', '(5+7i)'] -> (((3-8i) + (3+2i)) * ((5+7i) - (3+5i)))
[132423] ['(3-8i)', '(3+2i)', '(3+5i)', '(8-i)'] -> (((3+2i) * ((8-i) - (3+5i))) - (3-8i))
[132434] ['(3-8i)', '(3+2i)', '(3+6i)', '(5+8i)'] -> ((8-2i) - ((3+2i) * ((1-7i) - (5-9i))))
[132442] ['(3-8i)', '(3+2i)', '(3+6i)', '8'] -> (((3+2i) * (8 - (3+6i))) - (3-8i))
[132448] ['(3-8i)', '(3+2i)', '(3+7i)', '(4-9i)'] -> ((4-9i) + ((3+2i) * ((3-8i) + (3+7i))))
[132455] ['(3-8i)', '(3+2i)', '(3+7i)', '(4+4i)'] -> (8 * ((5+3i) + ((1-4i) - (3-i))))
[132467] ['(3-8i)', '(3+2i)', '(3+7i)', '(5+9i)'] -> (((3-3i) + (9+3i)) * ((7-6i) - (5-6i)))
[132481] ['(3-8i)', '(3+2i)', '(3+7i)', '(8+i)'] -> (((3+2i) * ((8+i) - (3+7i))) - (3-8i))
