[426613] ['(1-2i)', '(4-i)', '(6+6i)', '(7-5i)'] -> ((6+6i) * ((7-5i) - ((1-2i) + (4-i))))
[426615] ['(1-2i)', '(4-i)', '(6+6i)', '(8-4i)'] -> (((6+6i) * (8-4i)) / ((4-i) - (1-2i)))
[426617] ['(1-2i)', '(4-i)', '(6+6i)', '(8+9i)'] -> (((4-i) * ((1-2i) + (6+6i))) - (8+9i))
[426625] ['(1-2i)', '(4-i)', '(6+7i)', '(7+3i)'] -> (((4-i) * (7+3i)) - ((1-2i) + (6+7i)))
[426626] ['(1-2i)', '(4-i)', '(6+7i)', '(8+4i)'] -> (((1-2i) * (6+7i)) - ((4-i) - (8+4i)))
[426633] ['(1-2i)', '(4-i)', '(6+8i)', '(8+7i)'] -> (((1-2i) * (8+7i)) - ((4-i) - (6+8i)))
[426647] ['(1-2i)', '(4-i)', '(7-7i)', '8'] -> (((7-7i) - (4-i)) / ((1-2i) / 8))
[426658] ['(1-2i)', '(4-i)', '(7-6i)', '8'] -> (((4-i) * 8) - ((1-2i) + (7-6i)))
[426677] ['(1-2i)', '(4-i)', '(7-3i)', '(9-4i)'] -> (((9-4i) * ((4-i) - (1-2i))) - (7-3i))
[426708] ['(1-2i)', '(4-i)', '(7+2i)', '(8-8i)'] -> (((4-i) * ((1-2i) + (7+2i))) - (8-8i))
[426717] ['(1-2i)', '(4-i)', '(7+3i)', '(8+3i)'] -> (((1-2i) - (8+3i)) + ((4-i) * (7+3i)))
[426721] ['(1-2i)', '(4-i)', '(7+3i)', '(9-4i)'] -> (((4-i) * ((1-2i) + (7+3i))) - (9-4i))
[426730] ['(1-2i)', '(4-i)', '(7+4i)', '(9+7i)'] -> (((1-2i) - (9+7i)) + ((4-i) * (7+4i)))
[426733] ['(1-2i)', '(4-i)', '(7+5i)', '(8+i)'] -> (((4-i) * ((8+i) - (1-2i))) - (7+5i))
[426736] ['(1-2i)', '(4-i)', '(7+6i)', '(7+7i)'] -> (((1-2i) * (7+7i)) - ((4-i) - (7+6i)))
[426741] ['(1-2i)', '(4-i)', '(7+6i)', '(9+7i)'] -> (((1-2i) * (7+6i)) - ((4-i) - (9+7i)))
[426767] ['(1-2i)', '(4-i)', '(8-8i)', '(9-2i)'] -> (((4-i) * ((9-2i) - (1-2i))) - (8-8i))
[426779] ['(1-2i)', '(4-i)', '(8-6i)', '(9-5i)'] -> (((9-5i) * ((4-i) - (1-2i))) - (8-6i))
