[292048] ['-3i', '(1-5i)', '(3+5i)', '(5-5i)'] -> (((5-5i) * (-3i + (3+5i))) - (1-5i))
[292053] ['-3i', '(1-5i)', '(3+5i)', '(6-8i)'] -> (((3+5i) + (6-8i)) - (-3i * (1-5i)))
[292055] ['-3i', '(1-5i)', '(3+5i)', '(6-6i)'] -> ((-3i * ((3+5i) - (1-5i))) - (6-6i))
[292056] ['-3i', '(1-5i)', '(3+5i)', '(6-3i)'] -> (((1-5i) + (3+5i)) * ((6-3i) - -3i))
[292058] ['-3i', '(1-5i)', '(3+5i)', '(6+3i)'] -> ((7-i) - ((1-2i) * ((1-8i) - (4-i))))
[292070] ['-3i', '(1-5i)', '(3+6i)', '(4-7i)'] -> (-3i * (((1-5i) + (3+6i)) - (4-7i)))
[292072] ['-3i', '(1-5i)', '(3+6i)', '(4+9i)'] -> (-3i * ((4+9i) - ((1-5i) + (3+6i))))
[292073] ['-3i', '(1-5i)', '(3+6i)', '(5-9i)'] -> ((-3i + (3+6i)) * ((5-9i) - (1-5i)))
[292076] ['-3i', '(1-5i)', '(3+6i)', '(6-9i)'] -> (((3+6i) + (6-9i)) - (-3i * (1-5i)))
[292077] ['-3i', '(1-5i)', '(3+6i)', '(7+4i)'] -> ((-3i * (3+6i)) - ((1-5i) - (7+4i)))
[292086] ['-3i', '(1-5i)', '(3+7i)', '(4-6i)'] -> (-3i * (((1-5i) + (3+7i)) - (4-6i)))
[292087] ['-3i', '(1-5i)', '(3+7i)', '(4+4i)'] -> ((-3i * (3+7i)) - ((1-5i) - (4+4i)))
[292102] ['-3i', '(1-5i)', '(3+8i)', '(4-5i)'] -> (-3i * (((1-5i) + (3+8i)) - (4-5i)))
[292110] ['-3i', '(1-5i)', '(3+8i)', '6'] -> (6 * ((3+8i) + (-3i + (1-5i))))
[292117] ['-3i', '(1-5i)', '(3+9i)', '(4-4i)'] -> (-3i * (((1-5i) + (3+9i)) - (4-4i)))
[292121] ['-3i', '(1-5i)', '(3+9i)', '(4+4i)'] -> (((3+9i) * (4+4i)) / (-3i - (1-5i)))
[292122] ['-3i', '(1-5i)', '(3+9i)', '(5+i)'] -> ((1-5i) * (((3+9i) / (5+i)) - -3i))
[292128] ['-3i', '(1-5i)', '(3+9i)', '(9-9i)'] -> (((1-5i) * (-3i + (3+9i))) - (9-9i))
[292133] ['-3i', '(1-5i)', '(4-9i)', '(4+7i)'] -> (((1-5i) - (4+7i)) - (-3i * (4-9i)))
[292134] ['-3i', '(1-5i)', '(4-9i)', '(5-6i)'] -> (-3i * ((5-6i) - ((1-5i) + (4-9i))))
[292135] ['-3i', '(1-5i)', '(4-9i)', '(5+6i)'] -> (((4-9i) + (5+6i)) - (-3i * (1-5i)))
[292149] ['-3i', '(1-5i)', '(4-8i)', '(4+7i)'] -> ((-3i + (4+7i)) * ((4-8i) - (1-5i)))
[292152] ['-3i', '(1-5i)', '(4-8i)', '(5-5i)'] -> (-3i * ((5-5i) - ((1-5i) + (4-8i))))
[292156] ['-3i', '(1-5i)', '(4-8i)', '(5+5i)'] -> (((4-8i) + (5+5i)) - (-3i * (1-5i)))
[292158] ['-3i', '(1-5i)', '(4-8i)', '6'] -> (((4-8i) * 6) / ((1-5i) - -3i))
[292160] ['-3i', '(1-5i)', '(4-8i)', '8'] -> (8 * ((4-8i) - (-3i + (1-5i))))
[292164] ['-3i', '(1-5i)', '(4-7i)', '(5-4i)'] -> (-3i * ((5-4i) - ((1-5i) + (4-7i))))
[292165] ['-3i', '(1-5i)', '(4-7i)', '(5+4i)'] -> (((4-7i) + (5+4i)) - (-3i * (1-5i)))
[292169] ['-3i', '(1-5i)', '(4-7i)', '(6+3i)'] -> (((6+3i) * ((4-7i) - (1-5i))) - -3i)
[292182] ['-3i', '(1-5i)', '(4-6i)', '(5-7i)'] -> (((1-5i) + (5-7i)) - (-3i * (4-6i)))
[292183] ['-3i', '(1-5i)', '(4-6i)', '(5-3i)'] -> (-3i * ((5-3i) - ((1-5i) + (4-6i))))
[292184] ['-3i', '(1-5i)', '(4-6i)', '(5+3i)'] -> (((4-6i) + (5+3i)) - (-3i * (1-5i)))
[292192] ['-3i', '(1-5i)', '(4-5i)', '(4-4i)'] -> ((4-4i) * ((4-5i) - (-3i + (1-5i))))
[292193] ['-3i', '(1-5i)', '(4-5i)', '(4+4i)'] -> ((4+4i) * ((4-5i) + (-3i - (1-5i))))
[292195] ['-3i', '(1-5i)', '(4-5i)', '(5-2i)'] -> (-3i * ((5-2i) - ((1-5i) + (4-5i))))
[292196] ['-3i', '(1-5i)', '(4-5i)', '(5+2i)'] -> (((4-5i) + (5+2i)) - (-3i * (1-5i)))
[292202] ['-3i', '(1-5i)', '(4-5i)', '(8-7i)'] -> (((1-5i) + (8-7i)) - (-3i * (4-5i)))
[292203] ['-3i', '(1-5i)', '(4-5i)', '(8-i)'] -> (((8-i) * ((4-5i) - (1-5i))) - -3i)
[292205] ['-3i', '(1-5i)', '(4-5i)', '(8+3i)'] -> ((-3i + (8+3i)) * ((4-5i) - (1-5i)))
[292207] ['-3i', '(1-5i)', '(4-4i)', '(4+i)'] -> ((4-4i) * ((4+i) + (-3i - (1-5i))))
[292208] ['-3i', '(1-5i)', '(4-4i)', '(4+6i)'] -> ((-3i / (1-5i)) * ((4-4i) * (4+6i)))
[292209] ['-3i', '(1-5i)', '(4-4i)', '(5-i)'] -> (-3i * ((5-i) - ((1-5i) + (4-4i))))
[292210] ['-3i', '(1-5i)', '(4-4i)', '(5+i)'] -> (((4-4i) + (5+i)) - (-3i * (1-5i)))
[292215] ['-3i', '(1-5i)', '(4-4i)', '(8-4i)'] -> (((1-5i) + (8-4i)) / (-3i / (4-4i)))
[292216] ['-3i', '(1-5i)', '(4-4i)', '(9-3i)'] -> (((4-4i) * (9-3i)) / ((1-5i) - -3i))
[292218] ['-3i', '(1-5i)', '(4-3i)', '(5+5i)'] -> (((1-5i) + (5+5i)) * ((4-3i) - -3i))
[292225] ['-3i', '(1-5i)', '(4-2i)', '(4-i)'] -> ((-3i + (4-i)) * ((4-2i) - (1-5i)))
[292227] ['-3i', '(1-5i)', '(4-2i)', '(5-i)'] -> (((4-2i) + (5-i)) - (-3i * (1-5i)))
