[1152] ['8', '12', '13', '13', '13'] -> (13 / ((13 / 8) - (13 / 12)))
[1156] ['8', '12', '17', '17', '26'] -> (((26 / 17) + (8 / 17)) * 12)
[1157] ['8', '12', '26', '26', '26'] -> (26 / ((26 / 8) - (26 / 12)))
[1158] ['8', '12', '19', '19', '30'] -> (((30 / 19) + (8 / 19)) * 12)
[1159] ['8', '13', '13', '14', '21'] -> (8 / ((13 / 13) - (14 / 21)))
[1160] ['8', '12', '22', '22', '22'] -> (22 / ((22 / 8) - (22 / 12)))
[1161] ['8', '12', '25', '25', '25'] -> (25 / ((25 / 8) - (25 / 12)))
[1162] ['8', '12', '23', '23', '23'] -> (23 / ((23 / 8) - (23 / 12)))
[1164] ['8', '13', '13', '18', '30'] -> (30 / ((18 / 8) - (13 / 13)))
[1167] ['8', '13', '15', '21', '28'] -> (13 / ((15 / 8) - (28 / 21)))
[1181] ['8', '14', '21', '27', '27'] -> (8 / ((27 / 27) - (14 / 21)))
[1182] ['8', '14', '21', '29', '29'] -> (8 / ((29 / 29) - (14 / 21)))
[1184] ['8', '15', '17', '17', '20'] -> (8 / ((20 / 15) - (17 / 17)))
[1185] ['8', '13', '22', '27', '27'] -> (8 / ((22 / 27) - (13 / 27)))
[1187] ['8', '16', '16', '18', '27'] -> (8 / ((16 / 16) - (18 / 27)))
[1190] ['8', '15', '21', '25', '25'] -> (21 / ((15 / 8) - (25 / 25)))
[1191] ['8', '15', '21', '29', '29'] -> (21 / ((15 / 8) - (29 / 29)))
[1197] ['8', '17', '18', '18', '23'] -> (8 / ((23 / 18) - (17 / 18)))
[1198] ['8', '18', '18', '28', '29'] -> (28 / ((29 / 18) - (8 / 18)))
[1199] ['8', '17', '17', '21', '30'] -> (((21 / 17) + (30 / 17)) * 8)
[1201] ['8', '18', '23', '23', '30'] -> (30 / ((18 / 8) - (23 / 23)))
[1203] ['8', '18', '18', '19', '25'] -> (8 / ((25 / 18) - (19 / 18)))
[1205] ['8', '18', '19', '19', '27'] -> (8 / ((19 / 19) - (18 / 27)))
[1207] ['8', '17', '17', '18', '30'] -> (30 / ((18 / 8) - (17 / 17)))
[1210] ['8', '18', '25', '25', '30'] -> (30 / ((18 / 8) - (25 / 25)))
[1211] ['8', '17', '27', '29', '29'] -> (27 / ((17 / 8) - (29 / 29)))
[1213] ['8', '20', '23', '23', '30'] -> (8 / ((23 / 23) - (20 / 30)))
[1214] ['8', '19', '19', '20', '30'] -> (8 / ((19 / 19) - (20 / 30)))
[1217] ['8', '20', '29', '29', '30'] -> (8 / ((29 / 29) - (20 / 30)))
[1224] ['8', '20', '27', '27', '30'] -> (8 / ((27 / 27) - (20 / 30)))
[1226] ['8', '21', '28', '29', '29'] -> (8 / ((28 / 21) - (29 / 29)))
[1228] ['8', '19', '29', '30', '30'] -> (8 / ((29 / 30) - (19 / 30)))
[1229] ['8', '20', '20', '20', '26'] -> (((20 / 8) - (26 / 20)) * 20)
[1235] ['9', '9', '11', '18', '26'] -> (((11 / 9) + (26 / 18)) * 9)
[1251] ['9', '9', '16', '16', '18'] -> (((16 / 18) + (16 / 9)) * 9)
[1252] ['9', '9', '16', '18', '18'] -> (((18 / 9) - (9 / 18)) * 16)
[1254] ['9', '9', '16', '19', '25'] -> (16 / ((25 / 9) - (19 / 9)))
[1256] ['9', '9', '16', '23', '29'] -> (16 / ((29 / 9) - (23 / 9)))
[1269] ['9', '10', '16', '26', '26'] -> (9 / ((26 / 26) - (10 / 16)))
[1276] ['9', '11', '11', '16', '25'] -> (((25 / (11 - 9)) - 11) * 16)
[1277] ['9', '11', '11', '18', '30'] -> (((11 / 11) + (30 / 18)) * 9)
[1287] ['9', '11', '25', '25', '30'] -> (((11 / 25) + (9 / 25)) * 30)
[1290] ['9', '12', '17', '17', '25'] -> (((25 / 17) + (9 / 17)) * 12)
[1300] ['9', '13', '15', '28', '30'] -> (28 / ((13 / 15) + (9 / 30)))
[1311] ['9', '15', '15', '26', '30'] -> (((30 / 9) - (26 / 15)) * 15)
[1318] ['9', '16', '16', '23', '29'] -> (9 / ((29 / 16) - (23 / 16)))
[1324] ['9', '17', '17', '18', '30'] -> (((17 / 17) + (30 / 18)) * 9)
[1329] ['9', '18', '23', '23', '30'] -> (((23 / 23) + (30 / 18)) * 9)
[1331] ['9', '18', '19', '19', '30'] -> (((19 / 19) + (30 / 18)) * 9)
[1336] ['9', '17', '23', '23', '27'] -> (((17 / 9) - (23 / 23)) * 27)
[1341] ['9', '17', '27', '28', '28'] -> (((17 / 9) - (28 / 28)) * 27)
[1344] ['9', '18', '29', '29', '30'] -> (((29 / 29) + (30 / 18)) * 9)
[1345] ['9', '18', '30', '30', '30'] -> (((30 / 18) + (30 / 30)) * 9)
[1352] ['9', '21', '21', '28', '28'] -> (((28 / 21) + (28 / 21)) * 9)
[1364] ['10', '10', '10', '25', '28'] -> (((28 / 10) - (10 / 25)) * 10)
[1376] ['9', '25', '25', '29', '30'] -> (((29 / 25) - (9 / 25)) * 30)
[1378] ['10', '10', '15', '21', '21'] -> (((10 / 15) + (10 / 21)) * 21)
[1379] ['10', '10', '15', '23', '26'] -> (26 - (23 / ((15 / 10) + 10)))
[1380] ['10', '10', '17', '21', '30'] -> (((17 / 10) + (21 / 30)) * 10)
[1393] ['10', '10', '17', '17', '20'] -> (((20 / 10) - (10 / 17)) * 17)
[1401] ['10', '12', '12', '23', '28'] -> (10 / ((28 / 12) - (23 / 12)))
[1404] ['10', '12', '15', '23', '23'] -> (12 / ((15 / 10) - (23 / 23)))
[1408] ['10', '12', '17', '23', '23'] -> (10 / ((17 / 12) - (23 / 23)))
[1409] ['10', '12', '21', '21', '28'] -> (10 / ((21 / 12) - (28 / 21)))
[1415] ['10', '13', '13', '16', '20'] -> (((10 / 20) + (13 / 13)) * 16)
[1422] ['10', '13', '13', '26', '28'] -> (((10 / 13) + (28 / 26)) * 13)
[1424] ['10', '14', '14', '19', '28'] -> (((10 / 28) + (19 / 14)) * 14)
[1428] ['10', '15', '15', '15', '26'] -> (((26 / 10) - (15 / 15)) * 15)
[1434] ['10', '15', '17', '17', '26'] -> (((26 / 10) - (17 / 17)) * 15)
[1436] ['10', '16', '20', '23', '23'] -> (((10 / 20) + (23 / 23)) * 16)
[1437] ['10', '16', '20', '29', '29'] -> (((10 / 20) + (29 / 29)) * 16)
[1438] ['10', '15', '21', '28', '28'] -> (((21 / 15) + (28 / 28)) * 10)
[1439] ['10', '16', '17', '17', '20'] -> (((10 / 20) + (17 / 17)) * 16)
[1440] ['10', '16', '25', '29', '29'] -> (((25 / 10) - (29 / 29)) * 16)
[1441] ['10', '16', '22', '25', '30'] -> (25 / ((22 / 16) - (10 / 30)))
[1451] ['10', '17', '27', '30', '30'] -> (((17 / 10) - (27 / 30)) * 30)
[1460] ['10', '20', '23', '23', '28'] -> (((23 / 23) + (28 / 20)) * 10)
[1465] ['10', '20', '28', '29', '29'] -> (((28 / 20) + (29 / 29)) * 10)
[1507] ['11', '11', '12', '22', '30'] -> (((30 / 11) - (12 / 22)) * 11)
[1520] ['11', '11', '16', '18', '30'] -> (16 / ((30 / 18) - (11 / 11)))
[1523] ['11', '11', '16', '22', '22'] -> (((22 / 11) - (11 / 22)) * 16)
[1543] ['11', '12', '19', '19', '27'] -> (((11 / 19) + (27 / 19)) * 12)
[1551] ['11', '12', '20', '20', '29'] -> (((11 / 20) + (29 / 20)) * 12)
[1563] ['11', '14', '16', '16', '25'] -> (((25 / (16 - 14)) - 11) * 16)
[1574] ['11', '15', '15', '23', '30'] -> (((23 / 15) - (11 / 15)) * 30)
[1582] ['11', '15', '15', '16', '22'] -> (((11 / 22) + (15 / 15)) * 16)
[1589] ['11', '16', '16', '18', '23'] -> (18 / ((23 / 16) - (11 / 16)))
[1592] ['11', '16', '17', '17', '22'] -> (((11 / 22) + (17 / 17)) * 16)
[1596] ['11', '16', '22', '23', '23'] -> (((11 / 22) + (23 / 23)) * 16)
[1597] ['11', '16', '22', '26', '26'] -> (((11 / 22) + (26 / 26)) * 16)
[1612] ['11', '16', '25', '25', '27'] -> (((25 / (27 - 25)) - 11) * 16)
