[470] ['9', '12', '84'] -> (12 * 9) - 84
[471] ['9', '12', '72'] -> 72 / (12 - 9)
[472] ['9', '13', '93'] -> (13 * 9) - 93
[473] ['9', '13', '96'] -> 96 / (13 - 9)
[474] ['9', '13', '99'] -> (99 / 9) + 13
[475] ['9', '14', '90'] -> (90 / 9) + 14
[476] ['9', '15', '81'] -> (81 / 9) + 15
[477] ['9', '16', '72'] -> (72 / 9) + 16
[478] ['9', '17', '63'] -> (63 / 9) + 17
[479] ['9', '18', '22'] -> (18 / 9) + 22
[480] ['9', '18', '26'] -> 26 - (18 / 9)
[481] ['9', '18', '54'] -> (54 / 9) + 18
[482] ['9', '19', '45'] -> (45 / 9) + 19
[483] ['9', '20', '36'] -> (36 / 9) + 20
[484] ['9', '21', '27'] -> (27 / 9) + 21
[485] ['9', '27', '27'] -> 27 - (27 / 9)
[486] ['1', '1', '48'] -> 48 / (1 + 1)
[487] ['1', '3', '96'] -> 96 / (1 + 3)
[488] ['9', '28', '36'] -> 28 - (36 / 9)
[489] ['9', '29', '45'] -> 29 - (45 / 9)
[490] ['9', '30', '54'] -> 30 - (54 / 9)
[491] ['9', '31', '63'] -> 31 - (63 / 9)
[492] ['9', '32', '72'] -> 32 - (72 / 9)
[493] ['9', '33', '81'] -> 33 - (81 / 9)
[494] ['9', '34', '90'] -> 34 - (90 / 9)
[495] ['9', '35', '99'] -> 35 - (99 / 9)
[496] ['1', '4', '5'] -> (1 + 5) * 4
[497] ['10', '10', '23'] -> (10 / 10) + 23
[498] ['10', '10', '25'] -> 25 - (10 / 10)
[499] ['10', '10', '76'] -> (10 * 10) - 76
[500] ['10', '11', '86'] -> (10 * 11) - 86
[501] ['10', '12', '12'] -> (12 - 10) * 12
[502] ['10', '12', '48'] -> 48 / (12 - 10)
[503] ['10', '12', '96'] -> (10 * 12) - 96
[504] ['10', '13', '72'] -> 72 / (13 - 10)
[505] ['10', '14', '96'] -> 96 / (14 - 10)
[506] ['10', '15', '90'] -> (90 / 10) + 15
[507] ['10', '16', '80'] -> (80 / 10) + 16
[508] ['10', '17', '70'] -> (70 / 10) + 17
[509] ['10', '18', '60'] -> (60 / 10) + 18
[510] ['10', '19', '50'] -> (50 / 10) + 19
[511] ['10', '20', '22'] -> (20 / 10) + 22
[512] ['10', '20', '40'] -> (40 / 10) + 20
[513] ['10', '20', '26'] -> 26 - (20 / 10)
[514] ['10', '21', '30'] -> (30 / 10) + 21
