[239] ['1', '22', '36'] -> 36 + (1 / 22) mod 53
[240] ['1', '22', '39'] -> 39 * (22 - 1) mod 53
[241] ['1', '22', '42'] -> 1 + (22 * 42) mod 53
[242] ['1', '23', '34'] -> 1 / (23 - 34) mod 53
[243] ['1', '23', '42'] -> 23 / (1 - 42) mod 53
[244] ['1', '23', '44'] -> (1 / 44) - 23 mod 53
[245] ['1', '23', '45'] -> (45 / 23) - 1 mod 53
[246] ['1', '24', '45'] -> (1 + 45) / 24 mod 53
[247] ['1', '25', '32'] -> (1 + 25) / 32 mod 53
[248] ['1', '25', '33'] -> 1 - (25 * 33) mod 53
[249] ['1', '25', '38'] -> 25 * (38 - 1) mod 53
[250] ['1', '25', '44'] -> 25 / (44 - 1) mod 53
[251] ['1', '26', '26'] -> 26 + (1 / 26) mod 53
[252] ['1', '26', '31'] -> 26 / (1 + 31) mod 53
[253] ['1', '26', '33'] -> 26 / (33 - 1) mod 53
[254] ['1', '26', '35'] -> (1 / 35) - 26 mod 53
[255] ['1', '26', '36'] -> 36 / (1 - 26) mod 53
[256] ['1', '26', '40'] -> (1 + 40) / 26 mod 53
[257] ['1', '26', '42'] -> (42 - 1) / 26 mod 53
[258] ['1', '26', '43'] -> (26 - 1) / 43 mod 53
[259] ['1', '26', '46'] -> 1 - (26 * 46) mod 53
[260] ['1', '26', '48'] -> 48 * (1 + 26) mod 53
[261] ['1', '27', '32'] -> (27 - 1) / 32 mod 53
[262] ['1', '27', '33'] -> 27 / (1 - 33) mod 53
[263] ['1', '27', '36'] -> 36 / (1 + 27) mod 53
[264] ['1', '27', '39'] -> (39 / 27) - 1 mod 53
[265] ['1', '27', '41'] -> 41 / (27 - 1) mod 53
[266] ['1', '27', '42'] -> (1 - 42) / 27 mod 53
[267] ['1', '27', '46'] -> 1 + (27 * 46) mod 53
[268] ['1', '27', '47'] -> 27 * (1 + 47) mod 53
[269] ['1', '28', '32'] -> (1 - 28) / 32 mod 53
[270] ['1', '28', '33'] -> 1 + (28 * 33) mod 53
[271] ['1', '28', '35'] -> (1 + 35) / 28 mod 53
[272] ['1', '28', '37'] -> (37 - 1) / 28 mod 53
[273] ['1', '28', '38'] -> 28 * (1 - 38) mod 53
[274] ['1', '28', '39'] -> 1 / (28 - 39) mod 53
[275] ['1', '28', '40'] -> 28 - (1 / 40) mod 53
[276] ['1', '28', '44'] -> 28 / (1 - 44) mod 53
[277] ['1', '29', '32'] -> 29 - (1 / 32) mod 53
[278] ['1', '29', '35'] -> 35 - (1 / 29) mod 53
[279] ['1', '29', '37'] -> 37 * (1 - 29) mod 53
[280] ['1', '29', '43'] -> (1 - 29) / 43 mod 53
[281] ['1', '30', '30'] -> (1 + 30) / 30 mod 53
[282] ['1', '30', '33'] -> (30 / 33) - 1 mod 53
[283] ['1', '30', '40'] -> 30 / (1 + 40) mod 53
[284] ['1', '30', '42'] -> 30 / (42 - 1) mod 53
[285] ['1', '30', '44'] -> 30 + (1 / 44) mod 53
[286] ['1', '30', '45'] -> (30 * 45) - 1 mod 53
[287] ['1', '31', '33'] -> (33 / 31) - 1 mod 53
[288] ['1', '31', '35'] -> (31 * 35) - 1 mod 53
[289] ['1', '31', '36'] -> 36 - (1 / 31) mod 53
[290] ['1', '31', '38'] -> 31 - (1 / 38) mod 53
[291] ['1', '31', '50'] -> (31 / 50) - 1 mod 53
[292] ['1', '32', '33'] -> 32 + (1 / 33) mod 53
[293] ['1', '32', '34'] -> (1 / 32) - 34 mod 53
[294] ['1', '32', '35'] -> 32 / (1 - 35) mod 53
[295] ['1', '32', '40'] -> 32 * (1 - 40) mod 53
[296] ['1', '32', '43'] -> 1 / (32 - 43) mod 53
[297] ['1', '32', '50'] -> 50 / (1 + 32) mod 53
[298] ['1', '33', '39'] -> 39 * (1 - 33) mod 53
[299] ['1', '33', '40'] -> (1 / 40) - 33 mod 53
[300] ['1', '33', '46'] -> 33 / (1 - 46) mod 53
[301] ['1', '33', '47'] -> 33 + (1 / 47) mod 53
[302] ['1', '33', '49'] -> (1 + 49) / 33 mod 53
[303] ['1', '33', '51'] -> (51 - 1) / 33 mod 53
[304] ['1', '34', '34'] -> 34 * (1 + 34) mod 53
[305] ['1', '34', '36'] -> 34 * (36 - 1) mod 53
[306] ['1', '34', '37'] -> 34 + (1 / 37) mod 53
[307] ['1', '34', '38'] -> 38 + (1 / 34) mod 53
[308] ['1', '34', '39'] -> (1 + 34) / 39 mod 53
[309] ['1', '34', '51'] -> 34 / (51 - 1) mod 53
[310] ['1', '35', '35'] -> 35 * (35 - 1) mod 53
[311] ['1', '35', '36'] -> 36 * (1 + 35) mod 53
[312] ['1', '35', '37'] -> 1 + (35 * 37) mod 53
[313] ['1', '35', '38'] -> 35 / (1 + 38) mod 53
[314] ['1', '35', '40'] -> 35 / (40 - 1) mod 53
[315] ['1', '35', '44'] -> (1 + 44) / 35 mod 53
[316] ['1', '35', '50'] -> (35 - 1) / 50 mod 53
[317] ['1', '36', '37'] -> 36 * (37 - 1) mod 53
[318] ['1', '36', '39'] -> (36 - 1) / 39 mod 53
[319] ['1', '36', '49'] -> 49 + (1 / 36) mod 53
[320] ['1', '37', '37'] -> 37 / (1 - 37) mod 53
[321] ['1', '37', '48'] -> 1 / (37 - 48) mod 53
[322] ['1', '37', '49'] -> 37 - (1 / 49) mod 53
[323] ['1', '38', '43'] -> (1 - 43) / 38 mod 53
[324] ['1', '38', '51'] -> 1 - (38 * 51) mod 53
[325] ['1', '39', '40'] -> 1 + (39 * 40) mod 53
[326] ['1', '39', '42'] -> 42 / (1 - 39) mod 53
[327] ['1', '39', '46'] -> 39 - (1 / 46) mod 53
[328] ['1', '40', '42'] -> 40 * (1 + 42) mod 53
[329] ['1', '40', '46'] -> (46 / 40) - 1 mod 53
[330] ['1', '40', '47'] -> (40 * 47) - 1 mod 53
[331] ['1', '41', '43'] -> 43 * (41 - 1) mod 53
[332] ['1', '41', '47'] -> 47 / (1 - 41) mod 53
[333] ['1', '41', '50'] -> 41 * (1 + 50) mod 53
