[276] ['4', '6', '19'] -> 19 * (4 - 6) mod 31
[277] ['4', '6', '28'] -> (6 + 28) / 4 mod 31
[278] ['4', '6', '29'] -> (6 / 29) - 4 mod 31
[279] ['4', '7', '9'] -> (4 + 9) / 7 mod 31
[280] ['4', '7', '15'] -> 4 - (15 / 7) mod 31
[281] ['4', '7', '22'] -> (4 - 22) / 7 mod 31
[282] ['4', '7', '29'] -> 29 - (4 / 7) mod 31
[283] ['4', '8', '10'] -> (10 - 4) / 8 mod 31
[284] ['4', '8', '16'] -> (4 + 8) / 16 mod 31
[285] ['4', '8', '27'] -> 8 - (4 * 27) mod 31
[286] ['4', '8', '30'] -> 8 * (4 + 30) mod 31
[287] ['4', '9', '9'] -> 9 * (4 + 9) mod 31
[288] ['4', '9', '10'] -> (9 * 10) - 4 mod 31
[289] ['4', '9', '22'] -> 9 * (4 - 22) mod 31
[290] ['4', '9', '26'] -> (4 + 26) / 9 mod 31
[291] ['4', '10', '20'] -> 20 / (10 - 4) mod 31
[292] ['4', '10', '23'] -> (4 - 10) / 23 mod 31
[293] ['4', '11', '12'] -> (4 + 12) / 11 mod 31
[294] ['4', '11', '15'] -> 4 / (11 + 15) mod 31
[295] ['4', '11', '23'] -> (11 + 23) / 4 mod 31
[296] ['4', '11', '26'] -> 4 * (11 + 26) mod 31
[297] ['4', '11', '28'] -> 4 - (28 / 11) mod 31
[298] ['4', '12', '22'] -> (12 + 22) / 4 mod 31
[299] ['4', '12', '24'] -> (4 * 12) - 24 mod 31
[300] ['4', '12', '29'] -> 12 * (4 + 29) mod 31
[301] ['4', '13', '14'] -> 14 - (4 * 13) mod 31
[302] ['4', '13', '17'] -> (4 * 17) - 13 mod 31
[303] ['4', '13', '21'] -> (13 + 21) / 4 mod 31
[304] ['4', '13', '27'] -> 4 + (13 / 27) mod 31
[305] ['4', '13', '30'] -> 30 / (13 - 4) mod 31
[306] ['4', '14', '16'] -> (14 / 16) - 4 mod 31
[307] ['4', '14', '26'] -> (14 / 4) - 26 mod 31
[308] ['4', '15', '17'] -> (17 / 15) - 4 mod 31
[309] ['4', '15', '23'] -> (23 - 4) / 15 mod 31
[310] ['4', '15', '29'] -> 29 * (4 + 15) mod 31
[311] ['4', '15', '30'] -> (4 / 15) - 30 mod 31
[312] ['4', '16', '20'] -> 20 + (16 / 4) mod 31
[313] ['4', '16', '23'] -> (4 - 23) / 16 mod 31
[314] ['4', '16', '25'] -> (16 * 25) - 4 mod 31
[315] ['4', '16', '30'] -> 16 - (30 / 4) mod 31
[316] ['4', '17', '17'] -> (17 + 17) / 4 mod 31
[317] ['4', '17', '21'] -> 4 + (17 / 21) mod 31
[318] ['4', '17', '23'] -> 4 * (23 - 17) mod 31
[319] ['4', '17', '24'] -> (4 - 17) / 24 mod 31
[320] ['4', '17', '26'] -> 17 - (4 / 26) mod 31
[321] ['4', '18', '18'] -> 18 * (4 + 18) mod 31
[322] ['4', '18', '28'] -> 18 / (28 - 4) mod 31
[323] ['4', '19', '28'] -> 28 * (4 + 19) mod 31
[324] ['4', '20', '21'] -> (21 / 4) - 20 mod 31
[325] ['4', '20', '26'] -> 4 * (26 - 20) mod 31
[326] ['4', '20', '28'] -> 4 + (28 / 20) mod 31
[327] ['4', '21', '23'] -> (4 + 21) / 23 mod 31
[328] ['4', '22', '22'] -> 22 * (22 - 4) mod 31
[329] ['4', '22', '24'] -> (22 - 4) / 24 mod 31
[330] ['4', '23', '23'] -> 23 - (4 * 23) mod 31
[331] ['4', '26', '27'] -> 4 + (26 * 27) mod 31
[332] ['4', '26', '28'] -> (4 * 28) - 26 mod 31
[333] ['4', '26', '30'] -> 30 / (4 - 26) mod 31
[334] ['4', '27', '28'] -> 28 * (27 - 4) mod 31
[335] ['4', '27', '29'] -> 27 * (29 - 4) mod 31
[336] ['4', '30', '30'] -> (30 / 4) - 30 mod 31
[337] ['5', '5', '6'] -> 5 * (5 + 6) mod 31
[338] ['5', '5', '8'] -> (5 / 5) - 8 mod 31
[339] ['5', '5', '9'] -> (5 - 9) / 5 mod 31
[340] ['5', '5', '10'] -> 5 + (5 * 10) mod 31
[341] ['5', '5', '13'] -> (5 / 13) - 5 mod 31
[342] ['5', '5', '16'] -> 5 * (16 - 5) mod 31
[343] ['5', '5', '18'] -> 18 - (5 * 5) mod 31
[344] ['5', '5', '19'] -> 5 / (5 - 19) mod 31
[345] ['5', '5', '28'] -> 5 + (5 / 28) mod 31
[346] ['5', '5', '29'] -> 5 - (29 / 5) mod 31
[347] ['5', '5', '30'] -> 30 + (5 * 5) mod 31
[348] ['5', '6', '11'] -> 5 / (6 + 11) mod 31
[349] ['5', '6', '17'] -> 5 * (17 - 6) mod 31
[350] ['5', '6', '22'] -> (6 - 5) / 22 mod 31
[351] ['5', '7', '7'] -> 7 - (5 / 7) mod 31
[352] ['5', '7', '14'] -> 14 / (5 - 7) mod 31
[353] ['5', '7', '28'] -> 28 - (5 * 7) mod 31
[354] ['5', '8', '8'] -> 8 * (8 - 5) mod 31
[355] ['5', '8', '14'] -> 5 + (8 * 14) mod 31
[356] ['5', '8', '17'] -> 5 - (8 * 17) mod 31
[357] ['5', '8', '18'] -> 8 + (18 / 5) mod 31
[358] ['5', '8', '22'] -> 5 / (8 - 22) mod 31
[359] ['5', '9', '9'] -> 5 + (9 * 9) mod 31
[360] ['5', '9', '19'] -> (5 * 19) - 9 mod 31
[361] ['5', '9', '22'] -> 5 - (9 * 22) mod 31
[362] ['5', '10', '16'] -> 10 * (5 + 16) mod 31
[363] ['5', '10', '18'] -> (5 + 18) / 10 mod 31
[364] ['5', '10', '21'] -> 5 * (21 - 10) mod 31
[365] ['5', '10', '25'] -> 5 + (10 / 25) mod 31
[366] ['5', '10', '28'] -> (28 - 5) / 10 mod 31
[367] ['5', '10', '30'] -> 5 * (10 - 30) mod 31
[368] ['5', '11', '19'] -> 5 - (11 / 19) mod 31
