[294] ['1', '18', '55'] -> 1 - (55 / 18) mod 67
[295] ['1', '18', '56'] -> 18 + (1 / 56) mod 67
[296] ['1', '18', '57'] -> (18 / 57) - 1 mod 67
[297] ['1', '18', '63'] -> 1 / (18 + 63) mod 67
[298] ['1', '19', '21'] -> 21 * (1 - 19) mod 67
[299] ['1', '19', '26'] -> (19 * 26) - 1 mod 67
[300] ['1', '19', '28'] -> 28 * (1 + 19) mod 67
[301] ['1', '19', '30'] -> 30 / (19 - 1) mod 67
[302] ['1', '19', '31'] -> 31 + (1 / 19) mod 67
[303] ['1', '19', '34'] -> 19 * (34 - 1) mod 67
[304] ['1', '19', '37'] -> 37 / (1 - 19) mod 67
[305] ['1', '19', '46'] -> 46 * (19 - 1) mod 67
[306] ['1', '19', '49'] -> (19 / 49) - 1 mod 67
[307] ['1', '19', '51'] -> (19 - 1) / 51 mod 67
[308] ['1', '19', '55'] -> (55 - 1) / 19 mod 67
[309] ['1', '19', '64'] -> 19 / (1 + 64) mod 67
[310] ['1', '19', '66'] -> 19 / (66 - 1) mod 67
[311] ['1', '20', '26'] -> (1 + 20) / 26 mod 67
[312] ['1', '20', '27'] -> 20 * (1 + 27) mod 67
[313] ['1', '20', '30'] -> 1 + (20 / 30) mod 67
[314] ['1', '20', '31'] -> (31 / 20) - 1 mod 67
[315] ['1', '20', '32'] -> (1 / 32) - 20 mod 67
[316] ['1', '20', '35'] -> 35 / (1 + 20) mod 67
[317] ['1', '20', '37'] -> 1 - (20 / 37) mod 67
[318] ['1', '20', '38'] -> 1 + (20 * 38) mod 67
[319] ['1', '20', '40'] -> 20 * (1 - 40) mod 67
[320] ['1', '20', '41'] -> (20 / 41) - 1 mod 67
[321] ['1', '20', '49'] -> 49 * (1 + 20) mod 67
[322] ['1', '20', '50'] -> 20 - (1 / 50) mod 67
[323] ['1', '20', '54'] -> 54 / (20 - 1) mod 67
[324] ['1', '20', '56'] -> 20 / (1 - 56) mod 67
[325] ['1', '20', '57'] -> (1 - 57) / 20 mod 67
[326] ['1', '20', '58'] -> 1 + (58 / 20) mod 67
[327] ['1', '20', '65'] -> (20 - 1) / 65 mod 67
[328] ['1', '21', '22'] -> 21 - (1 / 22) mod 67
[329] ['1', '21', '25'] -> 21 / (1 + 25) mod 67
[330] ['1', '21', '27'] -> 21 / (27 - 1) mod 67
[331] ['1', '21', '28'] -> 28 * (21 - 1) mod 67
[332] ['1', '21', '36'] -> (36 - 1) / 21 mod 67
[333] ['1', '21', '39'] -> 39 * (1 - 21) mod 67
[334] ['1', '21', '42'] -> 21 / (1 - 42) mod 67
[335] ['1', '21', '48'] -> 21 * (1 + 48) mod 67
[336] ['1', '21', '50'] -> 21 * (50 - 1) mod 67
[337] ['1', '21', '53'] -> 1 - (53 / 21) mod 67
[338] ['1', '21', '55'] -> (1 - 21) / 55 mod 67
[339] ['1', '21', '60'] -> 1 / (21 + 60) mod 67
[340] ['1', '21', '62'] -> 62 * (1 + 21) mod 67
[341] ['1', '22', '26'] -> (22 - 1) / 26 mod 67
[342] ['1', '22', '27'] -> 27 + (1 / 22) mod 67
[343] ['1', '22', '28'] -> 22 / (1 - 28) mod 67
[344] ['1', '22', '30'] -> 1 - (30 / 22) mod 67
[345] ['1', '22', '32'] -> 32 / (1 - 22) mod 67
[346] ['1', '22', '35'] -> 35 / (22 - 1) mod 67
[347] ['1', '22', '37'] -> 1 + (37 / 22) mod 67
[348] ['1', '22', '39'] -> 22 / (1 + 39) mod 67
[349] ['1', '22', '49'] -> 49 * (22 - 1) mod 67
[350] ['1', '22', '51'] -> (1 / 51) - 22 mod 67
[351] ['1', '22', '54'] -> (1 + 22) / 54 mod 67
[352] ['1', '22', '58'] -> (1 + 58) / 22 mod 67
[353] ['1', '22', '60'] -> (60 - 1) / 22 mod 67
[354] ['1', '22', '61'] -> 22 * (1 + 61) mod 67
[355] ['1', '22', '63'] -> 22 * (63 - 1) mod 67
[356] ['1', '23', '27'] -> (1 - 23) / 27 mod 67
[357] ['1', '23', '32'] -> 23 * (1 - 32) mod 67
[358] ['1', '23', '35'] -> 23 * (1 + 35) mod 67
[359] ['1', '23', '39'] -> (39 / 23) - 1 mod 67
[360] ['1', '23', '52'] -> (1 - 52) / 23 mod 67
[361] ['1', '23', '53'] -> 23 / (1 + 53) mod 67
[362] ['1', '23', '55'] -> 23 / (55 - 1) mod 67
[363] ['1', '23', '56'] -> 56 + (1 / 23) mod 67
[364] ['1', '23', '58'] -> 1 / (23 + 58) mod 67
[365] ['1', '23', '60'] -> 1 + (60 / 23) mod 67
[366] ['1', '23', '62'] -> 62 * (23 - 1) mod 67
[367] ['1', '24', '28'] -> (1 - 28) / 24 mod 67
[368] ['1', '24', '39'] -> (1 + 39) / 24 mod 67
[369] ['1', '24', '41'] -> (41 - 1) / 24 mod 67
[370] ['1', '25', '26'] -> (1 / 26) - 25 mod 67
[371] ['1', '25', '27'] -> 27 / (1 - 25) mod 67
[372] ['1', '25', '28'] -> 1 - (28 / 25) mod 67
[373] ['1', '25', '29'] -> (1 + 25) / 29 mod 67
[374] ['1', '25', '32'] -> 32 + (1 / 25) mod 67
[375] ['1', '25', '35'] -> (1 / 25) - 35 mod 67
[376] ['1', '25', '37'] -> 37 * (1 + 25) mod 67
[377] ['1', '25', '40'] -> 40 / (25 - 1) mod 67
[378] ['1', '25', '53'] -> 25 / (1 - 53) mod 67
[379] ['1', '25', '56'] -> 1 / (25 + 56) mod 67
[380] ['1', '25', '59'] -> 25 * (1 - 59) mod 67
[381] ['1', '26', '30'] -> 26 / (30 - 1) mod 67
[382] ['1', '26', '31'] -> 26 * (1 - 31) mod 67
[383] ['1', '26', '33'] -> 26 + (1 / 33) mod 67
[384] ['1', '26', '34'] -> 26 - (1 / 34) mod 67
[385] ['1', '26', '36'] -> 26 * (1 + 36) mod 67
[386] ['1', '26', '38'] -> 26 * (38 - 1) mod 67
[387] ['1', '26', '40'] -> 1 / (40 - 26) mod 67
