[193] ['1', '10', '82'] -> 82 + (1 / 10) mod 83
[194] ['1', '11', '16'] -> (16 - 1) / 11 mod 83
[195] ['1', '11', '26'] -> (26 / 11) - 1 mod 83
[196] ['1', '11', '27'] -> (11 / 27) - 1 mod 83
[197] ['1', '11', '29'] -> 11 * (1 - 29) mod 83
[198] ['1', '11', '40'] -> (11 * 40) - 1 mod 83
[199] ['1', '11', '42'] -> (1 + 11) / 42 mod 83
[200] ['1', '11', '44'] -> (1 / 11) - 44 mod 83
[201] ['1', '11', '48'] -> (1 - 11) / 48 mod 83
[202] ['1', '11', '54'] -> 11 * (1 + 54) mod 83
[203] ['1', '11', '64'] -> 64 * (1 - 11) mod 83
[204] ['1', '11', '74'] -> 74 / (11 - 1) mod 83
[205] ['1', '11', '81'] -> 11 / (81 - 1) mod 83
[206] ['1', '12', '15'] -> 15 / (12 - 1) mod 83
[207] ['1', '12', '17'] -> 17 + (1 / 12) mod 83
[208] ['1', '12', '21'] -> 21 * (1 + 12) mod 83
[209] ['1', '12', '27'] -> 1 + (27 / 12) mod 83
[210] ['1', '12', '28'] -> 28 * (1 - 12) mod 83
[211] ['1', '12', '30'] -> (1 / 30) - 12 mod 83
[212] ['1', '12', '31'] -> 31 - (1 / 12) mod 83
[213] ['1', '12', '38'] -> (1 + 38) / 12 mod 83
[214] ['1', '12', '40'] -> (40 - 1) / 12 mod 83
[215] ['1', '12', '41'] -> 12 / (1 + 41) mod 83
[216] ['1', '12', '43'] -> 12 / (43 - 1) mod 83
[217] ['1', '12', '45'] -> (1 - 45) / 12 mod 83
[218] ['1', '12', '51'] -> (51 / 12) - 1 mod 83
[219] ['1', '12', '55'] -> 55 * (12 - 1) mod 83
[220] ['1', '12', '56'] -> 1 - (56 / 12) mod 83
[221] ['1', '12', '57'] -> 1 / (57 - 12) mod 83
[222] ['1', '12', '63'] -> 63 / (1 + 12) mod 83
[223] ['1', '12', '68'] -> 68 / (1 - 12) mod 83
[224] ['1', '12', '76'] -> 12 - (1 / 76) mod 83
[225] ['1', '12', '78'] -> 1 + (12 * 78) mod 83
[226] ['1', '12', '80'] -> (12 - 1) / 80 mod 83
[227] ['1', '12', '82'] -> 12 * (1 - 82) mod 83
[228] ['1', '13', '20'] -> 13 * (1 + 20) mod 83
[229] ['1', '13', '22'] -> 13 * (22 - 1) mod 83
[230] ['1', '13', '32'] -> 1 / (13 + 32) mod 83
[231] ['1', '13', '33'] -> 1 - (33 / 13) mod 83
[232] ['1', '13', '39'] -> 39 / (13 - 1) mod 83
[233] ['1', '13', '41'] -> (1 - 13) / 41 mod 83
[234] ['1', '13', '42'] -> (13 - 1) / 42 mod 83
[235] ['1', '13', '44'] -> 44 / (1 - 13) mod 83
[236] ['1', '13', '49'] -> (1 + 13) / 49 mod 83
[237] ['1', '13', '50'] -> 1 + (50 / 13) mod 83
[238] ['1', '13', '51'] -> 1 / (13 - 51) mod 83
[239] ['1', '13', '53'] -> (13 * 53) - 1 mod 83
[240] ['1', '13', '56'] -> 56 - (1 / 13) mod 83
[241] ['1', '13', '58'] -> 1 / (58 - 13) mod 83
[242] ['1', '13', '61'] -> 61 * (1 + 13) mod 83
[243] ['1', '13', '62'] -> (1 + 62) / 13 mod 83
[244] ['1', '13', '64'] -> (64 - 1) / 13 mod 83
[245] ['1', '13', '75'] -> 75 + (1 / 13) mod 83
[246] ['1', '13', '76'] -> (76 / 13) - 1 mod 83
[247] ['1', '13', '80'] -> 13 / (1 - 80) mod 83
[248] ['1', '13', '81'] -> 81 * (1 - 13) mod 83
[249] ['1', '14', '20'] -> 20 / (1 - 14) mod 83
[250] ['1', '14', '23'] -> 14 * (1 - 23) mod 83
[251] ['1', '14', '25'] -> 14 + (1 / 25) mod 83
[252] ['1', '14', '30'] -> 30 - (1 / 14) mod 83
[253] ['1', '14', '31'] -> 1 / (14 + 31) mod 83
[254] ['1', '14', '35'] -> 14 / (1 - 35) mod 83
[255] ['1', '14', '48'] -> 14 / (1 + 48) mod 83
[256] ['1', '14', '50'] -> 14 / (50 - 1) mod 83
[257] ['1', '14', '52'] -> 1 / (14 - 52) mod 83
[258] ['1', '14', '55'] -> 1 + (14 * 55) mod 83
[259] ['1', '14', '57'] -> (14 / 57) - 1 mod 83
[260] ['1', '14', '58'] -> 14 - (1 / 58) mod 83
[261] ['1', '14', '60'] -> 14 * (1 + 60) mod 83
[262] ['1', '14', '63'] -> 63 / (14 - 1) mod 83
[263] ['1', '14', '65'] -> (1 / 14) - 65 mod 83
[264] ['1', '14', '67'] -> (14 * 67) - 1 mod 83
[265] ['1', '14', '68'] -> 68 * (1 + 14) mod 83
[266] ['1', '14', '79'] -> (1 - 14) / 79 mod 83
[267] ['1', '15', '16'] -> 15 * (1 - 16) mod 83
[268] ['1', '15', '21'] -> 1 - (15 / 21) mod 83
[269] ['1', '15', '22'] -> 22 * (1 - 15) mod 83
[270] ['1', '15', '27'] -> (1 + 27) / 15 mod 83
[271] ['1', '15', '29'] -> (29 - 1) / 15 mod 83
[272] ['1', '15', '30'] -> 1 / (15 + 30) mod 83
[273] ['1', '15', '34'] -> (1 - 15) / 34 mod 83
[274] ['1', '15', '35'] -> 35 + (1 / 15) mod 83
[275] ['1', '15', '37'] -> 15 + (1 / 37) mod 83
[276] ['1', '15', '46'] -> 15 - (1 / 46) mod 83
[277] ['1', '15', '48'] -> (1 / 15) - 48 mod 83
[278] ['1', '15', '49'] -> (15 - 1) / 49 mod 83
[279] ['1', '15', '52'] -> 52 / (1 + 15) mod 83
[280] ['1', '15', '53'] -> 1 / (15 - 53) mod 83
[281] ['1', '15', '57'] -> (15 * 57) - 1 mod 83
[282] ['1', '15', '60'] -> 1 / (60 - 15) mod 83
[283] ['1', '15', '61'] -> 61 * (15 - 1) mod 83
[284] ['1', '15', '62'] -> 1 + (15 / 62) mod 83
[285] ['1', '15', '66'] -> (1 / 66) - 15 mod 83
[286] ['1', '15', '69'] -> 15 * (69 - 1) mod 83
[287] ['1', '15', '70'] -> 1 - (70 / 15) mod 83
[288] ['1', '16', '17'] -> 1 + (16 * 17) mod 83
[289] ['1', '16', '18'] -> (1 + 16) / 18 mod 83
[290] ['1', '16', '27'] -> (1 / 27) - 16 mod 83
[291] ['1', '16', '29'] -> 1 / (16 + 29) mod 83
[292] ['1', '16', '31'] -> 16 - (1 / 31) mod 83
