[307] ['7', '7', '14'] -> (14 / 7) - 7 mod 29
[308] ['7', '7', '15'] -> 15 - (7 * 7) mod 29
[309] ['7', '7', '17'] -> 17 / (7 + 7) mod 29
[310] ['7', '7', '18'] -> (7 / 18) - 7 mod 29
[311] ['7', '7', '20'] -> 7 / (7 - 20) mod 29
[312] ['1', '8', '26'] -> (26 / 8) - 1 mod 29
[313] ['7', '7', '21'] -> (21 * 7) - 7 mod 29
[314] ['7', '7', '27'] -> (27 - 7) * 7 mod 29
[315] ['7', '8', '8'] -> 7 / (8 + 8) mod 29
[316] ['7', '8', '11'] -> (11 + 7) / 8 mod 29
[317] ['7', '8', '13'] -> (13 * 8) + 7 mod 29
[318] ['7', '8', '19'] -> (7 + 8) * 19 mod 29
[319] ['7', '8', '27'] -> (8 / 7) + 27 mod 29
[320] ['7', '8', '28'] -> (28 - 8) * 7 mod 29
[321] ['7', '9', '16'] -> (7 + 9) * 16 mod 29
[322] ['7', '9', '23'] -> (7 - 23) / 9 mod 29
[323] ['1', '9', '10'] -> (9 - 1) / 10 mod 29
[324] ['7', '9', '25'] -> 7 / (25 - 9) mod 29
[325] ['7', '10', '10'] -> (10 + 10) * 7 mod 29
[326] ['7', '10', '17'] -> (10 * 7) - 17 mod 29
[327] ['7', '10', '28'] -> (7 - 28) / 10 mod 29
[328] ['7', '11', '11'] -> (11 + 7) * 11 mod 29
[329] ['7', '11', '18'] -> (7 - 18) * 11 mod 29
[330] ['7', '11', '19'] -> (11 / 7) - 19 mod 29
[331] ['7', '11', '27'] -> 7 / (27 - 11) mod 29
[332] ['7', '12', '22'] -> 12 / (22 - 7) mod 29
[333] ['7', '13', '23'] -> (7 - 23) * 13 mod 29
[334] ['1', '2', '3'] -> 1 - (2 * 3) mod 29
[335] ['1', '9', '12'] -> (1 + 12) / 9 mod 29
[336] ['7', '14', '28'] -> (28 / 14) - 7 mod 29
[337] ['7', '15', '25'] -> 15 - (7 / 25) mod 29
[338] ['7', '15', '28'] -> 7 / (15 - 28) mod 29
[339] ['7', '16', '16'] -> 16 / (7 - 16) mod 29
[340] ['7', '16', '21'] -> (16 * 21) + 7 mod 29
[341] ['7', '16', '26'] -> (26 * 7) + 16 mod 29
[342] ['7', '17', '22'] -> 17 / (7 - 22) mod 29
[343] ['7', '17', '25'] -> 25 / (17 + 7) mod 29
[344] ['7', '18', '18'] -> (18 - 7) * 18 mod 29
[345] ['7', '18', '21'] -> (18 - 7) / 21 mod 29
[346] ['1', '9', '17'] -> (1 - 17) / 9 mod 29
[347] ['7', '18', '22'] -> (7 / 18) + 22 mod 29
[348] ['7', '18', '25'] -> (7 - 25) * 18 mod 29
[349] ['7', '19', '20'] -> 19 - (20 * 7) mod 29
[350] ['7', '19', '26'] -> 7 / (19 + 26) mod 29
[351] ['7', '20', '27'] -> (27 * 7) - 20 mod 29
[352] ['7', '21', '21'] -> (21 / 7) + 21 mod 29
[353] ['7', '21', '22'] -> (21 * 7) + 22 mod 29
[354] ['7', '21', '28'] -> (21 + 28) * 7 mod 29
[355] ['7', '23', '27'] -> 7 - (23 * 27) mod 29
[356] ['7', '23', '28'] -> (7 / 23) - 28 mod 29
[357] ['1', '9', '19'] -> (1 - 9) / 19 mod 29
[358] ['7', '26', '26'] -> (26 + 26) / 7 mod 29
[359] ['8', '8', '8'] -> 8 + 8 + 8 mod 29
[360] ['8', '8', '10'] -> (10 + 8) / 8 mod 29
[361] ['8', '8', '12'] -> (12 / 8) + 8 mod 29
[362] ['8', '8', '14'] -> 8 - (8 / 14) mod 29
[363] ['8', '8', '15'] -> (8 / 15) + 8 mod 29
[364] ['8', '8', '16'] -> (8 + 8) * 16 mod 29
[365] ['8', '8', '17'] -> 8 - (17 / 8) mod 29
[366] ['8', '8', '19'] -> (8 - 19) / 8 mod 29
[367] ['8', '8', '20'] -> (8 + 8) / 20 mod 29
[368] ['1', '9', '20'] -> 1 - (20 * 9) mod 29
[369] ['8', '8', '25'] -> 25 - (8 / 8) mod 29
[370] ['8', '8', '26'] -> (26 - 8) / 8 mod 29
[371] ['8', '9', '13'] -> 9 - (8 / 13) mod 29
[372] ['8', '9', '16'] -> (8 / 16) + 9 mod 29
[373] ['8', '9', '21'] -> (21 - 8) / 9 mod 29
[374] ['8', '10', '14'] -> 8 - (14 / 10) mod 29
[375] ['8', '10', '15'] -> (15 / 10) + 8 mod 29
[376] ['8', '10', '18'] -> 18 - (10 / 8) mod 29
[377] ['8', '10', '21'] -> (10 - 21) / 8 mod 29
[378] ['8', '10', '27'] -> (10 * 8) - 27 mod 29
[379] ['1', '9', '21'] -> (1 + 21) * 9 mod 29
[380] ['8', '11', '13'] -> 11 / (13 + 8) mod 29
[381] ['8', '11', '16'] -> 11 / (8 - 16) mod 29
[382] ['8', '11', '25'] -> 25 - (11 * 8) mod 29
[383] ['8', '11', '26'] -> (26 - 8) * 11 mod 29
[384] ['8', '12', '14'] -> (12 * 8) - 14 mod 29
[385] ['8', '12', '24'] -> (8 - 12) / 24 mod 29
[386] ['8', '12', '26'] -> (8 / 26) - 12 mod 29
[387] ['8', '13', '15'] -> (8 - 15) / 13 mod 29
[388] ['8', '13', '21'] -> (21 - 8) * 13 mod 29
[389] ['8', '13', '25'] -> 25 / (8 - 13) mod 29
[390] ['1', '9', '23'] -> (23 - 1) * 9 mod 29
[391] ['8', '14', '14'] -> (14 / 8) - 14 mod 29
[392] ['8', '14', '15'] -> (14 / 8) + 15 mod 29
[393] ['8', '14', '19'] -> (14 / 19) + 8 mod 29
[394] ['8', '14', '21'] -> (21 / 14) + 8 mod 29
[395] ['8', '14', '26'] -> (14 * 26) + 8 mod 29
[396] ['8', '15', '15'] -> 15 - (15 / 8) mod 29
[397] ['8', '15', '19'] -> 8 - (15 / 19) mod 29
[398] ['8', '15', '22'] -> (22 / 8) - 15 mod 29
[399] ['8', '16', '18'] -> 18 / (16 - 8) mod 29
[400] ['8', '16', '20'] -> (8 / 16) - 20 mod 29
[401] ['1', '9', '25'] -> 1 - (25 / 9) mod 29
[402] ['8', '16', '21'] -> (8 - 21) * 16 mod 29
[403] ['8', '16', '22'] -> (16 / 8) + 22 mod 29
