[1] ['1', '1', '8'] -> (1 / 8) + 1 mod 61
[202] ['34', '42', '55'] -> 55 / (34 + 42) mod 61
[203] ['2', '50', '53'] -> (2 + 50) / 53 mod 61
[204] ['34', '42', '56'] -> 34 / (42 + 56) mod 61
[205] ['34', '42', '57'] -> (57 / 42) - 34 mod 61
[206] ['34', '42', '58'] -> (34 - 42) * 58 mod 61
[207] ['34', '42', '60'] -> (34 * 42) + 60 mod 61
[208] ['34', '43', '45'] -> 45 - (43 / 34) mod 61
[209] ['34', '43', '47'] -> 34 - (43 / 47) mod 61
[210] ['34', '43', '48'] -> (43 * 48) + 34 mod 61
[211] ['34', '43', '50'] -> 43 / (34 - 50) mod 61
[212] ['34', '43', '55'] -> 34 / (43 + 55) mod 61
[213] ['34', '44', '48'] -> (48 / 44) + 34 mod 61
[214] ['2', '50', '54'] -> 54 / (50 - 2) mod 61
[215] ['34', '44', '50'] -> (44 + 50) * 34 mod 61
[216] ['34', '44', '51'] -> (51 / 44) - 34 mod 61
[217] ['34', '44', '52'] -> (52 / 34) + 44 mod 61
[218] ['34', '44', '56'] -> 56 - (34 * 44) mod 61
[219] ['34', '44', '57'] -> 57 / (44 - 34) mod 61
[220] ['34', '45', '50'] -> (34 / 50) - 45 mod 61
[221] ['34', '45', '51'] -> 45 - (34 / 51) mod 61
[222] ['34', '45', '52'] -> (34 - 52) / 45 mod 61
[223] ['34', '45', '53'] -> 34 / (45 + 53) mod 61
[224] ['34', '45', '54'] -> (45 * 54) + 34 mod 61
[225] ['1', '7', '41'] -> (1 + 7) / 41 mod 61
[226] ['2', '50', '56'] -> 50 / (2 + 56) mod 61
[227] ['34', '45', '56'] -> (34 + 56) * 45 mod 61
[228] ['34', '45', '58'] -> (34 - 45) / 58 mod 61
[229] ['34', '45', '60'] -> 60 - (34 / 45) mod 61
[230] ['34', '46', '46'] -> (34 * 46) + 46 mod 61
[231] ['34', '46', '48'] -> (46 + 48) * 34 mod 61
[232] ['34', '46', '51'] -> (34 / 46) - 51 mod 61
[233] ['34', '46', '52'] -> 34 / (46 + 52) mod 61
[234] ['34', '46', '57'] -> 46 - (34 / 57) mod 61
[235] ['34', '46', '58'] -> (34 / 58) - 46 mod 61
[236] ['34', '46', '59'] -> (34 - 46) * 59 mod 61
[237] ['2', '51', '51'] -> 2 - (51 * 51) mod 61
[238] ['34', '46', '60'] -> (34 - 60) * 46 mod 61
[239] ['34', '47', '47'] -> (47 + 47) * 34 mod 61
[240] ['34', '47', '49'] -> (34 * 47) - 49 mod 61
[241] ['34', '47', '51'] -> 34 / (47 + 51) mod 61
[242] ['34', '47', '52'] -> (34 / 47) - 52 mod 61
[243] ['34', '47', '59'] -> (47 - 34) / 59 mod 61
[244] ['34', '47', '60'] -> 47 / (34 - 60) mod 61
[245] ['34', '48', '50'] -> 34 / (48 + 50) mod 61
[246] ['34', '48', '54'] -> (48 - 34) * 54 mod 61
[247] ['34', '49', '49'] -> 34 / (49 + 49) mod 61
[248] ['2', '51', '52'] -> 52 / (2 + 51) mod 61
[249] ['34', '49', '55'] -> 55 / (49 - 34) mod 61
[250] ['34', '49', '56'] -> (34 * 49) - 56 mod 61
[251] ['34', '50', '51'] -> 50 - (34 * 51) mod 61
[252] ['34', '50', '55'] -> (34 / 55) + 50 mod 61
