[1] ['1', '1', '4'] -> 1 / (1 - 4) mod 73
[331] ['16', '66', '70'] -> 70 / (16 + 66) mod 73
[332] ['16', '66', '71'] -> (66 / 71) - 16 mod 73
[333] ['16', '68', '71'] -> (16 / 68) + 71 mod 73
[334] ['16', '68', '72'] -> 68 / (16 + 72) mod 73
[335] ['16', '69', '71'] -> (69 * 71) + 16 mod 73
[336] ['1', '7', '14'] -> (14 * 7) - 1 mod 73
[337] ['2', '17', '29'] -> (29 - 17) * 2 mod 73
[338] ['16', '70', '72'] -> (16 * 70) + 72 mod 73
[339] ['17', '17', '20'] -> (17 / 20) - 17 mod 73
[340] ['17', '17', '21'] -> 21 - (17 * 17) mod 73
[341] ['17', '17', '23'] -> (17 / 17) + 23 mod 73
[342] ['17', '17', '25'] -> 25 - (17 / 17) mod 73
[343] ['17', '17', '26'] -> (17 + 26) / 17 mod 73
[344] ['17', '17', '39'] -> 17 / (39 - 17) mod 73
[345] ['17', '17', '40'] -> (40 / 17) - 17 mod 73
[346] ['17', '17', '44'] -> (17 + 17) / 44 mod 73
[347] ['17', '17', '47'] -> (17 - 47) / 17 mod 73
[348] ['2', '17', '33'] -> 17 - (2 * 33) mod 73
[349] ['17', '17', '50'] -> (17 / 17) - 50 mod 73
[350] ['17', '17', '60'] -> (60 - 17) / 17 mod 73
[351] ['17', '17', '64'] -> 17 - (17 * 64) mod 73
[352] ['17', '17', '66'] -> (17 + 66) * 17 mod 73
[353] ['17', '17', '68'] -> 17 / (17 - 68) mod 73
[354] ['17', '18', '19'] -> (17 / 18) + 19 mod 73
[355] ['17', '18', '36'] -> 18 / (36 - 17) mod 73
[356] ['17', '18', '37'] -> 37 / (17 + 18) mod 73
[357] ['17', '18', '38'] -> 38 - (17 * 18) mod 73
[358] ['17', '18', '39'] -> (17 * 39) + 18 mod 73
[359] ['2', '17', '37'] -> 37 - (2 / 17) mod 73
[360] ['17', '18', '41'] -> (17 + 18) / 41 mod 73
[361] ['17', '18', '45'] -> (18 * 45) + 17 mod 73
[362] ['17', '18', '55'] -> (18 * 55) - 17 mod 73
[363] ['17', '18', '60'] -> 17 - (18 / 60) mod 73
[364] ['17', '18', '61'] -> (61 - 18) / 17 mod 73
[365] ['17', '18', '63'] -> (17 * 18) - 63 mod 73
[366] ['17', '18', '65'] -> (18 + 65) * 17 mod 73
[367] ['17', '18', '67'] -> (67 - 17) * 18 mod 73
[368] ['17', '18', '68'] -> 68 - (18 / 17) mod 73
[369] ['17', '18', '69'] -> 17 / (18 - 69) mod 73
[370] ['2', '17', '40'] -> (2 * 40) + 17 mod 73
[371] ['17', '18', '70'] -> (18 - 17) / 70 mod 73
[372] ['17', '18', '71'] -> 18 / (17 - 71) mod 73
[373] ['17', '19', '23'] -> (17 / 19) - 23 mod 73
[374] ['17', '19', '29'] -> (29 - 19) * 17 mod 73
[375] ['17', '19', '34'] -> (19 / 34) + 17 mod 73
[376] ['17', '19', '35'] -> (35 - 17) / 19 mod 73
[377] ['17', '19', '39'] -> 17 - (19 / 39) mod 73
[378] ['17', '19', '41'] -> 17 / (41 - 19) mod 73
[379] ['17', '19', '48'] -> 48 / (19 - 17) mod 73
[380] ['17', '19', '50'] -> (17 / 19) + 50 mod 73
[381] ['2', '17', '49'] -> 2 - (17 / 49) mod 73
[382] ['17', '19', '63'] -> (19 / 17) - 63 mod 73
[383] ['17', '19', '64'] -> (19 + 64) * 17 mod 73
[384] ['17', '19', '66'] -> (17 * 19) + 66 mod 73
[385] ['17', '19', '67'] -> (19 - 17) / 67 mod 73
[386] ['17', '19', '69'] -> (17 * 69) + 19 mod 73
[387] ['17', '19', '71'] -> 71 - (17 / 19) mod 73
[388] ['17', '20', '24'] -> (17 * 20) - 24 mod 73
[389] ['17', '20', '25'] -> (17 + 25) / 20 mod 73
[390] ['17', '20', '26'] -> (17 * 26) + 20 mod 73
[391] ['17', '20', '28'] -> (17 + 28) * 20 mod 73
[392] ['2', '17', '50'] -> 2 / (17 + 50) mod 73
[393] ['17', '20', '33'] -> (20 / 17) - 33 mod 73
[394] ['17', '20', '40'] -> (20 / 17) + 40 mod 73
[395] ['17', '20', '42'] -> 17 / (42 - 20) mod 73
[396] ['17', '20', '47'] -> 20 - (17 * 47) mod 73
[397] ['17', '20', '49'] -> (17 * 20) + 49 mod 73
[398] ['17', '20', '50'] -> (20 - 50) / 17 mod 73
[399] ['17', '20', '55'] -> (20 / 55) + 17 mod 73
[400] ['17', '20', '56'] -> (17 / 20) + 56 mod 73
[401] ['17', '20', '62'] -> (62 - 17) * 20 mod 73
[402] ['17', '20', '64'] -> (20 - 17) / 64 mod 73
[403] ['2', '17', '52'] -> (17 / 2) + 52 mod 73
[404] ['17', '20', '68'] -> (68 / 17) + 20 mod 73
[405] ['17', '20', '71'] -> 17 / (20 - 71) mod 73
[406] ['17', '21', '23'] -> 23 / (21 - 17) mod 73
[407] ['17', '21', '29'] -> (21 / 29) - 17 mod 73
[408] ['17', '21', '30'] -> (17 / 30) + 21 mod 73
[409] ['17', '21', '31'] -> (31 - 21) * 17 mod 73
[410] ['17', '21', '35'] -> (35 / 17) - 21 mod 73
[411] ['17', '21', '36'] -> 36 / (17 + 21) mod 73
[412] ['17', '21', '37'] -> (17 * 37) - 21 mod 73
[413] ['17', '21', '39'] -> (39 - 17) * 21 mod 73
[414] ['2', '17', '53'] -> 17 / (2 - 53) mod 73
[415] ['17', '21', '41'] -> (17 * 21) - 41 mod 73
[416] ['17', '21', '50'] -> 50 / (17 - 21) mod 73
[417] ['17', '21', '56'] -> (17 * 56) + 21 mod 73
[418] ['17', '21', '58'] -> (58 / 21) - 17 mod 73
[419] ['17', '21', '61'] -> (21 - 17) / 61 mod 73
[420] ['17', '21', '66'] -> 21 / (17 + 66) mod 73
