[1] ['1', '1', '2'] -> 1 / (1 + 2) mod 71
[248] ['2', '21', '61'] -> 21 / (2 + 61) mod 71
[249] ['17', '61', '69'] -> 61 - (17 * 69) mod 71
[250] ['17', '61', '70'] -> 17 - (70 / 61) mod 71
[251] ['17', '62', '62'] -> (62 + 62) / 17 mod 71
[252] ['17', '62', '63'] -> 17 - (63 / 62) mod 71
[253] ['17', '62', '67'] -> (17 - 67) * 62 mod 71
[254] ['17', '63', '63'] -> 17 - (63 * 63) mod 71
[255] ['17', '63', '64'] -> 63 / (64 - 17) mod 71
[256] ['17', '64', '65'] -> 64 - (17 * 65) mod 71
[257] ['17', '64', '68'] -> (68 / 64) - 17 mod 71
[258] ['17', '65', '68'] -> (17 / 68) - 65 mod 71
[259] ['2', '21', '62'] -> (21 + 62) * 2 mod 71
[260] ['17', '65', '69'] -> (17 - 65) / 69 mod 71
[261] ['17', '66', '66'] -> (17 - 66) / 66 mod 71
[262] ['17', '66', '67'] -> (67 / 17) + 66 mod 71
[263] ['17', '66', '70'] -> (17 / 66) + 70 mod 71
[264] ['17', '68', '69'] -> (17 / 69) + 68 mod 71
[265] ['17', '70', '70'] -> (70 / 17) + 70 mod 71
[266] ['18', '18', '23'] -> (18 / 18) + 23 mod 71
[267] ['18', '18', '25'] -> 25 - (18 / 18) mod 71
[268] ['18', '18', '26'] -> (18 * 26) - 18 mod 71
[269] ['18', '18', '34'] -> 18 - (34 / 18) mod 71
[270] ['2', '22', '23'] -> (2 * 23) - 22 mod 71
[271] ['18', '18', '35'] -> 18 / (18 - 35) mod 71
[272] ['18', '18', '36'] -> 18 / (18 + 36) mod 71
[273] ['18', '18', '41'] -> (18 / 41) - 18 mod 71
[274] ['18', '18', '43'] -> (43 - 18) * 18 mod 71
[275] ['18', '18', '46'] -> (46 / 18) - 18 mod 71
[276] ['18', '18', '55'] -> (18 * 18) + 55 mod 71
[277] ['18', '18', '68'] -> 18 - (18 / 68) mod 71
[278] ['18', '19', '28'] -> 18 - (28 / 19) mod 71
[279] ['18', '19', '30'] -> (18 * 30) - 19 mod 71
[280] ['18', '19', '33'] -> (18 / 19) - 33 mod 71
[281] ['2', '22', '26'] -> (22 + 26) / 2 mod 71
[282] ['18', '19', '34'] -> (18 * 19) - 34 mod 71
[283] ['18', '19', '35'] -> 18 / (19 + 35) mod 71
[284] ['18', '19', '37'] -> (18 * 19) + 37 mod 71
[285] ['18', '19', '38'] -> (18 / 19) + 38 mod 71
[286] ['18', '19', '40'] -> (18 + 19) / 40 mod 71
[287] ['18', '19', '44'] -> (44 - 19) * 18 mod 71
[288] ['18', '19', '45'] -> (18 / 45) - 19 mod 71
[289] ['18', '19', '51'] -> 19 - (18 * 51) mod 71
[290] ['18', '19', '56'] -> 18 - (19 / 56) mod 71
[291] ['18', '19', '59'] -> (18 - 59) / 19 mod 71
[292] ['2', '22', '29'] -> (2 + 29) / 22 mod 71
[293] ['18', '19', '62'] -> (19 * 62) - 18 mod 71
[294] ['18', '19', '63'] -> (19 / 63) - 18 mod 71
[295] ['18', '19', '64'] -> (64 / 18) - 19 mod 71
[296] ['18', '19', '65'] -> (19 - 65) * 18 mod 71
[297] ['18', '19', '68'] -> (18 - 19) / 68 mod 71
[298] ['18', '20', '21'] -> 18 - (20 * 21) mod 71
[299] ['18', '20', '32'] -> 32 - (18 / 20) mod 71
[300] ['18', '20', '33'] -> 33 - (20 / 18) mod 71
[301] ['18', '20', '35'] -> (18 - 35) / 20 mod 71
[302] ['18', '20', '36'] -> (18 + 36) / 20 mod 71
[303] ['2', '22', '35'] -> 35 - (22 / 2) mod 71
[304] ['18', '20', '37'] -> 18 / (20 - 37) mod 71
[305] ['18', '20', '38'] -> (18 + 20) * 38 mod 71
[306] ['18', '20', '42'] -> 20 / (18 + 42) mod 71
[307] ['18', '20', '43'] -> (18 + 20) / 43 mod 71
[308] ['18', '20', '44'] -> 18 - (20 / 44) mod 71
[309] ['18', '20', '48'] -> 48 / (20 - 18) mod 71
[310] ['18', '20', '52'] -> (18 * 20) - 52 mod 71
[311] ['18', '20', '56'] -> (20 / 18) - 56 mod 71
[312] ['18', '20', '60'] -> 60 / (18 + 20) mod 71
[313] ['18', '20', '65'] -> (18 - 20) / 65 mod 71
[314] ['2', '22', '37'] -> 37 - (2 / 22) mod 71
[315] ['18', '20', '70'] -> 20 - (70 / 18) mod 71
[316] ['18', '21', '25'] -> (25 - 18) / 21 mod 71
[317] ['18', '21', '26'] -> 21 / (18 - 26) mod 71
[318] ['18', '21', '29'] -> (29 / 18) - 21 mod 71
[319] ['18', '21', '30'] -> (30 / 21) - 18 mod 71
[320] ['18', '21', '32'] -> 18 - (21 / 32) mod 71
[321] ['18', '21', '36'] -> (21 / 36) - 18 mod 71
[322] ['18', '21', '37'] -> 37 - (21 / 18) mod 71
[323] ['18', '21', '43'] -> (18 / 43) - 21 mod 71
[324] ['18', '21', '45'] -> 21 / (18 + 45) mod 71
[325] ['2', '22', '42'] -> (2 - 42) / 22 mod 71
[326] ['18', '21', '47'] -> 47 - (18 * 21) mod 71
[327] ['18', '21', '54'] -> (54 / 18) + 21 mod 71
[328] ['18', '21', '58'] -> (18 / 21) - 58 mod 71
[329] ['18', '21', '59'] -> 21 - (18 * 59) mod 71
[330] ['18', '21', '62'] -> (18 - 21) / 62 mod 71
[331] ['18', '21', '65'] -> 21 - (18 / 65) mod 71
[332] ['18', '21', '67'] -> (21 - 67) * 18 mod 71
[333] ['18', '22', '22'] -> (18 / 22) - 22 mod 71
[334] ['18', '22', '23'] -> 22 / (18 - 23) mod 71
[335] ['18', '22', '25'] -> 25 / (22 - 18) mod 71
[336] ['1', '7', '52'] -> 1 - (52 / 7) mod 71
[337] ['2', '22', '45'] -> (22 - 45) / 2 mod 71
[338] ['18', '22', '29'] -> (18 + 22) * 29 mod 71
[339] ['18', '22', '35'] -> 22 - (35 / 18) mod 71
[340] ['18', '22', '36'] -> (36 / 18) + 22 mod 71
[341] ['18', '22', '37'] -> 37 / (18 + 22) mod 71
[342] ['18', '22', '41'] -> 41 - (22 / 18) mod 71
[343] ['18', '22', '42'] -> (18 * 42) - 22 mod 71
[344] ['18', '22', '46'] -> 46 / (18 - 22) mod 71
[345] ['18', '22', '48'] -> 22 / (18 + 48) mod 71
[346] ['18', '22', '54'] -> (18 * 22) + 54 mod 71
[347] ['18', '22', '59'] -> (18 - 22) / 59 mod 71
[348] ['2', '22', '50'] -> (22 / 50) - 2 mod 71
[349] ['18', '22', '60'] -> (22 * 60) - 18 mod 71
[350] ['18', '22', '62'] -> 22 - (18 / 62) mod 71
[351] ['18', '22', '63'] -> 22 - (18 * 63) mod 71
[352] ['18', '22', '68'] -> (22 - 68) * 18 mod 71
[353] ['18', '22', '70'] -> 70 - (18 / 22) mod 71
[354] ['18', '23', '31'] -> 18 / (23 + 31) mod 71
[355] ['18', '23', '34'] -> (18 - 34) / 23 mod 71
[356] ['18', '23', '36'] -> (18 * 23) + 36 mod 71
[357] ['18', '23', '37'] -> (18 + 37) / 23 mod 71
[358] ['18', '23', '40'] -> 18 / (23 - 40) mod 71
[359] ['2', '22', '54'] -> 54 / (22 - 2) mod 71
[360] ['18', '23', '43'] -> (43 / 23) - 18 mod 71
[361] ['18', '23', '45'] -> 45 - (23 / 18) mod 71
[362] ['18', '23', '46'] -> (18 * 46) - 23 mod 71
[363] ['18', '23', '48'] -> (48 - 23) * 18 mod 71
[364] ['18', '23', '49'] -> 49 / (23 - 18) mod 71
[365] ['18', '24', '26'] -> (26 - 18) / 24 mod 71
[366] ['18', '24', '27'] -> (18 / 27) - 24 mod 71
[367] ['18', '24', '50'] -> (18 * 50) - 24 mod 71
[368] ['18', '24', '61'] -> (18 + 61) / 24 mod 71
[369] ['18', '25', '25'] -> (18 / 25) - 25 mod 71
[370] ['2', '22', '55'] -> 2 / (22 + 55) mod 71
[371] ['18', '25', '26'] -> 26 / (25 - 18) mod 71
[372] ['18', '25', '27'] -> (18 - 25) * 27 mod 71
[373] ['18', '25', '29'] -> 18 / (25 + 29) mod 71
[374] ['18', '25', '30'] -> (30 / 18) - 25 mod 71
[375] ['18', '25', '36'] -> (36 - 18) * 25 mod 71
[376] ['18', '25', '38'] -> 38 / (18 + 25) mod 71
[377] ['18', '25', '42'] -> 18 / (25 - 42) mod 71
[378] ['18', '25', '44'] -> (25 - 18) * 44 mod 71
[379] ['18', '25', '45'] -> 45 / (18 - 25) mod 71
[380] ['18', '25', '46'] -> (18 / 25) + 46 mod 71
[381] ['2', '22', '59'] -> (2 - 59) * 22 mod 71
[382] ['18', '25', '48'] -> 48 - (18 * 25) mod 71
[383] ['18', '25', '55'] -> 18 - (25 / 55) mod 71
[384] ['18', '25', '56'] -> (56 / 25) - 18 mod 71
[385] ['18', '25', '58'] -> (18 + 25) / 58 mod 71
[386] ['18', '25', '60'] -> (18 + 25) * 60 mod 71
[387] ['18', '25', '63'] -> 18 - (63 / 25) mod 71
[388] ['18', '25', '66'] -> (25 / 18) + 66 mod 71
[389] ['18', '26', '27'] -> (27 / 26) - 18 mod 71
[390] ['18', '26', '35'] -> (35 / 18) + 26 mod 71
[391] ['18', '26', '36'] -> 26 - (36 / 18) mod 71
[392] ['2', '22', '64'] -> 22 / (2 + 64) mod 71
[393] ['18', '26', '47'] -> (18 - 26) / 47 mod 71
[394] ['18', '26', '48'] -> (48 / 18) - 26 mod 71
[395] ['18', '26', '50'] -> 50 / (26 - 18) mod 71
[396] ['18', '26', '52'] -> 52 - (18 / 26) mod 71
[397] ['18', '26', '53'] -> (18 * 26) + 53 mod 71
[398] ['18', '26', '58'] -> (18 * 58) - 26 mod 71
[399] ['18', '26', '61'] -> (18 + 26) / 61 mod 71
[400] ['18', '26', '63'] -> (18 * 63) + 26 mod 71
