[1] ['1', '1', '5'] -> (1 + 1) / 5 mod 59
[2620] ['6', '39', '42'] -> (6 / 39) + 42 mod 59
[2621] ['6', '39', '43'] -> (43 - 39) * 6 mod 59
[2622] ['6', '39', '45'] -> (45 + 6) / 39 mod 59
[2623] ['6', '39', '46'] -> (39 + 46) / 6 mod 59
[2624] ['6', '39', '52'] -> (52 - 6) * 39 mod 59
[2625] ['6', '39', '56'] -> 39 / (6 - 56) mod 59
[2626] ['6', '40', '50'] -> (50 * 6) - 40 mod 59
[2627] ['1', '20', '32'] -> 32 / (1 + 20) mod 59
[2628] ['6', '40', '55'] -> 6 / (55 - 40) mod 59
[2629] ['6', '41', '42'] -> 41 - (6 / 42) mod 59
[2630] ['6', '41', '43'] -> 41 - (43 / 6) mod 59
[2631] ['6', '41', '50'] -> (50 / 41) - 6 mod 59
[2632] ['6', '41', '52'] -> 41 - (52 * 6) mod 59
[2633] ['6', '41', '56'] -> 6 / (56 - 41) mod 59
[2634] ['6', '41', '57'] -> (41 + 6) * 57 mod 59
[2635] ['6', '42', '42'] -> (42 / 6) - 42 mod 59
[2636] ['6', '42', '46'] -> (46 - 42) * 6 mod 59
[2637] ['6', '42', '48'] -> (48 / 42) + 6 mod 59
[2638] ['1', '20', '36'] -> (1 - 20) * 36 mod 59
[2639] ['6', '42', '49'] -> 42 - (49 / 6) mod 59
[2640] ['6', '42', '57'] -> 6 / (57 - 42) mod 59
[2641] ['6', '43', '48'] -> (48 / 6) - 43 mod 59
[2642] ['6', '43', '51'] -> (51 / 43) - 6 mod 59
[2643] ['6', '43', '58'] -> 6 / (58 - 43) mod 59
[2644] ['6', '44', '46'] -> (44 * 46) + 6 mod 59
[2645] ['6', '44', '47'] -> (47 + 6) / 44 mod 59
[2646] ['6', '44', '50'] -> 6 - (44 / 50) mod 59
[2647] ['6', '44', '51'] -> 51 - (44 / 6) mod 59
[2648] ['6', '44', '52'] -> 52 - (44 * 6) mod 59
[2649] ['1', '20', '38'] -> (1 / 20) - 38 mod 59
[2650] ['6', '44', '54'] -> (54 / 6) - 44 mod 59
[2651] ['6', '44', '55'] -> (44 * 6) + 55 mod 59
[2652] ['6', '45', '47'] -> (6 - 47) / 45 mod 59
[2653] ['6', '45', '50'] -> (6 - 45) / 50 mod 59
[2654] ['6', '45', '52'] -> (52 / 45) - 6 mod 59
[2655] ['6', '45', '56'] -> (45 + 6) * 56 mod 59
[2656] ['6', '45', '58'] -> 58 - (45 * 6) mod 59
[2657] ['6', '46', '51'] -> (51 * 6) - 46 mod 59
[2658] ['6', '46', '55'] -> (46 / 55) + 6 mod 59
[2659] ['6', '47', '49'] -> 47 - (6 / 49) mod 59
[2660] ['1', '3', '9'] -> (9 - 1) * 3 mod 59
[2661] ['1', '20', '41'] -> (1 - 20) / 41 mod 59
[2662] ['6', '47', '55'] -> (47 + 6) * 55 mod 59
[2663] ['6', '47', '58'] -> (6 - 58) / 47 mod 59
[2664] ['6', '48', '50'] -> (6 - 48) * 50 mod 59
[2665] ['6', '48', '54'] -> 54 / (6 - 48) mod 59
[2666] ['6', '48', '57'] -> 57 / (48 + 6) mod 59
[2667] ['6', '49', '54'] -> (54 / 49) - 6 mod 59
[2668] ['6', '49', '58'] -> (6 / 49) - 58 mod 59
[2669] ['6', '50', '53'] -> 53 / (50 - 6) mod 59
[2670] ['6', '50', '55'] -> (50 / 6) + 55 mod 59
[2671] ['6', '50', '57'] -> (50 * 57) + 6 mod 59
[2672] ['1', '20', '48'] -> (20 / 48) - 1 mod 59
[2673] ['6', '50', '58'] -> 50 / (6 - 58) mod 59
[2674] ['6', '51', '54'] -> (51 + 6) / 54 mod 59
[2675] ['6', '52', '52'] -> (52 * 6) - 52 mod 59
[2676] ['6', '52', '53'] -> 52 / (6 - 53) mod 59
[2677] ['6', '52', '55'] -> 52 - (6 / 55) mod 59
[2678] ['6', '52', '58'] -> (58 + 6) * 52 mod 59
[2679] ['6', '53', '58'] -> (53 * 6) - 58 mod 59
[2680] ['6', '54', '54'] -> (54 * 6) + 54 mod 59
[2681] ['6', '54', '55'] -> (55 / 6) - 54 mod 59
[2682] ['6', '54', '57'] -> (6 - 54) / 57 mod 59
[2683] ['1', '20', '51'] -> 20 / (51 - 1) mod 59
[2684] ['6', '55', '57'] -> (57 / 55) - 6 mod 59
[2685] ['6', '56', '57'] -> (57 - 6) * 56 mod 59
[2686] ['6', '57', '58'] -> (58 / 57) - 6 mod 59
[2687] ['7', '7', '12'] -> (7 - 12) * 7 mod 59
[2688] ['7', '7', '14'] -> 14 - (7 * 7) mod 59
[2689] ['7', '7', '16'] -> (7 - 16) / 7 mod 59
[2690] ['7', '7', '19'] -> 7 / (7 - 19) mod 59
[2691] ['7', '7', '23'] -> (7 / 7) + 23 mod 59
[2692] ['7', '7', '27'] -> (7 + 7) * 27 mod 59
[2693] ['7', '7', '36'] -> (7 / 7) - 36 mod 59
[2694] ['1', '20', '53'] -> 1 - (20 / 53) mod 59
[2695] ['7', '7', '41'] -> 41 / (7 + 7) mod 59
[2696] ['7', '7', '43'] -> (43 + 7) / 7 mod 59
[2697] ['7', '7', '44'] -> (7 / 44) - 7 mod 59
[2698] ['7', '7', '47'] -> (47 + 7) * 7 mod 59
[2699] ['7', '7', '53'] -> (53 * 7) + 7 mod 59
[2700] ['7', '7', '54'] -> 7 / (54 - 7) mod 59
[2701] ['7', '7', '57'] -> (57 - 7) / 7 mod 59
[2702] ['7', '7', '58'] -> 7 - (58 / 7) mod 59
[2703] ['7', '8', '8'] -> (7 + 8) / 8 mod 59
[2704] ['7', '8', '10'] -> (10 - 7) * 8 mod 59
[2705] ['1', '21', '21'] -> (1 / 21) - 21 mod 59
[2706] ['7', '8', '12'] -> (12 / 8) - 7 mod 59
[2707] ['7', '8', '17'] -> (8 - 17) / 7 mod 59
[2708] ['7', '8', '26'] -> (26 * 8) - 7 mod 59
[2709] ['7', '8', '37'] -> (7 + 8) * 37 mod 59
[2710] ['7', '8', '56'] -> (8 / 56) + 7 mod 59
[2711] ['7', '9', '12'] -> (9 - 7) * 12 mod 59
[2712] ['7', '9', '13'] -> 9 - (13 / 7) mod 59
[2713] ['7', '9', '15'] -> (15 * 9) + 7 mod 59
[2714] ['7', '9', '18'] -> (9 - 18) / 7 mod 59
[2715] ['7', '9', '19'] -> (19 * 7) + 9 mod 59
[2716] ['1', '21', '22'] -> 21 / (1 + 22) mod 59
[2717] ['7', '9', '20'] -> (7 * 9) + 20 mod 59
[2718] ['7', '9', '21'] -> 7 / (9 - 21) mod 59
[2719] ['7', '9', '27'] -> (7 - 27) / 9 mod 59
[2720] ['7', '9', '32'] -> (32 + 7) / 9 mod 59
[2721] ['7', '9', '39'] -> (7 * 9) - 39 mod 59
[2722] ['7', '9', '41'] -> (41 + 9) / 7 mod 59
[2723] ['7', '9', '43'] -> (43 / 9) - 7 mod 59
[2724] ['7', '9', '44'] -> 7 - (44 * 9) mod 59
[2725] ['7', '9', '47'] -> (7 - 9) * 47 mod 59
[2726] ['7', '9', '49'] -> (49 - 7) * 9 mod 59
[2727] ['1', '21', '27'] -> 1 - (21 * 27) mod 59
[2728] ['7', '9', '55'] -> 7 - (9 / 55) mod 59
[2729] ['7', '10', '16'] -> 7 - (10 * 16) mod 59
[2730] ['7', '10', '17'] -> 17 - (10 / 7) mod 59
[2731] ['7', '10', '20'] -> 10 - (20 / 7) mod 59
[2732] ['7', '10', '30'] -> (7 / 30) + 10 mod 59
[2733] ['7', '10', '31'] -> (10 / 7) + 31 mod 59
[2734] ['7', '10', '33'] -> (33 - 7) * 10 mod 59
[2735] ['7', '10', '35'] -> 35 - (10 * 7) mod 59
[2736] ['7', '10', '39'] -> (39 / 7) + 10 mod 59
[2737] ['7', '10', '43'] -> (10 * 43) + 7 mod 59
[2738] ['1', '21', '28'] -> (1 - 28) / 21 mod 59
[2739] ['7', '10', '44'] -> (10 + 44) * 7 mod 59
[2740] ['7', '10', '47'] -> (47 * 7) - 10 mod 59
[2741] ['7', '10', '48'] -> 7 - (10 / 48) mod 59
[2742] ['7', '10', '50'] -> (10 + 7) * 50 mod 59
[2743] ['7', '10', '51'] -> (7 - 10) * 51 mod 59
[2744] ['7', '10', '56'] -> (56 + 7) / 10 mod 59
[2745] ['7', '11', '12'] -> (7 / 12) - 11 mod 59
[2746] ['7', '11', '14'] -> (11 / 7) + 14 mod 59
[2747] ['7', '11', '16'] -> (11 - 16) * 7 mod 59
[2748] ['7', '11', '30'] -> 30 - (7 / 11) mod 59
[2749] ['1', '21', '31'] -> (1 + 31) / 21 mod 59
[2750] ['7', '11', '32'] -> (32 / 7) + 11 mod 59
[2751] ['7', '11', '34'] -> 34 - (11 / 7) mod 59
[2752] ['7', '11', '38'] -> (7 - 38) / 11 mod 59
[2753] ['7', '11', '43'] -> (11 + 43) * 7 mod 59
[2754] ['7', '11', '44'] -> (44 * 7) + 11 mod 59
[2755] ['7', '11', '46'] -> (46 / 11) - 7 mod 59
[2756] ['7', '11', '50'] -> 11 / (50 + 7) mod 59
[2757] ['7', '11', '55'] -> (7 / 55) + 11 mod 59
[2758] ['7', '11', '58'] -> 7 / (58 - 11) mod 59
[2759] ['7', '12', '16'] -> (16 / 7) - 12 mod 59
[2760] ['1', '21', '33'] -> (33 - 1) / 21 mod 59
[2761] ['7', '12', '21'] -> (12 - 21) / 7 mod 59
[2762] ['7', '12', '22'] -> (22 * 7) - 12 mod 59
[2763] ['7', '12', '26'] -> (12 * 26) + 7 mod 59
[2764] ['7', '12', '36'] -> 12 / (7 - 36) mod 59
[2765] ['7', '12', '45'] -> (45 + 7) / 12 mod 59
[2766] ['7', '12', '48'] -> (7 / 12) + 48 mod 59
[2767] ['7', '12', '49'] -> 49 - (12 * 7) mod 59
[2768] ['7', '12', '52'] -> (12 - 7) * 52 mod 59
[2769] ['7', '12', '56'] -> (12 / 7) + 56 mod 59
[2770] ['7', '12', '57'] -> 57 / (7 - 12) mod 59
[2771] ['1', '1', '18'] -> (1 / 18) + 1 mod 59
[2772] ['1', '3', '11'] -> 11 / (1 - 3) mod 59
[2773] ['1', '21', '35'] -> 1 - (21 / 35) mod 59
[2774] ['7', '13', '13'] -> (13 + 7) * 13 mod 59
[2775] ['7', '13', '16'] -> (13 * 16) - 7 mod 59
[2776] ['7', '13', '23'] -> (23 / 7) - 13 mod 59
[2777] ['7', '13', '25'] -> 7 / (13 - 25) mod 59
[2778] ['7', '13', '26'] -> 26 / (13 - 7) mod 59
[2779] ['7', '13', '28'] -> (7 / 13) + 28 mod 59
[2780] ['7', '13', '31'] -> (7 / 13) - 31 mod 59
[2781] ['7', '13', '32'] -> (13 / 32) + 7 mod 59
[2782] ['7', '13', '33'] -> 33 / (7 - 13) mod 59
[2783] ['7', '13', '34'] -> 7 / (13 + 34) mod 59
[2784] ['1', '21', '37'] -> 21 / (1 - 37) mod 59
[2785] ['7', '13', '35'] -> 7 - (13 * 35) mod 59
[2786] ['7', '13', '37'] -> (13 + 37) / 7 mod 59
[2787] ['7', '13', '46'] -> (7 - 46) * 13 mod 59
[2788] ['7', '13', '48'] -> (13 / 48) - 7 mod 59
[2789] ['7', '13', '50'] -> (13 + 7) / 50 mod 59
[2790] ['7', '14', '15'] -> (14 * 7) - 15 mod 59
[2791] ['7', '14', '18'] -> (14 + 7) * 18 mod 59
[2792] ['7', '14', '19'] -> (14 - 19) * 7 mod 59
[2793] ['7', '14', '21'] -> (21 / 14) - 7 mod 59
[2794] ['7', '14', '22'] -> (14 / 7) + 22 mod 59
[2795] ['1', '21', '38'] -> (1 / 21) + 38 mod 59
[2796] ['7', '14', '25'] -> (7 - 25) / 14 mod 59
[2797] ['7', '14', '29'] -> (14 / 29) - 7 mod 59
[2798] ['7', '14', '30'] -> (30 / 7) - 14 mod 59
[2799] ['7', '14', '32'] -> 32 / (14 + 7) mod 59
[2800] ['7', '14', '33'] -> 7 / (14 + 33) mod 59
[2801] ['7', '14', '36'] -> (14 + 36) / 7 mod 59
[2802] ['7', '14', '37'] -> (14 / 7) - 37 mod 59
[2803] ['7', '14', '40'] -> (14 + 40) * 7 mod 59
[2804] ['7', '14', '44'] -> (14 * 7) + 44 mod 59
[2805] ['7', '14', '47'] -> (14 - 7) / 47 mod 59
[2806] ['1', '21', '39'] -> 21 - (1 / 39) mod 59
[2807] ['7', '14', '50'] -> 50 / (14 - 7) mod 59
[2808] ['7', '14', '52'] -> (52 * 7) + 14 mod 59
[2809] ['7', '14', '53'] -> (7 / 14) + 53 mod 59
[2810] ['7', '15', '15'] -> 15 / (15 - 7) mod 59
[2811] ['7', '15', '19'] -> (19 / 15) + 7 mod 59
[2812] ['7', '15', '22'] -> (15 * 7) - 22 mod 59
[2813] ['7', '15', '29'] -> (7 - 29) * 15 mod 59
[2814] ['7', '15', '30'] -> (30 + 7) * 15 mod 59
[2815] ['7', '15', '38'] -> (7 / 38) - 15 mod 59
[2816] ['7', '15', '40'] -> 7 - (40 / 15) mod 59
[2817] ['1', '21', '42'] -> (1 - 42) * 21 mod 59
[2818] ['7', '15', '50'] -> 7 - (15 * 50) mod 59
[2819] ['7', '15', '54'] -> (15 / 7) - 54 mod 59
[2820] ['7', '16', '19'] -> (16 + 7) * 19 mod 59
[2821] ['7', '16', '20'] -> 20 / (7 - 16) mod 59
[2822] ['7', '16', '25'] -> (16 - 25) / 7 mod 59
[2823] ['7', '16', '29'] -> (16 * 7) - 29 mod 59
[2824] ['7', '16', '30'] -> (16 * 7) + 30 mod 59
[2825] ['7', '16', '34'] -> (16 + 34) / 7 mod 59
[2826] ['7', '16', '35'] -> (7 - 35) * 16 mod 59
[2827] ['7', '16', '37'] -> (37 - 7) / 16 mod 59
[2828] ['1', '21', '50'] -> (21 - 1) / 50 mod 59
[2829] ['7', '16', '39'] -> 39 / (16 - 7) mod 59
[2830] ['7', '16', '41'] -> 16 - (41 * 7) mod 59
[2831] ['7', '16', '49'] -> (16 * 49) + 7 mod 59
[2832] ['7', '16', '50'] -> (16 / 50) - 7 mod 59
[2833] ['7', '16', '52'] -> (16 - 7) / 52 mod 59
[2834] ['7', '16', '53'] -> (16 / 53) + 7 mod 59
[2835] ['7', '16', '56'] -> (56 / 7) + 16 mod 59
[2836] ['7', '17', '18'] -> 18 - (17 / 7) mod 59
[2837] ['7', '17', '20'] -> 17 / (20 - 7) mod 59
[2838] ['7', '17', '22'] -> (17 - 22) * 7 mod 59
[2839] ['1', '21', '51'] -> 51 / (1 - 21) mod 59
[2840] ['7', '17', '23'] -> (17 * 7) + 23 mod 59
[2841] ['7', '17', '31'] -> (17 / 31) - 7 mod 59
[2842] ['7', '17', '36'] -> (17 * 7) - 36 mod 59
[2843] ['7', '17', '37'] -> (17 + 37) * 7 mod 59
[2844] ['7', '17', '40'] -> (17 * 40) - 7 mod 59
[2845] ['7', '17', '43'] -> (43 + 7) * 17 mod 59
[2846] ['7', '17', '47'] -> (47 + 7) / 17 mod 59
[2847] ['7', '17', '49'] -> (49 / 7) + 17 mod 59
[2848] ['7', '17', '51'] -> (51 / 7) - 17 mod 59
[2849] ['7', '17', '57'] -> (57 - 7) * 17 mod 59
[2850] ['1', '22', '23'] -> (22 - 1) / 23 mod 59
[2851] ['7', '18', '21'] -> 18 / (7 - 21) mod 59
[2852] ['7', '18', '22'] -> 7 - (18 * 22) mod 59
[2853] ['7', '18', '23'] -> (18 - 23) * 7 mod 59
[2854] ['7', '18', '26'] -> (26 - 7) / 18 mod 59
[2855] ['7', '18', '31'] -> 31 / (7 - 18) mod 59
[2856] ['7', '18', '33'] -> (18 + 7) / 33 mod 59
[2857] ['7', '18', '34'] -> (18 + 7) * 34 mod 59
[2858] ['7', '18', '36'] -> (18 + 36) * 7 mod 59
[2859] ['7', '18', '37'] -> (18 * 37) + 7 mod 59
[2860] ['7', '18', '38'] -> 18 / (38 + 7) mod 59
[2861] ['1', '22', '25'] -> 1 - (25 / 22) mod 59
[2862] ['7', '18', '40'] -> (7 / 18) + 40 mod 59
[2863] ['7', '18', '42'] -> (42 / 7) + 18 mod 59
[2864] ['7', '18', '45'] -> (7 - 45) * 18 mod 59
[2865] ['7', '18', '47'] -> (7 - 47) / 18 mod 59
[2866] ['7', '18', '51'] -> 7 - (18 / 51) mod 59
[2867] ['7', '18', '52'] -> 18 / (52 - 7) mod 59
[2868] ['7', '19', '26'] -> (26 * 7) + 19 mod 59
[2869] ['7', '19', '29'] -> (7 - 19) / 29 mod 59
[2870] ['7', '19', '33'] -> 19 - (33 * 7) mod 59
[2871] ['7', '19', '39'] -> 39 - (19 * 7) mod 59
[2872] ['1', '22', '28'] -> (1 + 22) / 28 mod 59
[2873] ['7', '19', '42'] -> (19 * 42) - 7 mod 59
[2874] ['7', '19', '44'] -> 7 - (19 / 44) mod 59
[2875] ['7', '19', '48'] -> 19 / (7 - 48) mod 59
[2876] ['7', '19', '54'] -> (7 / 19) - 54 mod 59
[2877] ['7', '19', '58'] -> (58 / 19) - 7 mod 59
[2878] ['7', '20', '20'] -> (20 - 7) * 20 mod 59
[2879] ['7', '20', '21'] -> (20 / 7) - 21 mod 59
[2880] ['7', '20', '25'] -> (20 - 25) * 7 mod 59
[2881] ['7', '20', '27'] -> 7 / (20 + 27) mod 59
[2882] ['7', '20', '28'] -> (28 / 7) + 20 mod 59
[2883] ['1', '3', '16'] -> (16 / 3) - 1 mod 59
[2884] ['1', '22', '29'] -> 22 - (1 / 29) mod 59
[2885] ['7', '20', '29'] -> (20 - 29) / 7 mod 59
[2886] ['7', '20', '33'] -> (20 / 33) - 7 mod 59
[2887] ['7', '20', '39'] -> (7 - 20) * 39 mod 59
[2888] ['7', '20', '40'] -> (40 * 7) - 20 mod 59
[2889] ['7', '20', '42'] -> 42 / (7 - 20) mod 59
[2890] ['7', '20', '43'] -> 20 / (43 + 7) mod 59
[2891] ['7', '20', '50'] -> 20 - (50 * 7) mod 59
[2892] ['7', '20', '53'] -> (7 - 53) * 20 mod 59
[2893] ['7', '21', '22'] -> (7 / 22) + 21 mod 59
[2894] ['7', '21', '23'] -> 23 / (21 + 7) mod 59
[2895] ['1', '22', '30'] -> (1 / 30) + 22 mod 59
[2896] ['7', '21', '24'] -> (7 - 21) / 24 mod 59
[2897] ['7', '21', '32'] -> (7 - 21) * 32 mod 59
[2898] ['7', '21', '34'] -> (7 - 34) / 21 mod 59
[2899] ['7', '21', '35'] -> (21 - 7) / 35 mod 59
[2900] ['7', '21', '39'] -> (39 - 7) / 21 mod 59
[2901] ['7', '21', '41'] -> 41 / (21 - 7) mod 59
[2902] ['7', '21', '44'] -> 44 - (7 / 21) mod 59
[2903] ['7', '21', '48'] -> (7 - 48) * 21 mod 59
[2904] ['7', '21', '51'] -> (51 * 7) + 21 mod 59
[2905] ['7', '21', '53'] -> 53 - (21 * 7) mod 59
[2906] ['1', '22', '34'] -> (34 / 22) + 1 mod 59
[2907] ['7', '21', '54'] -> (21 * 7) + 54 mod 59
[2908] ['7', '21', '56'] -> 7 - (56 / 21) mod 59
[2909] ['7', '22', '22'] -> (7 - 22) * 22 mod 59
[2910] ['7', '22', '23'] -> 7 - (22 / 23) mod 59
[2911] ['7', '22', '26'] -> 22 - (7 / 26) mod 59
[2912] ['7', '22', '28'] -> (22 + 28) / 7 mod 59
[2913] ['7', '22', '32'] -> (22 + 32) * 7 mod 59
[2914] ['7', '22', '36'] -> (22 / 36) + 7 mod 59
[2915] ['7', '22', '41'] -> (22 * 41) + 7 mod 59
[2916] ['7', '22', '43'] -> (22 + 7) / 43 mod 59
[2917] ['1', '22', '42'] -> (22 / 42) + 1 mod 59
[2918] ['7', '22', '44'] -> 44 - (22 / 7) mod 59
[2919] ['7', '22', '45'] -> 22 - (45 / 7) mod 59
[2920] ['7', '22', '48'] -> 22 / (48 + 7) mod 59
[2921] ['7', '22', '49'] -> (49 + 7) / 22 mod 59
[2922] ['7', '22', '55'] -> (22 / 7) - 55 mod 59
[2923] ['7', '23', '26'] -> (26 - 7) * 23 mod 59
[2924] ['7', '23', '30'] -> 30 / (23 - 7) mod 59
[2925] ['7', '23', '34'] -> (34 / 7) - 23 mod 59
[2926] ['7', '23', '37'] -> (37 / 23) + 7 mod 59
[2927] ['7', '23', '38'] -> 23 / (7 - 38) mod 59
[2928] ['1', '22', '43'] -> (1 + 43) * 22 mod 59
[2929] ['7', '23', '42'] -> 23 - (42 * 7) mod 59
[2930] ['7', '23', '45'] -> (7 - 45) / 23 mod 59
[2931] ['7', '23', '46'] -> (23 / 7) + 46 mod 59
[2932] ['7', '23', '47'] -> (7 - 47) * 23 mod 59
[2933] ['7', '24', '38'] -> (38 + 7) / 24 mod 59
[2934] ['7', '24', '49'] -> (49 * 7) - 24 mod 59
[2935] ['7', '25', '25'] -> (25 + 25) / 7 mod 59
[2936] ['7', '25', '27'] -> (27 + 7) * 25 mod 59
[2937] ['7', '25', '32'] -> (7 - 32) * 25 mod 59
[2938] ['7', '25', '34'] -> (25 - 34) / 7 mod 59
[2939] ['1', '22', '49'] -> 1 / (22 - 49) mod 59
[2940] ['7', '25', '36'] -> 36 - (25 / 7) mod 59
[2941] ['7', '25', '37'] -> 7 / (25 - 37) mod 59
[2942] ['7', '25', '38'] -> (7 - 25) * 38 mod 59
[2943] ['7', '25', '39'] -> (25 * 39) - 7 mod 59
[2944] ['7', '25', '41'] -> (41 - 7) * 25 mod 59
[2945] ['7', '25', '48'] -> (48 / 7) - 25 mod 59
[2946] ['7', '25', '57'] -> (25 / 57) + 7 mod 59
[2947] ['7', '26', '26'] -> (7 / 26) + 26 mod 59
[2948] ['7', '26', '27'] -> (27 + 7) / 26 mod 59
[2949] ['7', '26', '28'] -> (26 + 28) * 7 mod 59
[2950] ['1', '22', '52'] -> (22 * 52) + 1 mod 59
[2951] ['7', '26', '30'] -> 7 - (30 / 26) mod 59
[2952] ['7', '26', '31'] -> (26 - 31) * 7 mod 59
[2953] ['7', '26', '34'] -> 26 - (34 * 7) mod 59
[2954] ['7', '26', '35'] -> (26 - 35) / 7 mod 59
[2955] ['7', '26', '36'] -> (7 - 26) * 36 mod 59
[2956] ['7', '26', '37'] -> (26 / 37) - 7 mod 59
[2957] ['7', '26', '38'] -> 7 / (26 - 38) mod 59
[2958] ['7', '26', '39'] -> (39 / 26) - 7 mod 59
[2959] ['7', '26', '40'] -> (26 * 7) - 40 mod 59
[2960] ['7', '26', '45'] -> (45 / 7) + 26 mod 59
[2961] ['1', '23', '27'] -> 23 / (1 + 27) mod 59
[2962] ['7', '26', '49'] -> (26 + 7) * 49 mod 59
[2963] ['7', '26', '55'] -> (55 / 7) - 26 mod 59
[2964] ['7', '26', '56'] -> (7 - 56) * 26 mod 59
[2965] ['7', '26', '58'] -> 26 / (58 + 7) mod 59
[2966] ['7', '27', '27'] -> (27 + 27) * 7 mod 59
[2967] ['7', '27', '28'] -> 27 / (7 - 28) mod 59
[2968] ['7', '27', '31'] -> 27 / (31 + 7) mod 59
[2969] ['7', '27', '32'] -> (27 - 32) * 7 mod 59
[2970] ['7', '27', '33'] -> 33 - (7 / 27) mod 59
[2971] ['7', '27', '38'] -> (38 / 7) + 27 mod 59
[2972] ['1', '23', '29'] -> 23 / (29 - 1) mod 59
[2973] ['7', '27', '41'] -> (41 * 7) - 27 mod 59
[2974] ['7', '27', '45'] -> 27 / (45 - 7) mod 59
[2975] ['7', '27', '50'] -> (27 - 7) / 50 mod 59
[2976] ['7', '27', '54'] -> 7 - (27 * 54) mod 59
[2977] ['7', '28', '30'] -> (30 - 7) / 28 mod 59
[2978] ['7', '28', '32'] -> 32 / (28 - 7) mod 59
[2979] ['7', '28', '33'] -> (28 - 33) * 7 mod 59
[2980] ['7', '28', '41'] -> (7 - 28) * 41 mod 59
[2981] ['7', '28', '42'] -> (42 / 28) - 7 mod 59
[2982] ['7', '28', '46'] -> 28 - (7 / 46) mod 59
[2983] ['1', '23', '32'] -> 23 / (1 - 32) mod 59
[2984] ['7', '28', '54'] -> (28 * 7) - 54 mod 59
[2985] ['7', '29', '31'] -> (29 + 7) / 31 mod 59
[2986] ['7', '29', '35'] -> 29 - (35 / 7) mod 59
[2987] ['7', '29', '36'] -> 29 / (36 + 7) mod 59
[2988] ['7', '29', '39'] -> (29 / 39) - 7 mod 59
[2989] ['7', '29', '41'] -> 7 / (29 - 41) mod 59
[2990] ['7', '29', '44'] -> (29 - 7) * 44 mod 59
[2991] ['7', '29', '45'] -> 45 - (29 / 7) mod 59
[2992] ['7', '29', '48'] -> (7 / 48) - 29 mod 59
[2993] ['7', '29', '54'] -> (54 - 7) / 29 mod 59
[2994] ['1', '3', '19'] -> (3 / 19) - 1 mod 59
[2995] ['1', '23', '37'] -> (23 * 37) - 1 mod 59
[2996] ['7', '30', '31'] -> (7 - 30) / 31 mod 59
[2997] ['7', '30', '39'] -> (30 - 39) / 7 mod 59
[2998] ['7', '30', '40'] -> (7 - 30) * 40 mod 59
[2999] ['7', '30', '43'] -> 30 - (43 * 7) mod 59
[3000] ['7', '30', '48'] -> (7 / 48) + 30 mod 59
[3001] ['7', '30', '54'] -> (7 - 54) / 30 mod 59
[3002] ['7', '30', '55'] -> (55 - 7) * 30 mod 59
[3003] ['7', '30', '57'] -> 57 - (30 * 7) mod 59
[3004] ['7', '31', '39'] -> (7 / 31) + 39 mod 59
[3005] ['7', '32', '34'] -> (32 - 7) * 34 mod 59
[3006] ['1', '23', '39'] -> (1 - 39) / 23 mod 59
[3007] ['7', '32', '45'] -> 32 / (7 - 45) mod 59
[3008] ['7', '32', '47'] -> (32 / 47) + 7 mod 59
[3009] ['7', '32', '51'] -> 51 / (32 + 7) mod 59
[3010] ['7', '32', '52'] -> (52 - 7) * 32 mod 59
[3011] ['7', '32', '53'] -> (53 + 7) / 32 mod 59
[3012] ['7', '32', '54'] -> (32 * 54) + 7 mod 59
[3013] ['7', '32', '56'] -> 32 - (56 / 7) mod 59
[3014] ['7', '33', '34'] -> 34 / (33 - 7) mod 59
[3015] ['7', '33', '35'] -> 33 - (35 * 7) mod 59
[3016] ['7', '33', '36'] -> (33 + 7) * 36 mod 59
[3017] ['1', '23', '41'] -> (1 - 41) * 23 mod 59
[3018] ['7', '33', '37'] -> (7 / 33) - 37 mod 59
[3019] ['7', '33', '38'] -> (33 - 38) * 7 mod 59
[3020] ['7', '33', '46'] -> 33 / (46 + 7) mod 59
[3021] ['7', '33', '47'] -> (33 * 47) + 7 mod 59
[3022] ['7', '33', '49'] -> (7 - 33) * 49 mod 59
[3023] ['7', '33', '51'] -> (33 * 51) - 7 mod 59
[3024] ['7', '33', '55'] -> (55 / 7) + 33 mod 59
[3025] ['7', '33', '56'] -> (56 - 7) * 33 mod 59
[3026] ['7', '34', '36'] -> (34 / 7) + 36 mod 59
[3027] ['7', '34', '37'] -> (34 * 7) - 37 mod 59
[3028] ['1', '23', '42'] -> 42 - (1 / 23) mod 59
[3029] ['7', '34', '39'] -> (34 - 39) * 7 mod 59
[3030] ['7', '34', '41'] -> (7 - 41) * 34 mod 59
[3031] ['7', '34', '43'] -> (34 - 43) / 7 mod 59
[3032] ['7', '34', '45'] -> (7 - 34) * 45 mod 59
[3033] ['7', '34', '46'] -> 7 / (34 - 46) mod 59
[3034] ['7', '34', '47'] -> (47 / 34) + 7 mod 59
[3035] ['7', '34', '58'] -> 58 / (34 - 7) mod 59
[3036] ['7', '35', '48'] -> (7 - 35) / 48 mod 59
[3037] ['7', '35', '49'] -> (49 * 7) + 35 mod 59
[3038] ['7', '35', '50'] -> 7 - (35 / 50) mod 59
[3039] ['1', '23', '50'] -> 1 / (23 - 50) mod 59
[3040] ['7', '35', '53'] -> (7 / 53) + 35 mod 59
[3041] ['7', '35', '54'] -> 7 - (54 / 35) mod 59
[3042] ['7', '36', '37'] -> 7 - (37 / 36) mod 59
