[204] ['11', '11', '60', '70'] -> (70 - (11 * 11)) / 60 mod 71
[205] ['11', '22', '66', '66'] -> ((66 * 66) - 11) * 22 mod 71
[206] ['11', '45', '45', '45'] -> (11 - (45 / 45)) * 45 mod 71
[207] ['11', '49', '66', '66'] -> (11 - (66 * 66)) * 49 mod 71
[208] ['11', '54', '54', '54'] -> (54 / (11 - 54)) - 54 mod 71
[209] ['11', '70', '70', '70'] -> (70 + 70) * (70 - 11) mod 71
[210] ['12', '12', '12', '16'] -> (16 / 12) - (12 / 12) mod 71
[211] ['12', '12', '12', '23'] -> ((12 * 23) + 12) / 12 mod 71
[212] ['1', '1', '8', '8'] -> ((1 + 1) * 8) + 8 mod 71
[213] ['12', '12', '12', '27'] -> 27 / (12 - (12 * 12)) mod 71
[214] ['12', '12', '12', '33'] -> (12 - (12 / 12)) / 33 mod 71
[215] ['12', '12', '12', '39'] -> ((12 / 12) + 12) / 39 mod 71
[216] ['12', '12', '12', '41'] -> ((12 * 12) - 12) / 41 mod 71
[217] ['12', '12', '12', '42'] -> ((12 * 12) + 12) / 42 mod 71
[218] ['12', '12', '12', '43'] -> ((12 / 12) - 12) * 43 mod 71
[219] ['12', '12', '12', '44'] -> 44 / ((12 * 12) - 12) mod 71
[220] ['12', '12', '12', '45'] -> (12 - (12 * 12)) * 45 mod 71
[221] ['12', '12', '12', '46'] -> ((46 / 12) + 12) / 12 mod 71
[222] ['12', '12', '12', '50'] -> ((50 / 12) - 12) / 12 mod 71
[223] ['1', '1', '1', '8'] -> (1 + 1 + 1) * 8 mod 71
[224] ['1', '1', '8', '9'] -> ((1 + 1) / 9) + 8 mod 71
[225] ['12', '12', '12', '52'] -> 52 / ((12 * 12) + 12) mod 71
[226] ['12', '12', '12', '54'] -> ((12 / 54) - 12) / 12 mod 71
[227] ['12', '12', '12', '63'] -> (12 / 12) + (63 / 12) mod 71
[228] ['12', '12', '12', '64'] -> (12 * 12) - (12 / 64) mod 71
[229] ['12', '12', '12', '66'] -> (12 / 66) - (12 * 12) mod 71
[230] ['12', '12', '12', '68'] -> ((12 / 12) - 68) / 12 mod 71
[231] ['12', '12', '12', '70'] -> ((12 / 12) - 70) * 12 mod 71
[232] ['12', '12', '19', '36'] -> ((12 / 19) - 36) * 12 mod 71
[233] ['12', '12', '27', '59'] -> 27 / ((12 * 59) + 12) mod 71
[234] ['12', '12', '29', '36'] -> (36 - (29 / 12)) / 12 mod 71
[235] ['1', '1', '8', '35'] -> (1 - (1 / 35)) * 8 mod 71
[236] ['12', '12', '36', '66'] -> ((66 / 36) + 12) * 12 mod 71
[237] ['12', '12', '44', '59'] -> 44 / ((12 * 12) + 59) mod 71
[238] ['12', '12', '59', '64'] -> (12 * 12) + (59 / 64) mod 71
[239] ['12', '19', '59', '59'] -> 19 / ((12 * 59) + 59) mod 71
[240] ['12', '21', '70', '70'] -> (21 + 70) * (70 - 12) mod 71
[241] ['12', '25', '70', '70'] -> (70 / (12 + 25)) - 70 mod 71
[242] ['12', '29', '59', '59'] -> ((12 * 59) + 59) / 29 mod 71
[243] ['12', '31', '41', '41'] -> 41 / ((31 * 41) - 12) mod 71
[244] ['12', '39', '59', '59'] -> ((59 / 59) + 12) / 39 mod 71
[245] ['12', '42', '59', '59'] -> ((59 * 59) + 12) / 42 mod 71
[246] ['1', '1', '8', '38'] -> (38 / (1 - 8)) - 1 mod 71
[247] ['12', '44', '70', '70'] -> (44 + 70) / (70 - 12) mod 71
[248] ['12', '46', '70', '70'] -> (70 / (12 - 46)) - 70 mod 71
[249] ['12', '52', '59', '59'] -> 52 / ((59 * 59) + 12) mod 71
[250] ['13', '13', '13', '19'] -> 19 / (13 - (13 * 13)) mod 71
[251] ['13', '13', '13', '21'] -> ((13 / 13) - 21) * 13 mod 71
[252] ['13', '13', '13', '27'] -> ((13 / 13) + 27) / 13 mod 71
[253] ['13', '13', '13', '30'] -> ((13 + 13) * 13) - 30 mod 71
[254] ['13', '13', '13', '44'] -> ((13 / 13) - 44) / 13 mod 71
[255] ['13', '13', '13', '50'] -> ((13 / 13) + 50) * 13 mod 71
[256] ['13', '13', '13', '66'] -> 13 / (66 - (13 * 13)) mod 71
[257] ['1', '1', '9', '61'] -> (9 / (61 - 1)) - 1 mod 71
[258] ['13', '13', '13', '70'] -> ((13 * 13) - 70) / 13 mod 71
[259] ['13', '13', '21', '58'] -> (21 - (13 / 13)) * 58 mod 71
