[235] ['1', '1', '12', '50'] -> (1 / (50 - 12)) - 1 mod 73
[236] ['11', '24', '49', '55'] -> (11 - (55 / 49)) / 24 mod 73
[237] ['11', '26', '26', '26'] -> ((26 * 26) + 26) / 11 mod 73
[238] ['11', '26', '49', '49'] -> 49 - (49 / (11 + 26)) mod 73
[239] ['11', '30', '30', '30'] -> ((30 / 30) - 11) / 30 mod 73
[240] ['11', '47', '47', '47'] -> ((47 * 47) - 47) / 11 mod 73
[241] ['11', '54', '54', '54'] -> ((54 + 54) / 11) + 54 mod 73
[242] ['11', '54', '72', '72'] -> (11 / (54 + 72)) + 72 mod 73
[243] ['11', '63', '63', '63'] -> (63 / 63) - (11 / 63) mod 73
[244] ['11', '72', '72', '72'] -> (72 + 72) * (72 - 11) mod 73
[245] ['12', '12', '12', '16'] -> (12 / 12) - (16 / 12) mod 73
[246] ['1', '1', '12', '54'] -> (1 - 54) / (1 + 12) mod 73
[247] ['12', '12', '12', '17'] -> ((12 * 12) + 12) * 17 mod 73
[248] ['12', '12', '12', '19'] -> (12 - (12 / 19)) / 12 mod 73
[249] ['12', '12', '12', '21'] -> 21 / ((12 * 12) + 12) mod 73
[250] ['12', '12', '12', '27'] -> ((27 / 12) + 12) / 12 mod 73
[251] ['12', '12', '12', '29'] -> 29 / ((12 * 12) - 12) mod 73
[252] ['12', '12', '12', '39'] -> 12 / ((12 * 12) + 39) mod 73
[253] ['12', '12', '12', '44'] -> 44 / (12 - (12 * 12)) mod 73
[254] ['12', '12', '12', '46'] -> (12 - (46 / 12)) / 12 mod 73
[255] ['12', '12', '12', '54'] -> ((12 / 54) + 12) / 12 mod 73
[256] ['12', '12', '12', '57'] -> (12 / 12) + (57 / 12) mod 73
[257] ['1', '1', '13', '27'] -> 1 - (13 / (1 + 27)) mod 73
[258] ['12', '12', '12', '68'] -> ((12 / 12) + 68) / 12 mod 73
[259] ['12', '12', '12', '70'] -> (70 - (12 / 12)) / 12 mod 73
[260] ['12', '12', '16', '61'] -> (12 / 12) + (16 / 61) mod 73
[261] ['12', '12', '29', '61'] -> 29 / ((12 * 12) + 61) mod 73
[262] ['12', '12', '33', '72'] -> (12 + 33) / (12 + 72) mod 73
[263] ['12', '12', '36', '56'] -> (12 / (56 - 12)) - 36 mod 73
[264] ['12', '12', '44', '61'] -> 44 / ((12 * 61) + 12) mod 73
[265] ['12', '17', '61', '61'] -> ((61 * 61) + 12) * 17 mod 73
[266] ['12', '21', '61', '61'] -> 21 / ((61 * 61) + 12) mod 73
[267] ['12', '22', '36', '36'] -> ((36 / 12) + 22) * 36 mod 73
[268] ['1', '1', '16', '16'] -> (16 / (1 + 1)) + 16 mod 73
[269] ['12', '23', '72', '72'] -> (72 / (12 + 23)) + 72 mod 73
[270] ['12', '26', '72', '72'] -> 72 - (72 / (12 + 26)) mod 73
[271] ['12', '27', '72', '72'] -> (72 - 27) / (12 + 72) mod 73
[272] ['12', '46', '72', '72'] -> (46 + 72) / (12 + 72) mod 73
[273] ['12', '52', '61', '61'] -> 52 / ((12 * 61) + 61) mod 73
[274] ['12', '56', '61', '61'] -> ((12 * 61) + 61) * 56 mod 73
[275] ['12', '57', '61', '61'] -> (57 / 12) + (61 / 61) mod 73
[276] ['13', '13', '13', '40'] -> 13 / ((13 / 13) - 40) mod 73
[277] ['13', '13', '34', '71'] -> 13 - (13 / (34 + 71)) mod 73
[278] ['13', '13', '44', '44'] -> (13 * 13) + (44 / 44) mod 73
[279] ['1', '1', '16', '30'] -> (1 / 30) - (1 / 16) mod 73
[280] ['13', '13', '62', '62'] -> (13 * 13) + (62 / 62) mod 73
[281] ['13', '23', '23', '23'] -> (23 / (23 + 23)) - 13 mod 73
[282] ['13', '27', '27', '27'] -> (27 / (27 + 27)) - 13 mod 73
[283] ['13', '27', '27', '46'] -> (27 / (27 - 46)) - 13 mod 73
[284] ['13', '27', '27', '72'] -> (13 + 27) / (27 + 72) mod 73
[285] ['13', '27', '46', '46'] -> (46 / (46 - 27)) - 13 mod 73
[286] ['13', '40', '59', '59'] -> 13 / ((59 / 59) - 40) mod 73
[287] ['13', '46', '46', '46'] -> (46 / (46 + 46)) - 13 mod 73
[288] ['13', '47', '47', '47'] -> (47 / (47 + 47)) - 13 mod 73
[289] ['13', '72', '72', '72'] -> (72 / (72 + 72)) - 13 mod 73
[290] ['1', '1', '17', '29'] -> (1 + 1) * (29 - 17) mod 73
[291] ['14', '14', '14', '14'] -> (14 / 14) - (14 * 14) mod 73
[292] ['14', '14', '14', '28'] -> ((14 / 14) + 14) / 28 mod 73
[293] ['14', '14', '14', '45'] -> (45 - (14 / 14)) / 14 mod 73
[294] ['14', '14', '38', '40'] -> 38 / (14 - (40 / 14)) mod 73
[295] ['14', '20', '49', '49'] -> 20 / (14 - (49 / 49)) mod 73
[296] ['14', '21', '21', '54'] -> ((14 + 21) * 21) - 54 mod 73
[297] ['14', '27', '27', '27'] -> (14 + 27) * (27 + 27) mod 73
[298] ['14', '46', '46', '46'] -> (46 + 46) * (46 - 14) mod 73
[299] ['14', '65', '65', '65'] -> ((65 / 14) - 65) * 65 mod 73
[300] ['14', '69', '69', '72'] -> (72 / 69) - (69 / 14) mod 73
[301] ['1', '1', '17', '69'] -> 69 - (17 / (1 + 1)) mod 73
[302] ['14', '70', '70', '70'] -> (70 - (70 / 14)) * 70 mod 73
[303] ['15', '15', '15', '16'] -> ((16 - 15) / 15) - 15 mod 73
[304] ['15', '15', '15', '23'] -> ((15 * 23) + 15) / 15 mod 73
[305] ['15', '15', '15', '31'] -> (15 - (15 / 15)) / 31 mod 73
[306] ['15', '15', '15', '42'] -> ((15 / 15) - 15) / 42 mod 73
[307] ['15', '15', '15', '47'] -> ((15 + 47) / 15) + 15 mod 73
[308] ['15', '15', '15', '50'] -> (15 - (15 * 50)) / 15 mod 73
[309] ['15', '15', '15', '72'] -> 15 - ((15 + 72) * 15) mod 73
[310] ['15', '15', '17', '61'] -> ((61 / 15) + 17) * 15 mod 73
[311] ['15', '15', '42', '58'] -> ((15 / 15) + 58) / 42 mod 73
[312] ['1', '1', '18', '36'] -> (1 / (18 + 36)) + 1 mod 73
[313] ['15', '31', '31', '31'] -> (15 - (31 / 31)) / 31 mod 73
[314] ['15', '31', '42', '42'] -> (15 - (42 / 42)) / 31 mod 73
[315] ['15', '32', '32', '32'] -> 15 - (32 * 32 * 32) mod 73
[316] ['15', '42', '42', '42'] -> ((42 / 42) - 15) / 42 mod 73
[317] ['15', '43', '43', '43'] -> (15 + 43) * (43 + 43) mod 73
[318] ['15', '46', '46', '46'] -> 15 / ((46 / 46) - 46) mod 73
[319] ['15', '51', '51', '51'] -> ((51 * 51) - 51) / 15 mod 73
[320] ['15', '71', '72', '72'] -> (72 / (15 + 72)) + 71 mod 73
[321] ['16', '16', '16', '16'] -> (16 * 16 * 16) + 16 mod 73
[322] ['16', '16', '16', '27'] -> (27 / 16) - (16 * 16) mod 73
[323] ['1', '1', '19', '60'] -> (1 / (1 + 19)) - 60 mod 73
[324] ['16', '16', '16', '30'] -> ((16 + 16) / 30) - 16 mod 73
[325] ['16', '16', '16', '43'] -> 43 / ((16 / 16) + 16) mod 73
[326] ['16', '16', '16', '47'] -> ((16 * 47) + 16) * 16 mod 73
[327] ['16', '16', '16', '68'] -> 68 / (16 - (16 / 16)) mod 73
[328] ['16', '16', '30', '72'] -> ((16 / 30) + 72) / 16 mod 73
[329] ['16', '16', '63', '63'] -> 63 / (16 - (16 * 63)) mod 73
[330] ['16', '23', '23', '23'] -> (23 * 23) + (23 / 16) mod 73
[331] ['16', '28', '28', '28'] -> (16 - (28 / 28)) / 28 mod 73
[332] ['16', '45', '45', '45'] -> ((45 / 45) - 16) / 45 mod 73
[333] ['16', '58', '58', '58'] -> 58 - ((16 + 58) / 58) mod 73
[334] ['1', '1', '1', '37'] -> (1 / (1 + 37)) - 1 mod 73
[335] ['1', '1', '19', '71'] -> ((1 + 71) / 19) + 1 mod 73
[336] ['16', '61', '61', '61'] -> (16 / 61) + (61 / 61) mod 73
[337] ['16', '63', '63', '63'] -> ((16 + 63) / 63) - 63 mod 73
[338] ['16', '67', '67', '67'] -> (67 / 67) - (16 * 67) mod 73
[339] ['17', '17', '17', '36'] -> 17 / ((17 / 36) - 17) mod 73
[340] ['17', '17', '17', '45'] -> (17 - (17 * 17)) * 45 mod 73
[341] ['17', '17', '17', '55'] -> 17 / (17 - (17 / 55)) mod 73
[342] ['17', '17', '17', '62'] -> (17 / 62) - (17 / 17) mod 73
[343] ['17', '17', '17', '70'] -> (17 / (17 - 70)) - 17 mod 73
[344] ['17', '17', '51', '70'] -> ((51 * 70) + 17) * 17 mod 73
[345] ['17', '19', '19', '27'] -> (19 / 27) - (17 / 19) mod 73
[346] ['1', '1', '20', '27'] -> ((1 / 27) - 1) * 20 mod 73
