[164] ['7', '77', '77', '77'] -> ((77 * 77) - 7) / 77 mod 97
[165] ['7', '82', '82', '89'] -> 89 - ((82 + 82) / 7) mod 97
[166] ['7', '83', '83', '94'] -> 94 / ((83 / 7) - 83) mod 97
[167] ['7', '84', '84', '84'] -> ((7 / 84) + 84) / 84 mod 97
[168] ['7', '84', '96', '96'] -> ((96 - 7) / 84) - 96 mod 97
[169] ['1', '1', '22', '58'] -> ((1 / 22) - 1) * 58 mod 97
[170] ['7', '85', '86', '86'] -> (86 - 85) / (7 + 86) mod 97
[171] ['7', '86', '86', '89'] -> ((7 - 86) / 86) - 89 mod 97
[172] ['7', '89', '89', '89'] -> ((89 + 89) * 89) - 7 mod 97
[173] ['7', '93', '93', '93'] -> ((93 / 93) - 7) * 93 mod 97
[174] ['7', '96', '96', '96'] -> (96 + 96) / (7 - 96) mod 97
[175] ['8', '8', '8', '21'] -> (8 - (8 / 21)) * 8 mod 97
[176] ['8', '8', '8', '28'] -> ((8 / 8) - 8) / 28 mod 97
[177] ['8', '8', '8', '30'] -> (8 - (8 * 8)) / 30 mod 97
[178] ['8', '8', '8', '37'] -> (8 - (37 * 8)) * 8 mod 97
[179] ['8', '8', '8', '38'] -> ((8 / 38) + 8) / 8 mod 97
[180] ['1', '1', '22', '62'] -> 62 - (1 / (1 + 22)) mod 97
[181] ['8', '8', '8', '45'] -> (8 - (8 / 8)) * 45 mod 97
[182] ['8', '8', '8', '51'] -> 51 - (8 * 8 * 8) mod 97
[183] ['8', '8', '8', '52'] -> ((8 / 8) - 8) * 52 mod 97
[184] ['8', '8', '8', '59'] -> (8 - (8 / 59)) / 8 mod 97
[185] ['8', '8', '8', '60'] -> ((60 * 8) + 8) * 8 mod 97
[186] ['8', '8', '8', '71'] -> 71 / (8 - (8 / 8)) mod 97
[187] ['8', '8', '8', '75'] -> ((8 + 8) / 8) - 75 mod 97
[188] ['8', '8', '8', '76'] -> ((8 / 76) + 8) * 8 mod 97
[189] ['8', '8', '8', '83'] -> 83 / ((8 * 8) - 8) mod 97
[190] ['8', '8', '8', '90'] -> ((8 + 8) * 8) + 90 mod 97
[191] ['1', '1', '22', '63'] -> ((1 + 22) / 63) - 1 mod 97
[192] ['8', '8', '10', '10'] -> (8 - (8 / 10)) / 10 mod 97
[193] ['8', '8', '11', '95'] -> (95 / 11) - (8 * 8) mod 97
[194] ['8', '8', '16', '44'] -> (16 * 44) - (8 / 8) mod 97
[195] ['8', '8', '16', '84'] -> (16 * 8) + (8 * 84) mod 97
[196] ['8', '8', '18', '64'] -> 18 - ((64 + 8) * 8) mod 97
[197] ['8', '8', '22', '22'] -> ((22 + 8) * 8) - 22 mod 97
[198] ['8', '8', '26', '41'] -> ((8 / 8) + 41) / 26 mod 97
[199] ['8', '8', '32', '32'] -> 32 / ((8 / 8) - 32) mod 97
[200] ['8', '8', '32', '83'] -> (8 + 83) / (32 - 8) mod 97
[201] ['8', '8', '35', '56'] -> ((56 * 8) + 35) / 8 mod 97
[202] ['1', '1', '23', '23'] -> ((1 / 23) + 1) * 23 mod 97
[203] ['8', '8', '38', '38'] -> ((8 / 8) + 38) / 38 mod 97
[204] ['8', '8', '40', '72'] -> 72 / (8 - (40 / 8)) mod 97
[205] ['8', '8', '41', '75'] -> ((75 / 41) + 8) / 8 mod 97
[206] ['8', '8', '42', '64'] -> (8 / 42) - (64 * 8) mod 97
[207] ['8', '8', '46', '85'] -> 8 / ((46 * 8) + 85) mod 97
[208] ['8', '8', '47', '47'] -> 8 / ((47 / 8) + 47) mod 97
[209] ['8', '8', '51', '78'] -> ((78 - 8) * 8) - 51 mod 97
[210] ['8', '8', '52', '89'] -> ((8 / 8) + 89) * 52 mod 97
[211] ['8', '8', '53', '81'] -> (53 * 81) - (8 / 8) mod 97
[212] ['8', '8', '55', '96'] -> ((8 + 96) / 55) + 8 mod 97
[213] ['1', '1', '23', '57'] -> 1 / ((23 / 57) - 1) mod 97
[214] ['8', '8', '56', '85'] -> ((8 + 85) * 8) + 56 mod 97
[215] ['8', '8', '59', '96'] -> (8 / 8) + (96 / 59) mod 97
[216] ['8', '8', '64', '79'] -> ((8 * 8) + 64) * 79 mod 97
[217] ['8', '8', '74', '95'] -> 95 - ((8 + 8) / 74) mod 97
[218] ['8', '8', '76', '93'] -> (76 * 8) + (8 / 93) mod 97
[219] ['8', '8', '76', '96'] -> ((8 + 96) / 76) - 8 mod 97
[220] ['8', '8', '84', '96'] -> ((96 - 8) / 8) - 84 mod 97
[221] ['8', '8', '87', '87'] -> ((8 + 8) * 87) + 87 mod 97
[222] ['8', '11', '11', '11'] -> ((8 - 11) / 11) - 11 mod 97
[223] ['8', '12', '12', '75'] -> ((12 + 8) * 12) + 75 mod 97
[224] ['1', '1', '1', '67'] -> (1 / (67 - 1)) - 1 mod 97
[225] ['1', '1', '23', '74'] -> (1 - (1 / 74)) * 23 mod 97
[226] ['8', '13', '13', '13'] -> (13 / 13) + (8 / 13) mod 97
[227] ['8', '13', '16', '24'] -> (8 - (13 * 16)) / 24 mod 97
[228] ['8', '13', '73', '81'] -> ((8 / 13) - 73) * 81 mod 97
[229] ['8', '15', '15', '58'] -> (8 - (15 * 15)) * 58 mod 97
[230] ['8', '16', '16', '37'] -> ((16 * 8) - 16) / 37 mod 97
[231] ['8', '18', '18', '23'] -> (8 - (23 / 18)) * 18 mod 97
[232] ['8', '18', '30', '30'] -> 30 - ((18 + 30) / 8) mod 97
[233] ['8', '18', '34', '34'] -> ((34 * 8) - 34) / 18 mod 97
[234] ['8', '18', '34', '63'] -> ((34 * 8) + 63) / 18 mod 97
[235] ['8', '18', '52', '52'] -> (18 + 52) * (8 - 52) mod 97
[236] ['1', '1', '23', '75'] -> ((1 + 1) * 23) + 75 mod 97
[237] ['8', '18', '63', '63'] -> (63 - (63 * 8)) / 18 mod 97
[238] ['8', '19', '28', '28'] -> (19 - 28) / (28 + 8) mod 97
[239] ['8', '19', '48', '48'] -> (48 + 8) / (19 + 48) mod 97
