[407] ['6', '15', 'AA'] -> AA - (15 * 6) base 12
[408] ['6', '16', '21'] -> (16 / 6) + 21 base 12
[409] ['6', '16', '27'] -> 27 - (16 / 6) base 12
[410] ['6', '16', '50'] -> (50 / 6) + 16 base 12
[411] ['6', '16', '68'] -> (16 * 6) - 68 base 12
[412] ['6', '16', 'B4'] -> B4 - (16 * 6) base 12
[413] ['2', '10', '1A'] -> (10 / 2) + 1A base 12
[414] ['6', '17', '46'] -> (46 / 6) + 17 base 12
[415] ['6', '17', '72'] -> (17 * 6) - 72 base 12
[416] ['6', '17', 'BA'] -> BA - (17 * 6) base 12
[417] ['6', '18', '40'] -> (40 / 6) + 18 base 12
[418] ['6', '18', '78'] -> (18 * 6) - 78 base 12
[419] ['6', '19', '36'] -> (36 / 6) + 19 base 12
[420] ['6', '1A', '30'] -> (30 / 6) + 1A base 12
[421] ['6', '1A', '88'] -> (1A * 6) - 88 base 12
[422] ['6', '1B', '26'] -> (26 / 6) + 1B base 12
[423] ['6', '1B', '92'] -> (1B * 6) - 92 base 12
[424] ['2', '10', '22'] -> (22 - 10) * 2 base 12
[425] ['6', '20', '20'] -> (20 / 6) + 20 base 12
[426] ['6', '20', '28'] -> 28 - (20 / 6) base 12
[427] ['6', '20', '98'] -> (20 * 6) - 98 base 12
[428] ['6', '21', 'A2'] -> (21 * 6) - A2 base 12
[429] ['6', '21', 'BB'] -> (21 + BB) / 6 base 12
[430] ['6', '22', 'A8'] -> (22 * 6) - A8 base 12
[431] ['6', '22', 'BA'] -> (22 + BA) / 6 base 12
[432] ['6', '23', 'B2'] -> (23 * 6) - B2 base 12
[433] ['6', '23', 'B9'] -> (23 + B9) / 6 base 12
[434] ['6', '25', 'B7'] -> (25 + B7) / 6 base 12
[435] ['2', '10', '28'] -> (28 / 2) + 10 base 12
[436] ['6', '26', '29'] -> 29 - (26 / 6) base 12
[437] ['6', '26', 'B6'] -> (26 + B6) / 6 base 12
[438] ['6', '27', 'B5'] -> (27 + B5) / 6 base 12
[439] ['6', '28', 'B4'] -> (28 + B4) / 6 base 12
