[333] ['2', '37', '4A'] -> (2 * 37) - 4A base 13
[334] ['2', '37', '82'] -> (82 - 37) / 2 base 13
[335] ['2', '37', '95'] -> 95 - (2 * 37) base 13
[336] ['2', '37', 'B9'] -> (B9 / 2) - 37 base 13
[337] ['2', '38', '4A'] -> 2 * (4A - 38) base 13
[338] ['2', '38', '4C'] -> (2 * 38) - 4C base 13
[339] ['2', '38', '83'] -> (83 - 38) / 2 base 13
[340] ['2', '38', '97'] -> 97 - (2 * 38) base 13
[341] ['2', '38', 'BB'] -> (BB / 2) - 38 base 13
[342] ['2', '39', '42'] -> 42 - (39 / 2) base 13
[343] ['2', '39', '4B'] -> 2 * (4B - 39) base 13
[344] ['2', '39', '51'] -> (2 * 39) - 51 base 13
[345] ['2', '39', '84'] -> (84 - 39) / 2 base 13
[346] ['2', '39', '99'] -> 99 - (2 * 39) base 13
[347] ['2', '39', 'C0'] -> (C0 / 2) - 39 base 13
[348] ['2', '3A', '4C'] -> 2 * (4C - 3A) base 13
[349] ['2', '3A', '53'] -> (2 * 3A) - 53 base 13
[350] ['2', '3A', '85'] -> (85 - 3A) / 2 base 13
[351] ['2', '3A', '9B'] -> 9B - (2 * 3A) base 13
[352] ['2', '3A', 'C2'] -> (C2 / 2) - 3A base 13
[353] ['2', '3B', '43'] -> 43 - (3B / 2) base 13
[354] ['2', '3B', '50'] -> 2 * (50 - 3B) base 13
[355] ['2', '3B', '55'] -> (2 * 3B) - 55 base 13
[356] ['2', '3B', '86'] -> (86 - 3B) / 2 base 13
[357] ['2', '3B', 'A0'] -> A0 - (2 * 3B) base 13
[358] ['2', '3B', 'C4'] -> (C4 / 2) - 3B base 13
[359] ['2', '3C', '51'] -> 2 * (51 - 3C) base 13
[360] ['2', '3C', '57'] -> (2 * 3C) - 57 base 13
[361] ['2', '3C', '87'] -> (87 - 3C) / 2 base 13
[362] ['2', '3C', 'A2'] -> A2 - (2 * 3C) base 13
[363] ['2', '3C', 'C6'] -> (C6 / 2) - 3C base 13
[364] ['2', '40', '44'] -> 44 - (40 / 2) base 13
[365] ['2', '40', '52'] -> 2 * (52 - 40) base 13
[366] ['2', '40', '59'] -> (2 * 40) - 59 base 13
[367] ['2', '40', '88'] -> (88 - 40) / 2 base 13
[368] ['2', '40', 'A4'] -> A4 - (2 * 40) base 13
[369] ['2', '40', 'C8'] -> (C8 / 2) - 40 base 13
[370] ['2', '41', '53'] -> 2 * (53 - 41) base 13
[371] ['2', '41', '5B'] -> (2 * 41) - 5B base 13
[372] ['2', '41', '89'] -> (89 - 41) / 2 base 13
[373] ['2', '41', 'A6'] -> A6 - (2 * 41) base 13
[374] ['2', '41', 'CA'] -> (CA / 2) - 41 base 13
[375] ['2', '42', '45'] -> 45 - (42 / 2) base 13
[376] ['2', '42', '54'] -> 2 * (54 - 42) base 13
[377] ['2', '42', '60'] -> (2 * 42) - 60 base 13
[378] ['2', '42', '8A'] -> (8A - 42) / 2 base 13
[379] ['2', '42', 'A8'] -> A8 - (2 * 42) base 13
[380] ['2', '42', 'CC'] -> (CC / 2) - 42 base 13
[381] ['2', '43', '55'] -> 2 * (55 - 43) base 13
[382] ['2', '43', '62'] -> (2 * 43) - 62 base 13
[383] ['2', '43', '8B'] -> (8B - 43) / 2 base 13
[384] ['2', '43', 'AA'] -> AA - (2 * 43) base 13
[385] ['2', '44', '46'] -> 46 - (44 / 2) base 13
[386] ['2', '44', '56'] -> 2 * (56 - 44) base 13
[387] ['2', '44', '64'] -> (2 * 44) - 64 base 13
[388] ['2', '44', '8C'] -> (8C - 44) / 2 base 13
[389] ['2', '44', 'AC'] -> AC - (2 * 44) base 13
[390] ['2', '45', '57'] -> 2 * (57 - 45) base 13
[391] ['2', '45', '66'] -> (2 * 45) - 66 base 13
[392] ['2', '45', '90'] -> (90 - 45) / 2 base 13
[393] ['2', '45', 'B1'] -> B1 - (2 * 45) base 13
[394] ['2', '46', '47'] -> 47 - (46 / 2) base 13
[395] ['2', '46', '58'] -> 2 * (58 - 46) base 13
[396] ['2', '46', '91'] -> (91 - 46) / 2 base 13
[397] ['2', '46', 'B3'] -> B3 - (2 * 46) base 13
