[250] ['2', '13', '25'] -> 2 * (25 - 13) mod 37
[251] ['2', '14', '26'] -> 2 * (26 - 14) mod 37
[252] ['2', '14', '28'] -> 2 + (14 * 28) mod 37
[253] ['2', '14', '34'] -> (14 + 34) / 2 mod 37
[254] ['2', '15', '16'] -> 16 / (15 - 2) mod 37
[255] ['2', '15', '20'] -> (20 / 15) - 2 mod 37
[256] ['2', '15', '25'] -> (2 + 25) / 15 mod 37
[257] ['2', '15', '27'] -> 2 * (27 - 15) mod 37
[258] ['2', '15', '33'] -> (15 + 33) / 2 mod 37
[259] ['2', '16', '20'] -> (2 * 20) - 16 mod 37
[260] ['2', '16', '22'] -> 16 * (22 - 2) mod 37
[261] ['2', '16', '29'] -> 29 + (2 * 16) mod 37
[262] ['2', '16', '30'] -> 30 * (2 - 16) mod 37
[263] ['2', '17', '17'] -> 2 / (17 + 17) mod 37
[264] ['2', '17', '18'] -> 17 * (2 - 18) mod 37
[265] ['2', '17', '20'] -> 2 / (17 - 20) mod 37
[266] ['2', '17', '21'] -> 21 - (2 * 17) mod 37
[267] ['2', '17', '24'] -> (2 / 17) - 24 mod 37
[268] ['2', '17', '26'] -> 2 + (17 / 26) mod 37
[269] ['2', '17', '31'] -> (17 + 31) / 2 mod 37
[270] ['2', '17', '34'] -> 34 + (17 / 2) mod 37
[271] ['2', '17', '36'] -> (2 + 36) / 17 mod 37
[272] ['2', '18', '26'] -> 2 + (26 / 18) mod 37
[273] ['2', '18', '27'] -> (27 - 2) / 18 mod 37
[274] ['2', '18', '32'] -> (18 / 32) - 2 mod 37
[275] ['2', '18', '36'] -> 36 / (2 + 18) mod 37
[276] ['2', '19', '20'] -> 20 + (2 / 19) mod 37
[277] ['2', '19', '26'] -> 2 - (26 / 19) mod 37
[278] ['2', '19', '36'] -> 36 / (2 - 19) mod 37
[279] ['2', '20', '21'] -> 21 + (2 * 20) mod 37
[280] ['2', '20', '25'] -> 25 / (20 - 2) mod 37
[281] ['2', '20', '33'] -> 2 + (33 / 20) mod 37
[282] ['2', '21', '29'] -> 29 - (2 * 21) mod 37
[283] ['2', '21', '33'] -> 2 * (33 - 21) mod 37
[284] ['2', '22', '23'] -> (2 * 23) - 22 mod 37
[285] ['2', '22', '24'] -> (22 / 2) - 24 mod 37
[286] ['2', '22', '25'] -> 2 / (22 - 25) mod 37
[287] ['2', '22', '27'] -> 2 * (22 + 27) mod 37
[288] ['2', '22', '31'] -> 31 - (2 * 22) mod 37
[289] ['2', '25', '26'] -> (2 * 25) - 26 mod 37
[290] ['2', '25', '29'] -> 2 + (25 * 29) mod 37
[291] ['2', '25', '32'] -> 2 + (32 / 25) mod 37
[292] ['2', '26', '28'] -> (2 * 26) - 28 mod 37
[293] ['2', '26', '29'] -> 2 / (26 - 29) mod 37
[294] ['2', '26', '30'] -> (2 + 30) / 26 mod 37
[295] ['2', '26', '32'] -> (2 + 26) / 32 mod 37
[296] ['2', '26', '34'] -> (34 - 2) / 26 mod 37
[297] ['2', '26', '35'] -> 2 + (26 * 35) mod 37
[298] ['2', '27', '27'] -> (27 * 27) - 2 mod 37
[299] ['2', '27', '31'] -> 27 + (31 / 2) mod 37
[300] ['2', '28', '33'] -> (2 - 33) / 28 mod 37
[301] ['2', '28', '34'] -> 28 / (34 - 2) mod 37
[302] ['2', '29', '36'] -> 29 * (36 - 2) mod 37
[303] ['2', '30', '32'] -> (30 - 2) / 32 mod 37
[304] ['2', '30', '35'] -> 2 + (30 / 35) mod 37
[305] ['2', '30', '36'] -> (2 * 30) - 36 mod 37
[306] ['2', '31', '31'] -> 31 * (2 + 31) mod 37
[307] ['2', '31', '33'] -> (2 / 33) - 31 mod 37
[308] ['2', '32', '33'] -> 32 + (2 * 33) mod 37
[309] ['2', '32', '35'] -> 2 / (32 - 35) mod 37
[310] ['2', '32', '36'] -> 2 - (36 / 32) mod 37
[311] ['2', '33', '36'] -> 2 / (33 - 36) mod 37
[312] ['3', '3', '4'] -> 4 * (3 + 3) mod 37
[313] ['3', '3', '9'] -> (3 * 9) - 3 mod 37
[314] ['3', '3', '14'] -> (3 / 3) - 14 mod 37
[315] ['3', '3', '16'] -> 3 + (3 / 16) mod 37
[316] ['3', '3', '21'] -> 3 - (3 / 21) mod 37
[317] ['3', '3', '22'] -> (3 * 3) - 22 mod 37
[318] ['3', '3', '23'] -> 23 + (3 / 3) mod 37
[319] ['3', '3', '25'] -> 25 - (3 / 3) mod 37
[320] ['3', '3', '28'] -> (3 + 3) / 28 mod 37
[321] ['3', '4', '6'] -> (4 - 6) / 3 mod 37
[322] ['3', '4', '7'] -> (4 / 7) - 3 mod 37
[323] ['3', '4', '8'] -> (3 + 4) / 8 mod 37
[324] ['3', '4', '16'] -> (4 * 16) - 3 mod 37
[325] ['3', '4', '36'] -> 36 - (3 * 4) mod 37
[326] ['3', '5', '8'] -> 5 / (3 + 8) mod 37
[327] ['3', '5', '10'] -> 10 + (5 / 3) mod 37
[328] ['3', '5', '14'] -> 5 / (14 - 3) mod 37
[329] ['3', '5', '17'] -> 5 - (17 / 3) mod 37
[330] ['3', '5', '20'] -> 5 + (20 / 3) mod 37
[331] ['3', '5', '29'] -> 5 / (3 - 29) mod 37
[332] ['3', '6', '17'] -> 6 + (17 / 3) mod 37
[333] ['3', '6', '30'] -> (3 + 30) / 6 mod 37
[334] ['3', '7', '7'] -> 3 / (7 + 7) mod 37
[335] ['3', '7', '8'] -> 8 - (3 * 7) mod 37
[336] ['3', '7', '12'] -> 3 - (7 / 12) mod 37
[337] ['3', '7', '13'] -> 13 + (3 / 7) mod 37
[338] ['3', '7', '21'] -> 3 / (21 - 7) mod 37
[339] ['3', '7', '26'] -> 7 * (3 - 26) mod 37
