[339] ['6', '8', '8'] -> (8 / 8) - 6 mod 29
[340] ['6', '8', '11'] -> (8 * 11) - 6 mod 29
[341] ['6', '8', '23'] -> 6 + (8 / 23) mod 29
[342] ['6', '8', '28'] -> 6 + (28 / 8) mod 29
[343] ['6', '9', '18'] -> (6 - 9) / 18 mod 29
[344] ['6', '9', '22'] -> (6 - 22) / 9 mod 29
[345] ['6', '10', '10'] -> (10 / 10) - 6 mod 29
[346] ['6', '10', '13'] -> 13 - (6 / 10) mod 29
[347] ['6', '10', '18'] -> (10 + 18) / 6 mod 29
[348] ['6', '10', '24'] -> (6 - 10) / 24 mod 29
[349] ['6', '10', '27'] -> (6 - 27) / 10 mod 29
[350] ['6', '11', '13'] -> (6 * 11) - 13 mod 29
[351] ['6', '11', '16'] -> 16 + (6 * 11) mod 29
[352] ['6', '11', '20'] -> 11 + (20 / 6) mod 29
[353] ['6', '11', '26'] -> (6 + 26) / 11 mod 29
[354] ['6', '12', '27'] -> 12 - (6 * 27) mod 29
[355] ['6', '13', '22'] -> 13 * (6 - 22) mod 29
[356] ['6', '14', '17'] -> (14 / 6) - 17 mod 29
[357] ['6', '14', '23'] -> (23 - 6) / 14 mod 29
[358] ['6', '15', '17'] -> (6 / 15) - 17 mod 29
[359] ['6', '15', '23'] -> (6 - 23) / 15 mod 29
[360] ['6', '16', '16'] -> (16 / 16) - 6 mod 29
[361] ['6', '16', '18'] -> 16 - (6 * 18) mod 29
[362] ['6', '16', '23'] -> 6 / (16 - 23) mod 29
[363] ['6', '17', '22'] -> 22 - (17 / 6) mod 29
[364] ['6', '18', '18'] -> (18 / 18) - 6 mod 29
[365] ['6', '19', '19'] -> (19 / 19) - 6 mod 29
[366] ['6', '19', '24'] -> (6 + 19) / 24 mod 29
[367] ['6', '19', '27'] -> (27 - 6) / 19 mod 29
[368] ['6', '20', '26'] -> (6 - 20) / 26 mod 29
[369] ['6', '21', '21'] -> (21 / 21) - 6 mod 29
[370] ['6', '22', '28'] -> (22 / 6) - 28 mod 29
[371] ['6', '23', '26'] -> 6 + (23 * 26) mod 29
[372] ['6', '25', '25'] -> (25 / 25) - 6 mod 29
[373] ['6', '25', '27'] -> (6 - 25) / 27 mod 29
[374] ['7', '7', '7'] -> 7 * (7 * 7) mod 29
[375] ['7', '7', '14'] -> (14 / 7) - 7 mod 29
[376] ['7', '7', '15'] -> 15 - (7 * 7) mod 29
[377] ['7', '7', '17'] -> 17 / (7 + 7) mod 29
[378] ['7', '7', '18'] -> (7 / 18) - 7 mod 29
[379] ['7', '7', '20'] -> 7 / (7 - 20) mod 29
[380] ['7', '7', '21'] -> (7 * 21) - 7 mod 29
[381] ['7', '7', '27'] -> 7 * (27 - 7) mod 29
[382] ['7', '8', '8'] -> 7 / (8 + 8) mod 29
[383] ['7', '8', '11'] -> (7 + 11) / 8 mod 29
[384] ['7', '8', '13'] -> 7 + (8 * 13) mod 29
[385] ['7', '8', '19'] -> 19 * (7 + 8) mod 29
[386] ['7', '8', '27'] -> 27 + (8 / 7) mod 29
[387] ['7', '8', '28'] -> 7 * (28 - 8) mod 29
[388] ['7', '9', '16'] -> 16 * (7 + 9) mod 29
[389] ['7', '9', '23'] -> (7 - 23) / 9 mod 29
[390] ['7', '9', '25'] -> 7 / (25 - 9) mod 29
[391] ['7', '10', '10'] -> 7 * (10 + 10) mod 29
[392] ['7', '10', '17'] -> (7 * 10) - 17 mod 29
[393] ['7', '10', '28'] -> (7 - 28) / 10 mod 29
[394] ['7', '11', '11'] -> 11 * (7 + 11) mod 29
[395] ['7', '11', '18'] -> 11 * (7 - 18) mod 29
[396] ['7', '11', '19'] -> (11 / 7) - 19 mod 29
[397] ['7', '11', '27'] -> 7 / (27 - 11) mod 29
[398] ['7', '12', '22'] -> 12 / (22 - 7) mod 29
[399] ['7', '13', '23'] -> 13 * (7 - 23) mod 29
[400] ['7', '14', '28'] -> (28 / 14) - 7 mod 29
[401] ['7', '15', '25'] -> 15 - (7 / 25) mod 29
[402] ['7', '15', '28'] -> 7 / (15 - 28) mod 29
[403] ['7', '16', '16'] -> 16 / (7 - 16) mod 29
[404] ['7', '16', '21'] -> 7 + (16 * 21) mod 29
[405] ['7', '16', '26'] -> 16 + (7 * 26) mod 29
[406] ['7', '17', '22'] -> 17 / (7 - 22) mod 29
[407] ['7', '17', '25'] -> 25 / (7 + 17) mod 29
[408] ['7', '18', '18'] -> 18 * (18 - 7) mod 29
[409] ['7', '18', '21'] -> (18 - 7) / 21 mod 29
[410] ['7', '18', '22'] -> 22 + (7 / 18) mod 29
[411] ['7', '18', '25'] -> 18 * (7 - 25) mod 29
[412] ['7', '19', '20'] -> 19 - (7 * 20) mod 29
[413] ['7', '19', '26'] -> 7 / (19 + 26) mod 29
[414] ['7', '20', '27'] -> (7 * 27) - 20 mod 29
[415] ['7', '21', '21'] -> 21 + (21 / 7) mod 29
[416] ['7', '21', '22'] -> 22 + (7 * 21) mod 29
[417] ['7', '21', '28'] -> 7 * (21 + 28) mod 29
[418] ['7', '23', '27'] -> 7 - (23 * 27) mod 29
[419] ['7', '23', '28'] -> (7 / 23) - 28 mod 29
[420] ['7', '26', '26'] -> (26 + 26) / 7 mod 29
[421] ['8', '8', '8'] -> 8 + (8 + 8) mod 29
[422] ['8', '8', '10'] -> (8 + 10) / 8 mod 29
[423] ['8', '8', '12'] -> 8 + (12 / 8) mod 29
[424] ['8', '8', '14'] -> 8 - (8 / 14) mod 29
[425] ['8', '8', '15'] -> 8 + (8 / 15) mod 29
[426] ['8', '8', '16'] -> 16 * (8 + 8) mod 29
[427] ['8', '8', '17'] -> 8 - (17 / 8) mod 29
[428] ['8', '8', '19'] -> (8 - 19) / 8 mod 29
[429] ['8', '8', '20'] -> (8 + 8) / 20 mod 29
[430] ['8', '8', '25'] -> 25 - (8 / 8) mod 29
[431] ['8', '8', '26'] -> (26 - 8) / 8 mod 29
[432] ['8', '9', '13'] -> 9 - (8 / 13) mod 29
[433] ['8', '9', '16'] -> 9 + (8 / 16) mod 29
[434] ['8', '9', '21'] -> (21 - 8) / 9 mod 29
[435] ['8', '10', '14'] -> 8 - (14 / 10) mod 29
[436] ['8', '10', '15'] -> 8 + (15 / 10) mod 29
[437] ['8', '10', '18'] -> 18 - (10 / 8) mod 29
