[290] ['1', '20', '41'] -> (1 - 20) / 41 mod 59
[291] ['1', '20', '48'] -> (20 / 48) - 1 mod 59
[292] ['1', '20', '51'] -> 20 / (51 - 1) mod 59
[293] ['1', '20', '53'] -> 1 - (20 / 53) mod 59
[294] ['1', '21', '21'] -> (1 / 21) - 21 mod 59
[295] ['1', '21', '22'] -> 21 / (1 + 22) mod 59
[296] ['1', '21', '27'] -> 1 - (21 * 27) mod 59
[297] ['1', '21', '28'] -> (1 - 28) / 21 mod 59
[298] ['1', '21', '31'] -> (1 + 31) / 21 mod 59
[299] ['1', '21', '33'] -> (33 - 1) / 21 mod 59
[300] ['1', '21', '35'] -> 1 - (21 / 35) mod 59
[301] ['1', '21', '37'] -> 21 / (1 - 37) mod 59
[302] ['1', '21', '38'] -> 38 + (1 / 21) mod 59
[303] ['1', '21', '39'] -> 21 - (1 / 39) mod 59
[304] ['1', '21', '42'] -> 21 * (1 - 42) mod 59
[305] ['1', '21', '50'] -> (21 - 1) / 50 mod 59
[306] ['1', '21', '51'] -> 51 / (1 - 21) mod 59
[307] ['1', '22', '23'] -> (22 - 1) / 23 mod 59
[308] ['1', '22', '25'] -> 1 - (25 / 22) mod 59
[309] ['1', '22', '28'] -> (1 + 22) / 28 mod 59
[310] ['1', '22', '29'] -> 22 - (1 / 29) mod 59
[311] ['1', '22', '30'] -> 22 + (1 / 30) mod 59
[312] ['1', '22', '34'] -> 1 + (34 / 22) mod 59
[313] ['1', '22', '42'] -> 1 + (22 / 42) mod 59
[314] ['1', '22', '43'] -> 22 * (1 + 43) mod 59
[315] ['1', '22', '49'] -> 1 / (22 - 49) mod 59
[316] ['1', '22', '52'] -> 1 + (22 * 52) mod 59
[317] ['1', '23', '27'] -> 23 / (1 + 27) mod 59
[318] ['1', '23', '29'] -> 23 / (29 - 1) mod 59
[319] ['1', '23', '32'] -> 23 / (1 - 32) mod 59
[320] ['1', '23', '37'] -> (23 * 37) - 1 mod 59
[321] ['1', '23', '39'] -> (1 - 39) / 23 mod 59
[322] ['1', '23', '41'] -> 23 * (1 - 41) mod 59
[323] ['1', '23', '42'] -> 42 - (1 / 23) mod 59
[324] ['1', '23', '50'] -> 1 / (23 - 50) mod 59
[325] ['1', '23', '53'] -> (1 / 23) - 53 mod 59
[326] ['1', '23', '54'] -> (1 / 54) - 23 mod 59
[327] ['1', '23', '56'] -> 56 / (23 - 1) mod 59
[328] ['1', '24', '44'] -> (1 + 44) / 24 mod 59
[329] ['1', '24', '46'] -> (46 - 1) / 24 mod 59
[330] ['1', '25', '26'] -> 25 * (1 - 26) mod 59
[331] ['1', '25', '27'] -> 25 / (1 - 27) mod 59
[332] ['1', '25', '32'] -> 25 / (1 + 32) mod 59
[333] ['1', '25', '37'] -> 1 + (25 / 37) mod 59
[334] ['1', '25', '44'] -> 1 + (44 / 25) mod 59
[335] ['1', '25', '45'] -> 45 / (25 - 1) mod 59
[336] ['1', '25', '51'] -> 1 - (25 * 51) mod 59
[337] ['1', '25', '52'] -> 1 / (25 - 52) mod 59
[338] ['1', '25', '53'] -> (1 / 53) - 25 mod 59
[339] ['1', '26', '26'] -> (1 - 26) / 26 mod 59
[340] ['1', '26', '27'] -> (26 / 27) - 1 mod 59
[341] ['1', '26', '29'] -> 26 + (1 / 29) mod 59
[342] ['1', '26', '30'] -> 26 - (1 / 30) mod 59
[343] ['1', '26', '38'] -> (1 + 26) / 38 mod 59
[344] ['1', '26', '44'] -> 1 + (26 * 44) mod 59
[345] ['1', '26', '53'] -> 1 / (26 - 53) mod 59
[346] ['1', '26', '54'] -> 26 / (1 - 54) mod 59
[347] ['1', '26', '55'] -> 1 + (26 / 55) mod 59
[348] ['1', '27', '28'] -> 1 - (28 / 27) mod 59
[349] ['1', '27', '31'] -> 1 + (31 / 27) mod 59
[350] ['1', '27', '34'] -> 34 / (27 - 1) mod 59
[351] ['1', '27', '37'] -> 27 / (1 + 37) mod 59
[352] ['1', '27', '43'] -> 43 * (1 + 27) mod 59
[353] ['1', '27', '45'] -> 1 - (27 / 45) mod 59
[354] ['1', '27', '46'] -> 27 * (1 - 46) mod 59
[355] ['1', '27', '48'] -> 48 + (1 / 27) mod 59
[356] ['1', '27', '54'] -> 1 / (27 - 54) mod 59
[357] ['1', '28', '32'] -> 1 + (28 / 32) mod 59
[358] ['1', '28', '35'] -> 1 - (28 * 35) mod 59
[359] ['1', '28', '37'] -> (1 - 37) / 28 mod 59
[360] ['1', '28', '38'] -> (28 - 1) / 38 mod 59
[361] ['1', '28', '45'] -> 45 * (1 - 28) mod 59
[362] ['1', '28', '47'] -> 47 / (1 + 28) mod 59
[363] ['1', '28', '49'] -> 28 / (1 - 49) mod 59
