[223] ['1', '13', '56'] -> (13 / 56) - 1 mod 73
[224] ['1', '13', '59'] -> 13 * (59 - 1) mod 73
[225] ['1', '13', '60'] -> 1 - (13 * 60) mod 73
[226] ['1', '13', '66'] -> 1 - (66 / 13) mod 73
[227] ['1', '13', '71'] -> 71 * (1 - 13) mod 73
[228] ['1', '14', '14'] -> 1 - (14 * 14) mod 73
[229] ['1', '14', '15'] -> 15 * (1 - 14) mod 73
[230] ['1', '14', '17'] -> 1 / (14 - 17) mod 73
[231] ['1', '14', '20'] -> 20 / (14 - 1) mod 73
[232] ['1', '14', '21'] -> (14 / 21) - 1 mod 73
[233] ['1', '14', '22'] -> 14 + (1 / 22) mod 73
[234] ['1', '14', '23'] -> (1 / 14) - 23 mod 73
[235] ['1', '14', '25'] -> (1 / 25) - 14 mod 73
[236] ['1', '14', '26'] -> 1 + (14 / 26) mod 73
[237] ['1', '14', '28'] -> (1 + 14) / 28 mod 73
[238] ['1', '14', '41'] -> 14 * (1 - 41) mod 73
[239] ['1', '14', '45'] -> (45 - 1) / 14 mod 73
[240] ['1', '14', '47'] -> 1 - (14 / 47) mod 73
[241] ['1', '14', '50'] -> 50 + (1 / 14) mod 73
[242] ['1', '14', '51'] -> 14 - (1 / 51) mod 73
[243] ['1', '14', '53'] -> 53 / (1 - 14) mod 73
[244] ['1', '14', '56'] -> 1 / (14 + 56) mod 73
[245] ['1', '14', '59'] -> 1 + (14 * 59) mod 73
[246] ['1', '14', '60'] -> 60 * (1 + 14) mod 73
[247] ['1', '14', '68'] -> 68 / (1 + 14) mod 73
[248] ['1', '14', '71'] -> 71 - (1 / 14) mod 73
[249] ['1', '15', '15'] -> (1 / 15) - 15 mod 73
[250] ['1', '15', '18'] -> 1 / (15 - 18) mod 73
[251] ['1', '15', '19'] -> 19 / (1 + 15) mod 73
[252] ['1', '15', '20'] -> 1 - (20 / 15) mod 73
[253] ['1', '15', '21'] -> 1 + (15 * 21) mod 73
[254] ['1', '15', '25'] -> (1 + 15) / 25 mod 73
[255] ['1', '15', '26'] -> (15 * 26) - 1 mod 73
[256] ['1', '15', '27'] -> 15 / (1 + 27) mod 73
[257] ['1', '15', '31'] -> (15 - 1) / 31 mod 73
[258] ['1', '15', '33'] -> 33 * (15 - 1) mod 73
[259] ['1', '15', '42'] -> (1 - 15) / 42 mod 73
[260] ['1', '15', '44'] -> 44 / (15 - 1) mod 73
[261] ['1', '15', '46'] -> 15 / (1 - 46) mod 73
[262] ['1', '15', '52'] -> 1 - (15 * 52) mod 73
[263] ['1', '15', '53'] -> 1 + (53 / 15) mod 73
[264] ['1', '15', '55'] -> 1 / (15 + 55) mod 73
[265] ['1', '15', '58'] -> 58 + (1 / 15) mod 73
[266] ['1', '15', '61'] -> 15 * (61 - 1) mod 73
[267] ['1', '15', '66'] -> 1 - (15 / 66) mod 73
[268] ['1', '15', '67'] -> (1 + 67) / 15 mod 73
[269] ['1', '15', '69'] -> (69 - 1) / 15 mod 73
[270] ['1', '16', '18'] -> (1 + 18) / 16 mod 73
[271] ['1', '16', '20'] -> (20 - 1) / 16 mod 73
[272] ['1', '16', '22'] -> (1 + 16) / 22 mod 73
[273] ['1', '16', '26'] -> 16 / (26 - 1) mod 73
[274] ['1', '16', '28'] -> (16 - 1) / 28 mod 73
[275] ['1', '16', '35'] -> (35 / 16) - 1 mod 73
[276] ['1', '16', '36'] -> 16 * (1 - 36) mod 73
[277] ['1', '16', '37'] -> 16 * (1 + 37) mod 73
[278] ['1', '16', '42'] -> (1 / 42) - 16 mod 73
[279] ['1', '16', '43'] -> 43 / (1 + 16) mod 73
[280] ['1', '16', '45'] -> (1 - 16) / 45 mod 73
[281] ['1', '16', '49'] -> 16 / (1 - 49) mod 73
[282] ['1', '16', '54'] -> 1 / (16 + 54) mod 73
[283] ['1', '16', '55'] -> (1 - 55) / 16 mod 73
[284] ['1', '16', '56'] -> 56 - (1 / 16) mod 73
[285] ['1', '16', '60'] -> 60 * (16 - 1) mod 73
[286] ['1', '16', '61'] -> 1 + (16 / 61) mod 73
[287] ['1', '16', '67'] -> 1 - (16 * 67) mod 73
[288] ['1', '16', '68'] -> 68 / (16 - 1) mod 73
[289] ['1', '17', '20'] -> 1 / (17 - 20) mod 73
[290] ['1', '17', '23'] -> 17 / (23 - 1) mod 73
[291] ['1', '17', '25'] -> (17 - 1) / 25 mod 73
[292] ['1', '17', '26'] -> 1 + (26 / 17) mod 73
[293] ['1', '17', '35'] -> 35 * (1 - 17) mod 73
[294] ['1', '17', '38'] -> 38 * (17 - 1) mod 73
[295] ['1', '17', '44'] -> (44 - 1) / 17 mod 73
[296] ['1', '17', '47'] -> 1 - (47 / 17) mod 73
[297] ['1', '17', '48'] -> (1 - 17) / 48 mod 73
[298] ['1', '17', '50'] -> 50 * (1 + 17) mod 73
[299] ['1', '17', '57'] -> (1 / 57) - 17 mod 73
[300] ['1', '17', '60'] -> (60 / 17) - 1 mod 73
[301] ['1', '17', '62'] -> (17 / 62) - 1 mod 73
[302] ['1', '17', '64'] -> 17 * (1 - 64) mod 73
[303] ['1', '18', '18'] -> 18 / (1 + 18) mod 73
[304] ['1', '18', '21'] -> 1 / (18 - 21) mod 73
[305] ['1', '18', '22'] -> (18 - 1) / 22 mod 73
[306] ['1', '18', '23'] -> 1 + (18 / 23) mod 73
[307] ['1', '18', '27'] -> (18 / 27) - 1 mod 73
[308] ['1', '18', '28'] -> 28 + (1 / 18) mod 73
[309] ['1', '18', '30'] -> 30 / (1 - 18) mod 73
[310] ['1', '18', '40'] -> (1 / 40) - 18 mod 73
[311] ['1', '18', '45'] -> (1 / 18) - 45 mod 73
[312] ['1', '18', '46'] -> (18 * 46) - 1 mod 73
[313] ['1', '18', '52'] -> 1 / (18 + 52) mod 73
[314] ['1', '18', '54'] -> 1 + (18 * 54) mod 73
[315] ['1', '18', '55'] -> 18 / (1 - 55) mod 73
[316] ['1', '18', '61'] -> 18 + (1 / 61) mod 73
[317] ['1', '18', '63'] -> 63 * (1 - 18) mod 73
[318] ['1', '19', '19'] -> (19 - 1) / 19 mod 73
[319] ['1', '19', '22'] -> 1 / (19 - 22) mod 73
[320] ['1', '19', '23'] -> 23 * (1 - 19) mod 73
[321] ['1', '19', '26'] -> (1 / 19) - 26 mod 73
[322] ['1', '19', '29'] -> 19 - (1 / 29) mod 73
[323] ['1', '19', '33'] -> 19 * (33 - 1) mod 73
[324] ['1', '19', '37'] -> (37 / 19) - 1 mod 73
[325] ['1', '19', '45'] -> 45 * (1 + 19) mod 73
[326] ['1', '19', '47'] -> 47 + (1 / 19) mod 73
[327] ['1', '19', '50'] -> 50 * (19 - 1) mod 73
[328] ['1', '19', '51'] -> 1 / (19 + 51) mod 73
[329] ['1', '19', '54'] -> (1 - 19) / 54 mod 73
[330] ['1', '19', '55'] -> 1 + (19 * 55) mod 73
[331] ['1', '19', '56'] -> (1 - 56) / 19 mod 73
[332] ['1', '19', '58'] -> 19 / (1 - 58) mod 73
[333] ['1', '19', '65'] -> (19 / 65) - 1 mod 73
[334] ['1', '19', '72'] -> 1 + (72 / 19) mod 73
[335] ['1', '20', '23'] -> 1 / (20 - 23) mod 73
[336] ['1', '20', '29'] -> 20 * (1 - 29) mod 73
[337] ['1', '20', '34'] -> 1 + (20 * 34) mod 73
[338] ['1', '20', '35'] -> 35 - (1 / 20) mod 73
[339] ['1', '20', '39'] -> 1 - (20 * 39) mod 73
[340] ['1', '20', '46'] -> 20 * (46 - 1) mod 73
[341] ['1', '20', '50'] -> 1 / (20 + 50) mod 73
[342] ['1', '20', '51'] -> 1 - (51 / 20) mod 73
[343] ['1', '20', '56'] -> (20 * 56) - 1 mod 73
[344] ['1', '20', '57'] -> (1 - 20) / 57 mod 73
[345] ['1', '20', '58'] -> 1 + (20 / 58) mod 73
[346] ['1', '20', '60'] -> (1 / 20) - 60 mod 73
[347] ['1', '20', '61'] -> 20 / (1 - 61) mod 73
[348] ['1', '20', '62'] -> (62 / 20) - 1 mod 73
[349] ['1', '20', '66'] -> 66 / (1 + 20) mod 73
[350] ['1', '21', '21'] -> 21 * (1 + 21) mod 73
[351] ['1', '21', '23'] -> 21 * (23 - 1) mod 73
[352] ['1', '21', '34'] -> 1 - (21 / 34) mod 73
[353] ['1', '21', '39'] -> 1 + (21 / 39) mod 73
[354] ['1', '21', '42'] -> 42 / (21 - 1) mod 73
[355] ['1', '21', '56'] -> (1 / 21) - 56 mod 73
[356] ['1', '21', '58'] -> 1 - (21 * 58) mod 73
[357] ['1', '21', '60'] -> (1 - 21) / 60 mod 73
[358] ['1', '21', '64'] -> 21 / (1 - 64) mod 73
[359] ['1', '21', '65'] -> (1 + 65) / 21 mod 73
[360] ['1', '21', '67'] -> (67 - 1) / 21 mod 73
[361] ['1', '21', '68'] -> (21 / 68) - 1 mod 73
[362] ['1', '22', '22'] -> 22 * (22 - 1) mod 73
[363] ['1', '22', '25'] -> 1 / (22 - 25) mod 73
[364] ['1', '22', '27'] -> (1 / 27) - 22 mod 73
[365] ['1', '22', '31'] -> (22 * 31) - 1 mod 73
[366] ['1', '22', '33'] -> (22 / 33) - 1 mod 73
[367] ['1', '22', '34'] -> 34 - (1 / 22) mod 73
[368] ['1', '22', '36'] -> 22 - (1 / 36) mod 73
[369] ['1', '22', '37'] -> 22 + (1 / 37) mod 73
[370] ['1', '22', '39'] -> (39 / 22) - 1 mod 73
[371] ['1', '22', '41'] -> 41 / (1 + 22) mod 73
[372] ['1', '22', '48'] -> 1 / (22 + 48) mod 73
[373] ['1', '22', '51'] -> 51 * (1 - 22) mod 73
[374] ['1', '22', '55'] -> 55 * (1 + 22) mod 73
[375] ['1', '22', '57'] -> (1 - 57) / 22 mod 73
[376] ['1', '22', '59'] -> (1 / 22) - 59 mod 73
[377] ['1', '22', '62'] -> 1 - (22 * 62) mod 73
[378] ['1', '22', '63'] -> (1 - 22) / 63 mod 73
[379] ['1', '22', '66'] -> 66 / (22 - 1) mod 73
[380] ['1', '22', '67'] -> 22 / (1 - 67) mod 73
[381] ['1', '22', '68'] -> 1 + (68 / 22) mod 73
[382] ['1', '23', '26'] -> 1 / (23 - 26) mod 73
[383] ['1', '23', '30'] -> (1 / 23) - 30 mod 73
[384] ['1', '23', '33'] -> (1 - 33) / 23 mod 73
[385] ['1', '23', '36'] -> (23 * 36) - 1 mod 73
[386] ['1', '23', '40'] -> (1 + 40) / 23 mod 73
[387] ['1', '23', '42'] -> (42 - 1) / 23 mod 73
[388] ['1', '23', '43'] -> 43 + (1 / 23) mod 73
[389] ['1', '23', '52'] -> 52 * (1 - 23) mod 73
[390] ['1', '23', '54'] -> 23 * (1 + 54) mod 73
[391] ['1', '23', '64'] -> (64 / 23) - 1 mod 73
[392] ['1', '23', '65'] -> 65 / (1 + 23) mod 73
[393] ['1', '23', '66'] -> (1 - 23) / 66 mod 73
[394] ['1', '23', '70'] -> 23 / (1 - 70) mod 73
[395] ['1', '24', '35'] -> (1 / 35) - 24 mod 73
[396] ['1', '24', '64'] -> (1 + 64) / 24 mod 73
[397] ['1', '24', '66'] -> (66 - 1) / 24 mod 73
[398] ['1', '25', '28'] -> 1 / (25 - 28) mod 73
[399] ['1', '25', '29'] -> 29 * (1 + 25) mod 73
[400] ['1', '25', '35'] -> 25 * (1 + 35) mod 73
[401] ['1', '25', '38'] -> 25 * (1 - 38) mod 73
[402] ['1', '25', '40'] -> 40 / (1 + 25) mod 73
[403] ['1', '25', '41'] -> (41 / 25) - 1 mod 73
[404] ['1', '25', '45'] -> 1 / (25 + 45) mod 73
[405] ['1', '25', '58'] -> (1 - 58) / 25 mod 73
[406] ['1', '25', '59'] -> 59 + (1 / 25) mod 73
[407] ['1', '25', '62'] -> 62 - (1 / 25) mod 73
[408] ['1', '25', '64'] -> 1 + (64 / 25) mod 73
[409] ['1', '25', '65'] -> 65 / (25 - 1) mod 73
[410] ['1', '25', '68'] -> (1 + 25) / 68 mod 73
[411] ['1', '25', '70'] -> 25 / (1 + 70) mod 73
[412] ['1', '26', '28'] -> 26 * (1 + 28) mod 73
[413] ['1', '26', '34'] -> (1 - 34) / 26 mod 73
[414] ['1', '26', '35'] -> (1 / 26) - 35 mod 73
[415] ['1', '26', '38'] -> 38 + (1 / 26) mod 73
[416] ['1', '26', '41'] -> (41 - 1) / 26 mod 73
[417] ['1', '26', '43'] -> 1 + (26 * 43) mod 73
[418] ['1', '26', '44'] -> 1 / (26 + 44) mod 73
[419] ['1', '26', '45'] -> 26 * (1 - 45) mod 73
[420] ['1', '26', '56'] -> 1 - (26 / 56) mod 73
[421] ['1', '26', '57'] -> 57 / (1 - 26) mod 73
[422] ['1', '26', '59'] -> 1 - (59 / 26) mod 73
[423] ['1', '26', '64'] -> 64 / (1 + 26) mod 73
[424] ['1', '26', '65'] -> (1 + 26) / 65 mod 73
[425] ['1', '26', '66'] -> (66 / 26) - 1 mod 73
[426] ['1', '26', '67'] -> 26 / (1 + 67) mod 73
[427] ['1', '26', '69'] -> 26 / (69 - 1) mod 73
[428] ['1', '27', '29'] -> 29 * (27 - 1) mod 73
[429] ['1', '27', '30'] -> 1 / (27 - 30) mod 73
[430] ['1', '27', '33'] -> 33 / (1 - 27) mod 73
[431] ['1', '27', '40'] -> 40 / (27 - 1) mod 73
[432] ['1', '27', '43'] -> 1 / (27 + 43) mod 73
[433] ['1', '27', '44'] -> 44 * (1 - 27) mod 73
[434] ['1', '27', '49'] -> 27 - (1 / 49) mod 73
[435] ['1', '27', '53'] -> 53 * (1 + 27) mod 73
[436] ['1', '27', '55'] -> (27 * 55) - 1 mod 73
[437] ['1', '27', '62'] -> (1 + 27) / 62 mod 73
