[210] ['1', '27', '32'] -> 32 - (1 / 27) mod 43
[211] ['1', '27', '34'] -> 34 * (27 - 1) mod 43
[212] ['1', '27', '37'] -> (1 + 27) / 37 mod 43
[213] ['1', '28', '28'] -> (28 - 1) / 28 mod 43
[214] ['1', '28', '29'] -> 29 * (1 + 28) mod 43
[215] ['1', '28', '30'] -> 1 + (28 * 30) mod 43
[216] ['1', '28', '32'] -> 28 + (1 / 32) mod 43
[217] ['1', '28', '33'] -> 1 + (28 / 33) mod 43
[218] ['1', '28', '36'] -> 28 / (1 + 36) mod 43
[219] ['1', '28', '42'] -> 1 + (42 / 28) mod 43
[220] ['1', '29', '30'] -> 29 * (30 - 1) mod 43
[221] ['1', '29', '41'] -> 29 / (1 - 41) mod 43
[222] ['1', '30', '31'] -> (1 + 31) / 30 mod 43
[223] ['1', '30', '34'] -> 34 + (1 / 30) mod 43
[224] ['1', '30', '35'] -> 35 / (1 - 30) mod 43
[225] ['1', '30', '40'] -> (1 - 30) / 40 mod 43
[226] ['1', '31', '31'] -> (1 - 31) / 31 mod 43
[227] ['1', '31', '33'] -> 33 * (1 + 31) mod 43
[228] ['1', '32', '32'] -> 32 * (1 + 32) mod 43
[229] ['1', '32', '39'] -> (1 + 32) / 39 mod 43
[230] ['1', '33', '38'] -> 33 / (1 + 38) mod 43
[231] ['1', '33', '41'] -> 1 - (33 * 41) mod 43
[232] ['1', '34', '35'] -> 1 - (35 / 34) mod 43
[233] ['1', '34', '36'] -> 1 - (34 * 36) mod 43
[234] ['1', '34', '37'] -> 1 + (34 / 37) mod 43
[235] ['1', '34', '38'] -> (1 / 34) - 38 mod 43
[236] ['1', '34', '40'] -> 40 * (1 + 34) mod 43
[237] ['1', '34', '41'] -> (1 + 41) / 34 mod 43
[238] ['1', '35', '35'] -> (1 / 35) - 35 mod 43
[239] ['1', '35', '38'] -> (1 - 35) / 38 mod 43
[240] ['1', '35', '41'] -> 35 * (41 - 1) mod 43
[241] ['1', '35', '42'] -> 42 / (35 - 1) mod 43
[242] ['1', '36', '38'] -> (1 / 38) - 36 mod 43
[243] ['1', '36', '39'] -> 39 * (1 + 36) mod 43
[244] ['1', '36', '41'] -> (36 / 41) - 1 mod 43
[245] ['1', '37', '38'] -> 37 * (1 + 38) mod 43
[246] ['1', '37', '40'] -> 37 * (40 - 1) mod 43
[247] ['1', '37', '41'] -> (1 + 37) / 41 mod 43
[248] ['1', '38', '38'] -> (38 * 38) - 1 mod 43
[249] ['1', '38', '42'] -> 38 / (42 - 1) mod 43
[250] ['1', '39', '41'] -> (39 - 1) / 41 mod 43
[251] ['2', '2', '3'] -> (2 + 3) / 2 mod 43
