Gaussian Integer 3-Nums Unique Solutions (Formatted)
----------------------------------------
[180] ['6i', '(6+4i)', '(6+8i)'] -> (((6+4i) - (6+8i)) * 6i)
[181] ['6i', '(6+5i)', '(6+9i)'] -> (((6+5i) - (6+9i)) * 6i)
[182] ['6i', '7', '(7+4i)'] -> ((7 - (7+4i)) * 6i)
[183] ['6i', '(7+i)', '(7+5i)'] -> (((7+i) - (7+5i)) * 6i)
[184] ['6i', '(7+2i)', '(7+6i)'] -> (((7+2i) - (7+6i)) * 6i)
[185] ['6i', '(7+3i)', '(7+7i)'] -> (((7+3i) - (7+7i)) * 6i)
[186] ['6i', '(7+4i)', '(7+8i)'] -> (((7+4i) - (7+8i)) * 6i)
[187] ['6i', '(7+5i)', '(7+9i)'] -> (((7+5i) - (7+9i)) * 6i)
[188] ['7i', '(1+3i)', '(3+7i)'] -> ((3+7i) - ((1+3i) * 7i))
[189] ['6i', '(5+i)', '(5+5i)'] -> (((5+i) - (5+5i)) * 6i)
[190] ['6i', '(5+2i)', '(5+6i)'] -> (((5+2i) - (5+6i)) * 6i)
[191] ['6i', '(5+3i)', '(5+7i)'] -> (((5+3i) - (5+7i)) * 6i)
[192] ['6i', '(5+4i)', '(5+8i)'] -> (((5+4i) - (5+8i)) * 6i)
[193] ['6i', '(5+5i)', '(5+9i)'] -> (((5+5i) - (5+9i)) * 6i)
[194] ['6i', '6', '(6+4i)'] -> ((6 - (6+4i)) * 6i)
[195] ['6i', '(6+i)', '(6+5i)'] -> (((6+i) - (6+5i)) * 6i)
[196] ['6i', '(6+2i)', '(6+6i)'] -> (((6+2i) - (6+6i)) * 6i)
[197] ['7i', '(2+2i)', '(6+i)'] -> (((6+i) - 7i) * (2+2i))
[198] ['7i', '(2+5i)', '(6+6i)'] -> (((2+5i) - 7i) * (6+6i))
[199] ['6i', '(4+2i)', '(4+6i)'] -> (((4+2i) - (4+6i)) * 6i)
[200] ['6i', '(4+3i)', '(4+7i)'] -> (((4+3i) - (4+7i)) * 6i)
[201] ['6i', '(4+4i)', '(4+8i)'] -> (((4+4i) - (4+8i)) * 6i)
[202] ['6i', '(4+5i)', '(4+9i)'] -> (((4+5i) - (4+9i)) * 6i)
[203] ['6i', '(4+6i)', '6'] -> (((4+6i) - 6i) * 6)
[204] ['6i', '5', '(5+4i)'] -> ((5 - (5+4i)) * 6i)
[205] ['7i', '3', '(8+7i)'] -> (((8+7i) - 7i) * 3)
[206] ['7i', '(3+3i)', '(4+3i)'] -> (((4+3i) - 7i) * (3+3i))
[207] ['7i', '(3+4i)', '(4+4i)'] -> (((3+4i) - 7i) * (4+4i))
[208] ['7i', '(3+7i)', '8'] -> (((3+7i) - 7i) * 8)
[209] ['7i', '4', '(6+7i)'] -> (((6+7i) - 7i) * 4)
[210] ['7i', '(4+7i)', '6'] -> (((4+7i) - 7i) * 6)
