[196] ['1', '4', '15', '40'] -> (4 * (1 + 15)) - 40 base 6
[197] ['1', '4', '15', '43'] -> 43 - ((1 + 15) / 4) base 6
[198] ['1', '4', '20', '22'] -> 4 / ((22 / 20) - 1) base 6
[199] ['1', '4', '21', '40'] -> (4 * (21 - 1)) - 40 base 6
[200] ['1', '4', '22', '30'] -> (22 * (4 - 1)) - 30 base 6
[201] ['1', '4', '22', '44'] -> (4 * (22 - 1)) - 44 base 6
[202] ['1', '4', '23', '30'] -> 4 / (1 - (23 / 30)) base 6
[203] ['1', '4', '23', '44'] -> 44 - ((1 + 23) / 4) base 6
[204] ['1', '4', '24', '30'] -> 30 / (1 - (4 / 24)) base 6
[205] ['1', '4', '24', '50'] -> 50 / (1 + (4 / 24)) base 6
[206] ['1', '4', '24', '51'] -> 24 + ((1 + 51) / 4) base 6
[207] ['1', '4', '30', '33'] -> 4 / ((33 / 30) - 1) base 6
[208] ['1', '4', '31', '31'] -> 31 + ((1 + 31) / 4) base 6
[209] ['1', '4', '31', '45'] -> 45 - ((1 + 31) / 4) base 6
[210] ['1', '4', '31', '53'] -> (31 * (4 - 1)) - 53 base 6
[211] ['1', '4', '33', '52'] -> 33 / (1 - (4 / 52)) base 6
[212] ['1', '4', '41', '45'] -> 45 - (41 / (1 + 4)) base 6
[213] ['1', '4', '43', '51'] -> 51 - ((1 + 43) / 4) base 6
[214] ['1', '4', '44', '44'] -> 44 * (1 - (4 / 44)) base 6
[215] ['1', '4', '50', '50'] -> 50 - (50 / (1 + 4)) base 6
[216] ['1', '5', '5', '5'] -> 5 * (5 - (1 / 5)) base 6
[217] ['1', '5', '5', '13'] -> (1 + 5) * (13 - 5) base 6
[218] ['1', '5', '5', '14'] -> (5 * (14 - 5)) - 1 base 6
[219] ['1', '5', '5', '20'] -> 20 * (1 + (5 / 5)) base 6
[220] ['1', '5', '5', '31'] -> 5 * (1 + (31 / 5)) base 6
[221] ['1', '5', '5', '45'] -> 5 * ((45 / 5) - 1) base 6
[222] ['1', '5', '10', '23'] -> 10 * (1 + (23 / 5)) base 6
[223] ['1', '5', '10', '45'] -> ((5 * 45) - 1) / 10 base 6
