[258] ['1', '2', '38', '43'] -> 43 - ((1 + 38) / 2) base 11
[259] ['1', '2', '3A', '44'] -> 44 - ((1 + 3A) / 2) base 11
[260] ['1', '2', '41', '45'] -> 45 - ((1 + 41) / 2) base 11
[261] ['1', '3', '3', '3'] -> (3 * (3 * 3)) - 1 base 11
[262] ['1', '3', '3', '6'] -> (3 * (3 + 6)) - 1 base 11
[263] ['1', '3', '3', '9'] -> 3 * (9 - (1 / 3)) base 11
[264] ['1', '3', '3', '11'] -> (3 * (11 - 3)) - 1 base 11
[265] ['1', '3', '3', '12'] -> 12 * (1 + (3 / 3)) base 11
[266] ['1', '3', '3', '13'] -> 13 + (3 * (1 + 3)) base 11
[267] ['1', '3', '3', '21'] -> 3 * (1 + (21 / 3)) base 11
[268] ['1', '3', '3', '27'] -> 3 * ((27 / 3) - 1) base 11
[269] ['1', '3', '3', '35'] -> 35 - (3 * (1 + 3)) base 11
[270] ['1', '3', '3', '45'] -> (3 + 45) / (3 - 1) base 11
[271] ['1', '3', '4', '5'] -> (3 * (4 + 5)) - 1 base 11
[272] ['1', '3', '4', '8'] -> 8 * (3 + (1 / 4)) base 11
[273] ['1', '3', '4', '38'] -> 38 - (3 * (1 + 4)) base 11
[274] ['1', '3', '4', '39'] -> 39 - (4 * (1 + 3)) base 11
[275] ['1', '3', '4', '44'] -> (4 + 44) / (3 - 1) base 11
[276] ['1', '3', '5', '36'] -> 36 * ((5 / 3) - 1) base 11
[277] ['1', '3', '5', '3A'] -> (1 + (3 * 3A)) / 5 base 11
[278] ['1', '3', '5', '40'] -> 40 - (3 * (1 + 5)) base 11
[279] ['1', '3', '5', '42'] -> 42 - (5 * (1 + 3)) base 11
[280] ['1', '3', '5', '43'] -> (5 + 43) / (3 - 1) base 11
[281] ['1', '3', '6', '14'] -> (3 * (14 - 6)) - 1 base 11
[282] ['1', '3', '6', '43'] -> 43 - (3 * (1 + 6)) base 11
[283] ['1', '3', '7', 'A'] -> (3 * (1 + A)) - 7 base 11
[284] ['1', '3', '7', '41'] -> (7 + 41) / (3 - 1) base 11
[285] ['1', '3', '8', '21'] -> 21 + ((1 + 8) / 3) base 11
[286] ['1', '3', '8', '22'] -> 22 + (8 / (1 + 3)) base 11
[287] ['1', '3', '8', '26'] -> 26 - (8 / (1 + 3)) base 11
[288] ['1', '3', '8', '27'] -> 27 - ((1 + 8) / 3) base 11
[289] ['1', '3', '8', '40'] -> (8 + 40) / (3 - 1) base 11
[290] ['1', '3', '9', 'A'] -> (9 * (1 + 3)) - A base 11
[291] ['1', '3', '9', '17'] -> (3 * (17 - 9)) - 1 base 11
[292] ['1', '3', '9', '3A'] -> (9 + 3A) / (3 - 1) base 11
[293] ['1', '3', 'A', '10'] -> (3 * (1 + 10)) - A base 11
[294] ['1', '3', 'A', '39'] -> (A + 39) / (3 - 1) base 11
[295] ['1', '3', 'A', '43'] -> A + ((1 + 43) / 3) base 11
[296] ['1', '3', '10', '19'] -> (3 * (19 - 10)) - 1 base 11
[297] ['1', '3', '10', '20'] -> 20 + ((1 + 10) / 3) base 11
[298] ['1', '3', '10', '40'] -> 10 + ((1 + 40) / 3) base 11
[299] ['1', '3', '11', '18'] -> (18 * (3 - 1)) - 11 base 11
[300] ['1', '3', '12', '19'] -> 19 / (1 - (3 / 12)) base 11
[301] ['1', '3', '12', '2A'] -> 2A / (1 + (3 / 12)) base 11
[302] ['1', '3', '12', '35'] -> 12 + ((1 + 35) / 3) base 11
[303] ['1', '3', '13', '19'] -> (19 * (3 - 1)) - 13 base 11
[304] ['1', '3', '13', '1A'] -> 1A + ((1 + 13) / 3) base 11
[305] ['1', '3', '13', '21'] -> (3 * (21 - 13)) - 1 base 11
[306] ['1', '3', '13', '28'] -> (13 * (1 + 3)) - 28 base 11
[307] ['1', '3', '13', '29'] -> 29 - ((1 + 13) / 3) base 11
[308] ['1', '3', '13', '32'] -> 13 + ((1 + 32) / 3) base 11
[309] ['1', '3', '13', '44'] -> 13 + (44 / (1 + 3)) base 11
[310] ['1', '3', '14', '15'] -> (3 * (14 - 1)) - 15 base 11
[311] ['1', '3', '14', '22'] -> (3 * (22 - 14)) - 1 base 11
[312] ['1', '3', '15', '18'] -> (3 * (15 - 1)) - 18 base 11
[313] ['1', '3', '15', '2A'] -> 2A * (1 - (3 / 15)) base 11
[314] ['1', '3', '15', '33'] -> (15 + 33) / (3 - 1) base 11
[315] ['1', '3', '16', '19'] -> 19 + ((1 + 16) / 3) base 11
[316] ['1', '3', '16', '20'] -> (3 * (16 - 1)) - 20 base 11
[317] ['1', '3', '16', '2A'] -> 2A - ((1 + 16) / 3) base 11
[318] ['1', '3', '16', '32'] -> (16 + 32) / (3 - 1) base 11
[319] ['1', '3', '16', '33'] -> 16 + (33 / (1 + 3)) base 11
[320] ['1', '3', '16', '39'] -> (16 * (1 + 3)) - 39 base 11
[321] ['1', '3', '17', '20'] -> (20 * (3 - 1)) - 17 base 11
[322] ['1', '3', '17', '21'] -> 17 + ((1 + 21) / 3) base 11
[323] ['1', '3', '17', '31'] -> (17 + 31) / (3 - 1) base 11
[324] ['1', '3', '18', '30'] -> (18 + 30) / (3 - 1) base 11
[325] ['1', '3', '18', '31'] -> (3 * (1 + 18)) - 31 base 11
[326] ['1', '3', '19', '21'] -> (21 * (3 - 1)) - 19 base 11
[327] ['1', '3', '19', '22'] -> 19 + (22 / (1 + 3)) base 11
[328] ['1', '3', '19', '27'] -> (3 * (27 - 19)) - 1 base 11
[329] ['1', '3', '19', '2A'] -> (19 + 2A) / (3 - 1) base 11
[330] ['1', '3', '19', '34'] -> (3 * (1 + 19)) - 34 base 11
[331] ['1', '3', '1A', '28'] -> (3 * (28 - 1A)) - 1 base 11
[332] ['1', '3', '1A', '29'] -> (1A + 29) / (3 - 1) base 11
[333] ['1', '3', '1A', '37'] -> (3 * (1 + 1A)) - 37 base 11
[334] ['1', '3', '20', '22'] -> (22 * (3 - 1)) - 20 base 11
[335] ['1', '3', '20', '28'] -> (20 + 28) / (3 - 1) base 11
[336] ['1', '3', '20', '29'] -> (3 * (29 - 20)) - 1 base 11
[337] ['1', '3', '20', '3A'] -> (3 * (1 + 20)) - 3A base 11
[338] ['1', '3', '21', '21'] -> 21 * (1 + (3 / 21)) base 11
[339] ['1', '3', '21', '27'] -> (21 + 27) / (3 - 1) base 11
[340] ['1', '3', '21', '2A'] -> (3 * (2A - 21)) - 1 base 11
[341] ['1', '3', '21', '31'] -> 31 - ((1 + 21) / 3) base 11
[342] ['1', '3', '21', '37'] -> (3 * (21 - 1)) - 37 base 11
[343] ['1', '3', '22', '23'] -> (23 * (3 - 1)) - 22 base 11
[344] ['1', '3', '22', '26'] -> (22 + 26) / (3 - 1) base 11
[345] ['1', '3', '22', '2A'] -> 2A - (22 / (1 + 3)) base 11
[346] ['1', '3', '22', '33'] -> 22 * (1 + (3 / 33)) base 11
[347] ['1', '3', '22', '36'] -> 22 / (1 - (3 / 36)) base 11
[348] ['1', '3', '22', '3A'] -> (3 * (22 - 1)) - 3A base 11
[349] ['1', '3', '22', '45'] -> (3 * (1 + 22)) - 45 base 11
[350] ['1', '3', '23', '25'] -> (23 + 25) / (3 - 1) base 11
[351] ['1', '3', '23', '42'] -> (3 * (23 - 1)) - 42 base 11
[352] ['1', '3', '25', '26'] -> (25 * (3 - 1)) - 26 base 11
[353] ['1', '3', '25', '44'] -> 1 + ((25 + 44) / 3) base 11
[354] ['1', '3', '26', '28'] -> (26 * (3 - 1)) - 28 base 11
[355] ['1', '3', '26', '30'] -> 30 - (26 / (1 + 3)) base 11
[356] ['1', '3', '26', '34'] -> (3 * (34 - 26)) - 1 base 11
[357] ['1', '3', '26', '36'] -> 26 / (1 + (3 / 36)) base 11
[358] ['1', '3', '26', '39'] -> 26 * (1 - (3 / 39)) base 11
[359] ['1', '3', '26', '43'] -> 1 + ((26 + 43) / 3) base 11
