[1] ['1', '1', '1', 'A'] -> (1 + 1 + 1) * A base 13
[300] ['14', '19', '20', '37'] -> ((19 + 37) / 14) + 20 base 13
[301] ['14', '19', '21', '22'] -> ((14 + 21) / 19) + 22 base 13
[302] ['14', '19', '21', '23'] -> ((19 + 23) / 14) + 21 base 13
[303] ['1', '1A', '26', '36'] -> 26 - ((1 + 36) / 1A) base 13
[304] ['14', '19', '21', '26'] -> 26 - ((14 + 21) / 19) base 13
[305] ['14', '19', '21', '3A'] -> ((14 + 3A) / 19) + 21 base 13
[306] ['14', '19', '22', '2C'] -> (14 * 2C) - (19 * 22) base 13
[307] ['14', '19', '23', '27'] -> 27 - ((19 + 23) / 14) base 13
[308] ['14', '19', '27', '3A'] -> 27 - ((14 + 3A) / 19) base 13
[309] ['14', '19', '28', '37'] -> 28 - ((19 + 37) / 14) base 13
[310] ['14', '19', '2A', '39'] -> ((14 * 2A) + 39) / 19 base 13
[311] ['14', '19', '2B', '32'] -> ((14 * 32) - 2B) / 19 base 13
[312] ['14', '1A', '1B', '32'] -> ((14 * 32) + 1A) / 1B base 13
[313] ['14', '1A', '1C', '34'] -> (14 + 34) / (1C - 1A) base 13
[314] ['1', '1A', '26', '39'] -> 26 - (39 / (1 + 1A)) base 13
[315] ['14', '1A', '20', '36'] -> ((1A + 36) / 14) + 20 base 13
[316] ['14', '1A', '21', '22'] -> ((1A + 22) / 14) + 21 base 13
[317] ['14', '1A', '21', '2C'] -> ((21 - 1A) * 14) - 2C base 13
[318] ['14', '1A', '21', '30'] -> ((14 * 30) + 21) / 1A base 13
[319] ['14', '1A', '21', '3A'] -> ((14 * 3A) - 1A) / 21 base 13
[320] ['14', '1A', '22', '23'] -> ((14 + 23) / 1A) + 22 base 13
[321] ['14', '1A', '23', '26'] -> 26 - ((14 + 23) / 1A) base 13
[322] ['14', '1A', '26', '32'] -> ((1A * 32) + 14) / 26 base 13
[323] ['14', '1A', '28', '36'] -> 28 - ((1A + 36) / 14) base 13
[324] ['14', '1A', '2B', '3A'] -> ((1A * 3A) - 14) / 2B base 13
[325] ['1', '1A', '27', '34'] -> ((1A * 34) + 1) / 27 base 13
[326] ['14', '1A', '2C', '35'] -> ((14 * 2C) + 35) / 1A base 13
[327] ['14', '1A', '32', '34'] -> ((14 * 34) - 32) / 1A base 13
[328] ['14', '1B', '20', '34'] -> (14 + 34) / (20 - 1B) base 13
[329] ['14', '1B', '20', '35'] -> ((1B + 35) / 14) + 20 base 13
[330] ['14', '1B', '21', '27'] -> 27 - ((1B + 21) / 14) base 13
[331] ['14', '1B', '22', '25'] -> ((14 + 25) / 1B) + 22 base 13
[332] ['14', '1B', '22', '2C'] -> ((22 - 1B) * 14) - 2C base 13
[333] ['14', '1B', '22', '35'] -> ((14 * 35) - 22) / 1B base 13
[334] ['14', '1B', '22', '39'] -> ((14 * 39) + 1B) / 22 base 13
[335] ['14', '1B', '25', '26'] -> 26 - ((14 + 25) / 1B) base 13
[336] ['1', '1', '20', '34'] -> 34 - (20 / (1 + 1)) base 13
[337] ['1', '1A', '2A', '38'] -> ((1A * 38) - 1) / 2A base 13
[338] ['14', '1B', '28', '35'] -> 28 - ((1B + 35) / 14) base 13
[339] ['14', '1B', '31', '31'] -> ((14 * 31) + 31) / 1B base 13
[340] ['14', '1B', '36', '36'] -> ((14 * 36) - 36) / 1B base 13
[341] ['14', '1C', '20', '27'] -> 27 - ((1C + 20) / 14) base 13
[342] ['14', '1C', '20', '31'] -> (14 * 31) - (1C * 20) base 13
[343] ['14', '1C', '20', '34'] -> ((1C + 34) / 14) + 20 base 13
[344] ['14', '1C', '21', '34'] -> (14 + 34) / (21 - 1C) base 13
[345] ['14', '1C', '22', '27'] -> ((14 + 27) / 1C) + 22 base 13
[346] ['14', '1C', '23', '2C'] -> ((23 - 1C) * 14) - 2C base 13
[347] ['14', '1C', '26', '27'] -> 26 - ((14 + 27) / 1C) base 13
[348] ['1', '1A', '36', '37'] -> 36 / ((1A / 37) + 1) base 13
