[1] ['1', '1', '1', 'C'] -> (1 + 1 + 1) * C base 16
[197] ['10', '17', '1E', '22'] -> ((10 + 1E) / 17) + 22 base 16
[198] ['10', '17', '1E', '26'] -> 26 - ((10 + 1E) / 17) base 16
[199] ['10', '17', '28', '29'] -> 28 - ((17 + 29) / 10) base 16
[200] ['10', '17', '2C', '31'] -> ((10 * 31) + 2C) / 17 base 16
[201] ['10', '18', '18', '19'] -> ((18 * 19) - 18) / 10 base 16
[202] ['10', '18', '1A', '1A'] -> ((1A - 18) * 1A) - 10 base 16
[203] ['1', '12', '1E', '1E'] -> ((1E / 1E) + 1) * 12 base 16
[204] ['10', '18', '1C', '1C'] -> ((1C - 18) * 10) - 1C base 16
[205] ['10', '18', '1D', '2C'] -> ((1D - 18) * 10) - 2C base 16
[206] ['10', '18', '28', '28'] -> 28 - ((18 + 28) / 10) base 16
[207] ['10', '19', '19', '31'] -> ((19 * 19) - 31) / 10 base 16
[208] ['10', '19', '1A', '1B'] -> ((1B - 19) * 1A) - 10 base 16
[209] ['10', '19', '1A', '22'] -> ((1A * 22) + 10) / 19 base 16
[210] ['10', '19', '1C', '1D'] -> ((1D - 19) * 10) - 1C base 16
[211] ['10', '19', '1C', '2E'] -> (10 * 2E) - (19 * 1C) base 16
[212] ['10', '19', '1E', '2C'] -> ((1E - 19) * 10) - 2C base 16
[213] ['10', '19', '1F', '2C'] -> ((19 * 2C) + 10) / 1F base 16
[214] ['1', '12', '1E', '2D'] -> 12 / ((2D / 1E) - 1) base 16
[215] ['10', '19', '20', '27'] -> ((19 + 27) / 10) + 20 base 16
[216] ['10', '19', '22', '22'] -> ((10 + 22) / 19) + 22 base 16
[217] ['10', '19', '27', '28'] -> 28 - ((19 + 27) / 10) base 16
[218] ['10', '1A', '1A', '1C'] -> ((1C - 1A) * 1A) - 10 base 16
[219] ['10', '1A', '1A', '28'] -> (1A * 1A) - (10 * 28) base 16
[220] ['10', '1A', '1B', '1D'] -> ((1D - 1B) * 1A) - 10 base 16
[221] ['10', '1A', '1D', '1F'] -> ((1F - 1D) * 1A) - 10 base 16
[222] ['10', '1A', '1F', '21'] -> ((21 - 1F) * 1A) - 10 base 16
[223] ['10', '1A', '1F', '2C'] -> ((1F - 1A) * 10) - 2C base 16
[224] ['10', '1A', '20', '22'] -> ((22 - 20) * 1A) - 10 base 16
[225] ['1', '1', '19', '2B'] -> (1 + 1) * (2B - 19) base 16
[226] ['1', '12', '1F', '1F'] -> ((1F / 1F) + 1) * 12 base 16
[227] ['10', '1A', '21', '23'] -> ((23 - 21) * 1A) - 10 base 16
[228] ['10', '1A', '23', '25'] -> ((25 - 23) * 1A) - 10 base 16
[229] ['10', '1A', '25', '27'] -> ((27 - 25) * 1A) - 10 base 16
[230] ['10', '1A', '27', '29'] -> ((29 - 27) * 1A) - 10 base 16
[231] ['10', '1A', '28', '2A'] -> ((2A - 28) * 1A) - 10 base 16
[232] ['10', '1A', '29', '2B'] -> ((2B - 29) * 1A) - 10 base 16
[233] ['10', '1A', '2A', '2C'] -> ((2C - 2A) * 1A) - 10 base 16
[234] ['10', '1A', '2B', '2D'] -> ((2D - 2B) * 1A) - 10 base 16
[235] ['10', '1A', '2C', '2E'] -> ((2E - 2C) * 1A) - 10 base 16
[236] ['10', '1A', '2D', '2F'] -> ((2F - 2D) * 1A) - 10 base 16
