[1] ['i', 'i', '4i', '(1+6i)'] -> ((i / i) - 1+6i) * 4i
[2180] ['2i', '6i', '(1+2i)', '(4+2i)'] -> ((4+2i / 2i) - 1+2i) * 6i
[2181] ['2i', '6i', '(1+3i)', '(1+6i)'] -> (1+3i - 1+6i) * (2i + 6i)
[2182] ['2i', '6i', '(1+3i)', '(6+2i)'] -> 6+2i - ((1+3i + 6i) * 2i)
[2183] ['2i', '6i', '(1+4i)', '(4+2i)'] -> 4+2i - ((1+4i + 6i) * 2i)
[2184] ['2i', '6i', '(1+5i)', '(2+2i)'] -> 2+2i - ((1+5i + 6i) * 2i)
[2185] ['2i', '6i', '(1+5i)', '(3+3i)'] -> (2i * 3+3i) - (1+5i * 6i)
[2186] ['2i', '6i', '(1+6i)', '(2+6i)'] -> 6i - ((1+6i + 2+6i) * 2i)
[2187] ['2i', '6i', '2', '(2+3i)'] -> (2 - 2+3i) * (2i + 6i)
[2188] ['2i', '6i', '2', '(3+6i)'] -> (6i - (2i * 3+6i)) * 2
[2189] ['2i', '6i', '(2+2i)', '(4+4i)'] -> ((4+4i / 2i) - 2+2i) * 6i
[2190] ['2i', '3i', '6i', '(2+6i)'] -> 6i - ((2+6i + 2i) * 3i)
[2191] ['2i', '6i', '(2+2i)', '(6+3i)'] -> (6i - (2i * 6+3i)) * 2+2i
[2192] ['2i', '6i', '(2+3i)', '(2+4i)'] -> ((2+4i / 2i) - 2+3i) * 6i
[2193] ['2i', '6i', '(2+3i)', '(2+6i)'] -> (2+3i - 2+6i) * (2i + 6i)
[2194] ['2i', '6i', '(2+4i)', '(2+5i)'] -> 2+4i - ((2+5i + 6i) * 2i)
[2195] ['2i', '6i', '(2+5i)', '(6+3i)'] -> (2i * 6+3i) - (2+5i * 6i)
[2196] ['2i', '6i', '(2+6i)', '(3+3i)'] -> ((2+6i / 2i) - 3+3i) * 6i
[2197] ['2i', '6i', '(2+6i)', '(3+5i)'] -> 2+6i - ((3+5i + 6i) * 2i)
[2198] ['2i', '6i', '3', '(3+3i)'] -> (2i + 6i) * (3 - 3+3i)
[2199] ['2i', '6i', '3', '(3+4i)'] -> (6i - (2i * 3+4i)) * 3
[2200] ['2i', '6i', '(3+i)', '(3+4i)'] -> (2i + 6i) * (3+i - 3+4i)
[2201] ['2i', '3i', '6i', '(4+4i)'] -> ((6i / 2i) - 3i) * 4+4i
[2202] ['2i', '6i', '(3+i)', '(4+2i)'] -> (2i + 3+i) * (4+2i - 6i)
[2203] ['2i', '6i', '(3+2i)', '(3+5i)'] -> (2i + 6i) * (3+2i - 3+5i)
[2204] ['2i', '6i', '(3+2i)', '6'] -> (6i - (2i * 3+2i)) * 6
[2205] ['2i', '6i', '(3+3i)', '(3+3i)'] -> (6i - (3+3i * 3+3i)) * 2i
[2206] ['2i', '6i', '(3+3i)', '(3+6i)'] -> (2i + 6i) * (3+3i - 3+6i)
[2207] ['2i', '6i', '(3+3i)', '(4+2i)'] -> (2i + 4+2i) * (3+3i - 6i)
[2208] ['2i', '6i', '(3+3i)', '(5+2i)'] -> (6i - (2i * 5+2i)) * 3+3i
[2209] ['2i', '6i', '4', '(4+3i)'] -> (2i + 6i) * (4 - 4+3i)
[2210] ['2i', '6i', '(4+i)', '(4+4i)'] -> (2i + 6i) * (4+i - 4+4i)
[2211] ['2i', '6i', '(4+i)', '(6+2i)'] -> ((6+2i - 2i) * 4+i) - 6i
[2212] ['2i', '3i', '(1+2i)', '(4+2i)'] -> (2i - (1+2i * 4+2i)) * 3i
[2213] ['2i', '6i', '(4+2i)', '(4+5i)'] -> (2i + 6i) * (4+2i - 4+5i)
[2214] ['2i', '6i', '(4+2i)', '(5+4i)'] -> ((5+4i - 6i) * 4+2i) - 2i
[2215] ['2i', '6i', '(4+3i)', '6'] -> ((4+3i - 2i) * 6) - 6i
[2216] ['2i', '6i', '5', '(5+3i)'] -> (2i + 6i) * (5 - 5+3i)
[2217] ['2i', '6i', '(5+i)', '(5+4i)'] -> (2i + 6i) * (5+i - 5+4i)
[2218] ['2i', '6i', '6', '(6+3i)'] -> (2i + 6i) * (6 - 6+3i)
[2219] ['2i', '1', '(1+2i)', '(5+2i)'] -> (1 - (1+2i * 5+2i)) * 2i
[2220] ['2i', '1', '3', '(6+2i)'] -> (1 + 3) * (6+2i - 2i)
[2221] ['2i', '1', '(4+2i)', '5'] -> (1 + 5) * (4+2i - 2i)
[2222] ['2i', '1', '5', '(5+2i)'] -> ((5+2i - 2i) * 5) - 1
[2223] ['2i', '3i', '(1+2i)', '(6+3i)'] -> (3i - (1+2i * 6+3i)) * 2i
[2224] ['2i', '(1+i)', '(1+3i)', '(3+5i)'] -> (2i - (1+3i * 3+5i)) * 1+i
[2225] ['2i', '(1+i)', '(1+3i)', '(4+i)'] -> (1+i - (1+3i * 4+i)) * 2i
[2226] ['2i', '(1+i)', '(1+4i)', '(4+4i)'] -> (2i - (1+4i * 1+i)) * 4+4i
[2227] ['2i', '(1+i)', '(1+5i)', '(3+3i)'] -> (2i - (1+5i * 1+i)) * 3+3i
[2228] ['2i', '(4+2i)', '5', '(5+2i)'] -> (4+2i * 5) - (2i * 5+2i)
[2229] ['2i', '(4+2i)', '6', '6'] -> (4+2i * 6) - (2i * 6)
[2230] ['2i', '(4+3i)', '6', '6'] -> ((6 / 2i) + 4+3i) * 6
[2231] ['2i', '5', '5', '(5+2i)'] -> ((5 - 2i) * 5+2i) - 5
[2232] ['2i', '5', '(5+i)', '(5+i)'] -> (5+i * 5+i) - (2i * 5)
[2233] ['2i', '(5+2i)', '6', '6'] -> ((5+2i - 2i) * 6) - 6
[2234] ['i', 'i', '6i', '3'] -> ((3 / i) - i) * 6i
[2235] ['2i', '3i', '(1+3i)', '(3+i)'] -> (2i - (1+3i * 3+i)) * 3i
[2236] ['3i', '3i', '3i', '(1+5i)'] -> 3i - ((1+5i + 3i) * 3i)
[2237] ['3i', '3i', '3i', '6'] -> 6 - ((3i + 3i) * 3i)
[2238] ['3i', '3i', '4i', '(1+4i)'] -> 3i - ((1+4i + 4i) * 3i)
[2239] ['3i', '3i', '4i', '(1+6i)'] -> ((3i / 3i) - 1+6i) * 4i
[2240] ['3i', '3i', '4i', '4'] -> (4i - (3i * 4)) * 3i
[2241] ['3i', '3i', '5i', '(1+3i)'] -> 3i - ((1+3i + 5i) * 3i)
[2242] ['3i', '3i', '6i', '(1+2i)'] -> 3i - ((1+2i + 6i) * 3i)
[2243] ['3i', '3i', '6i', '(2+5i)'] -> 6i - ((2+5i + 3i) * 3i)
[2244] ['3i', '3i', '6i', '3'] -> ((3 / 3i) - 3i) * 6i
[2245] ['3i', '3i', '6i', '6'] -> ((6 / 3i) - 6i) * 3i
[2246] ['2i', '3i', '(1+4i)', '(4+5i)'] -> 4+5i - ((2i + 3i) * 1+4i)
[2247] ['3i', '3i', '1', '(1+4i)'] -> (1 - 1+4i) * (3i + 3i)
[2248] ['3i', '3i', '(1+i)', '(1+5i)'] -> (1+i - 1+5i) * (3i + 3i)
[2249] ['3i', '3i', '(1+i)', '(5+4i)'] -> (3i - (3i * 5+4i)) * 1+i
[2250] ['3i', '3i', '(1+2i)', '(1+6i)'] -> (1+2i - 1+6i) * (3i + 3i)
[2251] ['3i', '3i', '(1+2i)', '4'] -> (3i - (1+2i * 3i)) * 4
[2252] ['3i', '3i', '(1+3i)', '(6+3i)'] -> 6+3i - ((1+3i + 3i) * 3i)
[2253] ['3i', '3i', '(1+4i)', '2'] -> (3i - (1+4i * 3i)) * 2
[2254] ['3i', '3i', '(1+4i)', '(3+3i)'] -> 3+3i - ((1+4i + 3i) * 3i)
[2255] ['3i', '3i', '(1+6i)', '(6+3i)'] -> ((6+3i / 3i) - 1+6i) * 3i
[2256] ['3i', '3i', '2', '(2+4i)'] -> (2 - 2+4i) * (3i + 3i)
[2257] ['2i', '3i', '(1+4i)', '(6+3i)'] -> 6+3i - ((1+4i + 2i) * 3i)
[2258] ['3i', '3i', '2', '3'] -> (3 - (3i * 3i)) * 2
[2259] ['3i', '3i', '2', '(3+6i)'] -> ((2 - 3i) * 3+6i) - 3i
[2260] ['3i', '3i', '(2+i)', '(2+5i)'] -> (2+i - 2+5i) * (3i + 3i)
[2261] ['3i', '3i', '(2+i)', '(4+4i)'] -> (3i - (2+i * 3i)) * 4+4i
[2262] ['3i', '3i', '(2+i)', '(6+3i)'] -> (2+i - 3i) * (3i + 6+3i)
[2263] ['3i', '3i', '(2+2i)', '(2+6i)'] -> (2+2i - 2+6i) * (3i + 3i)
[2264] ['3i', '3i', '(2+2i)', '(3+2i)'] -> (3i - (3+2i * 3i)) * 2+2i
[2265] ['3i', '3i', '(2+4i)', '(3+6i)'] -> 3+6i - ((2+4i + 3i) * 3i)
[2266] ['3i', '3i', '3', '(3+4i)'] -> (3 - 3+4i) * (3i + 3i)
[2267] ['3i', '3i', '3', '(4+i)'] -> (3 - 3i) * (3i + 4+i)
[2268] ['2i', '3i', '(1+5i)', '(3+3i)'] -> 3+3i - ((1+5i + 2i) * 3i)
[2269] ['3i', '3i', '3', '5'] -> (3 * 5) - (3i * 3i)
[2270] ['3i', '3i', '3', '6'] -> ((3i / 3i) + 3) * 6
[2271] ['3i', '3i', '(3+i)', '(3+5i)'] -> (3+i - 3+5i) * (3i + 3i)
[2272] ['3i', '3i', '(3+2i)', '(3+6i)'] -> (3+2i - 3+6i) * (3i + 3i)
[2273] ['3i', '3i', '(3+2i)', '6'] -> ((6 - 3i) * 3+2i) - 3i
[2274] ['3i', '3i', '4', '(4+4i)'] -> (3i + 3i) * (4 - 4+4i)
[2275] ['3i', '3i', '4', '5'] -> ((3i / 3i) + 5) * 4
[2276] ['3i', '3i', '(4+i)', '(4+5i)'] -> (3i + 3i) * (4+i - 4+5i)
[2277] ['3i', '3i', '5', '5'] -> (5 * 5) - (3i / 3i)
[2278] ['3i', '3i', '5', '(5+4i)'] -> (3i + 3i) * (5 - 5+4i)
[2279] ['2i', '3i', '(1+5i)', '(6+2i)'] -> ((6+2i / 2i) - 1+5i) * 3i
[2280] ['3i', '3i', '5', '6'] -> (5 - (3i / 3i)) * 6
[2281] ['3i', '4i', '4i', '6i'] -> (3i - 6i) * (4i + 4i)
[2282] ['3i', '4i', '4i', '(1+3i)'] -> 4i - ((1+3i + 3i) * 4i)
[2283] ['3i', '4i', '4i', '3'] -> (4i - (3 * 4i)) * 3i
[2284] ['3i', '4i', '6i', '(2+4i)'] -> 6i - ((2+4i + 4i) * 3i)
[2285] ['3i', '4i', '1', '6'] -> 6 / (1 - (3i / 4i))
[2286] ['3i', '4i', '(1+2i)', '(4+4i)'] -> 4+4i - ((1+2i + 3i) * 4i)
[2287] ['3i', '4i', '(1+2i)', '(6+3i)'] -> 6+3i - ((1+2i + 4i) * 3i)
[2288] ['3i', '4i', '(1+4i)', '(6+3i)'] -> ((6+3i / 3i) - 1+4i) * 4i
[2289] ['3i', '4i', '(1+5i)', '(3+3i)'] -> ((3+3i / 3i) - 1+5i) * 4i
[2290] ['2i', '3i', '(1+6i)', '(4+2i)'] -> ((4+2i / 2i) - 1+6i) * 3i
[2291] ['3i', '4i', '2', '6'] -> (2 * 6) - (3i * 4i)
[2292] ['3i', '4i', '(2+i)', '(3+6i)'] -> ((2+i - 4i) * 3+6i) - 3i
[2293] ['3i', '4i', '(2+i)', '(6+2i)'] -> (2+i - 3i) * (4i + 6+2i)
[2294] ['3i', '4i', '(2+2i)', '(3+3i)'] -> (4i - (2+2i * 3+3i)) * 3i
[2295] ['3i', '4i', '(2+2i)', '(6+3i)'] -> (2+2i - 4i) * (3i + 6+3i)
[2296] ['3i', '4i', '(2+3i)', '(3+6i)'] -> 3+6i - ((2+3i + 4i) * 3i)
[2297] ['3i', '4i', '(2+5i)', '(3+6i)'] -> ((3+6i / 3i) - 2+5i) * 4i
[2298] ['3i', '4i', '(3+i)', '(4+i)'] -> (3+i - 4i) * (3i + 4+i)
[2299] ['3i', '4i', '(3+2i)', '(6+i)'] -> ((6+i - 4i) * 3+2i) - 3i
[2300] ['2i', '(1+i)', '(2+i)', '(3+5i)'] -> (1+i - (2+i * 3+5i)) * 2i
[2301] ['2i', '3i', '(1+6i)', '(6+2i)'] -> 6+2i - ((1+6i + 3i) * 2i)
[2302] ['2i', '(1+i)', '(2+i)', '(4+4i)'] -> (1+i - (2+i * 2i)) * 4+4i
[2303] ['2i', '(1+i)', '3', '(6+2i)'] -> (6+2i - (1+i * 2i)) * 3
[2304] ['2i', '(1+i)', '(3+3i)', '(6+2i)'] -> ((6+2i / 1+i) - 2i) * 3+3i
[2305] ['2i', '(1+i)', '4', '(4+2i)'] -> (4+2i - (1+i * 2i)) * 4
[2306] ['2i', '(1+i)', '(4+2i)', '(4+4i)'] -> ((4+2i / 1+i) - 2i) * 4+4i
[2307] ['2i', '(1+i)', '(5+i)', '6'] -> (5+i - (2i / 1+i)) * 6
[2308] ['2i', '(1+i)', '6', '(6+2i)'] -> ((6+2i / 1+i) + 2i) * 6
[2309] ['2i', '(1+i)', '6', '(6+3i)'] -> (6 - (2i * 6+3i)) * 1+i
[2310] ['2i', '(1+2i)', '2', '(5+4i)'] -> (1+2i + 5+4i) * (2 - 2i)
[2311] ['2i', '(1+2i)', '(2+2i)', '(2+4i)'] -> (2i - (1+2i * 2+4i)) * 2+2i
[2312] ['2i', '3i', '2', '3'] -> (2 - (2i * 3i)) * 3
[2313] ['2i', '(1+2i)', '(2+2i)', '4'] -> (2+2i - (1+2i * 2i)) * 4
[2314] ['2i', '(1+2i)', '(2+2i)', '(6+2i)'] -> (2+2i - (1+2i * 6+2i)) * 2i
[2315] ['2i', '(1+2i)', '3', '(4+2i)'] -> (4+2i - (1+2i * 2i)) * 3
[2316] ['2i', '(1+2i)', '(3+6i)', '(4+2i)'] -> ((4+2i / 1+2i) - 2i) * 3+6i
[2317] ['2i', '(1+2i)', '(4+2i)', '6'] -> ((6 - 1+2i) * 4+2i) - 2i
[2318] ['2i', '(1+6i)', '(4+2i)', '(4+3i)'] -> (2i + 4+2i) * (4+3i - 1+6i)
[2319] ['2i', '2', '2', '(6+i)'] -> ((2 * 6+i) - 2i) * 2
[2320] ['2i', '2', '(2+i)', '(3+3i)'] -> (2 - (2+i * 2i)) * 3+3i
[2321] ['2i', '2', '(2+i)', '(4+5i)'] -> (2 - 2i) * (2+i + 4+5i)
[2322] ['2i', '2', '(2+i)', '6'] -> ((2 * 2+i) - 2i) * 6
[2323] ['2i', '3i', '2', '(6+3i)'] -> (2 - 2i) * (3i + 6+3i)
[2324] ['2i', '2', '(2+2i)', '(3+2i)'] -> (2 - (2i * 3+2i)) * 2+2i
[2325] ['2i', '2', '(2+2i)', '(4+4i)'] -> (2 - 2i) * (2+2i + 4+4i)
[2326] ['2i', '2', '(2+3i)', '(4+3i)'] -> (2 - 2i) * (2+3i + 4+3i)
[2327] ['2i', '2', '(2+4i)', '(2+5i)'] -> (2+4i - (2+5i * 2i)) * 2
[2328] ['2i', '2', '(2+4i)', '(4+2i)'] -> (2 - 2i) * (2+4i + 4+2i)
[2329] ['2i', '2', '(2+4i)', '(4+4i)'] -> (4+4i - (2+4i * 2i)) * 2
[2330] ['2i', '2', '(2+5i)', '(4+i)'] -> (2 - 2i) * (2+5i + 4+i)
[2331] ['2i', '2', '(2+6i)', '(3+5i)'] -> (2+6i - (2i * 3+5i)) * 2
[2332] ['2i', '2', '(2+6i)', '(6+2i)'] -> (2 * 6+2i) - (2+6i * 2i)
[2333] ['2i', '2', '3', '(4+i)'] -> ((2 * 4+i) - 2i) * 3
[2334] ['2i', '3i', '(2+i)', '(2+4i)'] -> (2i - (2+4i * 2+i)) * 3i
[2335] ['2i', '2', '(3+i)', '(3+5i)'] -> (2 - 2i) * (3+5i + 3+i)
[2336] ['2i', '2', '(3+i)', '4'] -> ((2 * 3+i) - 2i) * 4
[2337] ['2i', '2', '(3+i)', '(4+4i)'] -> (3+i - (2 * 2i)) * 4+4i
[2338] ['2i', '2', '(3+2i)', '(3+4i)'] -> (2 - 2i) * (3+2i + 3+4i)
[2339] ['2i', '2', '(3+2i)', '6'] -> (2 + 6) * (3+2i - 2i)
[2340] ['2i', '2', '(3+3i)', '(3+3i)'] -> (2 - 2i) * (3+3i + 3+3i)
[2341] ['2i', '2', '(3+3i)', '4'] -> (4 - (2 * 2i)) * 3+3i
[2342] ['2i', '2', '(3+6i)', '6'] -> (6 - (2 * 3+6i)) * 2i
[2343] ['2i', '2', '(3+6i)', '(6+3i)'] -> (2 * 6+3i) - (2i * 3+6i)
[2344] ['2i', '2', '(4+4i)', '6'] -> (4+4i - (2 * 2i)) * 6
[2345] ['i', 'i', '(2+3i)', '(4+4i)'] -> ((2+3i / i) - i) * 4+4i
[2346] ['2i', '3i', '(2+i)', '(3+6i)'] -> (3i - (2+i * 3+6i)) * 2i
[2347] ['2i', '2', '(4+4i)', '(6+2i)'] -> ((6+2i / 2i) + 2) * 4+4i
[2348] ['2i', '2', '(5+i)', '(5+i)'] -> ((5+i - 2i) * 5+i) - 2
[2349] ['2i', '2', '6', '(6+i)'] -> ((6 + 6+i) * 2) - 2i
[2350] ['2i', '(2+i)', '(3+2i)', '(4+5i)'] -> (3+2i - (2+i * 4+5i)) * 2i
[2351] ['2i', '(2+i)', '(3+6i)', '6'] -> (2+i * 6) - (2i * 3+6i)
[2352] ['2i', '(2+i)', '(5+4i)', '(6+i)'] -> (6+i - (2+i * 5+4i)) * 2i
[2353] ['2i', '(2+2i)', '(2+2i)', '(4+2i)'] -> (2+2i - (2i * 4+2i)) * 2+2i
[2354] ['2i', '(2+2i)', '(2+2i)', '(4+3i)'] -> (2+2i - (2+2i * 4+3i)) * 2i
[2355] ['2i', '(2+2i)', '(2+4i)', '(3+i)'] -> (2+2i - (2+4i * 3+i)) * 2i
[2356] ['2i', '(2+2i)', '(2+4i)', '4'] -> (2+4i - (2+2i * 2i)) * 4
[2357] ['2i', '3i', '(2+5i)', '(3+6i)'] -> 3+6i - ((2+5i + 2i) * 3i)
[2358] ['2i', '(1+2i)', '6', '6'] -> (6 - (1+2i * 6)) * 2i
[2359] ['2i', '(1+3i)', '2', '(5+3i)'] -> (1+3i + 5+3i) * (2 - 2i)
[2360] ['2i', '(1+3i)', '2', '(6+2i)'] -> (6+2i - (1+3i * 2i)) * 2
[2361] ['2i', '(1+3i)', '(2+2i)', '3'] -> (2+2i - (1+3i * 2i)) * 3
[2362] ['2i', '(1+3i)', '(2+4i)', '(5+i)'] -> (2+4i - (1+3i * 5+i)) * 2i
[2363] ['2i', '(1+3i)', '(2+6i)', '(6+2i)'] -> ((6+2i / 1+3i) - 2i) * 2+6i
[2364] ['2i', '(1+3i)', '(3+i)', '(4+4i)'] -> (1+3i - (2i * 3+i)) * 4+4i
[2365] ['2i', '(1+3i)', '4', '4'] -> (4 - (1+3i * 4)) * 2i
[2366] ['2i', '(1+3i)', '4', '(4+2i)'] -> (2i + 4+2i) * (4 - 1+3i)
[2367] ['2i', '(1+3i)', '(4+2i)', '(6+i)'] -> ((6+i - 1+3i) * 4+2i) - 2i
[2368] ['2i', '3i', '(2+6i)', '(4+4i)'] -> ((4+4i / 2i) - 2+6i) * 3i
[2369] ['2i', '(1+3i)', '5', '(5+3i)'] -> (5+3i - (1+3i * 5)) * 2i
[2370] ['2i', '(1+4i)', '(1+6i)', '(4+4i)'] -> 4+4i - ((1+4i + 1+6i) * 2i)
[2371] ['2i', '(1+4i)', '2', '(4+2i)'] -> (4+2i - (1+4i * 2i)) * 2
[2372] ['2i', '(1+4i)', '2', '(5+2i)'] -> (1+4i + 5+2i) * (2 - 2i)
[2373] ['2i', '(1+4i)', '(2+5i)', '3'] -> ((3 - 1+4i) * 2+5i) - 2i
[2374] ['2i', '(1+4i)', '3', '3'] -> (3 - (1+4i * 3)) * 2i
[2375] ['2i', '(1+4i)', '(3+i)', '5'] -> (2i + 3+i) * (5 - 1+4i)
[2376] ['2i', '(2+2i)', '(2+4i)', '(5+2i)'] -> (2+4i - (2i * 5+2i)) * 2+2i
[2377] ['2i', '(2+2i)', '(2+6i)', '(5+4i)'] -> (2+6i - (2+2i * 5+4i)) * 2i
[2378] ['2i', '(2+2i)', '(2+6i)', '(6+2i)'] -> (2+6i - (2i * 6+2i)) * 2+2i
[2379] ['2i', '3i', '3', '(4+2i)'] -> (2i + 4+2i) * (3 - 3i)
[2380] ['2i', '(2+2i)', '(3+i)', '(3+3i)'] -> (2+2i - (2i * 3+i)) * 3+3i
[2381] ['2i', '(2+2i)', '(3+i)', '4'] -> (4 - (2i * 3+i)) * 2+2i
[2382] ['2i', '(2+2i)', '(3+i)', '6'] -> ((2+2i / 2i) + 3+i) * 6
[2383] ['2i', '(2+2i)', '4', '(4+2i)'] -> (4 - (2+2i * 4+2i)) * 2i
[2384] ['2i', '(2+2i)', '4', '(5+3i)'] -> ((4 - 2i) * 5+3i) - 2+2i
[2385] ['2i', '(2+2i)', '4', '(6+2i)'] -> (6+2i - (2i * 4)) * 2+2i
[2386] ['2i', '(2+2i)', '(4+i)', '(4+2i)'] -> (4+2i - (2i * 4+i)) * 2+2i
[2387] ['2i', '(2+2i)', '(4+i)', '(6+2i)'] -> ((4+i - 2i) * 6+2i) - 2+2i
[2388] ['2i', '(2+2i)', '(4+4i)', '(5+3i)'] -> (4+4i - (2+2i * 5+3i)) * 2i
[2389] ['2i', '(2+2i)', '(4+4i)', '6'] -> ((4+4i / 2i) + 2+2i) * 6
[2390] ['2i', '3i', '(3+6i)', '(6+3i)'] -> ((3+6i * 6+3i) + 3i) / 2i
[2391] ['2i', '(2+2i)', '(5+2i)', '(6+2i)'] -> (6+2i - (2+2i * 5+2i)) * 2i
[2392] ['2i', '(2+3i)', '(2+4i)', '3'] -> (2+4i - (2+3i * 2i)) * 3
[2393] ['2i', '(2+3i)', '(2+4i)', '(4+2i)'] -> (2+4i - (2+3i * 4+2i)) * 2i
[2394] ['2i', '(2+3i)', '(4+i)', '(5+2i)'] -> (5+2i - (2+3i * 4+i)) * 2i
[2395] ['2i', '(2+3i)', '(4+2i)', '5'] -> (2i + 4+2i) * (5 - 2+3i)
[2396] ['2i', '(2+4i)', '3', '6'] -> (6 - (2+4i * 3)) * 2i
[2397] ['2i', '(2+4i)', '3', '(6+i)'] -> ((2+4i / 2i) + 6+i) * 3
[2398] ['2i', '(2+4i)', '(3+i)', '6'] -> (2i + 3+i) * (6 - 2+4i)
[2399] ['2i', '(2+4i)', '(3+3i)', '(4+i)'] -> (2+4i - (2i * 4+i)) * 3+3i
[2400] ['2i', '(2+4i)', '(4+2i)', '(5+i)'] -> (2i + 4+2i) * (5+i - 2+4i)
[2401] ['2i', '3i', '(4+2i)', '(5+i)'] -> ((5+i - 3i) * 4+2i) - 2i
[2402] ['2i', '(2+5i)', '(2+5i)', '(4+i)'] -> ((4+i - 2+5i) * 2+5i) - 2i
[2403] ['3i', '4i', '(4+3i)', '(6+i)'] -> ((4+3i - 3i) * 6+i) - 4i
[2404] ['3i', '5i', '6i', '(2+3i)'] -> 6i - ((2+3i + 5i) * 3i)
[2405] ['3i', '5i', '6i', '5'] -> ((5 / 5i) - 3i) * 6i
[2406] ['3i', '5i', '(1+i)', '(4+5i)'] -> 4+5i - ((1+i + 3i) * 5i)
[2407] ['3i', '5i', '(1+i)', '(6+3i)'] -> 6+3i - ((1+i + 5i) * 3i)
[2408] ['3i', '5i', '(1+2i)', '(3+3i)'] -> 3+3i - ((1+2i + 5i) * 3i)
[2409] ['3i', '5i', '(2+i)', '(6+i)'] -> (2+i - 3i) * (5i + 6+i)
[2410] ['3i', '5i', '(2+3i)', '(3+2i)'] -> (5i - (2+3i * 3+2i)) * 3i
[2411] ['3i', '5i', '(2+3i)', '(6+3i)'] -> (2+3i - 5i) * (3i + 6+3i)
[2412] ['2i', '3i', '5', '6'] -> (2i * 3i) + (5 * 6)
[2413] ['3i', '5i', '(2+6i)', '(3+6i)'] -> ((3+6i / 5i) - 3i) * 2+6i
[2414] ['3i', '5i', '3', '3'] -> (3 * 3) - (3i * 5i)
[2415] ['3i', '5i', '3', '(4+i)'] -> (3 + 3i) * (4+i - 5i)
[2416] ['3i', '5i', '(3+2i)', '(4+i)'] -> (3+2i - 5i) * (3i + 4+i)
[2417] ['3i', '5i', '(3+2i)', '(6+2i)'] -> ((6+2i - 5i) * 3+2i) - 3i
[2418] ['3i', '5i', '(3+6i)', '(5+2i)'] -> (3i * 5+2i) - (3+6i * 5i)
[2419] ['3i', '6i', '6i', '(1+i)'] -> 6i - ((1+i + 3i) * 6i)
[2420] ['3i', '6i', '6i', '(2+2i)'] -> 6i - ((2+2i + 6i) * 3i)
[2421] ['3i', '6i', '6i', '(2+4i)'] -> ((6i / 3i) - 2+4i) * 6i
[2422] ['3i', '6i', '1', '(6+3i)'] -> 6+3i - ((1 + 6i) * 3i)
[2423] ['2i', '4i', '4i', '5i'] -> (2i - 5i) * (4i + 4i)
[2424] ['2i', '(3+2i)', '(3+2i)', '5'] -> (5 - (3+2i * 3+2i)) * 2i
[2425] ['2i', '(3+2i)', '(3+3i)', '(3+3i)'] -> (3+3i - (3+2i * 3+3i)) * 2i
[2426] ['2i', '(3+2i)', '4', '4'] -> (3+2i - 2i) * (4 + 4)
[2427] ['2i', '(3+2i)', '(4+2i)', '6'] -> ((4+2i / 2i) + 3+2i) * 6
[2428] ['2i', '(3+2i)', '6', '(6+3i)'] -> (3+2i * 6) - (2i * 6+3i)
[2429] ['2i', '(3+3i)', '4', '(4+4i)'] -> (4+4i - (2i * 4)) * 3+3i
[2430] ['2i', '(3+3i)', '(4+2i)', '6'] -> (2i + 4+2i) * (6 - 3+3i)
[2431] ['2i', '(3+3i)', '6', '(6+2i)'] -> ((6+2i / 2i) + 3+3i) * 6
[2432] ['2i', '(3+4i)', '(4+2i)', '(6+i)'] -> (2i + 4+2i) * (6+i - 3+4i)
[2433] ['2i', '(3+5i)', '4', '(4+4i)'] -> (3+5i - (2i * 4)) * 4+4i
[2434] ['2i', '4i', '4i', '(1+4i)'] -> 4i - ((1+4i + 2i) * 4i)
[2435] ['2i', '(3+5i)', '(4+2i)', '(6+2i)'] -> (2i + 4+2i) * (6+2i - 3+5i)
[2436] ['2i', '(3+5i)', '(5+i)', '(5+2i)'] -> ((5+i - 2i) * 5+2i) - 3+5i
[2437] ['2i', '(3+6i)', '(4+i)', '(6+3i)'] -> ((4+i - 2i) * 6+3i) - 3+6i
[2438] ['2i', '(3+6i)', '(4+2i)', '(6+3i)'] -> (2i + 4+2i) * (6+3i - 3+6i)
[2439] ['2i', '(2+5i)', '(2+6i)', '(4+2i)'] -> ((4+2i - 2+6i) * 2+5i) - 2i
[2440] ['2i', '(2+5i)', '3', '(6+3i)'] -> (6+3i - (2+5i * 3)) * 2i
[2441] ['2i', '(2+5i)', '(3+i)', '(6+i)'] -> (2i + 3+i) * (6+i - 2+5i)
[2442] ['2i', '(2+5i)', '(3+4i)', '5'] -> ((5 - 3+4i) * 2+5i) - 2i
[2443] ['2i', '(2+5i)', '(3+5i)', '(5+i)'] -> ((5+i - 3+5i) * 2+5i) - 2i
[2444] ['2i', '(2+5i)', '(3+6i)', '(5+2i)'] -> ((5+2i - 3+6i) * 2+5i) - 2i
[2445] ['2i', '4i', '4i', '2'] -> (2i - (2 * 4i)) * 4i
[2446] ['2i', '(2+5i)', '(4+2i)', '(5+2i)'] -> (2i + 4+2i) * (5+2i - 2+5i)
[2447] ['2i', '(2+5i)', '(4+4i)', '6'] -> ((6 - 4+4i) * 2+5i) - 2i
[2448] ['2i', '(2+5i)', '(4+5i)', '(6+i)'] -> ((6+i - 4+5i) * 2+5i) - 2i
[2449] ['2i', '(2+6i)', '3', '(3+3i)'] -> (2+6i - (2i * 3+3i)) * 3
