[1] ['i', 'i', '4i', '(1+6i)'] -> ((i / i) - 1+6i) * 4i
[145] ['4i', '(2+3i)', '(3+2i)', '4'] -> (3+2i * 4) - (2+3i * 4i)
[146] ['4i', '(2+3i)', '(3+4i)', '4'] -> (2+3i * 4) - (3+4i * 4i)
[147] ['i', '(2+4i)', '(4+2i)', '(4+3i)'] -> ((2+4i * 4+3i) + 4+2i) / i
[148] ['4i', '(2+3i)', '4', '5'] -> (4 + 4i) * (5 - 2+3i)
[149] ['4i', '(2+3i)', '(4+i)', '(6+2i)'] -> (4+i - 2+3i) * (4i + 6+2i)
[150] ['4i', '(2+3i)', '(6+i)', '(6+3i)'] -> ((6+3i - 2+3i) * 6+i) - 4i
[151] ['4i', '(1+i)', '(1+2i)', '(3+i)'] -> (1+i - (1+2i * 3+i)) * 4i
[152] ['4i', '(1+i)', '(1+3i)', '(5+4i)'] -> (1+3i - (1+i * 5+4i)) * 4i
[153] ['4i', '(1+i)', '(1+5i)', '4'] -> (1+i * 4) - (1+5i * 4i)
[154] ['4i', '(1+i)', '2', '(4+2i)'] -> (2 - (1+i * 4+2i)) * 4i
[155] ['4i', '(1+i)', '(2+2i)', '(2+6i)'] -> ((2+2i / 1+i) - 2+6i) * 4i
[156] ['4i', '(1+i)', '(2+2i)', '4'] -> (1+i + 2+2i) * (4 - 4i)
[157] ['4i', '(1+i)', '(2+2i)', '(5+3i)'] -> (2+2i - (1+i * 5+3i)) * 4i
[158] ['i', '(2+4i)', '(4+3i)', '(5+i)'] -> (4+3i + i) * (5+i - 2+4i)
[159] ['4i', '(1+i)', '(2+4i)', '(2+4i)'] -> (4i - (2+4i * 2+4i)) * 1+i
[160] ['4i', '(1+i)', '(2+4i)', '(4+4i)'] -> ((2+4i / 1+i) - 4i) * 4+4i
[161] ['4i', '(1+i)', '(2+5i)', '(3+i)'] -> ((3+i / 1+i) - 2+5i) * 4i
[162] ['4i', '(1+i)', '(2+5i)', '(4+4i)'] -> (4i - (1+i * 2+5i)) * 4+4i
[163] ['4i', '(1+i)', '(2+5i)', '(6+2i)'] -> (1+i * 6+2i) - (2+5i * 4i)
[164] ['4i', '(1+i)', '(2+6i)', '(3+3i)'] -> (4i - (1+i * 2+6i)) * 3+3i
[165] ['4i', '(1+i)', '3', '(4+4i)'] -> (4+4i - (1+i * 4i)) * 3
[166] ['4i', '(1+i)', '(3+i)', '(3+3i)'] -> (1+i + 3+3i) * (3+i - 4i)
[167] ['4i', '(1+i)', '(3+i)', '(5+2i)'] -> (3+i - (1+i * 5+2i)) * 4i
[168] ['4i', '(1+i)', '(3+2i)', '4'] -> (4 - (3+2i * 4i)) * 1+i
[169] ['i', '(2+5i)', '(3+2i)', '(4+5i)'] -> ((2+5i * 3+2i) + 4+5i) / i
[170] ['4i', '(1+i)', '(3+3i)', '(4+4i)'] -> ((4+4i / 1+i) - 4i) * 3+3i
[171] ['4i', '(1+i)', '(3+3i)', '(6+3i)'] -> (3+3i - (1+i * 6+3i)) * 4i
[172] ['4i', '(1+i)', '(3+4i)', '(5+i)'] -> ((5+i / 1+i) - 3+4i) * 4i
[173] ['4i', '(1+i)', '(3+5i)', '(4+2i)'] -> ((4+2i / 1+i) - 3+5i) * 4i
[174] ['4i', '(1+i)', '4', '5'] -> ((1+i + 5) * 4) - 4i
[175] ['4i', '(1+i)', '(4+2i)', '(6+2i)'] -> (4+2i - (1+i * 6+2i)) * 4i
[176] ['4i', '(1+i)', '(4+4i)', '(6+2i)'] -> ((6+2i / 1+i) - 4+4i) * 4i
[177] ['4i', '(1+i)', '(4+5i)', '(5+3i)'] -> ((5+3i / 1+i) - 4+5i) * 4i
[178] ['4i', '(1+i)', '(5+3i)', '(6+2i)'] -> ((5+3i * 6+2i) - 4i) / 1+i
[179] ['4i', '(1+i)', '6', '6'] -> (6 - (1+i * 6)) * 4i
[180] ['i', '(2+5i)', '(3+2i)', '(6+i)'] -> (3+2i + i) * (6+i - 2+5i)
[181] ['4i', '(1+i)', '6', '(6+2i)'] -> (6+2i - (4i / 1+i)) * 6
[182] ['4i', '(1+2i)', '(1+2i)', '(1+6i)'] -> ((1+2i / 1+2i) - 1+6i) * 4i
[183] ['4i', '(1+2i)', '(1+4i)', '5'] -> ((5 / 1+2i) - 1+4i) * 4i
[184] ['4i', '(1+2i)', '(1+5i)', '(3+i)'] -> ((3+i / 1+2i) - 1+5i) * 4i
[185] ['4i', '(1+2i)', '(1+6i)', '(5+2i)'] -> (1+6i - (1+2i * 5+2i)) * 4i
[186] ['4i', '(1+2i)', '2', '(4+4i)'] -> (4+4i - (1+2i * 4i)) * 2
[187] ['4i', '(1+2i)', '(2+i)', '(2+3i)'] -> (1+2i - (2+3i * 2+i)) * 4i
[188] ['4i', '(1+2i)', '(2+2i)', '(5+4i)'] -> (1+2i + 5+4i) * (2+2i - 4i)
[189] ['4i', '(1+2i)', '(2+3i)', '(4+i)'] -> (2+3i - (1+2i * 4+i)) * 4i
[190] ['4i', '(1+2i)', '(2+4i)', '(2+6i)'] -> ((2+4i / 1+2i) - 2+6i) * 4i
[191] ['i', '(2+5i)', '(4+3i)', '(5+2i)'] -> (4+3i + i) * (5+2i - 2+5i)
[192] ['4i', '(1+2i)', '(2+4i)', '(4+4i)'] -> ((4+4i / 1+2i) - 4i) * 2+4i
[193] ['4i', '(1+2i)', '(2+4i)', '(6+2i)'] -> ((6+2i / 1+2i) - 2+4i) * 4i
[194] ['4i', '(1+2i)', '(2+5i)', '4'] -> (1+2i * 4) - (2+5i * 4i)
[195] ['4i', '(1+2i)', '(2+5i)', '(4+3i)'] -> ((4+3i / 1+2i) - 2+5i) * 4i
[196] ['4i', '(1+2i)', '3', '3'] -> (3 - (1+2i * 3)) * 4i
[197] ['4i', '(1+2i)', '3', '(6+2i)'] -> (3 - 1+2i) * (4i + 6+2i)
[198] ['4i', '(1+2i)', '(3+i)', '(3+2i)'] -> (1+2i + 3+2i) * (3+i - 4i)
[199] ['4i', '(2+4i)', '4', '(4+4i)'] -> (2+4i * 4) - (4+4i * 4i)
