[354] ['2', '22', '43', '48'] -> (22 - (43 / 2)) * 48
[355] ['2', '22', '44', '47'] -> (22 / 44) + (47 / 2)
[356] ['2', '22', '44', '49'] -> (49 / 2) - (22 / 44)
[357] ['2', '22', '45', '48'] -> ((45 / 2) - 22) * 48
[358] ['2', '19', '35', '36'] -> 36 / (19 - (35 / 2))
[359] ['2', '19', '36', '38'] -> 36 / (2 - (19 / 38))
[360] ['2', '19', '36', '41'] -> 36 / ((41 / 2) - 19)
[361] ['2', '19', '37', '48'] -> (19 - (37 / 2)) * 48
[362] ['2', '19', '38', '49'] -> (49 / 2) - (19 / 38)
[363] ['2', '19', '39', '48'] -> ((39 / 2) - 19) * 48
[364] ['3', '3', '4', '40'] -> 40 / (3 - (4 / 3))
[365] ['3', '3', '5', '32'] -> 32 / (3 - (5 / 3))
[366] ['3', '3', '7', '7'] -> ((3 / 7) + 3) * 7
[367] ['3', '3', '8', '8'] -> 8 / (3 - (8 / 3))
[368] ['3', '3', '13', '32'] -> 32 / ((13 / 3) - 3)
[369] ['3', '3', '14', '40'] -> 40 / ((14 / 3) - 3)
[370] ['2', '26', '36', '39'] -> (2 - (36 / 26)) * 39
[371] ['2', '26', '36', '49'] -> 36 / (26 - (49 / 2))
[372] ['2', '26', '39', '42'] -> (2 - (42 / 39)) * 26
[373] ['2', '26', '39', '45'] -> (39 / 26) + (45 / 2)
[374] ['2', '26', '39', '48'] -> (2 - (39 / 26)) * 48
[375] ['2', '27', '27', '30'] -> (2 - (30 / 27)) * 27
[376] ['2', '27', '28', '32'] -> 27 / (2 - (28 / 32))
[377] ['2', '27', '36', '40'] -> (2 - (40 / 36)) * 27
[378] ['2', '28', '28', '32'] -> (2 - (32 / 28)) * 28
[379] ['2', '25', '35', '40'] -> (2 - (35 / 25)) * 40
[380] ['2', '25', '36', '47'] -> 36 / (25 - (47 / 2))
[381] ['2', '26', '26', '28'] -> (2 - (28 / 26)) * 26
[382] ['2', '26', '33', '36'] -> 26 / (2 - (33 / 36))
[383] ['2', '23', '36', '43'] -> 36 / (23 - (43 / 2))
[384] ['2', '23', '36', '46'] -> 36 / (2 - (23 / 46))
[385] ['2', '23', '36', '49'] -> 36 / ((49 / 2) - 23)
[386] ['2', '28', '35', '40'] -> (2 - (40 / 35)) * 28
[387] ['2', '28', '35', '42'] -> 28 / (2 - (35 / 42))
[388] ['2', '28', '42', '45'] -> (42 / 28) + (45 / 2)
[389] ['2', '29', '29', '34'] -> (2 - (34 / 29)) * 29
[390] ['2', '30', '30', '36'] -> (2 - (36 / 30)) * 30
[391] ['2', '30', '35', '42'] -> (2 - (42 / 35)) * 30
[392] ['3', '3', '23', '49'] -> (23 / 3) + (49 / 3)
[393] ['3', '3', '25', '47'] -> (25 / 3) + (47 / 3)
[394] ['3', '3', '26', '46'] -> (26 / 3) + (46 / 3)
[395] ['3', '3', '28', '44'] -> (28 / 3) + (44 / 3)
[396] ['3', '3', '29', '43'] -> (29 / 3) + (43 / 3)
[397] ['3', '3', '31', '41'] -> (31 / 3) + (41 / 3)
