[1] ['1', '1', '1', '8'] -> (1 + 1 + 1) * 8
[237] ['1', '15', '40', '40'] -> 40 / ((40 / 15) - 1)
[238] ['15', '21', '35', '38'] -> ((38 - 35) * 15) - 21
[239] ['15', '21', '36', '36'] -> ((15 * 36) - 36) / 21
[240] ['15', '21', '36', '39'] -> ((39 - 36) * 15) - 21
[241] ['15', '21', '37', '40'] -> ((40 - 37) * 15) - 21
[242] ['15', '21', '37', '43'] -> ((21 * 43) - 15) / 37
[243] ['15', '21', '38', '41'] -> ((41 - 38) * 15) - 21
[244] ['15', '21', '39', '42'] -> ((42 - 39) * 15) - 21
[245] ['15', '21', '41', '44'] -> ((44 - 41) * 15) - 21
[246] ['15', '21', '43', '46'] -> ((46 - 43) * 15) - 21
[247] ['15', '21', '44', '47'] -> ((47 - 44) * 15) - 21
[248] ['1', '15', '45', '48'] -> 48 / ((45 / 15) - 1)
[249] ['15', '21', '46', '49'] -> ((49 - 46) * 15) - 21
[250] ['15', '22', '22', '29'] -> ((15 + 29) / 22) + 22
[251] ['15', '22', '23', '27'] -> 27 - ((22 + 23) / 15)
[252] ['15', '22', '23', '31'] -> ((15 + 31) / 23) + 22
[253] ['15', '22', '25', '35'] -> ((15 + 35) / 25) + 22
[254] ['15', '22', '26', '29'] -> 26 - ((15 + 29) / 22)
[255] ['15', '22', '26', '37'] -> ((15 + 37) / 26) + 22
[256] ['15', '22', '27', '37'] -> ((15 * 37) - 27) / 22
[257] ['15', '22', '27', '38'] -> (22 * 27) - (15 * 38)
[258] ['15', '22', '27', '39'] -> ((15 + 39) / 27) + 22
[259] ['1', '16', '16', '32'] -> ((16 / 32) + 1) * 16
[260] ['15', '22', '28', '38'] -> 28 - ((22 + 38) / 15)
[261] ['15', '22', '29', '43'] -> ((15 + 43) / 29) + 22
[262] ['15', '22', '31', '47'] -> ((15 + 47) / 31) + 22
[263] ['15', '22', '32', '48'] -> ((15 * 32) + 48) / 22
[264] ['15', '22', '33', '33'] -> ((15 * 33) + 33) / 22
[265] ['15', '22', '38', '42'] -> ((15 * 38) - 42) / 22
[266] ['16', '16', '27', '32'] -> 27 - ((16 + 32) / 16)
[267] ['16', '16', '27', '48'] -> ((16 * 27) - 48) / 16
[268] ['16', '16', '28', '41'] -> ((16 * 41) + 16) / 28
[269] ['16', '16', '28', '43'] -> ((16 * 43) - 16) / 28
[270] ['1', '16', '16', '40'] -> ((40 / 16) - 1) * 16
[271] ['16', '16', '28', '48'] -> 28 - ((16 + 48) / 16)
[272] ['16', '16', '30', '44'] -> ((16 * 44) + 16) / 30
[273] ['16', '16', '30', '46'] -> ((16 * 46) - 16) / 30
[274] ['16', '16', '32', '47'] -> ((16 * 47) + 16) / 32
[275] ['16', '16', '32', '49'] -> ((16 * 49) - 16) / 32
[276] ['16', '17', '18', '22'] -> ((16 + 18) / 17) + 22
[277] ['16', '17', '18', '26'] -> 26 - ((16 + 18) / 17)
[278] ['16', '17', '18', '31'] -> (17 + 31) / (18 - 16)
[279] ['16', '17', '19', '20'] -> ((19 - 17) * 20) - 16
[280] ['16', '17', '19', '27'] -> ((19 - 16) * 17) - 27
[281] ['1', '16', '17', '34'] -> ((17 / 34) + 1) * 16
[282] ['16', '17', '21', '27'] -> ((17 * 21) + 27) / 16
[283] ['16', '17', '21', '40'] -> ((21 - 17) * 16) - 40
[284] ['16', '17', '22', '32'] -> ((17 * 32) - 16) / 22
[285] ['16', '17', '23', '40'] -> ((16 * 23) + 40) / 17
[286] ['15', '25', '43', '45'] -> ((15 * 43) - 45) / 25
[287] ['15', '26', '26', '37'] -> 26 - ((15 + 37) / 26)
[288] ['15', '26', '28', '33'] -> (15 + 33) / (28 - 26)
[289] ['15', '26', '28', '34'] -> 28 - ((26 + 34) / 15)
[290] ['15', '26', '29', '43'] -> 26 - ((15 + 43) / 29)
[291] ['15', '26', '29', '49'] -> 29 - ((26 + 49) / 15)
[292] ['1', '16', '18', '30'] -> 16 / ((30 / 18) - 1)
[293] ['15', '26', '31', '47'] -> 26 - ((15 + 47) / 31)
[294] ['15', '26', '36', '44'] -> ((15 * 44) - 36) / 26
[295] ['15', '26', '39', '39'] -> ((15 * 39) + 39) / 26
[296] ['15', '27', '27', '31'] -> ((27 * 27) + 15) / 31
[297] ['15', '27', '27', '47'] -> (27 * 27) - (15 * 47)
[298] ['15', '27', '28', '43'] -> ((15 * 43) + 27) / 28
[299] ['15', '27', '29', '33'] -> (15 + 33) / (29 - 27)
[300] ['15', '27', '29', '48'] -> 29 - ((27 + 48) / 15)
[301] ['15', '27', '33', '41'] -> ((15 * 41) + 33) / 27
[302] ['15', '27', '37', '41'] -> ((27 * 37) - 15) / 41
[303] ['1', '16', '18', '36'] -> ((18 / 36) + 1) * 16
[304] ['15', '27', '42', '46'] -> ((15 * 46) - 42) / 27
[305] ['15', '27', '43', '49'] -> ((27 * 43) + 15) / 49
[306] ['15', '28', '28', '32'] -> 28 - ((28 + 32) / 15)
[307] ['15', '28', '29', '47'] -> 29 - ((28 + 47) / 15)
[308] ['15', '28', '30', '30'] -> 28 - ((30 + 30) / 15)
[309] ['15', '28', '30', '33'] -> (15 + 33) / (30 - 28)
[310] ['15', '28', '33', '47'] -> ((15 * 47) - 33) / 28
[311] ['15', '28', '42', '42'] -> ((15 * 42) + 42) / 28
[312] ['15', '28', '48', '48'] -> ((15 * 48) - 48) / 28
[313] ['15', '29', '29', '46'] -> 29 - ((29 + 46) / 15)
