[254] ['17', '19', '37', '48'] -> ((37 + 48) / 17) + 19
[255] ['17', '19', '38', '47'] -> ((38 + 47) / 17) + 19
[256] ['17', '19', '39', '45'] -> (17 * 45) - (19 * 39)
[257] ['17', '19', '39', '46'] -> ((39 + 46) / 17) + 19
[258] ['17', '19', '40', '45'] -> ((40 + 45) / 17) + 19
[259] ['17', '19', '41', '44'] -> ((41 + 44) / 17) + 19
[260] ['17', '19', '42', '43'] -> ((42 + 43) / 17) + 19
[261] ['17', '20', '21', '27'] -> ((17 * 27) + 21) / 20
[262] ['17', '20', '22', '32'] -> ((20 * 22) - 32) / 17
[263] ['17', '20', '23', '49'] -> (23 + 49) / (20 - 17)
[264] ['17', '20', '25', '28'] -> (20 * 25) - (17 * 28)
[265] ['17', '20', '26', '32'] -> (17 * 32) - (20 * 26)
[266] ['17', '20', '26', '38'] -> ((17 * 26) + 38) / 20
[267] ['17', '20', '26', '46'] -> (26 + 46) / (20 - 17)
[268] ['17', '20', '27', '45'] -> (27 + 45) / (20 - 17)
[269] ['17', '20', '29', '43'] -> (29 + 43) / (20 - 17)
[270] ['17', '20', '30', '30'] -> ((17 * 30) - 30) / 20
[271] ['17', '20', '31', '41'] -> (31 + 41) / (20 - 17)
[272] ['17', '20', '31', '47'] -> ((17 * 31) - 47) / 20
[273] ['17', '20', '32', '44'] -> ((17 * 44) + 20) / 32
[274] ['17', '20', '33', '39'] -> (33 + 39) / (20 - 17)
[275] ['1', '17', '29', '41'] -> ((17 * 41) - 1) / 29
[276] ['17', '20', '34', '38'] -> (34 + 38) / (20 - 17)
[277] ['17', '20', '35', '37'] -> (35 + 37) / (20 - 17)
[278] ['17', '20', '42', '48'] -> (20 * 42) - (17 * 48)
[279] ['17', '21', '21', '33'] -> ((21 * 21) - 33) / 17
[280] ['17', '21', '23', '27'] -> (21 * 23) - (17 * 27)
[281] ['18', '18', '22', '36'] -> ((18 * 22) + 36) / 18
[282] ['18', '18', '22', '48'] -> ((22 - 18) * 18) - 48
[283] ['18', '18', '26', '36'] -> ((18 * 26) - 36) / 18
[284] ['18', '18', '27', '35'] -> ((18 * 35) + 18) / 27
[285] ['18', '18', '27', '37'] -> ((18 * 37) - 18) / 27
[286] ['18', '18', '30', '39'] -> ((18 * 39) + 18) / 30
[287] ['18', '18', '30', '41'] -> ((18 * 41) - 18) / 30
[288] ['18', '18', '33', '43'] -> ((18 * 43) + 18) / 33
[289] ['18', '18', '36', '47'] -> ((18 * 47) + 18) / 36
[290] ['18', '18', '36', '49'] -> ((18 * 49) - 18) / 36
[291] ['17', '21', '27', '45'] -> ((17 * 27) + 45) / 21
[292] ['17', '21', '28', '28'] -> ((17 * 28) + 28) / 21
[293] ['17', '21', '28', '36'] -> (17 * 36) - (21 * 28)
[294] ['17', '21', '32', '40'] -> ((17 * 32) - 40) / 21
[295] ['17', '21', '47', '49'] -> (47 + 49) / (21 - 17)
[296] ['17', '21', '48', '48'] -> (48 + 48) / (21 - 17)
[297] ['17', '22', '25', '34'] -> ((17 * 34) + 22) / 25
[298] ['17', '22', '26', '38'] -> ((17 * 38) - 22) / 26
[299] ['17', '22', '29', '35'] -> ((17 * 29) + 35) / 22
[300] ['18', '18', '18', '23'] -> ((18 * 23) + 18) / 18
[301] ['18', '18', '18', '25'] -> ((18 * 25) - 18) / 18
[302] ['18', '18', '21', '27'] -> ((18 * 27) + 18) / 21
[303] ['18', '18', '21', '29'] -> ((18 * 29) - 18) / 21
[304] ['17', '22', '36', '48'] -> (17 * 48) - (22 * 36)
[305] ['17', '23', '26', '34'] -> ((17 * 34) - 26) / 23
[306] ['17', '23', '29', '31'] -> ((23 * 31) - 17) / 29
[307] ['17', '23', '30', '41'] -> ((17 * 41) + 23) / 30
